lat,lon,alt,gs,track
42.881287,-85.516987,-50.0,27.5,81.6
42.881332,-85.51654,-50.0,28.5,81.6
42.881408,-85.515862,-50.0,29.5,81.6
42.878494,-85.525818,650,0.0,0.0
42.878242,-85.528172,750,155.6,261.9
42.878149,-85.529088,800,155.6,261.9
42.877945,-85.530992,900,152.3,262.5
42.877808,-85.532333,975,151.2,262.8
42.87767,-85.53393,1075,150.3,262.4
42.877497,-85.535954,1175,149.1,263.1
42.877396,-85.537507,1275,148.4,265.8
42.87735,-85.538784,1350,148.1,267.7
42.877358,-85.54027,1450,149.0,269.6
42.877487,-85.542233,1550,149.9,276.1
42.87767,-85.543766,1625,149.6,278.5
42.877945,-85.545236,1725,150.1,283.5
42.878357,-85.547152,1825,151.5,288.1
42.878906,-85.549004,1900,154.5,291.2
42.879639,-85.551304,2000,156.8,293.3
42.880096,-85.552645,2050,159.7,294.8
42.881149,-85.555519,2150,164.6,296.7
42.882294,-85.558521,2250,169.5,297.8
42.883575,-85.561779,2350,174.0,297.7
42.884766,-85.564909,2450,176.7,298.0
42.885956,-85.567783,2550,180.5,299.5
42.887009,-85.570146,2625,183.5,301.2
42.887972,-85.572052,2700,187.5,303.7
42.888977,-85.573979,2750,190.4,306.0
42.890159,-85.576041,2825,194.4,308.1
42.891678,-85.578514,2875,198.8,309.7
42.89258,-85.579899,2925,202.0,311.2
42.893837,-85.581665,2975,206.7,312.6
42.895187,-85.583561,3025,210.7,314.6
42.897034,-85.585923,3100,214.3,316.3
42.898224,-85.587392,3150,218.1,318.0
42.89978,-85.589245,3225,221.8,318.8
42.901474,-85.591225,3300,225.5,319.3
42.903427,-85.593501,3375,230.0,319.9
42.905136,-85.595377,3475,234.3,320.2
42.907333,-85.597868,3575,238.8,320.8
42.909439,-85.600167,3675,241.8,321.0
42.910995,-85.601892,3775,244.1,321.5
42.912918,-85.603936,3850,247.1,321.7
42.914693,-85.605796,3950,250.1,322.0
42.916601,-85.607823,4050,252.2,322.1
42.918463,-85.609785,4150,255.2,322.3
42.920465,-85.611877,4250,257.4,322.4
42.922028,-85.613517,4350,259.6,322.5
42.924189,-85.615736,4450,261.8,322.6
42.92569,-85.617349,4550,264.0,322.7
42.92775,-85.619457,4650,266.2,322.8
42.929263,-85.621033,4750,266.2,322.8
42.930846,-85.622668,4850,267.6,322.7
42.932336,-85.624172,4925,269.0,322.7
42.933792,-85.625653,5025,269.0,322.7
42.935165,-85.627122,5125,270.4,322.7
42.936676,-85.628655,5225,270.4,322.7
42.938187,-85.630252,5325,271.8,322.6
42.93956,-85.631721,5425,273.2,322.6
42.941162,-85.633382,5525,273.2,322.6
42.942624,-85.634896,5600,274.6,322.5
42.944092,-85.636448,5700,274.6,322.5
42.945184,-85.637512,5775,276.0,322.5
42.946747,-85.639194,5875,277.4,322.5
42.94835,-85.640847,5975,277.4,322.5
42.949979,-85.642548,6075,279.0,322.7
42.951782,-85.644432,6175,279.8,322.8
42.953377,-85.646079,6275,281.2,322.8
42.95496,-85.647648,6350,282.0,322.9
42.95659,-85.649414,6450,282.0,322.9
42.95766,-85.65046,6525,282.0,322.9
42.958591,-85.651441,6600,282.0,322.9
42.959656,-85.652544,6675,282.0,322.9
42.960709,-85.65363,6750,281.2,322.8
42.961624,-85.654588,6825,280.6,323.0
42.962677,-85.65561,6925,279.8,322.8
42.965202,-85.658242,7125,279.8,322.8
42.968033,-85.661167,7325,279.8,322.8
42.970881,-85.664128,7525,280.4,322.7
42.973938,-85.667299,7725,281.8,322.6
42.97728,-85.670748,7925,282.6,322.8
42.980564,-85.674133,8125,284.0,322.7
42.983916,-85.677599,8325,284.8,322.9
42.98703,-85.68084,8525,286.2,322.8
42.990805,-85.684727,8725,288.4,322.9
42.994343,-85.688389,8925,289.8,322.9
42.997974,-85.692117,9100,291.2,322.8
43.001358,-85.695595,9300,292.0,322.9
43.005097,-85.699441,9500,292.6,322.8
43.008179,-85.702685,9700,293.2,322.6
43.011894,-85.706569,9900,295.2,322.4
43.014826,-85.709643,10075,295.8,322.3
43.018021,-85.713033,10275,297.2,322.2
43.02063,-85.715779,10400,298.6,322.2
43.022827,-85.718142,10475,301.4,322.1
43.028091,-85.7237,10675,307.2,322.3
43.034332,-85.730177,10875,313.8,322.5
43.040909,-85.737113,11075,321.8,322.7
43.048577,-85.745021,11275,330.4,322.8
43.057468,-85.754307,11475,339.0,322.8
43.064301,-85.761385,11600,348.2,322.7
43.073822,-85.771286,11800,358.0,322.5
43.082606,-85.781054,12000,365.4,319.8
43.085861,-85.785019,12100,367.4,317.8
43.091309,-85.792364,12300,369.8,314.5
43.095978,-85.799582,12500,372.6,310.1
43.098679,-85.804181,12600,373.1,308.2
43.104126,-85.814592,12775,378.1,304.7
43.11254,-85.832127,13000,387.5,302.5
43.121524,-85.852007,13225,397.2,301.4
43.130081,-85.871312,13450,406.5,301.1
43.135345,-85.883321,13625,411.3,300.9
43.137177,-85.887536,13700,411.3,300.9
43.139053,-85.891816,13800,412.1,300.8
43.140518,-85.895137,13875,412.6,300.9
43.143082,-85.90095,14025,411.8,301.0
43.148897,-85.914132,14425,410.1,301.1
43.154846,-85.927521,14800,409.7,301.3
43.161094,-85.941533,15175,408.9,301.4
43.16775,-85.956312,15575,409.4,301.5
43.172732,-85.967364,15825,410.4,301.8
43.181717,-85.98718,16225,413.5,301.6
43.191376,-86.008641,16625,416.6,301.5
43.201584,-86.031508,17025,421.4,301.3
43.20718,-86.044137,17275,422.2,301.2
43.215134,-86.06204,17675,422.2,301.2
43.223892,-86.081805,18075,423.1,301.2
43.232895,-86.102089,18475,424.5,301.2
43.240768,-86.119846,18750,427.2,301.3
43.252801,-86.146742,19125,433.6,301.4
43.264998,-86.174011,19500,438.5,301.5
43.276611,-86.200072,19900,440.8,301.5
43.286133,-86.221357,20300,441.6,301.4
43.292496,-86.235586,20525,443.0,301.4
43.3021,-86.257063,20800,445.7,301.5
43.315181,-86.286425,21150,451.1,301.4
43.326819,-86.312648,21525,453.3,301.4
43.339005,-86.34002,21925,454.1,301.3
43.350887,-86.36673,22300,456.4,301.3
43.362991,-86.394121,22675,457.7,301.3
43.375048,-86.421269,23075,458.6,301.3
43.386453,-86.4471,23475,458.6,301.3
43.394577,-86.465404,23675,460.0,301.3
43.408722,-86.497533,24000,463.9,301.1
43.422531,-86.528909,24350,464.8,301.1
43.427124,-86.539434,24500,464.8,301.1
43.43866,-86.565623,24900,462.5,301.1
43.446552,-86.583579,25150,462.5,301.1
43.452836,-86.597966,25300,463.4,301.0
43.460358,-86.614997,25450,465.6,301.0
43.479675,-86.659198,25700,472.3,301.0
43.491987,-86.687426,25900,474.5,300.9
43.497574,-86.700269,26050,474.5,300.9
43.510096,-86.729017,26450,471.8,300.9
43.522476,-86.757372,26850,470.1,301.0
43.534675,-86.785322,27225,467.8,301.0
43.545568,-86.810303,27550,467.3,300.9
43.560837,-86.845455,27875,469.6,300.9
43.575165,-86.878478,28200,469.6,300.9
43.590317,-86.913417,28525,470.4,300.8
43.605286,-86.947909,28850,471.8,300.9
43.618378,-86.978121,29100,472.7,300.8
43.624288,-86.991708,29250,471.8,300.9
43.629135,-87.00284,29425,469.6,300.9
43.638487,-87.024471,29825,466.0,300.9
43.644562,-87.038546,30050,463.2,300.8
43.649892,-87.050825,30225,463.2,300.8
43.655478,-87.063708,30350,463.2,300.8
43.67233,-87.102945,30625,466.3,300.7
43.687271,-87.137551,30925,467.2,300.6
43.702377,-87.172681,31250,467.2,300.6
43.717207,-87.207184,31550,468.5,300.7
43.732819,-87.243517,31850,468.5,300.7
43.740005,-87.260189,31925,467.2,300.6
43.755566,-87.296513,32000,463.1,300.5
43.77713,-87.346866,32025,462.2,300.6
43.798254,-87.396306,32000,463.1,300.5
43.819748,-87.446765,32000,465.3,300.5
43.841537,-87.498055,32000,465.3,300.5
43.863241,-87.548937,32000,466.2,300.4
43.884613,-87.599423,32000,465.6,300.3
43.906265,-87.650587,32000,465.6,300.3
43.927643,-87.701239,32000,465.6,300.3
43.949176,-87.752315,32000,465.6,300.3
43.970261,-87.802415,32000,465.1,300.2
43.991776,-87.853642,32000,465.1,300.2
44.013107,-87.904358,32000,465.1,300.2
44.034274,-87.954973,32000,464.6,300.1
44.055588,-88.006109,32000,464.6,300.1
44.076543,-88.056205,32000,464.6,300.1
44.097771,-88.107213,32000,463.3,300.0
44.118942,-88.158002,32000,453.8,300.0
44.139679,-88.207951,32000,449.8,299.9
44.159958,-88.257006,32000,450.3,300.0
44.180649,-88.306892,32000,451.1,299.9
44.201111,-88.356563,32000,452.9,299.8
44.215222,-88.390771,31975,452.9,299.8
44.220716,-88.404102,31900,452.9,299.8
44.237428,-88.444631,31650,451.5,299.7
44.25535,-88.488241,31400,452.9,299.8
44.272295,-88.529574,31150,456.0,299.7
44.288223,-88.568442,30875,456.8,299.6
44.305115,-88.609694,30600,456.8,299.6
44.322246,-88.651696,30350,457.7,299.6
44.339051,-88.692828,30100,455.5,299.6
44.346267,-88.710379,30050,455.5,299.6
44.36705,-88.761488,30000,457.2,299.5
44.387652,-88.812271,30000,456.3,299.5
44.408275,-88.863116,30000,455.0,299.5
44.428944,-88.914162,30000,455.0,299.5
44.44952,-88.965008,30000,455.0,299.5
44.469956,-89.015719,30000,455.8,299.4
44.490555,-89.066881,30000,459.8,299.3
44.511295,-89.118414,30000,462.0,299.3
44.53215,-89.170465,30000,461.2,299.3
