lat,lon,alt,gs,track,vs
39.305079,-94.725891,1050,166.1,194.3,2368
39.303682,-94.726379,1150,166.1,194.3,2752
39.302937,-94.726624,1200,166.4,194.6,3136
39.301447,-94.727173,1300,164.5,194.8,3392
39.300247,-94.727584,1400,164.7,195.1,3392
39.29912,-94.727966,1475,163.5,194.9,3392
39.297909,-94.728333,1575,162.3,193.2,3520
39.296839,-94.728638,1650,162.3,193.2,3520
39.295624,-94.728898,1750,161.8,190.7,3456
39.294113,-94.729196,1850,161.5,187.8,3392
39.292969,-94.729316,1950,160.5,184.6,3456
39.291718,-94.72937,2050,160.3,183.2,3456
39.290588,-94.729375,2150,160.0,180.4,3264
39.289078,-94.729316,2250,160.1,178.2,3008
39.287476,-94.729196,2350,161.3,176.4,2752
39.28562,-94.729004,2450,162.4,176.1,2496
39.283665,-94.728821,2550,165.4,176.2,2304
39.281849,-94.728699,2650,166.3,176.6,2240
39.279602,-94.72854,2750,170.2,177.0,2112
39.277267,-94.72842,2850,172.2,177.3,1984
39.274658,-94.728241,2950,176.2,177.1,1664
39.27347,-94.728149,2975,180.2,177.1,1472
39.271729,-94.728062,3025,184.2,177.2,1216
39.268387,-94.727883,3100,189.2,177.6,1152
39.267517,-94.727823,3125,195.2,177.4,1152
39.265549,-94.727704,3175,199.2,177.4,1408
39.26358,-94.727584,3225,203.2,177.2,1728
39.260807,-94.727356,3325,206.3,176.9,2176
39.258545,-94.727226,3425,208.4,176.4,2368
39.256073,-94.726987,3525,211.5,176.2,2560
39.254011,-94.726807,3625,213.5,176.0,2560
39.25145,-94.726562,3725,216.5,176.0,2496
39.248797,-94.726318,3825,219.6,175.8,2432
39.246277,-94.726091,3925,221.6,175.9,2240
39.24472,-94.725912,3975,224.7,175.4,2176
39.242373,-94.725708,4050,227.8,175.2,2048
39.23996,-94.725435,4125,230.8,175.3,1984
39.237857,-94.72522,4200,233.9,175.1,2048
39.235107,-94.724897,4300,236.9,174.9,2176
39.231766,-94.724241,4400,241.0,170.9,2368
39.229478,-94.723572,4500,242.0,169.5,2368
39.226639,-94.722509,4600,245.8,163.0,2560
39.224258,-94.721434,4700,246.8,159.4,2752
39.221936,-94.720093,4800,247.5,155.9,2944
39.219934,-94.718689,4900,248.2,152.4,3072
39.218398,-94.717529,4975,248.1,150.5,3200
39.216888,-94.71618,5075,249.4,146.9,3392
39.215469,-94.714807,5150,249.4,143.3,3584
39.214005,-94.713314,5250,249.0,139.7,3712
39.21286,-94.711941,5350,249.2,137.9,3712
39.211258,-94.709851,5450,249.6,134.5,3520
39.210112,-94.708252,5550,249.7,133.2,3328
39.208694,-94.706029,5650,251.2,130.2,3136
39.207179,-94.703491,5750,252.8,125.8,3008
39.205922,-94.701111,5850,253.8,124.6,2880
39.204666,-94.698506,5950,255.6,121.9,2624
39.203201,-94.695103,6050,259.1,118.3,2432
39.201826,-94.691406,6150,261.2,115.9,2368
39.200708,-94.687988,6250,264.2,112.0,2368
39.199677,-94.684296,6350,266.6,109.7,2496
39.198893,-94.680969,6450,269.5,106.8,2688
39.198074,-94.67731,6550,270.7,105.4,3072
39.197479,-94.674265,6650,271.6,104.5,3328
39.197021,-94.671996,6750,272.4,104.2,3520
39.196426,-94.668884,6850,272.6,103.6,3520
39.19596,-94.666199,6950,273.4,103.3,3520
39.195029,-94.661011,7150,273.9,102.9,3648
39.194183,-94.656292,7350,274.9,102.8,3776
39.193307,-94.651306,7525,274.6,102.6,3712
39.192398,-94.646082,7725,275.6,102.6,3712
39.191574,-94.641007,7925,276.4,102.3,3648
39.1907,-94.636108,8125,276.4,102.3,3584
39.189606,-94.629603,8325,278.5,102.4,3264
39.188507,-94.623393,8525,279.7,102.6,3136
39.187394,-94.617126,8725,282.3,103.1,3136
39.186264,-94.611093,8925,283.8,103.4,3264
39.185211,-94.605421,9125,285.0,103.6,3456
39.184182,-94.600037,9325,285.2,103.8,3520
39.183014,-94.593897,9525,286.2,103.7,3520
39.181948,-94.588135,9725,287.2,103.7,3456
39.180862,-94.582553,9925,287.2,103.7,3456
39.179713,-94.576538,10125,288.4,103.8,3392
39.178736,-94.571411,10300,289.6,104.0,3392
39.177612,-94.565536,10500,289.6,104.0,3264
39.176408,-94.559448,10700,291.8,104.1,3200
39.175291,-94.553528,10900,293.7,104.0,3264
