lat,lon,alt,gs,track,vs
26.589987,-80.09086,-100,0.7,0.0,0
26.59008,-80.090887,-125,0.7,78.8,-64
26.590033,-80.09086,-125,0.7,0.0,64
26.590021,-80.090847,-150,0.7,78.8,0
26.590021,-80.09086,-150,0.7,78.8,0
26.590033,-80.09086,-150,0.7,81.6,0
26.591243,-80.089434,-125,40.0,91.4,-64
26.591197,-80.08748,-100,58.1,93.0,0
26.591171,-80.086394,-75,64.0,90.0,512
26.591125,-80.084891,-25,64.2,94.5,640
26.590988,-80.082611,75,65.3,95.3,576
26.590871,-80.081406,150,63.4,96.3,832
26.590851,-80.080797,150,61.2,94.7,1344
26.590805,-80.080486,175,62.3,95.5,768
26.59053,-80.077895,250,63.6,98.1,576
26.590164,-80.075148,325,62.8,99.2,640
26.589893,-80.073483,425,61.8,99.3,896
26.589478,-80.070899,525,61.0,100.4,576
26.589055,-80.068571,625,62.6,102.9,704
26.588636,-80.066722,725,61.1,105.2,896
26.588287,-80.065095,750,63.1,104.7,512
26.587601,-80.062244,825,65.0,104.2,576
26.586914,-80.059394,925,66.2,104.9,576
26.586402,-80.057215,950,69.6,105.8,448
26.586319,-80.05701,950,71.8,106.2,-128
26.58603,-80.055947,975,76.2,109.2,192
26.585611,-80.054891,975,77.6,111.9,128
26.585266,-80.054367,975,82.4,123.1,320
26.58454,-80.053517,1000,87.0,137.3,320
26.584076,-80.053072,1025,89.0,141.8,448
26.583283,-80.052567,1025,93.2,150.4,640
26.582657,-80.052294,1075,95.3,159.1,704
26.581787,-80.052035,1050,99.2,165.4,448
26.581055,-80.051828,1050,101.4,167.5,128
26.580597,-80.051776,1025,106.2,171.3,-448
26.579792,-80.051669,1000,110.6,174.3,-832
26.579093,-80.051616,975,114.2,176.5,-1088
26.577976,-80.051563,975,119.0,178.6,-768
26.576935,-80.051569,950,121.0,179.5,-320
26.574345,-80.051669,950,123.2,183.3,-128
26.563019,-80.052554,950,123.3,183.7,64
26.554979,-80.053306,975,123.5,185.1,256
26.550751,-80.053849,1000,125.0,187.4,128
26.547531,-80.054415,1025,124.0,190.2,384
26.545715,-80.054943,1000,126.4,195.1,64
26.544296,-80.055507,1000,129.8,201.2,-256
26.54306,-80.056181,975,133.8,209.1,-320
26.541758,-80.057162,975,137.4,216.1,-448
26.540827,-80.058113,950,140.1,223.3,-512
26.539803,-80.059327,900,142.0,230.1,-768
26.538919,-80.060753,875,144.6,238.3,-1024
26.5383,-80.062193,875,144.1,245.4,-640
26.538116,-80.062763,875,142.7,249.9,-256
26.537848,-80.063817,875,140.4,255.6,192
26.537613,-80.065561,900,137.1,262.9,448
26.53743,-80.068204,925,134.1,267.9,192
26.537429,-80.072426,900,134.0,270.9,-192
26.537569,-80.076229,925,131.2,273.1,192
26.537988,-80.083307,950,126.4,274.5,0
26.53836,-80.088114,1000,127.4,274.5,448
26.538639,-80.091811,1000,128.4,274.5,0
26.538803,-80.095929,975,132.1,271.7,-256
26.538849,-80.10194,975,131.0,270.9,64
26.538872,-80.109452,975,129.0,269.1,128
26.538803,-80.114326,950,130.1,268.2,-320
26.538757,-80.119663,925,130.0,270.4,-128
26.538803,-80.1278,850,132.0,271.3,-384
26.538803,-80.128888,900,131.1,272.6,-64
26.538986,-80.131531,950,127.5,275.0,192
26.539032,-80.132204,950,126.5,275.0,1024
26.539215,-80.134226,950,123.7,276.0,576
26.539896,-80.140457,1000,120.8,276.6,192
26.540315,-80.144419,975,120.8,276.6,-192
26.540405,-80.146352,975,124.0,271.4,-128
26.540314,-80.148269,975,125.7,264.1,-64
26.540039,-80.150083,975,127.7,258.2,0
26.539431,-80.153662,950,129.7,260.7,-192
26.538965,-80.157676,900,131.9,263.5,-576
26.53862,-80.161277,900,131.9,263.5,-256
26.537895,-80.167712,900,127.9,263.3,128
26.537201,-80.175061,925,127.5,265.0,-128
26.536498,-80.185089,950,131.4,265.6,320
26.536126,-80.191375,975,128.1,267.3,320
26.536032,-80.196287,1000,129.0,270.0,384
26.536148,-80.200195,1025,127.2,273.1,64
26.53624,-80.203616,1025,128.0,269.5,256
26.536079,-80.206058,1075,127.5,265.0,256
26.535507,-80.211285,1100,126.0,262.7,256
26.534589,-80.219527,1150,122.7,263.9,320
26.53445,-80.221112,1175,118.7,263.7,768
26.534263,-80.223224,1225,113.7,263.4,832
26.533997,-80.22621,1250,112.4,264.9,448
26.533426,-80.232362,1325,116.7,263.6,192
