lat,lon,alt,gs,track,vs
21.32167,-157.908071,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.32167,-157.908071,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.32167,-157.908071,-125,0.7,0.0,0
21.32167,-157.908071,-125,0.7,0.0,0
21.32167,-157.908071,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.32167,-157.908071,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.32167,-157.908071,-125,0.7,0.0,0
21.32167,-157.908071,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.321671,-157.908042,-125,0.7,0.0,0
21.32167,-157.908071,-125,0.7,0.0,0
21.321671,-157.908042,-150,0.7,0.0,0
21.32167,-157.908071,-150,1.6,315.0,0
21.321671,-157.908092,-150,2.3,333.4,0
21.321625,-157.908192,-150,3.7,326.3,0
21.321577,-157.908223,-150,2.9,315.0,0
21.321809,-157.908427,-125,6.4,321.3,0
21.321903,-157.908529,-125,7.1,315.0,0
21.321996,-157.90858,-125,7.8,320.2,0
21.322037,-157.908641,-100,7.8,320.2,0
21.322228,-157.908783,-125,9.0,333.4,-64
21.322357,-157.908891,-125,9.5,328.0,-64
21.322554,-157.909037,-125,10.8,326.3,0
21.322632,-157.909091,-125,10.7,318.8,64
21.322834,-157.909241,-125,12.8,321.3,0
21.322952,-157.909341,-100,11.4,322.1,64
21.323135,-157.90954,-125,10.0,323.1,0
21.323299,-157.909648,-100,10.0,323.1,0
21.323532,-157.909851,-125,7.8,320.2,-64
21.323578,-157.909902,-125,4.3,315.0,0
21.323578,-157.909953,-125,1.6,315.0,0
21.323593,-157.90994,-125,0.7,0.0,64
21.323593,-157.90994,-125,0.7,0.0,0
21.323578,-157.909953,-125,1.6,315.0,0
21.323578,-157.909953,-125,0.7,0.0,0
21.323578,-157.909953,-125,1.6,315.0,0
21.323625,-157.909953,-125,2.3,333.4,0
21.323685,-157.90994,-100,6.0,0.0,64
21.323811,-157.909902,-125,11.7,20.0,0
21.32409,-157.909648,-100,11.7,20.0,0
21.324416,-157.908122,-50,48.1,93.6,960
21.32437,-157.907715,0,46.4,97.4,1600
21.32428,-157.907093,100,43.4,97.9,1216
21.324184,-157.906342,125,48.4,97.1,576
21.324097,-157.905695,150,52.5,97.7,128
21.324005,-157.905046,150,57.3,102.1,0
21.323951,-157.904917,150,60.4,106.3,128
21.323672,-157.904205,150,64.1,113.0,-128
21.323392,-157.903595,175,68.5,118.8,-64
21.323227,-157.903298,175,73.2,122.2,64
21.322694,-157.902527,200,78.0,126.1,128
21.321762,-157.901301,200,82.2,131.1,512
21.320413,-157.899729,250,87.0,132.7,64
21.31883,-157.897949,250,91.9,134.1,256
21.31762,-157.896678,300,96.9,136.2,-192
21.316549,-157.895711,275,101.4,143.0,0
21.315292,-157.894847,300,104.1,148.8,128
21.314117,-157.89406,300,102.7,144.9,0
21.313248,-157.893311,300,99.0,136.6,64
21.311966,-157.891862,325,95.6,132.0,64
21.310501,-157.890214,300,96.2,135.8,64
21.309402,-157.889216,300,98.9,141.2,64
21.308263,-157.888387,275,102.6,146.9,64
21.306656,-157.887418,300,105.2,151.0,64
21.302856,-157.885221,325,106.2,150.1,64
21.301652,-157.88442,325,104.9,145.1,64
21.300721,-157.883606,350,103.5,138.9,640
21.299973,-157.882724,350,102.6,133.0,1216
21.299469,-157.881975,375,101.0,125.7,1216
21.298553,-157.880427,400,101.4,120.9,1216
21.297958,-157.879178,375,100.2,116.1,1216
21.297226,-157.87738,375,98.2,112.1,1216
21.296906,-157.876531,350,98.1,110.3,1216
21.296811,-157.876231,350,98.1,110.3,64
