lat,lon,alt,gs,track
40.636219,-73.782471,-50.0,0.0,149.1
40.63615,-73.782471,-50.0,0.0,163.1
40.636112,-73.782479,-50.0,2.2,168.8
40.636077,-73.782479,-50.0,2.8,174.4
40.636047,-73.782486,-50.0,2.8,177.2
40.636013,-73.782501,-50.0,3.2,180.0
40.635856,-73.782541,-50.0,2.2,191.2
40.635809,-73.782557,-50.0,0.5,191.2
40.635807,-73.782562,-50.0,0.0,191.2
40.635796,-73.782562,-50.0,0.5,191.2
40.635658,-73.782639,-50.0,4.8,199.7
40.635612,-73.782669,-50.0,4.8,202.5
40.634731,-73.783371,-50.0,3.8,213.8
40.63448,-73.783249,-50.0,3.8,151.9
40.634366,-73.783009,-50.0,4.2,126.6
40.634354,-73.782978,-50.0,4.8,123.8
40.63369,-73.782349,-50.0,5.2,0.0
40.63361,-73.78244,-50.0,6.8,208.1
40.633129,-73.783127,-50.0,3.2,208.1
40.633209,-73.783279,-50.0,0.0,0.0
40.633209,-73.783279,-50.0,0.0,0.0
40.633209,-73.783295,-50.0,0.0,0.0
40.633278,-73.783432,-50.0,12.2,0.0
40.633427,-73.783768,-50.0,27.5,0.0
40.633713,-73.784348,-50.0,42.5,0.0
40.634068,-73.785141,-50.0,56.5,0.0
40.63472,-73.786575,-50.0,75.0,0.0
40.635402,-73.78805,-50.0,75.0,0.0
40.635635,-73.788549,-100,93.3,301.0
40.636659,-73.790796,-100,105.8,300.7
40.636892,-73.791421,-100,109.4,300.8
40.637787,-73.793274,-100,122.5,301.0
40.638382,-73.794617,-125,132.7,300.8
40.642105,-73.802906,-125,143.9,300.5
40.642571,-73.803968,-75,166.4,300.7
40.643417,-73.805847,0,166.4,300.7
40.644061,-73.807276,50,165.0,300.6
40.644619,-73.808462,125,163.6,300.5
40.645386,-73.810181,225,161.9,300.8
40.646255,-73.812012,325,160.5,300.7
40.647226,-73.814267,425,161.1,299.0
40.647924,-73.816077,525,160.6,297.8
40.648544,-73.817932,625,159.5,292.9
40.648956,-73.819336,725,159.0,291.4
40.649507,-73.821633,825,157.3,286.2
40.64978,-73.823059,925,157.2,284.7
40.650066,-73.824941,1025,157.2,279.5
40.650252,-73.827126,1125,156.9,276.2
40.650375,-73.828918,1200,158.5,274.7
40.650375,-73.830872,1250,160.1,271.8
40.65033,-73.832886,1300,163.1,268.6
40.650205,-73.834554,1325,167.6,265.2
40.649926,-73.836989,1375,170.8,261.6
40.649647,-73.83855,1400,174.4,257.1
40.648911,-73.841492,1450,177.1,252.6
40.648111,-73.84398,1475,181.7,246.0
40.64718,-73.846165,1525,185.2,241.6
40.646439,-73.847656,1550,188.9,237.3
40.644928,-73.850342,1600,193.4,232.8
40.64296,-73.853516,1650,197.6,230.8
40.641128,-73.856402,1700,201.7,230.2
40.639173,-73.859336,1750,206.2,228.7
40.637497,-73.861771,1800,210.2,227.1
40.635361,-73.864563,1850,214.3,225.6
40.633493,-73.867077,1900,218.5,224.8
40.63219,-73.868762,1925,221.3,224.4
40.630048,-73.871509,2025,223.5,224.3
40.627767,-73.87438,2125,225.6,224.1
40.625393,-73.877376,2200,229.9,223.8
40.623505,-73.879761,2250,234.1,223.8
40.621483,-73.882308,2325,237.7,223.6
40.620133,-73.883993,2400,237.7,223.6
40.61792,-73.88678,2500,239.1,223.6
40.615757,-73.889424,2600,241.2,223.1
40.614034,-73.891484,2700,242.2,222.0
40.612219,-73.893544,2800,243.3,220.5
40.61055,-73.895325,2900,243.2,219.0
40.608821,-73.897102,3000,242.6,217.3
40.607025,-73.898804,3100,243.0,216.6
40.60524,-73.900391,3200,244.6,214.3
40.603327,-73.902033,3300,244.7,212.6
40.601372,-73.903656,3400,245.3,212.0
40.599464,-73.905217,3500,245.3,212.0
40.597504,-73.906799,3600,245.3,212.0
40.596039,-73.90802,3675,245.3,212.0
40.594576,-73.909212,3775,245.3,212.0
40.592651,-73.910767,3875,245.6,211.7
40.590293,-73.912707,3975,245.6,211.7
40.588244,-73.91433,4075,246.5,211.6
40.586429,-73.915828,4175,246.5,211.6
40.583962,-73.917826,4275,247.8,211.6
40.582006,-73.919386,4375,248.7,211.5
40.579514,-73.921387,4475,249.2,211.7
40.577398,-73.923132,4575,250.1,211.6
40.575394,-73.924744,4675,249.5,211.4
40.573792,-73.925964,4775,249.0,211.2
40.571765,-73.927564,4875,249.0,211.2
40.569717,-73.929249,4975,249.0,211.2
40.567529,-73.930935,5075,249.9,211.1
40.565506,-73.932556,5175,249.9,211.1
40.562897,-73.934631,5275,250.4,211.3
40.560872,-73.93624,5375,251.2,211.2
40.55887,-73.937801,5475,251.2,211.2
40.556351,-73.939819,5575,252.6,211.2
40.554062,-73.94165,5675,253.1,211.4
40.551701,-73.943544,5775,253.1,211.4
40.549699,-73.945167,5875,253.7,211.6
40.547604,-73.946852,5975,254.2,211.8
40.54509,-73.948912,6075,254.7,212.0
40.54303,-73.950562,6175,255.6,211.9
40.540741,-73.952515,6275,256.1,212.1
40.538247,-73.95453,6375,256.9,212.0
40.536152,-73.956278,6475,257.5,212.1
40.534011,-73.957963,6575,257.5,212.1
40.53159,-73.959961,6675,257.5,212.1
40.529589,-73.961646,6775,257.5,212.1
40.527695,-73.963196,6875,257.5,212.1
40.525632,-73.964892,6950,258.0,212.3
40.521881,-73.968018,7150,258.0,212.3
40.518814,-73.970581,7250,259.4,212.4
40.513016,-73.975379,7450,263.8,212.3
40.507187,-73.980225,7650,266.6,212.4
40.503845,-73.983032,7775,268.0,212.5
40.50119,-73.985229,7825,271.0,212.3
40.497281,-73.988488,7875,275.2,212.5
40.494442,-73.99086,7925,279.6,212.4
40.492021,-73.992857,7950,283.2,212.5
40.489609,-73.994873,7975,286.8,212.5
40.487869,-73.996277,7975,289.9,212.3
40.485489,-73.998291,8000,294.4,212.2
40.482943,-74.000348,8025,297.1,212.4
40.481454,-74.001597,8050,299.7,212.1
40.479685,-74.003095,8100,300.2,212.2
40.477341,-74.004944,8175,301.0,212.1
40.471957,-74.009399,8375,302.7,211.9
40.465439,-74.014709,8575,305.8,211.8
40.458755,-74.020081,8775,310.3,211.7
40.455757,-74.022508,8875,310.3,211.7
40.45079,-74.026489,9075,310.6,211.4
40.446539,-74.029874,9275,310.6,211.4
40.442163,-74.033432,9450,309.2,211.4
40.437508,-74.037115,9650,309.2,211.4
40.432709,-74.040955,9850,309.2,211.4
40.426712,-74.045715,10050,309.7,211.5
40.422913,-74.048767,10175,310.8,211.9
40.414791,-74.055592,10375,315.1,213.1
40.407349,-74.062256,10575,318.8,215.0
40.400024,-74.069275,10725,323.4,217.1
40.393799,-74.075867,10850,327.0,220.4
40.389267,-74.081482,10925,329.5,224.8
40.385239,-74.087463,11000,332.0,229.6
40.38208,-74.093018,11050,333.8,234.9
40.378294,-74.100786,11100,337.5,238.6
40.373383,-74.111816,11175,345.3,240.3
40.366935,-74.126691,11275,354.6,240.6
40.359999,-74.142858,11425,364.4,240.8
40.352005,-74.161499,11575,373.0,240.6
40.345413,-74.176636,11675,381.7,240.1
40.337448,-74.194641,11825,390.7,239.9
40.333278,-74.204032,11900,393.5,239.8
40.328705,-74.214233,12025,396.7,239.6
40.318428,-74.236991,12400,399.4,239.4
40.30814,-74.259775,12775,401.7,239.5
40.297712,-74.282809,13150,403.9,239.5
40.287936,-74.304532,13500,404.8,239.6
40.276108,-74.330811,13825,410.6,239.6
40.264986,-74.355656,14175,414.5,239.7
40.253494,-74.381409,14550,416.8,239.7
40.243432,-74.403908,14950,417.6,239.8
40.233078,-74.427185,15325,419.0,239.8
40.223228,-74.449227,15600,423.1,239.6
40.212475,-74.473509,15825,427.4,241.3
40.208908,-74.483154,15900,426.8,245.1
40.206116,-74.492432,16000,424.0,249.4
40.203769,-74.502286,16125,421.6,253.9
40.202087,-74.512085,16250,419.1,258.0
40.20093,-74.521887,16350,417.1,262.0
40.199432,-74.540283,16550,416.9,264.5
40.197235,-74.569458,16925,419.2,264.1
40.194717,-74.598999,17300,421.7,263.5
40.1922,-74.62793,17675,422.6,263.6
40.189757,-74.656969,18025,422.4,263.9
40.187197,-74.689803,18350,426.1,264.3
40.185608,-74.710938,18550,427.0,264.5
40.183502,-74.739197,18925,427.1,264.4
40.182037,-74.757935,19150,428.3,264.1
40.181122,-74.76947,19250,429.4,264.0
40.17798,-74.808592,19525,435.2,264.2
40.175125,-74.844971,19800,439.3,264.1
40.17244,-74.877756,20150,440.5,263.9
40.169495,-74.913696,20450,443.6,263.8
40.166153,-74.953186,20725,446.7,263.7
40.164368,-74.974426,20875,448.7,263.7
40.162537,-74.998413,21125,447.5,265.4
40.162152,-75.010841,21250,444.1,268.8
40.162399,-75.024353,21400,441.5,272.6
40.163269,-75.03762,21525,437.6,276.3
40.164734,-75.050232,21675,434.7,279.3
40.167226,-75.065897,21875,431.2,282.5
40.17041,-75.083496,22025,431.0,283.5
40.177185,-75.119202,22325,432.9,284.0
40.178879,-75.128113,22425,432.9,284.0
40.180298,-75.135681,22525,431.7,283.9
40.181808,-75.143494,22675,430.7,284.0
40.183659,-75.153164,22875,427.6,283.9
40.186964,-75.170767,23275,422.0,283.7
40.190083,-75.187933,23675,416.5,283.5
40.193298,-75.205505,24075,410.9,283.2
40.196275,-75.22214,24475,403.6,283.2
40.199021,-75.237683,24875,398.1,282.9
40.201768,-75.253476,25250,393.3,282.5
40.203164,-75.262527,25450,393.0,280.9
40.204328,-75.27239,25600,393.3,278.5
40.205073,-75.280193,25700,395.3,276.2
40.205632,-75.288495,25800,397.2,274.5
40.205933,-75.297302,25850,400.4,272.6
40.205933,-75.308044,25900,406.1,269.0
40.205383,-75.320374,25925,412.4,265.3
40.204095,-75.333252,25950,418.6,261.5
40.200837,-75.357097,26025,425.2,259.4
40.193481,-75.407098,26125,435.0,259.0
40.185928,-75.458008,26225,444.0,259.1
40.178305,-75.50997,26300,453.0,259.2
40.170392,-75.563528,26400,460.3,259.1
40.162431,-75.617398,26450,467.4,259.1
40.158508,-75.644226,26525,470.5,259.1
40.153885,-75.67511,26725,470.7,259.0
