lat,lon,alt,gs,track
41.91368,-71.459422,3050,0.0,0.0
41.916321,-71.460384,3100,68.2,345.6
41.919434,-71.461133,3200,68.9,346.6
41.923141,-71.462257,3300,65.7,346.8
41.923645,-71.462569,3300,65.6,338.5
41.924561,-71.46338,3350,67.6,321.6
41.924835,-71.46388,3350,67.9,312.6
41.925339,-71.465253,3400,70.3,299.9
41.92543,-71.46569,3400,72.7,288.4
41.92543,-71.468249,3500,73.0,283.5
41.923737,-71.471433,3625,76.9,257.2
41.920898,-71.473555,3700,83.2,212.7
41.919708,-71.474491,3725,88.0,211.5
41.915314,-71.478549,3850,88.5,214.4
41.913895,-71.479922,3900,87.7,214.8
41.900665,-71.486976,4300,0.0,0.0
41.898972,-71.484541,4400,89.4,121.7
41.89856,-71.482045,4475,88.1,116.3
41.898743,-71.480671,4525,78.0,88.5
41.899017,-71.47986,4550,71.5,69.5
41.899155,-71.479548,4550,69.8,60.9
41.899521,-71.478861,4600,68.2,55.2
41.900436,-71.477176,4650,65.6,52.4
41.901398,-71.475677,4725,65.2,48.7
41.903229,-71.472868,4825,68.1,49.8
41.904785,-71.470247,4925,68.4,52.1
41.905792,-71.468624,5000,66.7,49.9
41.906662,-71.46725,5100,65.9,48.1
41.907166,-71.466564,5125,66.5,47.4
41.908813,-71.464192,5225,67.9,45.0
41.909363,-71.463568,5225,66.6,41.3
41.909866,-71.463193,5250,65.2,35.6
41.910278,-71.462881,5250,64.4,27.8
41.910873,-71.462631,5275,62.3,18.7
41.911377,-71.462506,5300,61.8,9.3
41.911789,-71.462506,5325,62.3,5.5
41.912338,-71.462569,5350,60.1,356.2
41.913116,-71.462881,5400,59.2,344.3
41.913849,-71.463318,5450,59.5,335.2
41.915726,-71.464566,5550,60.4,335.6
41.917648,-71.465752,5625,61.3,333.9
41.919571,-71.467063,5700,59.1,331.7
41.921082,-71.468249,5775,61.3,331.8
41.921768,-71.468624,5800,63.3,338.7
41.922134,-71.468749,5800,62.9,342.4
41.922821,-71.468749,5825,64.1,356.4
41.923325,-71.468624,5825,64.5,12.5
41.92392,-71.468187,5850,65.4,23.4
41.924332,-71.467625,5875,66.3,33.9
41.924515,-71.467438,5900,67.2,46.8
41.924835,-71.466501,5925,68.1,60.0
41.924973,-71.465752,5950,70.5,71.8
41.924973,-71.465253,5975,73.8,81.4
41.924973,-71.464192,6000,77.0,90.7
41.924927,-71.464005,6000,79.6,97.2
41.924789,-71.462881,6000,82.2,103.4
41.924469,-71.461757,6000,88.3,109.9
41.924149,-71.460759,6000,93.1,118.2
41.923508,-71.45976,6000,97.1,124.5
41.922821,-71.458886,6025,99.7,136.2
41.922043,-71.458199,6050,101.8,144.6
41.921219,-71.457637,6075,102.4,153.9
41.920303,-71.457325,6100,101.5,161.0
41.919937,-71.457263,6100,101.0,168.6
41.919022,-71.457263,6125,100.2,176.0
41.918015,-71.457325,6150,99.2,184.0
41.917053,-71.457575,6175,98.8,191.1
