lat,lon,alt,gs,track,vs
21.322415,-157.917582,-75,90.0,53.1,896
21.322927,-157.91687,-25,93.6,53.2,1472
21.323951,-157.915446,75,95.0,53.1,1600
21.324975,-157.914022,175,95.8,53.5,1728
21.325653,-157.912986,250,96.3,55.2,1472
21.326744,-157.911224,325,101.0,56.3,1152
21.327576,-157.90974,425,103.8,62.5,1472
21.327896,-157.908991,450,105.3,67.1,1344
21.328141,-157.90802,500,107.9,76.6,1408
21.328217,-157.907193,525,110.7,83.8,1280
21.328234,-157.906138,575,114.1,92.5,1280
21.328033,-157.905046,625,117.7,99.8,1344
21.327861,-157.904307,650,122.1,108.1,1664
21.327489,-157.903392,700,126.7,113.7,1344
21.326797,-157.9021,750,131.4,120.7,1152
21.326092,-157.901052,800,135.4,127.8,1472
21.32515,-157.900052,850,139.3,135.9,1664
21.323822,-157.898904,925,142.4,141.8,1664
21.321716,-157.897186,1025,146.6,143.6,1408
21.321213,-157.896806,1050,147.4,143.8,1984
21.31929,-157.895408,1150,149.8,145.9,1984
21.317946,-157.89444,1250,149.8,145.9,1856
21.31604,-157.893061,1350,150.9,146.6,1984
21.314255,-157.891862,1450,151.2,147.1,1984
21.312313,-157.890523,1550,152.6,147.0,1792
21.310264,-157.88915,1650,152.9,147.6,1984
21.308356,-157.887828,1750,153.4,147.2,1792
21.306168,-157.886302,1850,155.0,146.3,1664
21.304259,-157.884928,1950,155.3,145.5,1728
21.302257,-157.883403,2050,156.8,144.1,1792
21.300476,-157.881975,2150,157.2,143.3,1920
21.298766,-157.880605,2250,157.6,142.5,2240
21.297183,-157.879232,2350,157.9,141.2,2240
21.295395,-157.87773,2450,157.9,141.2,2048
21.293971,-157.876485,2550,159.3,141.1,1920
21.293366,-157.875977,2575,159.3,141.1,2176
21.292435,-157.875214,2650,159.5,141.6,2624
21.291038,-157.874044,2750,159.8,142.6,2432
21.289363,-157.872721,2850,161.2,142.6,2304
21.288199,-157.871704,2925,162.0,142.8,1856
21.287081,-157.870839,2975,162.2,143.3,2304
21.285828,-157.86984,3075,160.8,143.3,2496
21.284475,-157.868805,3175,159.8,144.4,2752
21.283081,-157.867742,3275,157.3,145.1,3072
21.282028,-157.866993,3375,153.4,145.9,3456
21.28103,-157.866262,3475,152.0,146.0,3584
21.280014,-157.865545,3575,149.2,146.2,3648
21.279236,-157.864996,3675,147.3,146.6,3712
21.278091,-157.864197,3775,146.2,147.3,3584
21.277212,-157.863617,3875,144.8,147.4,3136
21.276002,-157.862803,3975,142.9,147.9,3008
21.27507,-157.862149,4075,140.7,147.8,3072
21.273743,-157.8613,4175,139.3,147.9,2752
21.272644,-157.860551,4275,138.8,148.3,2560
21.271393,-157.859751,4375,138.8,148.3,2368
21.269669,-157.858604,4475,140.7,147.8,1920
21.268112,-157.857555,4575,141.7,147.1,1856
21.266179,-157.85614,4675,144.2,146.3,1472
21.264597,-157.855021,4725,148.1,145.4,1088
21.263306,-157.854009,4750,152.6,144.3,768
21.262176,-157.853139,4775,155.8,143.4,448
21.260779,-157.85202,4800,160.4,142.3,320
21.259506,-157.850963,4800,164.5,141.7,128
21.258041,-157.849715,4800,168.7,141.5,0
21.256943,-157.848716,4825,172.7,140.9,128
21.25524,-157.847239,4825,177.0,140.7,64
21.253189,-157.84552,4825,181.3,141.0,-192
21.252411,-157.844821,4825,185.5,140.9,-256
21.250076,-157.842823,4825,189.9,141.2,192
21.247745,-157.840881,4825,194.4,141.9,-128
21.245883,-157.839305,4825,198.8,142.1,-128
21.242624,-157.836609,4825,203.2,142.4,64
21.22728,-157.824197,4825,205.6,142.9,128
21.219953,-157.818298,4825,203.1,144.8,128
21.2173,-157.816506,4825,204.4,149.4,-64
21.215057,-157.815358,4825,206.0,156.6,64
21.212494,-157.814409,4825,208.5,163.6,-384
21.210205,-157.813859,4825,211.3,169.9,-320
21.207458,-157.81356,4800,213.5,176.0,-512
21.204591,-157.813619,4775,215.2,182.4,-384
21.199265,-157.814159,4725,216.2,186.1,-640
21.190811,-157.814941,4650,215.9,185.3,-576
21.183105,-157.815907,4575,217.1,187.9,-512
21.17894,-157.816656,4525,218.9,192.1,-512
21.176147,-157.817505,4500,220.1,197.4,-512
21.173309,-157.818703,4475,222.2,203.3,-704
21.169968,-157.820451,4425,224.1,207.4,-768
21.164886,-157.823597,4350,226.0,210.9,-832
21.159485,-157.827093,4250,226.7,211.7,-768
21.155228,-157.830089,4200,228.9,215.2,-832
21.152756,-157.832187,4150,231.0,221.1,-704
21.150375,-157.834833,4125,232.8,227.3,-576
21.148636,-157.83723,4075,234.2,234.2,-896
21.147006,-157.840118,4050,235.1,240.7,-576
21.14502,-157.844421,4000,235.8,245.2,-960
21.142397,-157.851003,3900,237.3,248.0,-832
21.139435,-157.858953,3800,238.1,248.8,-832
21.136734,-157.866494,3700,239.0,248.9,-768
21.13385,-157.874434,3600,239.9,249.0,-768
21.131058,-157.882224,3500,240.2,249.5,-768
21.128265,-157.890214,3400,240.2,249.5,-768
21.125336,-157.898704,3300,239.2,249.4,-768
21.122473,-157.906799,3200,237.9,249.6,-768
21.119888,-157.914135,3100,236.7,249.7,-832
21.117492,-157.921295,3025,236.2,251.5,-832
21.116514,-157.92511,2975,235.7,256.3,-768
21.115955,-157.928569,2950,234.3,261.9,-704
21.115397,-157.93457,2875,233.6,265.8,-768
21.114978,-157.942861,2775,233.2,267.5,-768
21.11467,-157.950789,2675,233.2,267.8,-896
21.114349,-157.959778,2575,232.2,267.8,-768
21.114047,-157.96814,2475,231.2,267.8,-768
21.113754,-157.976008,2375,232.2,267.5,-832
21.113434,-157.984747,2275,231.1,268.3,-832
21.113488,-157.989197,2225,230.3,272.7,-896
21.113861,-157.99235,2200,228.9,279.0,-576
21.114532,-157.995284,2175,226.1,285.4,-704
21.11549,-157.998098,2125,224.3,292.0,-832
21.116607,-158.000488,2100,221.4,297.7,-640
21.118097,-158.003031,2075,218.8,304.2,-768
21.120192,-158.005931,2025,216.3,308.6,-832
21.12345,-158.009949,1950,214.5,312.2,-832
21.128586,-158.015758,1850,214.3,313.7,-832
21.133785,-158.021495,1750,215.0,313.9,-896
21.138382,-158.026595,1650,214.3,314.0,-832
21.143234,-158.031938,1550,213.6,314.2,-768
21.149872,-158.039179,1450,213.6,314.6,-896
21.152939,-158.042525,1375,213.6,314.6,-896
21.157247,-158.047231,1350,212.9,314.0,-320
21.167908,-158.05898,1325,210.8,313.9,0
21.171166,-158.061879,1325,205.0,323.1,64
21.173075,-158.063151,1325,202.1,330.0,64
21.175589,-158.064423,1325,200.8,332.4,128
21.177063,-158.064947,1350,195.7,341.8,64
21.179123,-158.065446,1350,192.6,348.9,0
21.18341,-158.065694,1350,192.6,348.9,0
21.185784,-158.065389,1350,183.3,9.1,0
21.190201,-158.064398,1325,183.4,11.0,-192
21.19249,-158.063748,1325,182.2,14.9,-128
21.202589,-158.060659,1325,181.0,16.0,-256
21.218417,-158.055827,1325,180.8,15.7,0
21.22998,-158.052313,1325,180.9,17.0,-128
21.232956,-158.051164,1325,179.8,20.9,64
21.235036,-158.050181,1325,178.4,26.3,-128
21.238295,-158.047841,1325,175.7,38.8,-128
21.239502,-158.04657,1325,174.7,45.7,0
21.240902,-158.04479,1325,173.5,51.1,-128
21.24202,-158.043024,1325,172.9,58.2,192
21.243229,-158.040517,1325,172.2,63.4,-64
21.245087,-158.036083,1325,172.9,66.8,128
21.248443,-158.027445,1325,172.3,65.7,256
21.250538,-158.02302,1325,173.5,62.5,-64
21.253983,-158.016205,1325,173.3,60.6,-128
21.25882,-158.007419,1325,172.7,59.0,-64
21.26088,-158.003923,1325,172.8,55.8,-128
21.262711,-158.001376,1325,172.9,51.3,64
21.269897,-157.991788,1325,169.0,52.5,0
21.271957,-157.988942,1325,164.8,52.6,320
21.273697,-157.986495,1325,159.8,52.6,-64
21.274155,-157.985895,1325,159.2,52.9,-448
21.276793,-157.982127,1250,154.4,53.4,-704
21.277588,-157.980951,1225,152.2,53.3,-1152
21.278981,-157.979024,1175,149.2,52.9,-896
21.280564,-157.976837,1125,144.8,52.6,-960
21.282532,-157.97406,1050,140.0,53.1,-896
21.284134,-157.971813,1000,135.0,53.1,-704
21.285507,-157.969815,950,130.0,53.1,-832
21.286743,-157.968117,900,125.6,52.8,-832
21.287966,-157.96641,875,121.8,52.0,-512
21.289536,-157.964222,800,117.0,52.6,-768
21.29048,-157.96285,775,112.2,53.3,-576
21.292236,-157.960377,725,107.2,53.3,-576
21.294763,-157.956797,650,102.2,53.3,-384
21.295414,-157.955831,625,101.4,53.0,-768
21.296997,-157.953644,550,96.4,53.0,-384
21.298279,-157.951838,500,91.4,53.0,-512
21.300339,-157.949041,425,87.6,52.0,-576
21.302536,-157.945845,350,90.8,53.5,-256
21.304871,-157.942599,275,95.4,51.8,-576
21.307205,-157.939303,200,93.6,53.2,-512
21.309402,-157.936057,125,93.0,53.8,-448
21.312103,-157.932212,50,90.6,52.6,-512
21.314221,-157.92923,-25,88.0,53.8,-384
21.316642,-157.925771,-100,84.8,52.2,-640
21.320459,-157.920392,-125,44.5,53.4,-576
21.320812,-157.919865,-125,40.5,56.2,-576
21.321332,-157.919108,-125,35.5,53.4,-576
21.321937,-157.918256,-125,28.5,53.4,-576
21.322135,-157.917976,-125,27.5,53.4,-576
21.322554,-157.91748,-75,84.2,52.7,640
21.323066,-157.916768,-25,86.8,51.5,896
21.323625,-157.916005,25,87.0,52.5,1472
21.324835,-157.914378,125,88.2,51.4,1792
21.324966,-157.914235,125,88.2,51.4,1664
21.32515,-157.913935,150,89.6,51.3,1088
21.326418,-157.912242,250,90.9,50.4,1536
21.327349,-157.911021,350,93.9,51.0,1536
21.328079,-157.90999,400,98.2,56.6,1536
21.328537,-157.908991,450,102.0,63.2,1408
21.328932,-157.907969,500,105.6,71.2,1344
21.329132,-157.907093,525,107.9,79.3,1280
21.329178,-157.905995,575,110.0,89.5,1408
21.329086,-157.904896,625,111.5,95.7,1344
21.328857,-157.903947,675,113.3,105.9,1408
21.328445,-157.902899,725,115.9,115.0,1664
21.327896,-157.9019,775,119.3,123.0,1664
21.327023,-157.900696,825,124.2,130.1,1280
21.326232,-157.899882,875,128.8,137.5,1536
21.325012,-157.898904,925,132.1,144.9,1344
21.323044,-157.897555,1000,134.0,147.5,1664
21.321949,-157.896779,1075,134.5,147.1,1792
21.320227,-157.89566,1175,134.3,148.1,1920
21.318604,-157.894559,1275,134.1,149.0,1792
21.317001,-157.89356,1375,134.0,150.0,2240
21.315674,-157.892811,1475,133.5,150.4,2368
21.314392,-157.892012,1575,131.7,149.9,2240
21.313568,-157.891513,1625,132.2,149.6,1792
21.311783,-157.890314,1725,131.8,147.4,1536
21.309845,-157.888896,1825,131.8,144.3,1856
21.308449,-157.887777,1925,131.4,143.0,2048
21.306839,-157.886469,2025,131.8,142.1,2112
21.305563,-157.885386,2125,131.8,142.1,1664
21.304026,-157.884064,2225,133.7,141.1,1792
21.302257,-157.882589,2325,134.3,140.7,1664
21.300442,-157.880961,2425,135.7,140.7,1536
21.298782,-157.879578,2525,136.7,141.5,1728
21.297044,-157.878113,2625,137.6,142.4,1536
21.295349,-157.876731,2725,137.0,142.7,1920
21.293878,-157.87557,2825,136.2,144.6,2112
21.292435,-157.874502,2925,135.7,144.9,2112
21.290909,-157.873385,3025,135.6,146.4,2048
21.289124,-157.872137,3125,135.1,146.8,1856
21.287407,-157.870941,3225,135.1,146.8,1920
21.285782,-157.86984,3325,134.5,147.1,2048
21.284335,-157.868856,3425,134.5,147.1,1920
21.282715,-157.867742,3525,135.4,147.4,1920
21.281158,-157.866644,3625,135.1,146.8,1984
21.279694,-157.865595,3725,134.8,146.2,1984
21.278137,-157.864446,3825,134.5,145.6,1920
21.276468,-157.86321,3925,133.5,144.8,2112
21.275164,-157.862193,4025,132.6,144.5,1984
21.273581,-157.860972,4125,131.6,143.6,2048
21.272324,-157.859955,4225,130.8,143.4,2112
21.270881,-157.858785,4325,128.8,141.6,2176
21.269577,-157.857605,4425,127.4,137.5,2112
21.268478,-157.856307,4525,124.2,130.1,2048
21.267517,-157.854958,4625,123.1,124.1,2048
21.266692,-157.853444,4725,120.9,119.7,2048
21.265761,-157.851664,4825,120.4,118.3,1920
21.265016,-157.850189,4925,120.8,118.7,1792
21.264085,-157.848409,5025,121.8,119.5,1728
21.263014,-157.846375,5125,122.8,120.3,1728
21.26207,-157.844671,5225,123.3,120.7,1664
21.260925,-157.842674,5325,123.0,121.4,1856
21.260128,-157.841288,5425,123.5,121.8,1984
21.259186,-157.839677,5525,123.0,121.4,1920
21.258179,-157.83788,5625,123.0,121.4,1792
21.257148,-157.836049,5725,123.0,121.4,1792
21.256165,-157.834334,5825,123.8,121.1,1792
21.2551,-157.832489,5925,124.7,120.9,1664
21.254059,-157.830639,6025,125.2,121.3,1664
21.252912,-157.828674,6125,126.6,121.4,1536
21.251748,-157.82664,6225,127.4,121.2,1408
21.250445,-157.824351,6325,128.8,121.3,1600
21.249281,-157.822266,6425,129.3,121.7,1536
21.248164,-157.820282,6525,130.2,121.5,1600
21.246964,-157.818304,6625,130.2,121.5,1600
21.245773,-157.816206,6725,130.2,121.5,1600
21.244583,-157.814109,6825,130.2,121.5,1664
21.243555,-157.812297,6925,129.7,121.1,1664
21.241367,-157.808431,7125,129.7,121.1,1664
21.23909,-157.804371,7300,131.9,121.0,1536
21.236801,-157.800376,7500,133.3,121.2,1600
21.234477,-157.796326,7675,134.6,121.3,1472
21.23215,-157.792206,7875,135.5,121.1,1536
21.229822,-157.788035,8050,137.7,121.0,1344
21.227234,-157.783497,8225,139.9,121.0,1408
21.22467,-157.778953,8400,142.7,121.2,1472
21.222015,-157.774309,8575,144.9,121.2,1344
21.219681,-157.770214,8700,149.0,121.6,896
21.218044,-157.767283,8775,153.5,121.4,448
21.216843,-157.76527,8775,158.5,121.6,192
21.21581,-157.763418,8800,162.9,121.4,128
21.214507,-157.761129,8800,167.4,121.3,64
21.213318,-157.759078,8800,172.4,121.5,64
21.212179,-157.75706,8800,176.0,121.5,0
21.211015,-157.755076,8800,180.4,121.4,0
21.209747,-157.752835,8800,184.9,121.3,0
21.208548,-157.750702,8800,189.3,121.2,0
21.207058,-157.748057,8800,193.5,121.5,0
21.205429,-157.74526,8800,198.4,121.6,0
21.203474,-157.741852,8800,203.2,121.1,0
21.201324,-157.738104,8800,207.3,121.4,0
21.198898,-157.733809,8800,211.5,121.7,-64
21.195282,-157.727467,8800,216.3,121.2,0
