lat,lon,alt,gs,track,vs
40.077194,-75.020329,200,90.5,224.1,1152
40.076589,-75.021078,300,92.8,221.9,960
40.075611,-75.022077,300,93.0,220.2,1216
40.074646,-75.022827,400,95.3,208.2,1088
40.073609,-75.02345,400,95.5,202.8,1088
40.072632,-75.023804,400,97.3,194.9,896
40.072083,-75.023926,500,97.9,191.2,896
40.071213,-75.023987,500,99.2,184.0,896
40.070165,-75.023949,500,100.4,174.9,704
40.069336,-75.023743,500,102.2,168.1,704
40.069047,-75.023637,600,103.1,166.0,704
40.068237,-75.023254,600,105.3,160.0,704
40.067322,-75.022705,600,107.8,153.0,832
40.065948,-75.021667,700,109.8,146.9,832
40.064532,-75.020266,700,111.7,141.2,704
40.063248,-75.018738,700,112.5,136.1,704
40.06192,-75.016968,800,113.9,133.9,320
40.060089,-75.014282,800,116.3,130.8,448
40.058441,-75.011597,800,120.0,126.9,512
40.058108,-75.011028,900,120.0,126.9,512
40.055923,-75.007019,1000,124.3,124.8,832
40.053732,-75.002851,1000,129.0,123.9,832
40.052102,-74.999667,1100,134.0,124.1,384
40.051346,-74.998169,1100,134.0,124.1,384
40.051208,-74.997864,1100,134.0,124.1,960
40.049927,-74.995483,1200,134.8,123.8,960
40.047775,-74.991516,1300,133.8,126.2,1024
40.046982,-74.990054,1300,134.2,127.1,1024
40.046842,-74.989804,1300,134.2,127.1,448
40.044002,-74.984748,1400,137.9,125.0,512
40.041535,-74.980441,1400,141.0,128.1,512
40.039993,-74.977844,1500,142.4,128.2,704
40.037159,-74.97345,1500,144.6,131.1,448
40.0345,-74.969666,1500,146.4,134.2,256
40.031616,-74.966003,1600,145.0,137.0,192
40.023972,-74.956726,1700,144.4,137.8,320
40.020819,-74.9531,1700,148.2,139.1,576
40.014267,-74.945984,1800,152.6,140.1,320
40.014038,-74.94574,1700,152.4,139.0,320
40.011602,-74.942988,1800,154.0,140.0,-64
40.011369,-74.942738,1700,154.0,140.0,-64
40.010605,-74.941895,1800,152.9,141.1,-64
40.006119,-74.937439,1800,152.8,143.0,-64
40.000243,-74.931876,1800,154.6,143.9,128
39.997217,-74.929005,1900,154.6,143.9,576
39.991677,-74.923574,2000,156.4,143.1,576
39.986938,-74.918884,2100,156.4,143.1,640
39.983139,-74.915283,2000,158.7,145.0,640
39.980505,-74.91315,2000,159.7,149.1,640
39.978177,-74.911527,2000,160.1,154.1,640
39.975861,-74.910156,2100,159.8,156.0,640
39.973434,-74.908752,2100,159.9,156.8,640
39.97301,-74.90853,2100,159.9,156.8,-128
39.96904,-74.90625,2000,161.8,157.1,-128
39.965562,-74.904348,2100,162.9,158.0,192
39.962906,-74.902954,2100,164.9,159.0,192
39.962631,-74.902832,2100,164.9,159.0,704
39.956635,-74.899902,2200,161.8,159.0,576
39.953179,-74.898168,2200,160.7,160.0,192
39.942937,-74.893362,2200,165.1,160.9,320
39.937118,-74.890927,2300,164.1,161.9,256
39.929344,-74.887869,2300,161.0,163.0,192
39.921158,-74.884723,2200,163.2,162.9,192
39.915984,-74.882812,2200,166.6,165.1,192
39.911794,-74.881592,2200,165.5,168.1,192
39.90802,-74.880782,2200,165.6,172.0,192
39.904037,-74.880245,2200,166.4,175.9,320
39.899504,-74.880005,2200,168.0,179.0,384
39.89534,-74.879947,2300,166.0,180.0,512
39.888702,-74.880066,2300,162.1,182.1,192
39.880646,-74.880603,2300,160.4,183.9,-128
39.877075,-74.881141,2300,162.2,187.1,-128
