lat,lon,alt,gs,track,vs
27.935113,-82.687384,475,84.0,269.3,-768
27.934974,-82.688229,450,84.2,265.9,-704
27.934799,-82.689013,400,83.4,259.6,-832
27.93457,-82.689583,375,81.5,246.9,-1024
27.934113,-82.690412,350,79.4,238.9,-1088
27.933563,-82.690982,325,78.4,232.2,-960
27.933243,-82.691242,300,75.9,220.2,-960
27.932648,-82.691553,275,73.4,207.6,-960
27.93219,-82.691708,250,72.1,196.9,-960
27.931762,-82.691768,225,71.6,192.1,-1024
27.931063,-82.691821,200,71.1,183.2,-640
27.930038,-82.69176,175,72.0,178.4,-640
27.929294,-82.691715,150,72.1,176.8,-640
27.928619,-82.691656,75,73.2,176.1,-1280
27.927383,-82.691397,25,75.0,170.8,-896
27.926175,-82.691187,-25,74.2,169.9,-768
27.923126,-82.69062,-125,74.2,169.9,-768
27.923103,-82.690606,-125,74.2,169.9,-768
27.913605,-82.676783,250,76.8,38.7,896
27.915344,-82.675488,350,61.9,34.5,1088
27.917267,-82.673985,400,65.5,34.4,512
27.918365,-82.673104,425,69.6,35.1,384
27.920425,-82.671394,525,68.6,36.7,576
27.923218,-82.669373,650,66.4,37.0,736
27.92363,-82.669165,675,68.5,25.1,744
27.924454,-82.668854,700,70.5,18.2,720
27.925323,-82.668647,725,72.6,11.9,760
27.926605,-82.668492,775,76.5,6.8,752
27.927704,-82.66844,800,79.0,0.7,656
27.928848,-82.668543,825,81.3,355.1,640
27.930496,-82.668906,875,82.0,350.9,624
27.931458,-82.669165,900,86.6,346.0,624
27.932968,-82.669683,925,90.4,342.0,576
27.93425,-82.670254,950,93.6,340.0,608
27.935577,-82.670979,975,97.6,335.8,576
27.937683,-82.672171,1000,102.0,331.9,512
27.941483,-82.674602,1100,104.8,330.3,456
27.94519,-82.676978,1200,103.4,330.5,552
27.948898,-82.67925,1275,104.7,331.5,616
27.952652,-82.681574,1375,104.3,330.7,568
27.956451,-82.684003,1450,104.3,330.7,560
27.960114,-82.686327,1525,104.3,330.7,600
27.963684,-82.688546,1625,105.2,331.0,592
27.967712,-82.691028,1700,105.2,331.0,600
27.971649,-82.693405,1775,105.1,332.2,552
27.975494,-82.695676,1875,106.0,332.5,552
27.979248,-82.697895,1950,106.5,332.0,552
27.983368,-82.700272,2050,105.5,333.0,576
27.987305,-82.702543,2125,106.0,332.5,600
27.991287,-82.704867,2200,105.1,332.2,544
27.995087,-82.707191,2275,106.5,332.0,536
27.998978,-82.709462,2350,106.4,333.2,480
28.002869,-82.711575,2425,106.0,333.7,496
28.008133,-82.71448,2475,110.9,334.4,416
28.012619,-82.71691,2550,110.9,334.4,328
28.016968,-82.719286,2625,111.8,334.6,400
28.020905,-82.721346,2700,110.9,334.4,464
28.025299,-82.723723,2775,109.1,333.9,464
28.029236,-82.725994,2850,108.2,332.5,512
28.033081,-82.728318,2950,105.1,332.2,584
28.036835,-82.730484,3025,102.4,332.7,624
28.039993,-82.732333,3125,98.8,332.9,664
28.042969,-82.733917,3200,96.7,335.6,656
28.046585,-82.735607,3300,94.2,337.5,624
28.050201,-82.73735,3375,91.2,338.8,616
28.053543,-82.738724,3450,90.5,340.0,584
28.057022,-82.740097,3525,89.2,340.4,528
28.061096,-82.741787,3600,90.5,340.0,464
28.066406,-82.7439,3675,91.1,340.8,344
28.070801,-82.745696,3750,91.4,340.2,376
28.07579,-82.747703,3825,92.7,339.8,392
28.080322,-82.749499,3900,93.0,341.2,392
28.084671,-82.751136,3975,92.7,341.8,432
28.08934,-82.752879,4050,93.9,341.4,408
28.092957,-82.754305,4125,93.3,340.6,448
28.097946,-82.756418,4200,94.0,339.4,424
28.102478,-82.758267,4275,94.2,340.8,416
28.106964,-82.76001,4350,95.5,340.4,400
28.111771,-82.761858,4375,100.2,341.4,320
28.117447,-82.76413,4425,101.5,341.0,232
28.124313,-82.766718,4450,104.0,342.1,176
28.130814,-82.769095,4450,103.7,340.9,72
28.135391,-82.770943,4450,99.0,339.9,0
28.140793,-82.773214,4400,98.4,339.2,-184
28.146149,-82.77538,4400,102.8,340.7,-120
28.14949,-82.776595,4400,102.5,343.0,-80
28.157959,-82.779553,4425,103.1,341.9,80
28.166656,-82.782775,4425,105.6,341.2,0
28.175812,-82.786155,4425,109.4,341.9,0
28.185608,-82.789852,4425,110.1,340.9,-48
28.195267,-82.793655,4400,112.3,340.8,0
28.201172,-82.795927,4400,111.6,341.7,16
28.210876,-82.799624,4400,112.3,340.8,0
