lat,lon,alt,gs,track
37.234621,-109.069997,40000,351.7,248.8
37.222961,-109.107796,40000,352.7,248.9
37.211197,-109.145956,40000,353.6,248.9
37.199614,-109.183562,40000,353.6,248.9
37.187897,-109.221341,40000,352.7,248.9
37.176431,-109.258376,40000,353.0,248.7
37.164839,-109.295694,40000,353.0,248.7
37.153155,-109.333251,40000,351.7,248.8
37.141617,-109.370533,40000,350.8,248.8
37.129852,-109.408342,40000,351.7,248.8
37.118317,-109.445509,40000,351.7,248.8
37.106827,-109.482324,40000,352.1,248.7
37.095011,-109.520018,40000,352.1,248.7
37.08314,-109.557873,40000,351.2,248.6
37.071549,-109.594892,40000,352.1,248.7
37.05986,-109.632159,40000,352.1,248.7
37.048141,-109.66956,40000,351.2,248.6
37.036262,-109.707443,40000,350.2,248.6
37.024567,-109.744477,40000,351.2,248.6
37.012846,-109.7816,39975,350.6,248.4
37.001129,-109.818635,40000,350.2,248.6
36.989617,-109.85528,40000,350.6,248.4
36.977699,-109.892897,40000,351.5,248.5
36.965881,-109.930076,40000,352.8,248.4
36.954004,-109.967472,40000,353.8,248.4
36.942032,-110.00511,40025,353.8,248.4
36.930123,-110.042585,39975,356.0,248.4
36.917862,-110.080904,40000,357.3,248.3
36.905683,-110.119072,40000,358.6,248.2
36.89344,-110.157225,40000,360.4,248.4
36.881383,-110.19508,40000,360.4,248.4
36.869233,-110.233114,40000,358.2,248.4
36.857162,-110.270827,40000,357.6,248.2
36.844894,-110.308971,40000,356.4,248.3
36.832969,-110.346037,40000,355.4,248.2
36.820772,-110.383905,40000,354.5,248.1
36.80864,-110.421581,40000,354.5,248.1
36.796646,-110.458603,40000,353.6,248.1
36.784368,-110.496573,40000,354.9,248.0
36.772218,-110.53409,40000,355.4,248.2
36.760254,-110.570984,40000,353.9,247.9
36.748197,-110.608131,40000,353.6,248.1
36.73613,-110.64537,40000,355.8,248.1
36.724083,-110.682406,40025,357.1,248.0
36.71196,-110.719585,40000,359.3,247.9
36.699875,-110.756664,40000,359.3,247.9
36.687679,-110.79408,40000,360.3,248.0
36.675201,-110.832138,40025,359.3,247.9
36.663006,-110.86929,40000,358.4,247.9
36.650894,-110.906467,39975,357.1,248.0
36.638846,-110.943097,40000,356.5,247.8
36.626509,-110.980673,40000,357.5,247.8
36.614319,-111.017647,40000,356.5,247.8
36.601883,-111.055356,40000,357.5,247.8
36.589691,-111.092377,40000,357.5,247.8
36.57735,-111.129689,40000,356.5,247.8
36.564972,-111.167336,39975,356.5,247.8
36.552771,-111.204198,40000,356.5,247.8
36.540155,-111.242065,40000,358.2,247.5
36.527847,-111.279202,40025,360.1,247.6
36.515121,-111.317425,40000,361.0,247.7
36.502587,-111.355201,40025,363.6,247.5
36.489785,-111.393595,40000,366.8,247.6
36.47689,-111.432164,40000,369.0,247.5
36.463852,-111.471119,40000,369.4,247.4
36.457123,-111.491833,40000,367.2,249.1
36.450169,-111.516198,39975,366.5,250.7
36.43895,-111.555061,40000,364.7,250.1
36.427545,-111.593686,40000,364.5,249.8
36.416047,-111.632431,40000,364.5,249.8
36.404409,-111.671526,40000,363.5,249.7
36.39305,-111.709861,40000,363.2,249.9
36.381551,-111.748488,40000,363.2,249.9
36.3701,-111.787116,40000,363.2,249.9
36.358704,-111.825428,40000,362.3,249.8
36.347214,-111.863823,40000,361.3,249.8
36.335678,-111.902561,40000,361.3,249.8
36.324385,-111.94034,40000,361.3,249.8
36.312887,-111.978617,40000,360.4,249.7
36.301575,-112.016426,40000,359.4,249.6
36.290263,-112.054177,40000,359.4,249.6
36.278811,-112.092279,40000,359.4,249.6
36.267426,-112.130184,40000,358.5,249.6
36.256027,-112.168064,40000,357.6,249.5
36.244781,-112.205356,40000,356.3,249.6
36.233376,-112.243165,40000,356.6,249.5
36.222157,-112.280157,40000,356.6,249.5
36.210565,-112.318317,40000,356.6,249.5
36.199113,-112.356126,40000,357.6,249.5
36.187546,-112.394199,40000,357.6,249.5
36.176193,-112.431622,40000,357.9,249.4
36.164566,-112.469788,40000,357.0,249.3
36.15303,-112.507553,40000,357.9,249.4
36.141495,-112.545376,40000,357.9,249.4
36.129822,-112.583599,40000,358.3,249.2
36.11824,-112.621422,40000,358.3,249.2
36.106614,-112.65936,40000,357.0,249.3
36.095215,-112.696552,40000,357.0,249.3
36.083571,-112.734453,40000,357.0,249.3
36.072072,-112.771795,40000,358.3,249.2
36.060294,-112.810013,40000,358.3,249.2
36.048706,-112.847672,40000,358.3,249.2
36.036925,-112.88569,40000,358.6,249.1
36.025241,-112.9235,40000,358.6,249.1
36.013596,-112.961197,40000,360.5,249.2
36.001918,-112.998943,40000,359.9,249.0
35.990001,-113.03722,40000,359.9,249.0
35.978302,-113.074951,40000,359.9,249.0
35.966538,-113.112722,40000,360.8,249.1
35.954667,-113.150706,40000,361.2,248.9
35.942871,-113.188419,40000,360.8,249.1
35.931061,-113.226357,40000,361.2,248.9
35.919148,-113.264485,40000,361.2,248.9
35.907303,-113.302231,40000,360.3,248.9
35.895401,-113.340111,40000,361.2,248.9
35.883536,-113.377854,40000,361.6,248.8
35.871643,-113.415642,40000,362.1,249.0
35.859787,-113.453293,40000,362.5,248.8
35.847794,-113.491344,40000,362.5,248.8
35.835709,-113.529739,40000,362.5,248.8
35.823715,-113.567791,40000,362.5,248.8
35.811768,-113.605385,40000,362.9,248.7
35.799648,-113.64363,40000,363.8,248.7
35.787506,-113.681946,40000,363.8,248.7
35.775348,-113.720242,40000,363.8,248.7
35.763338,-113.757993,40000,364.2,248.6
35.751048,-113.796562,40000,364.2,248.6
35.738983,-113.834496,40000,364.2,248.6
35.726852,-113.87249,40000,362.9,248.7
35.714784,-113.910282,40000,363.2,248.5
35.702634,-113.948267,40000,363.2,248.5
35.690414,-113.986359,40000,362.9,248.7
35.67824,-114.02447,40000,362.3,248.5
35.665904,-114.06263,40000,361.4,248.4
35.653839,-114.10017,40000,361.4,248.4
35.641604,-114.138073,40000,361.4,248.4
35.629349,-114.175987,40000,361.4,248.4
35.617172,-114.213696,40000,362.3,248.5
35.60495,-114.251518,40000,362.3,248.5
35.59277,-114.289077,40000,362.7,248.3
35.580688,-114.326363,40000,363.6,248.4
35.568558,-114.363899,40000,363.6,248.4
35.556273,-114.401628,40000,364.0,248.2
35.54393,-114.439716,40000,363.6,248.4
35.531508,-114.477831,40000,364.9,248.3
35.519028,-114.516048,40000,364.9,248.3
35.50676,-114.553699,40000,365.3,248.1
35.495523,-114.587987,39750,364.0,248.2
35.4884,-114.609784,39400,364.0,248.2
35.48085,-114.632835,39050,361.7,248.3
35.473892,-114.654064,38675,361.2,248.1
35.466567,-114.67617,38300,359.9,248.1
35.459305,-114.698376,37925,357.6,248.2
35.45224,-114.719925,37575,356.4,248.3
35.445145,-114.741611,37225,355.4,248.2
35.438141,-114.76284,36850,355.4,248.2
35.430862,-114.785039,36500,355.8,248.1
35.4236,-114.807129,36125,358.0,248.0
35.41658,-114.828415,35750,359.9,248.1
35.409168,-114.850957,35400,361.2,248.1
35.402139,-114.87217,35025,362.1,248.1
35.394877,-114.894201,34650,363.4,248.0
35.387522,-114.916349,34275,365.6,248.0
35.379235,-114.942004,34050,363.3,249.4
35.374021,-114.96047,34025,359.9,251.4
35.363268,-114.998864,34000,357.7,250.9
35.352539,-115.036182,33825,361.5,250.6
35.34353,-115.067353,33550,365.0,250.5
35.334592,-115.098267,33275,369.1,250.5
35.325235,-115.130349,33000,373.5,250.4
35.315971,-115.162315,32725,376.7,250.5
35.306396,-115.195198,32450,379.9,250.5
35.296875,-115.228043,32175,381.7,250.6
35.2852,-115.268087,32000,381.1,250.4
35.273621,-115.307922,32000,379.9,250.5
35.261784,-115.348498,32000,379.9,250.5
35.250192,-115.38806,32000,380.2,250.3
35.238647,-115.42774,32000,381.1,250.4
35.227009,-115.467396,32000,381.1,250.4
35.215371,-115.507107,32000,381.5,250.2
35.203594,-115.547276,32000,381.5,250.2
35.191676,-115.587788,32000,381.5,250.2
35.180085,-115.627098,32000,381.5,250.2
35.168198,-115.667426,32000,382.4,250.3
35.156479,-115.707167,32000,382.4,250.3
35.144623,-115.747301,32000,381.5,250.2
35.133545,-115.784127,31875,383.0,249.2
35.129017,-115.797501,31700,384.9,246.9
35.123932,-115.810696,31475,385.6,244.5
35.118403,-115.823708,31250,387.4,242.0
35.111893,-115.837602,31000,389.1,239.4
35.101691,-115.858097,30625,391.7,238.8
35.091123,-115.879269,30250,392.7,238.5
35.080536,-115.900156,29875,393.3,238.4
35.070128,-115.920753,29475,393.8,238.3
35.059662,-115.941299,29100,394.6,238.4
35.049226,-115.961952,28700,395.5,238.4
35.038376,-115.983395,28325,396.0,238.3
