lat,lon,alt,gs,track
33.943378,-117.644863,2400,87.8,132.2
33.939561,-117.639999,2500,89.8,133.6
33.937792,-117.637882,2500,91.2,136.3
33.936768,-117.636738,2500,94.8,137.6
33.93579,-117.635765,2500,97.1,138.8
33.933555,-117.633476,2600,95.1,140.1
33.932671,-117.632561,2600,95.8,139.7
33.931641,-117.631512,2500,98.6,139.5
33.929626,-117.629606,2500,98.4,142.4
33.929489,-117.629438,2600,97.8,142.9
33.927429,-117.6277,2500,97.4,146.3
33.92513,-117.62598,2500,98.6,149.5
33.922714,-117.624393,2500,99.3,152.4
33.919543,-117.622318,2500,95.9,150.0
33.916489,-117.620077,2500,94.9,147.5
33.913879,-117.618003,2500,94.1,145.0
33.909897,-117.614584,2500,99.0,144.9
33.904678,-117.610212,2500,100.1,146.0
33.901528,-117.607841,2500,101.0,148.4
33.900925,-117.607409,2400,101.0,148.4
33.898315,-117.60556,2500,100.2,151.4
33.89035,-117.600515,2500,98.5,150.8
33.885086,-117.596815,2500,102.2,149.4
33.881789,-117.594395,2500,101.6,147.9
33.876436,-117.59016,2500,99.6,146.5
33.872864,-117.58723,2600,98.5,145.3
33.868332,-117.583475,2700,93.8,144.1
33.865677,-117.581065,2700,93.2,141.5
33.863846,-117.579215,2800,92.9,138.9
33.861539,-117.576599,2800,89.8,136.4
33.860779,-117.575684,2900,89.8,134.6
33.859491,-117.574024,2900,89.4,130.5
33.858124,-117.571872,2900,90.0,126.9
33.856977,-117.570019,3000,90.8,126.5
33.854463,-117.566071,3000,91.8,128.4
33.852585,-117.563352,3000,91.4,131.0
33.851852,-117.562455,3100,92.1,131.5
33.849792,-117.559765,3100,91.9,134.1
33.847713,-117.557259,3200,91.2,135.4
33.844391,-117.553375,3300,89.8,136.4
33.841278,-117.549955,3300,94.1,137.1
33.837067,-117.545359,3400,94.2,138.0
33.83398,-117.542152,3400,93.0,139.8
33.832863,-117.540951,3500,90.9,140.4
33.830383,-117.538465,3500,86.6,139.7
33.830256,-117.538319,3600,85.1,139.8
33.82869,-117.536727,3600,85.0,138.8
33.826113,-117.534027,3600,88.6,139.1
33.822715,-117.530594,3600,93.1,140.7
33.819901,-117.527871,3600,96.2,142.2
33.819177,-117.527218,3700,94.0,141.9
33.817383,-117.525516,3700,89.6,141.3
33.816605,-117.524732,3800,88.2,141.4
33.813637,-117.522011,3900,84.0,141.8
33.811449,-117.519836,3900,83.7,139.8
33.809633,-117.517891,4000,82.9,138.4
33.807358,-117.515595,4000,82.5,140.9
33.805583,-117.514,4000,83.8,144.2
33.80442,-117.51297,4100,84.2,142.7
33.802322,-117.510943,4100,82.3,139.9
33.800858,-117.509317,4100,82.8,136.5
33.799713,-117.507916,4100,84.2,132.6
33.799118,-117.507019,4100,85.2,125.9
33.798694,-117.506104,4200,86.4,118.3
33.798228,-117.504959,4200,87.1,111.6
33.797974,-117.503768,4200,88.1,105.1
33.797763,-117.502327,4200,88.0,98.5
33.797669,-117.500668,4200,86.1,93.3
33.797623,-117.498722,4300,85.0,88.7
33.797809,-117.495861,4300,88.3,85.4
33.798088,-117.491112,4300,89.2,86.1
33.798203,-117.488578,4400,87.1,86.7
33.798461,-117.482014,4400,91.1,88.1
33.798461,-117.47858,4500,90.0,89.4
33.798461,-117.47509,4500,94.0,90.6
33.798431,-117.469576,4500,94.1,92.4
33.798111,-117.461168,4500,99.1,92.3
33.797809,-117.455177,4500,98.3,94.1
33.797344,-117.448826,4500,99.5,95.8
33.796832,-117.443733,4500,102.0,97.9
33.795822,-117.435159,4600,100.0,98.1
33.795776,-117.434879,4500,100.1,98.6
33.794998,-117.428489,4600,100.8,97.4
33.79455,-117.423935,4600,102.4,95.0
33.794266,-117.418736,4600,99.1,92.9
33.793899,-117.411861,4600,102.3,94.5
33.793759,-117.408657,4600,102.0,91.1
33.793899,-117.407055,4600,101.4,84.9
33.794083,-117.405844,4600,101.9,76.4
33.794411,-117.404652,4600,103.7,70.9
33.79454,-117.404274,4600,103.7,70.9
33.794969,-117.403221,4600,106.5,64.4
