lat,lon,alt,gs,track,vs
33.185165,-96.588391,525,36.0,181.6,0
33.18425,-96.588446,525,49.0,182.3,0
33.182831,-96.588501,525,62.0,181.9,0
33.179735,-96.588658,525,70.1,183.3,0
33.179549,-96.588658,525,78.0,181.5,64
33.176197,-96.588826,600,81.0,181.4,384
33.173309,-96.588831,700,79.0,179.3,640
33.170099,-96.58877,775,82.0,179.3,576
33.16684,-96.58877,850,82.0,180.0,576
33.163376,-96.588831,950,82.0,180.7,576
33.159997,-96.58877,1025,82.0,179.3,512
33.156785,-96.58877,1100,81.0,179.3,640
33.153619,-96.588658,1175,81.0,180.0,576
33.150268,-96.58877,1275,82.0,181.4,576
33.147125,-96.588776,1350,81.0,180.0,576
33.143967,-96.588831,1425,84.0,180.0,448
33.140631,-96.588882,1500,83.0,180.7,448
33.137605,-96.588882,1600,81.0,180.0,704
33.133602,-96.588882,1675,84.0,179.3,512
33.13039,-96.588882,1750,84.0,180.7,512
33.126755,-96.58894,1825,85.0,180.7,512
33.122569,-96.58905,1900,88.0,181.3,384
33.117828,-96.589105,1975,88.0,180.6,448
33.114395,-96.589105,2050,89.0,180.6,448
33.10968,-96.589215,2125,91.0,180.6,448
33.106064,-96.58927,2200,91.0,180.6,448
33.101349,-96.58927,2275,91.0,180.6,448
33.097504,-96.589325,2350,91.0,180.6,448
33.092822,-96.589331,2425,91.0,180.0,448
33.08876,-96.58938,2500,91.0,180.6,448
33.08435,-96.589387,2575,89.0,180.0,448
33.080109,-96.589435,2650,89.0,180.6,448
33.075924,-96.589499,2725,87.0,180.7,448
33.071687,-96.589555,2800,89.0,181.3,384
33.06665,-96.589709,2875,89.0,181.3,384
33.062517,-96.589779,2900,92.1,181.9,384
33.060654,-96.589874,2925,97.0,181.2,128
33.057768,-96.589947,2925,101.0,181.1,128
33.054062,-96.589984,2925,105.0,180.6,128
33.046188,-96.590149,2975,104.0,181.1,320
33.041801,-96.590227,3050,100.0,181.1,384
33.03717,-96.590314,3125,97.0,181.2,384
33.032593,-96.590424,3200,96.0,181.2,384
33.028015,-96.590588,3275,95.0,181.2,384
33.023941,-96.590698,3350,94.0,181.2,448
33.019409,-96.590863,3425,93.0,181.2,448
33.015406,-96.590956,3500,92.0,181.2,448
33.010986,-96.591138,3575,91.1,181.9,448
33.007073,-96.591236,3650,90.0,181.3,448
33.002426,-96.591357,3725,89.0,180.6,448
32.998581,-96.591467,3800,89.1,181.9,448
32.993712,-96.591629,3875,91.0,181.3,448
32.989895,-96.591741,3925,95.0,180.6,384
32.987847,-96.591741,3925,99.0,180.6,128
32.984665,-96.591797,3925,103.0,181.1,128
32.979813,-96.591907,3925,107.0,181.1,64
32.972671,-96.592077,3925,111.0,180.5,64
32.962383,-96.592245,3925,113.0,180.5,64
32.951955,-96.592413,3925,113.0,181.0,0
32.941713,-96.592582,3925,114.0,181.0,0
32.931146,-96.59275,3925,114.0,181.0,0
32.920858,-96.593086,3925,115.0,181.5,0
32.910416,-96.593335,3925,114.0,181.0,0
32.900282,-96.593535,3925,109.0,180.5,0
32.890457,-96.593665,3925,109.0,180.5,0
32.880265,-96.593703,3925,111.0,180.0,0
32.870163,-96.593759,3925,111.0,180.5,0
32.860062,-96.593829,3925,110.0,181.0,0
32.850192,-96.594095,3925,109.0,181.1,0
32.84023,-96.594263,3925,107.0,181.1,64
32.830124,-96.594543,3925,108.0,181.1,0
32.820445,-96.594712,3925,109.0,181.1,0
32.810529,-96.594992,3925,109.0,181.1,0
32.800827,-96.595093,3925,109.0,180.0,0
32.790745,-96.59516,3925,111.0,180.5,0
32.78041,-96.59516,3925,112.0,181.0,0
32.770168,-96.595384,3925,112.0,181.0,0
32.759787,-96.595608,3925,112.0,181.0,0
32.751082,-96.595721,3925,112.0,180.0,0
32.740841,-96.595608,3950,111.0,180.5,0
32.734975,-96.595608,3950,111.0,179.0,0
32.73143,-96.595587,3950,112.0,181.5,0
32.730057,-96.595807,3950,113.3,188.6,0
32.728597,-96.596225,3925,112.1,193.4,-64
32.727264,-96.596796,3950,110.7,200.1,64
32.725432,-96.597682,3950,108.7,204.4,128
32.722406,-96.599476,3950,112.7,207.5,-128
32.713328,-96.605081,3925,114.0,206.6,0
32.704147,-96.610419,3925,114.0,206.6,-64
32.694717,-96.616022,3925,113.1,206.8,0
32.685333,-96.621515,3925,111.4,206.1,0
32.676407,-96.626624,3925,110.5,205.2,0
32.667335,-96.631762,3925,111.4,206.1,-64
32.658188,-96.637061,3950,111.8,205.4,0
32.648993,-96.642412,3925,110.5,206.3,0
32.641022,-96.647003,3925,110.5,205.2,0
32.631908,-96.651997,3925,109.6,205.4,0
32.625624,-96.655361,3925,108.3,204.0,0
32.616453,-96.660237,3925,110.1,204.7,0
32.607285,-96.665131,3925,110.6,204.0,0
32.598083,-96.66991,3925,108.9,203.3,0
32.588882,-96.674689,3925,107.4,204.2,0
32.584579,-96.676941,3925,107.8,204.7,0
32.583494,-96.67767,3925,107.5,210.1,0
32.582423,-96.678566,3925,107.0,217.4,0
32.581512,-96.679578,3925,105.4,224.6,0
32.580608,-96.680809,3950,103.9,231.2,64
32.579351,-96.682995,3975,102.1,235.4,256
32.578373,-96.684452,3975,103.2,231.7,128
32.577582,-96.685517,3950,105.4,226.9,0
32.576604,-96.686526,3950,106.4,220.4,-128
32.575347,-96.687647,3950,106.3,215.0,-128
32.573822,-96.688751,3950,105.3,210.2,0
32.570646,-96.69073,3950,108.2,207.5,0
32.56636,-96.693256,3900,109.6,205.4,-192
32.557564,-96.698185,3900,107.4,205.4,0
32.548766,-96.703118,3925,105.1,205.4,0
32.539921,-96.707994,3925,104.2,205.6,0
32.531158,-96.712976,3925,105.6,205.8,0
32.522511,-96.717915,3925,104.7,206.1,0
32.513992,-96.722904,3925,104.7,206.1,0
32.505286,-96.727837,3950,105.1,205.4,0
32.496674,-96.732713,3925,104.7,206.1,0
32.488037,-96.73764,3925,104.2,205.6,0
32.479614,-96.742474,3950,103.3,205.8,0
32.470734,-96.747528,3925,104.2,205.6,0
32.462319,-96.752332,3925,103.3,205.8,0
32.453751,-96.757361,3925,103.8,206.3,0
32.445282,-96.76225,3950,103.3,205.8,0
32.436668,-96.76713,3950,103.3,205.8,0
32.428345,-96.771808,3925,102.9,205.3,0
32.41977,-96.776547,3925,102.9,205.3,0
32.411297,-96.781311,3925,103.8,205.1,0
32.402685,-96.786076,3950,102.9,205.3,0
32.395798,-96.790045,3925,102.9,206.6,0
32.387369,-96.794988,3925,102.0,206.8,0
32.378998,-96.799933,3950,103.3,205.8,0
32.370378,-96.804853,3950,104.2,205.6,0
32.363342,-96.808667,3950,104.3,204.4,0
32.35817,-96.811523,3950,103.3,205.8,64
32.349655,-96.816412,3950,104.2,205.6,0
32.345286,-96.818922,3950,104.7,207.3,-64
32.336929,-96.824103,3925,104.7,207.3,-128
32.32988,-96.828333,3950,104.2,208.0,0
32.323593,-96.832375,3950,104.2,206.8,-64
32.321182,-96.833661,3925,104.4,203.1,0
32.316559,-96.835913,3925,105.1,201.2,0
32.307816,-96.839758,3925,103.6,202.1,0
32.304382,-96.841516,3925,103.4,204.6,0
32.299576,-96.844208,3925,103.8,206.3,0
32.294218,-96.847341,3925,104.7,204.9,0
32.286211,-96.851657,3950,107.4,205.4,-64
32.282953,-96.853619,3950,104.2,208.0,128
32.274399,-96.858984,3950,103.8,207.6,64
32.265701,-96.864368,3925,106.9,207.3,0
32.260468,-96.867408,3925,104.7,206.1,0
32.25174,-96.872498,3950,105.5,207.1,0
32.244594,-96.876657,3925,105.6,205.8,0
32.236028,-96.881477,3950,106.0,205.1,0
32.22723,-96.886298,3950,104.7,204.9,0
32.218552,-96.891064,3925,105.1,205.4,0
32.209808,-96.895953,3925,104.2,205.6,0
32.201207,-96.900815,3925,105.1,205.4,0
32.192642,-96.905621,3950,105.1,205.4,0
32.183899,-96.910565,3950,103.3,205.8,0
32.175385,-96.915344,3950,105.6,205.8,0
32.166733,-96.920343,3950,105.6,205.8,0
32.15799,-96.925287,3950,103.8,206.3,0
32.149208,-96.930355,3925,106.9,206.1,0
32.140503,-96.935344,3950,106.0,206.3,0
32.132858,-96.939679,3950,104.2,205.6,0
32.124115,-96.944458,3950,105.6,204.6,0
32.11702,-96.948358,3950,110.0,205.9,-64
32.11171,-96.951544,3950,108.2,207.5,0
32.106262,-96.954785,3925,108.2,206.3,-64
32.100403,-96.958026,3950,104.7,204.9,0
32.091614,-96.96297,3950,105.6,205.8,0
32.085292,-96.966453,3950,105.6,204.6,0
32.07668,-96.971162,3950,101.6,205.1,64
32.067975,-96.975982,3925,103.3,205.8,0
32.059708,-96.980658,3925,105.1,205.4,-64
32.051123,-96.985399,3925,102.5,204.8,0
32.045059,-96.988788,3925,103.3,205.8,-64
32.043045,-96.989941,3875,108.2,206.3,-448
32.039108,-96.992194,3800,111.8,205.4,-512
32.034224,-96.994872,3725,115.0,205.2,-448
32.029724,-96.997412,3650,112.7,205.2,-448
32.02645,-96.999244,3550,112.7,205.2,-704
32.022171,-97.001697,3475,108.7,206.8,-576
32.01821,-97.003952,3400,110.0,205.9,-512
32.015167,-97.005762,3375,108.3,208.7,-448
32.012558,-97.007574,3325,109.6,211.9,-384
32.008807,-97.010286,3250,109.9,211.2,-512
32.006058,-97.012134,3175,111.4,208.4,-576
32.001846,-97.014606,3125,112.7,206.3,-448
31.997355,-97.017293,3050,112.7,207.5,-320
31.992932,-97.019983,2975,112.3,207.0,-448
31.989441,-97.022001,2950,111.4,204.9,-448
31.986834,-97.023403,2950,109.2,204.9,0
31.982941,-97.025537,2950,113.2,204.5,0
31.980968,-97.026486,2950,116.6,202.2,-64
31.977676,-97.027899,2950,114.5,199.4,128
31.973694,-97.029767,2975,114.0,201.6,128
31.971565,-97.030914,2975,116.8,204.8,128
31.967934,-97.033044,2950,119.0,207.0,-192
31.963486,-97.035754,2950,117.6,207.9,-128
31.95881,-97.038649,2925,116.4,208.8,-128
31.94922,-97.04375,2950,116.4,208.8,-128
31.946985,-97.044815,2950,117.9,202.4,-64
31.942474,-97.047125,2950,115.0,204.1,128
31.938466,-97.049243,2950,114.1,205.4,0
31.935699,-97.05097,2950,115.0,208.6,-128
31.929714,-97.054904,2950,112.0,210.0,0
31.927526,-97.056137,2925,113.6,206.1,-192
31.923849,-97.058267,2950,110.0,205.9,192
31.918625,-97.060913,2925,112.0,203.1,-256
31.915702,-97.062247,2950,112.0,203.1,-256
31.908533,-97.065554,2925,111.2,202.2,-192
31.905042,-97.067236,2950,110.7,202.9,192
31.902283,-97.068768,2950,113.6,206.1,0
31.899595,-97.070431,2950,112.8,208.6,0
31.890471,-97.076428,2925,111.0,209.1,64
31.884888,-97.079974,2950,111.8,207.7,0
31.882231,-97.081529,2950,112.3,205.9,0
31.879028,-97.08316,2925,112.0,203.1,0
31.873398,-97.085797,2925,110.2,203.5,64
31.871384,-97.087006,2950,110.5,207.5,0
31.86226,-97.092796,2950,113.1,206.8,0
31.85939,-97.094312,2950,116.9,203.7,128
