lat,lon,alt,gs,track,vs
38.51326,-122.808997,200,6.7,296.6,-4992
38.513318,-122.808838,200,6.7,296.6,-4992
38.513225,-122.80896,200,1.2,270.0,0
38.513168,-122.809117,200,4.1,270.0,0
38.510925,-122.815446,100,101.6,208.8,256
38.510651,-122.815625,200,103.0,209.1,384
38.50978,-122.816284,200,107.9,209.4,320
38.508989,-122.816833,200,111.9,208.9,512
38.507871,-122.817627,200,116.0,209.4,832
38.506439,-122.81873,300,120.6,210.4,1280
38.504379,-122.820163,400,124.4,208.8,1792
38.503052,-122.821237,400,124.8,213.6,2176
38.502823,-122.821416,500,124.6,215.9,2304
38.50019,-122.827759,800,122.8,253.9,2240
38.500097,-122.829834,900,126.0,268.6,1664
38.500097,-122.831299,1000,126.0,270.5,1792
38.500168,-122.83509,1100,130.0,270.4,1472
38.500168,-122.837359,1200,133.0,270.0,1024
38.500168,-122.838971,1200,136.0,270.0,704
38.500122,-122.841598,1200,140.0,269.2,832
38.500122,-122.844106,1300,143.0,269.2,896
38.499958,-122.84967,1400,147.2,267.3,832
38.499632,-122.855164,1500,150.5,265.4,1024
38.499161,-122.861481,1600,152.9,263.6,896
38.498428,-122.868228,1700,155.4,262.2,896
38.497742,-122.874258,1800,156.8,261.2,896
38.496466,-122.884155,1900,161.1,260.7,512
38.496094,-122.887872,1900,159.6,265.0,768
38.496094,-122.890678,1900,158.1,271.5,896
38.496185,-122.892171,2000,156.4,274.0,1024
38.496597,-122.897724,2100,153.6,275.2,1024
38.496978,-122.903442,2200,152.5,274.5,512
38.49765,-122.913188,2200,156.6,275.1,-256
38.497925,-122.917905,2200,161.4,273.9,-384
38.498142,-122.922241,2100,165.4,274.2,-448
38.498514,-122.92804,2100,169.5,274.4,-384
38.498887,-122.934387,2000,174.4,274.0,-704
38.499298,-122.943042,1900,179.2,272.9,-704
38.499446,-122.951477,1800,183.0,270.3,-640
38.499306,-122.961243,1800,183.1,268.1,-512
38.499213,-122.964233,1700,182.2,267.2,-448
38.498654,-122.974792,1700,179.5,265.5,0
38.498245,-122.979524,1700,175.1,263.4,512
38.497925,-122.982987,1800,170.6,262.2,576
38.497444,-122.986389,1800,168.1,257.3,576
38.49678,-122.989018,1800,167.0,252.2,512
38.496187,-122.990662,1800,166.4,244.4,256
38.495209,-122.992615,1800,166.4,237.3,128
38.494171,-122.994212,1800,166.5,228.6,128
38.493254,-122.9953,1800,167.7,223.3,-64
38.492416,-122.996094,1800,168.2,216.1,-384
38.49102,-122.997131,1800,169.7,209.3,-576
38.489456,-122.997854,1800,172.4,197.9,-576
38.487946,-122.998213,1800,174.5,187.6,-576
38.486343,-122.998213,1800,175.1,178.4,-512
38.485062,-122.997914,1800,175.9,169.5,-256
38.483826,-122.997377,1800,176.0,163.8,-256
38.482819,-122.99672,1700,175.5,158.3,-192
38.482035,-122.996033,1700,176.1,146.6,-640
38.480964,-122.994812,1700,176.8,136.4,-1152
38.4798,-122.993042,1700,178.4,129.3,-1472
38.479149,-122.991577,1600,180.5,119.6,-1984
38.478683,-122.990173,1600,181.7,114.7,-2048
38.478357,-122.988708,1500,184.2,106.1,-1600
38.478078,-122.986328,1500,185.8,98.0,-1024
38.477892,-122.983582,1400,185.5,94.3,-640
38.477737,-122.979225,1400,185.0,90.6,-384
38.477921,-122.974688,1400,181.4,86.2,320
