lat,lon,alt,gs,track
25.776123,-100.102285,1550,140.8,120.8
25.775116,-100.100403,1650,145.3,120.6
25.774063,-100.098521,1750,149.4,121.0
25.773514,-100.097504,1775,153.8,120.9
25.77269,-100.095978,1875,157.4,121.0
25.771729,-100.094147,1950,161.9,120.8
25.770946,-100.092704,2025,162.8,120.7
25.770081,-100.091146,2100,166.0,121.2
25.769577,-100.090179,2200,167.4,121.3
25.768526,-100.088351,2300,169.6,121.2
25.767746,-100.086924,2400,172.4,121.5
25.76685,-100.085346,2500,174.3,121.9
25.766058,-100.083946,2575,175.6,122.0
25.765137,-100.082245,2675,176.5,121.8
25.764496,-100.081126,2775,177.9,121.9
25.763489,-100.079397,2875,179.2,122.0
25.762894,-100.078278,2975,180.1,121.8
25.761795,-100.076396,3075,183.7,121.9
25.760658,-100.074307,3175,188.2,121.8
25.759634,-100.072494,3275,192.6,121.6
25.758362,-100.07019,3375,194.0,121.7
25.757629,-100.068868,3475,194.0,121.7
25.756608,-100.067052,3575,194.3,121.3
25.755753,-100.06546,3675,194.3,121.3
25.754974,-100.064087,3775,195.7,121.4
25.754105,-100.06251,3875,197.1,121.5
25.75321,-100.060885,3975,199.3,121.5
25.75209,-100.058848,4075,201.5,121.4
25.7509,-100.056712,4175,203.7,121.3
25.749998,-100.054978,4250,204.9,120.8
25.749067,-100.053112,4350,208.0,117.8
25.748136,-100.050987,4450,209.9,114.5
25.747484,-100.048966,4550,211.0,110.2
25.746964,-100.046997,4625,213.0,104.7
25.746643,-100.045268,4700,213.8,100.8
25.74646,-100.043629,4800,214.6,97.0
25.74632,-100.041867,4900,215.5,94.0
25.746323,-100.039775,5000,217.0,90.0
25.746506,-100.037333,5100,218.3,83.7
25.746643,-100.036214,5175,217.8,80.8
25.746879,-100.035026,5250,217.7,79.4
25.747238,-100.033366,5350,218.5,76.0
25.747696,-100.031637,5450,219.5,73.1
25.748415,-100.029637,5550,221.7,68.3
25.749252,-100.027669,5650,223.6,64.0
25.749998,-100.026165,5750,224.5,59.8
25.750929,-100.02461,5850,225.8,55.5
25.751907,-100.023244,5950,227.4,52.3
25.753163,-100.0215,6050,228.5,50.0
25.754288,-100.020243,6150,231.4,47.3
25.755445,-100.018961,6225,232.7,44.1
25.757074,-100.017407,6325,235.0,40.0
25.758957,-100.01592,6425,237.3,35.6
25.760379,-100.014919,6525,239.7,32.6
25.762619,-100.013529,6625,242.5,28.6
25.764816,-100.012258,6725,245.1,27.2
25.767408,-100.010825,6825,246.9,26.5
25.769989,-100.00941,6925,249.1,26.0
25.773102,-100.007731,7075,249.6,25.6
25.776901,-100.005747,7275,250.9,25.8
25.779007,-100.004628,7350,253.6,26.0
25.780701,-100.003713,7400,255.8,26.0
25.786697,-100.000407,7600,258.9,26.4
25.788895,-99.999237,7700,259.4,26.6
25.793747,-99.996541,7900,260.7,26.7
25.797574,-99.994397,8100,258.0,27.0
25.800659,-99.992676,8275,256.3,27.2
25.804367,-99.99059,8475,254.9,27.1
25.808328,-99.988334,8675,253.6,26.5
25.812564,-99.986002,8875,253.6,26.5
25.816315,-99.983978,9075,251.8,26.2
25.820206,-99.981842,9275,251.3,26.0
25.825058,-99.979248,9450,252.7,26.1
25.829819,-99.976674,9625,254.9,26.1
25.835468,-99.973632,9825,258.1,26.0
25.842361,-99.969937,10025,262.5,26.0
25.848502,-99.966607,10200,264.8,26.0
25.852386,-99.964496,10375,264.8,26.0
25.857813,-99.961589,10575,266.1,26.1
25.863007,-99.958744,10775,267.4,26.2
25.869278,-99.955323,10975,268.3,26.1
25.872208,-99.953769,11100,267.4,26.2
25.876387,-99.951501,11300,265.2,26.2
25.880722,-99.949157,11475,265.2,26.2
25.885254,-99.946669,11675,265.2,26.2
25.890912,-99.943631,11875,267.4,26.2
25.90123,-99.937963,12250,266.5,26.3
25.910797,-99.932781,12650,267.4,26.2
25.921403,-99.926993,13050,268.8,26.3
25.932953,-99.920706,13450,271.0,26.3
25.944031,-99.914643,13850,273.3,26.3
25.956783,-99.907661,14225,277.7,26.3
25.965674,-99.902802,14500,277.7,26.3
25.973262,-99.898682,14825,275.5,26.3
25.982154,-99.893822,15225,274.1,26.2
25.992861,-99.887959,15625,273.3,26.3
26.002404,-99.882783,16025,271.9,26.2
26.01232,-99.87729,16425,272.4,26.4
