lat,lon,alt,gs,track,vs
38.672294,-121.400635,200,112.0,180.0,0
38.67128,-121.400598,200,113.0,180.0,0
38.670711,-121.400635,200,118.0,179.5,64
38.66954,-121.400598,200,121.0,179.5,64
38.668477,-121.400574,200,125.0,179.5,64
38.667546,-121.400574,200,130.0,180.4,256
38.665878,-121.400598,200,134.0,180.9,512
38.663635,-121.400635,300,138.0,180.4,768
38.66098,-121.400598,300,141.1,178.0,1088
38.659725,-121.400452,400,141.6,174.7,1344
38.658234,-121.40012,400,142.8,168.7,1344
38.657025,-121.399597,400,144.2,160.6,1280
38.656128,-121.399045,500,144.9,154.7,1280
38.65493,-121.398132,500,146.2,145.9,1408
38.654068,-121.397254,600,146.6,143.6,1600
38.653394,-121.396362,600,147.8,135.8,1600
38.652557,-121.395045,600,150.2,128.2,1472
38.652374,-121.394746,700,150.6,127.2,1152
38.651596,-121.393194,700,152.8,120.3,1152
38.650601,-121.390564,700,155.8,114.3,768
38.649857,-121.388417,800,157.6,114.0,768
38.648087,-121.382874,800,162.5,111.7,832
38.647435,-121.380676,900,164.3,111.4,896
38.645759,-121.375183,1000,167.5,111.4,1280
38.64427,-121.370178,1100,166.4,110.4,1472
38.642873,-121.365845,1200,166.8,112.6,1280
38.641296,-121.360832,1300,166.9,111.8,1088
38.639603,-121.355398,1400,167.1,111.0,1152
38.638367,-121.351219,1500,168.7,110.5,1536
38.637194,-121.346985,1600,167.9,108.8,1472
38.636076,-121.342407,1700,166.1,106.8,1344
38.635208,-121.33874,1800,165.8,106.5,1472
38.634293,-121.334918,1900,165.7,107.6,1600
38.63333,-121.331055,2000,166.1,106.8,1536
38.632445,-121.326904,2100,166.1,104.3,1408
38.631729,-121.322738,2200,166.7,100.4,1280
38.631363,-121.319155,2200,167.0,96.2,1280
38.631281,-121.317444,2300,168.3,93.4,1344
38.631142,-121.312378,2400,169.1,91.7,1344
38.631049,-121.307495,2500,169.1,91.7,1408
38.630956,-121.30304,2600,168.1,91.7,1536
38.630814,-121.299691,2700,166.3,93.4,1728
38.63049,-121.296082,2800,164.5,97.7,1664
38.630035,-121.293242,2800,163.7,103.8,1472
38.629715,-121.291749,2900,164.2,104.5,1472
38.629074,-121.289779,2900,163.6,112.7,1472
38.628721,-121.288818,2900,164.6,115.2,960
38.627747,-121.286555,3000,164.0,122.0,1152
38.626556,-121.284525,3000,163.2,127.8,1280
38.625416,-121.282837,3100,162.6,134.5,1344
38.623993,-121.2813,3100,161.4,138.0,1344
38.623032,-121.280405,3200,160.4,144.1,1344
38.619736,-121.277539,3300,160.3,145.4,1152
38.616211,-121.274255,3400,163.2,144.0,768
38.610519,-121.269104,3500,168.1,145.2,640
38.605259,-121.264587,3600,170.8,146.2,1024
38.601209,-121.261108,3700,170.3,146.5,1408
38.598221,-121.258611,3800,169.7,146.8,1280
38.594513,-121.255566,3900,171.4,147.1,1088
38.589661,-121.251566,4000,174.2,146.9,896
38.585102,-121.247864,4100,174.3,148.1,1152
38.58161,-121.245117,4200,173.6,149.1,1216
38.5784,-121.242729,4300,173.6,149.1,1216
38.57472,-121.239868,4400,172.7,149.0,1216
38.570984,-121.237057,4500,173.6,149.1,1216
38.566864,-121.233892,4600,174.1,148.9,1216
38.562286,-121.230369,4700,175.4,148.8,1216
38.557636,-121.226685,4800,177.0,147.9,960
38.553268,-121.223145,4900,176.4,147.0,1152
38.549744,-121.220159,5000,176.1,146.6,1216
38.546356,-121.217353,5100,174.7,146.7,1344
38.543289,-121.214785,5200,174.2,146.9,1280
38.539581,-121.21174,5300,175.0,147.1,1024
38.534965,-121.208008,5400,175.6,148.0,832
38.529968,-121.204157,5500,178.9,149.4,768
38.523839,-121.199707,5600,180.5,150.4,960
38.51937,-121.19635,5700,180.2,149.3,1152
38.515549,-121.19347,5800,179.9,148.9,1152
38.51152,-121.190305,5900,179.6,148.4,1152
38.507172,-121.186961,6000,179.6,148.4,1152
38.502777,-121.183498,6100,180.9,148.3,1152
38.497723,-121.179504,6200,182.0,147.8,1152
38.492602,-121.175232,6300,183.9,146.3,896
38.487717,-121.171079,6400,184.2,145.6,896
38.483152,-121.167053,6500,183.9,145.2,896
38.478963,-121.16333,6600,183.7,144.8,896
38.474579,-121.159376,6700,183.9,145.2,960
38.469955,-121.155316,6800,184.7,145.4,896
38.46524,-121.151196,6900,184.5,144.9,896
38.460761,-121.147156,7000,184.5,144.9,1024
38.452057,-121.139254,7100,185.4,144.0,832
38.446106,-121.133761,7300,187.4,143.7,832
38.43718,-121.125462,7400,188.4,144.3,832
38.431433,-121.120239,7600,188.7,144.7,832
38.422348,-121.112087,7700,190.1,144.6,704
38.413467,-121.104026,7900,192.9,144.5,768
38.404175,-121.09575,8000,193.9,145.1,896
38.396937,-121.089338,8200,194.7,145.2,832
38.387695,-121.08114,8300,195.3,145.0,896
38.381063,-121.075247,8500,195.6,145.4,960
38.371753,-121.067246,8600,195.0,145.7,960
38.36618,-121.062382,8800,195.0,145.7,960
38.356659,-121.054142,8900,193.9,146.1,960
38.351084,-121.049453,9100,192.8,146.6,896
38.34168,-121.041512,9200,193.9,146.1,768
38.33358,-121.034705,9400,194.1,146.6,768
38.324158,-121.026676,9500,198.3,146.3,128
38.314214,-121.018106,9600,201.9,145.3,512
38.309093,-121.013628,9600,206.4,145.5,-256
38.300295,-121.005985,9600,210.8,145.6,384
38.291061,-120.997925,9600,215.3,144.8,64
