lat,lon,alt,gs,track,vs
32.678009,-96.866949,700,74.1,182.3,832
32.675903,-96.867059,800,70.1,183.3,832
32.673154,-96.867184,900,70.1,182.4,704
32.670456,-96.867224,900,72.0,180.0,576
32.669678,-96.867224,1000,72.0,179.2,576
32.667521,-96.86724,1100,70.0,179.2,832
32.664551,-96.867114,1100,71.1,177.6,640
32.66391,-96.867059,1200,70.1,176.7,704
32.662079,-96.86684,1200,69.5,173.4,768
32.661301,-96.86673,1300,69.2,169.2,768
32.660678,-96.866511,1300,69.3,162.4,512
32.66011,-96.86618,1300,70.2,153.8,512
32.65984,-96.865951,1300,70.2,147.2,512
32.659421,-96.865558,1300,69.8,142.0,512
32.659188,-96.865278,1300,68.6,133.2,704
32.658875,-96.864642,1400,68.5,123.7,704
32.658629,-96.864157,1400,68.0,118.1,704
32.65849,-96.863652,1400,68.0,107.1,704
32.658303,-96.862475,1400,68.3,101.0,576
32.65821,-96.86141,1500,69.6,97.4,512
32.658188,-96.860358,1500,71.0,90.8,512
32.658257,-96.858832,1500,74.1,86.9,320
32.65849,-96.856029,1500,77.4,84.1,256
32.658536,-96.855357,1600,76.7,82.5,256
32.658769,-96.853899,1600,76.3,79.4,256
32.659002,-96.852946,1600,76.2,70.8,256
32.659286,-96.852393,1600,76.2,60.1,256
32.659378,-96.852228,1700,75.7,56.3,256
32.659744,-96.851733,1700,76.4,46.1,256
32.660156,-96.851294,1700,76.7,39.7,256
32.660585,-96.850985,1700,78.7,27.2,256
32.661143,-96.85076,1700,80.1,20.5,256
32.661713,-96.850635,1800,83.2,9.7,256
32.662586,-96.850592,1800,85.1,3.4,256
32.663818,-96.85058,1800,89.0,358.7,256
32.664076,-96.850592,1800,89.1,358.1,-256
32.666264,-96.850816,1700,93.4,354.5,-256
32.667148,-96.850928,1800,93.5,353.9,192
32.669942,-96.851433,1800,96.2,351.0,-64
32.672058,-96.851843,1700,98.3,350.6,-64
32.675947,-96.852498,1700,99.9,352.5,-128
32.680115,-96.852997,1700,98.4,354.8,192
32.687119,-96.853619,1700,97.3,355.9,-64
32.695685,-96.854348,1700,94.3,355.1,-64
32.698478,-96.854628,1700,94.3,355.1,-64
32.6987,-96.854645,1700,94.4,354.5,-704
32.699363,-96.85474,1600,95.6,353.4,-704
32.700623,-96.855029,1600,95.3,347.3,-704
32.701447,-96.855414,1600,93.8,338.1,-256
32.702295,-96.855973,1600,92.6,332.3,-256
32.702774,-96.856403,1600,90.9,320.4,0
32.703319,-96.857094,1600,89.5,309.6,0
32.703645,-96.857711,1600,88.8,301.2,-192
32.703971,-96.858664,1600,87.7,290.7,-256
32.704111,-96.859561,1600,88.1,282.5,-384
32.70433,-96.861237,1500,90.7,277.0,-384
32.704422,-96.862775,1500,91.1,271.9,-384
32.704285,-96.863983,1500,89.6,263.6,-384
32.704157,-96.864493,1500,86.7,253.2,-384
32.703832,-96.865166,1500,83.7,242.2,-384
32.703459,-96.865614,1500,80.8,229.0,-384
32.703003,-96.866016,1500,79.2,217.3,-768
32.702545,-96.86629,1500,79.2,206.2,-768
32.702362,-96.8664,1400,79.3,203.0,-768
32.701813,-96.86651,1400,81.5,194.2,-768
32.701225,-96.866623,1400,82.9,188.3,-768
32.701038,-96.866623,1400,82.9,188.3,-1600
32.700387,-96.866735,1300,87.3,184.6,-1600
32.6987,-96.866785,1200,92.2,183.7,-1600
32.697361,-96.866903,1100,93.1,183.1,-1600
32.695175,-96.866949,1000,94.0,179.4,-1600
32.693619,-96.86684,900,94.2,176.4,-1536
32.69133,-96.86673,800,95.0,180.0,-1536
32.689075,-96.866791,800,90.1,181.9,-1280
32.688888,-96.866791,700,89.1,181.9,-384
32.687352,-96.866791,700,85.0,179.3,-384
32.685024,-96.866791,600,81.0,180.7,-704
32.682632,-96.866785,600,74.0,180.0,-512
32.678787,-96.86684,600,74.0,180.0,0
32.676773,-96.866785,600,73.1,183.1,576
32.675761,-96.866903,700,74.2,183.9,576
32.674255,-96.867004,700,79.1,182.2,-192
32.670407,-96.867072,700,85.0,180.0,576
32.668592,-96.867072,800,82.0,180.7,576
32.66629,-96.867059,900,78.0,179.3,704
32.664047,-96.866949,900,76.2,176.2,448
32.662537,-96.866785,1000,73.4,173.8,704
32.660202,-96.866455,1000,68.7,171.6,704
32.659424,-96.866235,1100,68.9,170.8,576
32.654251,-96.865247,1100,68.7,171.6,192
32.653748,-96.865137,1200,68.6,172.5,448
32.649226,-96.864493,1200,64.8,171.1,384
32.648667,-96.864325,1200,63.1,165.3,384
32.648388,-96.864213,1200,61.7,160.1,448
32.647934,-96.863873,1300,59.1,146.0,512
