lat,lon,alt,gs,track,vs
29.968689,-95.349749,300,170.8,152.8,2880
29.967072,-95.348804,425,170.8,152.8,2880
29.966374,-95.348364,500,165.5,152.7,3392
29.964752,-95.347434,600,165.0,153.0,3008
29.963394,-95.346661,700,165.0,153.0,2944
29.962143,-95.345926,800,164.6,153.3,2880
29.96077,-95.345172,875,164.6,154.8,2816
29.959624,-95.344629,950,164.8,156.4,2752
29.958274,-95.344135,1050,165.1,160.9,2816
29.956924,-95.34375,1125,164.7,166.3,2816
29.955231,-95.343502,1225,164.8,171.6,2368
29.954453,-95.343448,1275,165.9,174.1,1984
29.953712,-95.34342,1300,167.3,176.6,1856
29.95253,-95.343448,1325,169.0,178.6,1408
29.951294,-95.34361,1350,172.4,183.7,1088
29.949615,-95.34397,1400,175.3,189.2,1024
29.947986,-95.344519,1450,176.5,197.8,1088
29.945847,-95.345549,1475,177.9,202.8,704
29.943741,-95.346895,1500,181.8,209.7,384
29.942047,-95.348295,1525,186.4,216.9,192
29.940399,-95.349965,1525,189.8,222.0,256
29.939163,-95.35158,1550,192.5,227.5,384
29.938065,-95.353304,1575,195.6,232.9,448
29.936813,-95.355615,1600,199.3,240.2,576
29.935882,-95.358087,1625,202.3,245.5,768
29.935091,-95.360889,1650,206.2,252.8,704
29.934532,-95.364185,1700,208.9,257.6,832
29.934346,-95.366327,1725,211.9,264.6,704
29.934357,-95.369083,1750,215.0,269.2,640
29.934586,-95.372207,1775,218.3,276.3,640
29.935135,-95.375061,1800,221.0,281.0,768
29.935882,-95.377698,1825,224.2,288.2,704
29.937139,-95.381158,1875,227.8,294.6,576
29.938489,-95.38385,1900,231.8,298.9,576
29.940025,-95.386432,1925,234.9,303.0,576
29.941748,-95.388794,1950,239.7,308.7,960
29.943656,-95.391101,2000,242.0,313.0,1408
29.945472,-95.392859,2050,244.1,319.6,1856
29.947334,-95.394397,2125,244.8,324.0,2304
29.949382,-95.395825,2225,245.1,328.5,2688
29.951384,-95.397034,2325,246.0,332.4,2816
29.953903,-95.398326,2425,245.2,335.4,3072
29.955872,-95.399296,2525,245.5,337.0,3392
29.957336,-95.399942,2625,244.6,338.2,3456
29.959484,-95.400879,2725,245.0,339.2,3456
29.961067,-95.401538,2800,245.2,339.7,3392
29.962692,-95.402204,2900,244.8,340.7,3456
29.964419,-95.402856,2975,244.1,341.1,3648
29.965576,-95.403335,3050,243.8,341.3,3840
29.967178,-95.403927,3150,241.9,341.9,3904
29.968689,-95.404466,3250,241.6,342.2,3840
29.970377,-95.405109,3350,241.3,342.4,3584
29.972534,-95.405866,3450,242.0,342.7,3200
29.974686,-95.40662,3550,242.6,343.0,3008
29.976746,-95.40732,3650,242.3,343.2,3008
29.978896,-95.408075,3750,243.0,343.5,2880
29.981506,-95.408936,3850,243.7,343.8,2624
29.984203,-95.409833,3950,245.1,344.4,2560
29.986531,-95.410547,4050,245.8,344.7,2496
29.98938,-95.411467,4150,246.5,345.0,2176
29.992536,-95.41236,4225,249.1,345.4,1728
29.995789,-95.413352,4325,253.0,345.6,1280
29.999405,-95.414375,4375,257.6,346.1,960
30.003429,-95.415491,4425,261.2,346.5,896
30.007004,-95.416475,4475,266.1,346.8,1024
30.011307,-95.417606,4550,270.7,347.2,1216
30.014877,-95.418522,4625,273.7,347.3,1408
30.015998,-95.418787,4650,275.4,347.6,2048
30.019272,-95.419599,4750,275.6,347.4,2496
30.022283,-95.42038,4850,276.6,347.5,2688
30.025269,-95.421161,4950,276.6,347.5,2688
30.027823,-95.421808,5050,277.8,347.3,2624
30.030716,-95.422561,5150,279.0,347.2,2752
30.033096,-95.423207,5225,279.0,347.2,2944
30.035248,-95.423746,5325,278.2,346.9,3072
30.037599,-95.42439,5425,278.2,346.9,3264
30.0401,-95.425092,5525,277.5,346.7,3456
30.041742,-95.425543,5600,276.5,346.6,3584
30.043716,-95.426061,5700,275.8,346.4,3520
30.045456,-95.426546,5775,275.8,346.4,3456
30.047328,-95.427081,5875,274.8,346.3,3392
30.049935,-95.42785,5975,274.8,346.3,3328
30.051797,-95.428345,6075,273.8,346.3,3264
30.054264,-95.429059,6175,273.8,346.3,3136
30.056871,-95.429773,6275,273.8,346.3,2944
30.059189,-95.430424,6375,274.8,346.3,2944
30.061569,-95.43107,6475,274.8,346.3,2944
30.06404,-95.43175,6575,274.6,346.5,2944
30.066973,-95.432574,6675,274.6,346.5,2880
30.069443,-95.433224,6775,274.3,346.7,2880
30.071815,-95.433893,6875,274.3,346.7,2752
30.074799,-95.434678,6975,274.3,346.7,2624
30.080521,-95.43624,7175,276.3,346.8,2496
30.086525,-95.437848,7375,277.3,346.9,2496
30.092204,-95.439331,7575,279.0,347.2,2368
30.098648,-95.441033,7775,280.9,347.2,2304
30.105705,-95.442847,7975,284.1,347.2,2112
30.111244,-95.44433,8150,284.5,346.8,2560
30.117389,-95.446033,8350,284.8,346.6,2880
30.12265,-95.447461,8550,284.0,346.4,3008
30.127487,-95.448842,8750,282.1,346.3,3456
30.131401,-95.449988,8950,280.1,345.3,3712
30.135545,-95.451306,9125,278.8,344.0,3392
30.13885,-95.45246,9275,277.7,342.6,2944
30.141317,-95.453394,9375,278.0,342.4,2624
30.14328,-95.45412,9425,278.0,341.8,2240
30.150534,-95.456964,9625,280.5,341.5,1792
30.158386,-95.459936,9825,283.0,341.9,2112
30.164658,-95.462252,10025,284.6,342.2,2368
30.171204,-95.464655,10225,285.3,342.5,2112
30.17601,-95.466398,10350,288.1,342.6,1664
30.17935,-95.467566,10400,289.1,342.7,1216
30.190796,-95.47173,10550,298.5,342.0,896
30.202423,-95.4762,10700,307.1,341.4,1088
30.215149,-95.481154,10850,314.7,341.3,832
30.228241,-95.486271,10975,323.8,341.5,960
30.24052,-95.491022,11125,332.0,341.6,960
30.255707,-95.496772,11250,340.3,341.7,832
30.271105,-95.502722,11375,350.1,340.5,640
30.280746,-95.507112,11450,355.6,337.7,704
30.290131,-95.512013,11550,360.1,334.9,1088
30.292984,-95.513599,11575,360.9,334.2,1472
30.29615,-95.515411,11650,361.4,333.7,1920
30.305603,-95.520845,11850,363.1,333.5,1792
30.324417,-95.53167,12175,367.6,333.5,1728
30.341911,-95.541724,12550,370.7,333.6,1920
30.35994,-95.552027,12925,373.0,333.6,1920
30.377792,-95.562259,13300,374.8,333.7,1984
30.395679,-95.572211,13675,376.2,334.3,1984
30.412484,-95.581604,14050,376.6,334.2,2176
30.429977,-95.591341,14425,377.0,334.0,2112
30.447258,-95.601105,14825,377.5,333.9,2112
30.464529,-95.610883,15200,377.9,333.8,2112
30.481522,-95.620584,15575,378.8,333.5,1920
30.50061,-95.63157,15925,381.0,333.5,1728
30.519228,-95.642194,16275,383.3,333.8,1920
30.53729,-95.652356,16650,384.2,334.2,2048
30.554901,-95.66216,17025,383.8,334.4,2048
30.572479,-95.671584,17400,383.1,335.6,2112
30.588821,-95.680039,17800,381.9,336.0,2432
30.605804,-95.688656,18200,380.1,336.3,2240
30.619315,-95.695532,18500,380.1,336.3,1792
30.638672,-95.705405,18850,380.6,336.1,1792
30.657257,-95.714937,19200,381.0,336.0,1856
30.675705,-95.724577,19550,380.4,335.5,1856
30.694382,-95.734648,19900,379.3,334.7,1856
30.71242,-95.744751,20275,379.3,334.0,1920
30.727736,-95.75343,20550,379.3,334.0,1472
30.735836,-95.757935,20650,380.6,334.3,1024
30.762268,-95.7724,20900,387.9,335.1,896
30.791,-95.787653,21150,395.2,335.6,768
30.820654,-95.803198,21400,401.5,335.7,1088
30.845993,-95.816453,21675,404.1,335.6,1344
30.869202,-95.828786,22000,404.0,335.3,1344
30.892856,-95.841541,22300,405.7,334.8,1024
30.920654,-95.856844,22550,409.3,334.7,1024
30.946198,-95.870792,22825,412.9,334.9,1088
30.971603,-95.884471,23100,414.3,335.2,1088
31.000488,-95.899927,23350,417.9,335.4,704
31.029327,-95.915061,23600,420.8,335.9,1024
31.056381,-95.929278,23875,421.5,335.3,1088
31.083618,-95.944142,24150,422.2,334.5,1088
31.110855,-95.959329,24425,423.6,334.7,1088
31.12599,-95.967059,24550,425.7,337.0,832
31.139118,-95.972937,24650,429.1,339.5,704
31.151966,-95.977991,24725,432.0,342.1,768
31.188217,-95.991373,24950,435.8,341.8,640
31.225891,-96.006226,25150,439.6,341.1,704
31.256653,-96.018515,25350,442.4,340.9,1152
31.259129,-96.019519,25375,442.4,340.9,1600
31.263226,-96.021167,25450,441.5,340.8,2048
31.268967,-96.02347,25550,440.2,340.9,2496
31.279706,-96.027759,25825,435.8,341.4,2944
31.2953,-96.033746,26225,429.4,341.8,3136
31.308609,-96.038765,26625,423.4,342.1,3328
31.321323,-96.043524,27025,415.6,342.4,3648
31.332915,-96.047809,27400,409.2,342.4,3264
31.34297,-96.051489,27700,404.5,342.6,2816
31.351181,-96.05449,27900,402.3,342.6,2368
31.360748,-96.057991,28100,399.8,342.4,1920
31.369179,-96.061157,28225,399.1,342.2,1472
31.378117,-96.064563,28325,399.1,341.8,1024
31.38533,-96.067361,28400,399.4,341.6,576
31.420293,-96.081262,28525,406.4,340.9,384
31.455917,-96.095689,28625,412.1,340.7,320
31.479675,-96.105329,28725,415.5,341.0,768
31.509441,-96.117188,28975,417.4,341.1,896
31.539185,-96.128971,29225,419.0,341.4,832
31.572659,-96.142181,29450,420.3,341.3,704
31.602266,-96.153827,29700,421.8,341.5,896
31.618187,-96.160089,29850,420.9,341.4,1344
31.642115,-96.169427,30175,417.7,341.4,1536
31.654032,-96.174097,30325,416.8,341.4,1152
31.661362,-96.176955,30375,417.7,341.4,704
31.694439,-96.189917,30600,418.7,341.5,1088
31.718994,-96.19952,30925,415.5,341.5,1536
31.741882,-96.208514,31250,412.4,341.5,1600
31.762573,-96.216538,31600,407.0,341.5,1856
31.773605,-96.220898,31775,406.0,341.5,1408
31.783028,-96.224596,31875,405.1,341.4,960
31.791408,-96.227847,31925,404.1,341.4,512
31.822769,-96.240179,32000,401.0,341.4,64
31.857834,-96.254077,32000,406.4,341.3,-128
31.876831,-96.261534,32000,409.2,341.5,320
31.90574,-96.272913,32150,411.4,341.4,768
31.92746,-96.281433,32275,413.3,341.5,320
31.963715,-96.29566,32375,418.7,341.5,768
31.972868,-96.299258,32450,418.7,341.5,1216
31.986603,-96.304669,32650,416.5,341.5,1664
32.007477,-96.312854,33000,412.0,341.6,1728
32.017593,-96.316809,33125,410.1,341.5,1280
32.041718,-96.326312,33350,409.5,341.3,832
32.053207,-96.330872,33425,409.8,341.2,384
32.08869,-96.344997,33475,415.2,341.2,192
32.124536,-96.359346,33525,419.0,341.4,192
32.161358,-96.374032,33575,423.8,341.1,384
32.198274,-96.388662,33775,425.3,341.4,768
32.232285,-96.401953,34000,425.3,341.8,576
32.269409,-96.41618,34200,425.7,342.1,640
32.305903,-96.429917,34375,427.0,342.4,576
32.338257,-96.442053,34625,426.0,342.4,960
32.372269,-96.454687,34850,424.7,342.5,640
32.403337,-96.466351,35100,423.1,342.2,896
32.433289,-96.477704,35350,421.2,342.2,896
32.449237,-96.483727,35450,420.3,342.1,448
32.48606,-96.49774,35525,422.8,342.0,512
32.523148,-96.512036,35700,423.8,342.0,448
32.554733,-96.524176,35750,426.0,342.0,0
32.579956,-96.533954,35750,427.5,341.7,448
32.617198,-96.548636,35950,425.0,341.5,256
32.638938,-96.557381,35975,422.0,340.2,64
32.648804,-96.562134,36000,417.9,336.8,64
32.658397,-96.56747,36000,415.5,333.9,0
32.667801,-96.573505,36000,413.2,330.9,-64
32.675109,-96.578849,35975,410.6,327.4,-64
32.682837,-96.585295,35975,408.0,324.0,-64
32.690611,-96.592694,35975,406.3,320.4,0
32.6975,-96.600205,35975,403.9,316.7,0
32.703319,-96.607323,35975,401.1,313.3,0
32.709371,-96.615619,35975,399.0,309.9,64
32.723053,-96.635907,36000,398.7,308.3,64
32.745483,-96.669635,36000,400.9,308.2,-64
32.768353,-96.704014,35975,402.3,308.2,64
32.791306,-96.738629,36000,405.3,308.1,0
32.8143,-96.773408,36000,408.1,308.1,0
32.837483,-96.808328,36025,409.5,308.2,128
32.860748,-96.843549,36050,410.5,307.9,0
32.883453,-96.877991,36050,411.1,308.0,0
32.906241,-96.912642,36050,411.1,308.0,0
32.929563,-96.948068,36025,411.9,307.9,-128
32.953033,-96.983899,36000,414.1,307.8,-64
32.976196,-97.019275,36000,414.1,307.8,0
32.999542,-97.054816,36025,414.7,308.0,64
33.023273,-97.090946,36000,415.5,307.9,-64
33.046875,-97.127051,35975,416.9,307.9,-64
33.070477,-97.162974,35975,416.9,307.9,0
33.093846,-97.198679,35975,417.7,307.8,0
33.117188,-97.234552,35975,418.4,307.7,0
33.140762,-97.270642,35975,420.5,307.9,0
33.164233,-97.306581,35975,420.5,307.9,64
33.187454,-97.342218,36000,419.2,307.6,0
33.210785,-97.378216,36000,418.4,307.7,0
33.234375,-97.414508,35975,418.4,307.7,-64
33.257629,-97.450269,35975,418.4,307.7,0
33.281172,-97.486622,35975,418.4,307.7,0
33.304588,-97.522776,35975,419.2,307.6,0
33.327805,-97.558704,35950,419.2,307.6,-64
33.35114,-97.594804,35950,420.0,307.5,-64
33.374313,-97.630664,35950,420.0,307.5,0
33.398158,-97.667616,35975,420.6,307.7,64
33.421188,-97.703339,35975,420.8,307.5,0
33.444351,-97.739264,35975,420.8,307.5,0
33.46756,-97.775409,35975,420.2,307.4,64
33.49117,-97.812288,36000,420.2,307.4,64
33.514818,-97.849059,36000,419.4,307.4,0
33.537918,-97.885162,35975,419.6,307.2,-64
33.56131,-97.921871,35975,418.8,307.3,0
33.58474,-97.958508,35975,418.8,307.3,0
33.607923,-97.994785,35975,418.8,307.3,0
