lat,lon,alt,gs,track
35.873783,-78.789226,-50.0,3.8,312.2
35.873725,-78.789139,-50.0,3.8,312.2
35.873632,-78.789022,-50.0,3.8,312.2
35.873566,-78.788939,-50.0,3.2,315.0
35.873492,-78.788847,-50.0,0.1,315.0
35.873492,-78.788847,-50.0,0.1,315.0
35.873486,-78.788838,-50.0,0.0,315.0
35.873486,-78.788838,-50.0,0.0,315.0
35.873486,-78.788838,-50.0,0.0,315.0
35.873492,-78.788847,-50.0,0.0,315.0
35.873492,-78.788847,-50.0,0.0,315.0
35.873492,-78.788847,-50.0,0.0,315.0
35.873515,-78.78889,-50.0,0.0,309.4
35.87352,-78.788939,-50.0,1.9,286.9
35.873504,-78.788978,-50.0,2.2,272.8
35.873497,-78.788996,-50.0,2.8,264.4
35.873486,-78.789024,-50.0,3.2,255.9
35.873469,-78.789051,-50.0,3.2,247.5
35.873445,-78.78908,-50.0,3.8,239.1
35.873428,-78.78911,-50.0,4.2,233.4
35.873394,-78.789139,-50.0,4.8,227.8
35.873364,-78.789168,-50.0,4.8,222.2
35.873306,-78.789212,-50.0,4.8,216.6
35.873248,-78.78927,-50.0,4.8,213.8
35.873188,-78.78931,-50.0,4.8,210.9
35.873119,-78.789339,-50.0,4.2,202.5
35.87305,-78.789373,-50.0,4.8,199.7
35.87291,-78.789416,-50.0,5.2,196.9
35.87273,-78.789482,-50.0,5.8,196.9
35.872642,-78.789533,-50.0,5.8,199.7
35.872561,-78.789577,-50.0,6.2,205.3
35.872478,-78.789639,-50.0,6.8,210.9
35.872398,-78.789723,-50.0,6.8,216.6
35.872317,-78.789811,-50.0,7.2,219.4
35.872223,-78.789928,-50.0,7.2,222.2
35.872095,-78.790074,-50.0,7.2,225.0
35.871921,-78.790308,-50.0,7.2,225.0
35.871723,-78.790555,-50.0,7.2,225.0
35.871502,-78.790819,-50.0,7.2,225.0
35.871334,-78.791041,-50.0,7.8,225.0
35.870967,-78.791491,-50.0,8.8,225.0
35.870853,-78.791614,-50.0,8.8,225.0
35.870524,-78.792031,-50.0,9.8,225.0
35.87051,-78.792057,-50.0,9.8,225.0
35.87618,-78.783134,150,155.6,45.0
35.877298,-78.78179,200,161.2,45.0
35.87781,-78.781147,225,161.2,45.0
35.878042,-78.780855,225,162.6,45.0
35.878876,-78.779869,300,161.9,44.8
35.879425,-78.779182,350,161.9,44.8
35.880478,-78.777924,450,159.1,44.8
35.881301,-78.77694,550,157.7,44.7
35.882538,-78.775406,650,157.7,44.7
35.883682,-78.774033,750,157.7,43.7
35.884932,-78.772732,850,158.7,41.4
35.8862,-78.771572,950,159.2,37.1
35.887894,-78.770313,1050,160.5,30.7
35.889587,-78.769226,1150,160.2,28.3
35.891235,-78.768196,1250,162.8,27.0
35.893265,-78.766947,1350,165.0,26.2
35.894243,-78.766363,1400,166.4,26.4
35.896105,-78.765252,1450,170.8,26.4
35.89806,-78.764025,1500,174.9,26.1
35.899658,-78.763046,1525,178.4,26.3
35.901123,-78.762188,1550,182.9,26.3
35.902436,-78.761395,1575,185.1,26.3
35.904053,-78.760414,1625,190.1,26.6
35.906532,-78.758883,1700,194.5,26.6
35.908035,-78.757954,1725,198.1,26.7
35.910676,-78.756311,1800,202.6,26.7
35.913162,-78.754807,1875,207.1,26.7
35.915796,-78.753156,1975,210.6,26.8
35.918031,-78.751753,2050,212.9,26.8
35.919148,-78.751052,2125,214.2,26.9
35.921103,-78.749825,2225,215.6,27.0
35.922821,-78.748741,2325,215.6,27.0
35.924606,-78.747597,2425,215.6,27.0
35.925934,-78.746796,2500,215.6,27.0
35.927527,-78.745792,2600,215.6,27.0
35.929017,-78.744857,2700,215.6,27.0
35.930191,-78.744106,2775,215.6,27.0
35.931671,-78.743163,2875,215.6,27.0
35.933121,-78.742275,2975,214.7,27.2
35.934265,-78.741531,3050,214.7,27.2
35.935547,-78.74073,3150,214.7,27.2
35.937424,-78.739586,3275,214.7,27.2
35.939163,-78.738441,3375,214.7,27.2
35.941121,-78.737261,3475,215.6,27.0
35.943262,-78.735916,3575,217.3,26.8
35.946009,-78.734222,3675,219.6,26.8
35.948959,-78.732433,3775,223.6,26.6
35.951889,-78.730602,3875,228.1,26.6
35.954315,-78.729115,3925,232.1,26.3
35.95788,-78.726975,4025,237.0,26.6
35.961557,-78.724638,4125,241.9,26.8
35.964723,-78.722709,4200,246.4,26.8
35.96727,-78.721104,4300,249.5,26.7
35.970868,-78.718911,4400,253.1,26.8
35.97345,-78.717327,4500,254.9,26.1
35.976128,-78.715814,4600,255.9,25.5
35.978989,-78.714523,4700,258.1,19.0
35.981369,-78.713722,4800,258.3,14.6
35.983809,-78.713126,4900,258.9,10.0
35.986602,-78.712775,5000,259.1,5.3
35.989209,-78.712833,5100,261.0,0.2
35.992375,-78.713184,5200,262.1,352.8
35.994781,-78.713779,5300,263.4,348.4
35.997711,-78.714809,5400,265.7,344.5
36.00122,-78.716515,5500,268.0,338.3
36.004669,-78.718643,5575,270.2,334.6
36.007318,-78.720723,5600,272.9,326.7
36.010437,-78.723679,5650,274.6,321.2
36.01337,-78.727151,5675,275.8,315.6
36.015837,-78.730657,5700,276.8,310.0
36.018072,-78.734514,5700,277.1,304.3
36.01998,-78.73878,5700,277.9,298.6
36.021286,-78.742504,5725,278.3,294.6
36.022354,-78.746318,5725,278.9,288.8
36.023346,-78.75103,5725,278.9,284.5
36.024536,-78.758526,5725,280.7,280.5
36.026047,-78.770599,5700,281.9,278.2
36.027522,-78.785706,5700,281.7,276.3
36.028061,-78.795605,5700,281.6,273.7
36.028061,-78.801098,5700,282.0,269.4
36.027708,-78.806802,5700,282.4,264.3
36.02687,-78.812879,5700,282.3,260.0
36.025613,-78.818957,5700,283.3,256.1
36.024124,-78.824215,5725,284.3,251.1
36.021982,-78.830352,5725,284.4,246.6
36.019189,-78.837072,5725,285.4,242.4
36.010895,-78.856087,5725,285.8,242.7
36.009413,-78.859746,5750,285.8,243.2
36.00824,-78.862553,5800,285.3,243.4
36.005828,-78.868687,5900,285.3,243.8
36.003687,-78.874122,6000,285.8,244.1
36.001965,-78.878505,6100,286.7,244.1
36.000335,-78.882596,6200,286.7,244.1
35.998947,-78.886127,6300,287.6,244.2
35.997757,-78.88916,6400,287.6,244.2
35.996285,-78.892998,6500,288.0,244.1
35.995377,-78.895226,6600,288.9,244.1
35.994237,-78.89814,6700,288.9,244.1
35.993399,-78.900302,6800,288.5,244.3
35.992328,-78.903049,6900,288.5,244.3
35.991486,-78.905182,7000,288.5,244.3
35.989655,-78.909931,7200,288.5,244.3
35.987457,-78.915424,7400,289.8,244.2
35.985392,-78.920756,7600,290.7,244.3
35.983623,-78.925197,7800,290.7,244.3
35.981415,-78.930874,8000,292.1,244.2
35.97934,-78.936125,8200,292.5,244.1
35.977386,-78.941116,8400,293.4,244.1
35.975104,-78.946994,8600,295.2,244.3
35.973056,-78.952254,8800,296.1,244.4
35.970868,-78.957805,9000,297.4,244.3
35.968826,-78.963032,9200,298.3,244.4
35.966812,-78.968182,9400,298.8,244.2
35.965027,-78.972816,9575,298.8,244.2
35.96347,-78.97665,9750,298.8,244.2
35.961685,-78.981228,9950,297.9,244.1
35.960175,-78.985119,10125,297.9,244.1
35.95903,-78.98798,10225,298.8,244.2
35.958481,-78.98941,10275,299.7,244.3
35.957565,-78.991756,10350,301.0,244.2
35.956716,-78.99392,10400,303.2,244.2
35.955738,-78.996433,10450,304.1,244.3
35.954773,-78.998852,10475,305.5,244.2
35.954178,-79.000397,10500,307.3,244.4
35.951157,-79.008179,10550,316.2,244.3
35.948959,-79.013729,10600,322.9,244.3
35.94429,-79.025745,10775,332.8,244.4
35.940143,-79.036346,10850,341.7,244.3
35.935534,-79.048092,10975,351.1,244.2
35.930328,-79.061394,11100,360.9,244.2
35.926392,-79.071407,11150,370.8,244.3
35.925293,-79.074154,11175,373.5,244.1
35.924194,-79.077072,11225,374.4,244.2
35.923058,-79.07994,11275,376.6,244.2
35.921585,-79.083595,11325,376.6,244.2
35.920166,-79.087257,11425,377.9,244.1
35.918264,-79.092096,11525,378.8,244.2
35.91561,-79.098816,11725,378.8,244.2
35.912724,-79.106062,11925,380.2,244.1
35.906021,-79.122963,12300,384.6,243.8
35.898239,-79.142361,12700,390.0,243.8
35.892517,-79.15678,13025,392.2,243.8
35.886475,-79.171886,13425,393.1,243.9
35.884232,-79.177437,13550,394.5,243.8
35.876692,-79.196407,13950,398.9,243.8
35.869812,-79.2136,14350,400.7,243.9
35.8629,-79.230938,14750,403.0,243.9
35.856262,-79.247704,15125,405.2,243.9
35.848668,-79.267409,15450,410.5,246.0
35.844106,-79.281493,15750,411.2,249.1
35.840836,-79.293652,16000,412.1,252.1
35.837728,-79.307147,16225,413.6,255.3
35.834889,-79.322808,16475,414.5,257.7
35.833306,-79.334204,16675,416.3,260.9
35.831909,-79.348526,16900,417.4,263.8
35.830032,-79.373989,17300,420.9,264.5
35.829349,-79.382649,17450,421.9,264.6
35.827881,-79.401855,17850,421.9,264.6
35.82609,-79.424549,18225,423.9,264.6
35.824539,-79.444656,18625,424.9,264.6
35.822525,-79.470692,19025,428.0,264.5
35.82074,-79.493694,19425,430.0,264.5
35.818735,-79.519335,19825,433.2,264.2
35.816873,-79.536457,20100,435.7,261.5
35.814406,-79.553404,20375,439.1,259.0
35.80989,-79.579468,20775,441.5,258.1
35.805607,-79.604596,21175,443.4,258.2
35.800998,-79.631828,21575,445.4,258.2
35.796064,-79.660872,21950,449.5,258.2
35.791168,-79.68956,22325,451.5,258.2
35.786195,-79.719018,22700,454.6,258.2
35.781167,-79.748353,23075,457.8,258.1
35.776016,-79.778709,23425,459.9,258.1
35.770935,-79.808178,23800,462.1,258.0
35.765712,-79.838581,24150,465.0,258.1
35.760033,-79.871657,24500,468.0,258.2
35.754679,-79.902922,24850,471.1,258.1
35.751938,-79.921417,25025,471.2,260.7
35.750656,-79.934921,25175,471.6,264.0
35.749931,-79.948854,25350,470.7,267.0
35.749832,-79.964218,25525,469.0,270.2
35.750396,-79.980001,25725,467.8,273.4
35.751022,-79.98888,25850,467.0,275.3
35.751467,-79.994085,25900,465.7,276.2
35.752029,-79.999638,25925,466.1,276.6
35.75322,-80.009537,25975,464.0,278.4
35.755646,-80.024929,26000,461.3,281.5
35.758667,-80.040665,26050,459.6,284.0
35.759766,-80.045872,26100,458.9,284.1
35.761002,-80.051937,26150,458.6,284.0
35.762146,-80.057774,26225,458.2,283.8
35.76357,-80.065028,26325,456.9,283.7
35.765533,-80.074997,26500,455.5,283.5
35.769241,-80.094452,26900,450.9,283.2
35.77153,-80.106468,27150,448.5,283.0
35.772834,-80.113415,27250,447.5,283.0
35.776611,-80.133476,27575,445.4,283.0
35.780609,-80.154847,27975,441.2,283.0
35.784053,-80.173314,28375,437.1,283.0
35.787369,-80.190983,28775,432.0,283.0
35.790524,-80.207909,29175,426.9,283.0
35.794098,-80.226746,29575,422.8,283.0
35.797786,-80.246537,29975,419.7,282.9
35.80188,-80.268288,30375,416.7,283.0
35.806073,-80.290482,30775,413.6,283.0
35.810728,-80.315143,31175,411.6,283.1
35.815337,-80.339511,31550,409.5,283.0
35.820411,-80.36651,31900,408.5,283.0
35.825718,-80.394618,32225,408.5,283.0
35.83149,-80.42524,32550,408.5,283.0
35.837036,-80.454826,32875,408.5,283.0
35.84257,-80.484379,33200,407.3,282.9
35.847783,-80.512429,33525,406.3,282.9
35.852783,-80.539169,33875,404.1,282.9
35.858093,-80.567322,34200,402.4,283.1
35.863239,-80.594593,34550,400.3,283.0
35.86808,-80.620364,34900,396.1,283.0
35.872829,-80.645784,35250,394.0,282.9
35.877717,-80.671965,35600,390.8,282.9
35.883024,-80.700424,35925,388.6,282.8
35.884415,-80.707912,35975,388.6,282.8
35.885398,-80.713163,36000,388.9,282.9
35.893312,-80.755589,35975,389.8,282.9
35.901215,-80.798092,35975,390.8,282.9
35.909139,-80.841435,36000,392.5,282.7
35.916962,-80.884438,35975,393.5,282.6
35.924744,-80.927067,35975,394.5,282.6
35.932617,-80.970097,35975,395.7,282.7
35.940674,-81.013985,36000,396.7,282.7
35.948685,-81.05793,36000,396.7,282.7
35.956467,-81.101074,35975,397.6,282.6
35.96435,-81.144318,35975,397.6,282.6
35.972351,-81.188164,35975,397.6,282.6
35.980364,-81.23215,36000,398.4,282.5
35.988232,-81.275862,35975,398.4,282.5
35.996017,-81.319313,36000,398.4,282.5
36.003799,-81.362801,35975,396.2,282.4
36.011461,-81.405594,35975,389.2,282.5
36.019089,-81.448402,35975,387.0,282.4
36.026688,-81.490688,35975,387.2,282.5
36.034241,-81.533031,35975,387.0,282.4
36.041906,-81.576058,35975,387.0,282.4
36.049448,-81.618717,35975,387.0,282.4
36.056946,-81.660976,35975,388.0,282.4
36.06459,-81.704292,35975,389.0,282.3
36.072212,-81.747573,35975,391.9,282.2
36.0798,-81.790583,35975,393.8,282.2
36.087434,-81.834353,36000,394.8,282.1
36.095078,-81.878014,35975,394.8,282.1
36.10261,-81.92125,35975,395.8,282.1
36.110245,-81.965137,35975,395.8,282.1
36.117833,-82.009083,36000,396.8,282.1
36.125427,-82.052822,35975,396.8,282.1
36.133056,-82.096798,36000,396.8,282.1
36.140625,-82.14077,35975,397.5,281.9
36.148087,-82.1842,36000,397.5,281.9
36.15564,-82.228374,35975,397.5,281.9
36.163055,-82.271576,35975,398.5,281.9
36.170577,-82.315706,36000,398.5,281.9
36.178165,-82.360119,35975,399.5,281.8
36.185669,-82.404385,35975,399.5,281.8
36.193222,-82.448845,35975,400.5,281.8
36.200649,-82.492598,35975,400.5,281.8
36.208191,-82.537308,36000,400.5,281.8
36.215639,-82.581131,35975,400.5,281.8
36.22316,-82.625885,36000,401.3,281.6
36.230583,-82.670249,36000,401.3,281.6
36.238083,-82.714977,35975,401.3,281.6
36.245361,-82.758923,35975,401.3,281.6
36.252695,-82.802845,35975,401.3,281.6
36.260056,-82.847385,35975,401.3,281.6
36.267452,-82.891904,35975,401.1,281.5
36.274658,-82.935677,35975,402.0,281.5
36.282023,-82.980145,35975,402.0,281.5
36.289352,-83.024426,36000,402.0,281.5
36.296594,-83.068679,36000,403.0,281.5
36.303955,-83.113632,36000,403.0,281.5
36.311258,-83.158556,35975,402.8,281.3
36.318427,-83.202969,35975,403.8,281.3
36.325607,-83.247185,36000,402.8,281.3
36.332858,-83.291853,35975,402.8,281.3
36.34012,-83.3365,36000,402.8,281.3
36.347336,-83.381029,36000,402.8,281.3
36.354551,-83.425676,35975,403.6,281.1
36.361633,-83.470287,35975,403.6,281.1
36.368774,-83.515034,36000,403.6,281.1
36.375919,-83.559733,36000,402.6,281.2
