lat,lon,alt,gs,track
29.079076,-81.046035,-50.0,1.9,0.0
29.079391,-81.045997,-50.0,4.2,0.0
29.079826,-81.045945,-50.0,2.2,0.0
29.079884,-81.045839,-50.0,2.2,0.0
29.079929,-81.045826,-50.0,0.0,0.0
29.079884,-81.045694,-50.0,3.2,0.0
29.079735,-81.045628,-50.0,0.0,0.0
29.079655,-81.045654,-50.0,9.2,0.0
29.079311,-81.045667,-50.0,5.2,0.0
29.078945,-81.045707,-50.0,6.2,0.0
29.07851,-81.045799,-50.0,4.2,0.0
29.07819,-81.045826,-50.0,5.2,0.0
29.078156,-81.045931,-50.0,8.2,0.0
29.07811,-81.046275,-50.0,8.2,0.0
29.078133,-81.046618,-50.0,7.2,0.0
29.078133,-81.047001,-50.0,8.2,0.0
29.078167,-81.047344,-50.0,7.2,0.0
29.078167,-81.047754,-50.0,8.2,0.0
29.078259,-81.048176,-50.0,8.2,0.0
29.07819,-81.048546,-50.0,10.2,0.0
29.077789,-81.048717,-50.0,8.2,0.0
29.077549,-81.048968,-50.0,6.2,0.0
29.077354,-81.049259,-50.0,9.2,0.0
29.077251,-81.049681,-50.0,7.2,0.0
29.077206,-81.049959,-50.0,9.2,0.0
29.077137,-81.050342,-50.0,4.2,0.0
29.077034,-81.050751,-50.0,8.2,0.0
29.076668,-81.050949,-50.0,6.2,0.0
29.076496,-81.051266,-50.0,1.9,0.0
29.076519,-81.051319,-50.0,0.0,0.0
29.076565,-81.051253,-50.0,0.0,0.0
29.076588,-81.051292,-50.0,0.0,0.0
29.076622,-81.051332,-50.0,2.2,0.0
29.076817,-81.05149,-50.0,6.2,0.0
29.076954,-81.051372,-50.0,10.2,0.0
29.077103,-81.05116,-200,10.2,45.0
29.077332,-81.050843,-200,25.6,51.3
29.077515,-81.050579,-200,35.5,49.6
29.077881,-81.050051,-200,42.6,50.7
29.078339,-81.049417,-200,49.0,50.8
29.078705,-81.048942,-200,56.1,50.1
29.079254,-81.048203,-200,63.1,49.5
29.080215,-81.046776,-200,68.4,52.1
29.08168,-81.044664,-100,69.8,52.0
29.082916,-81.042762,0,74.0,51.6
29.083145,-81.042498,-100,75.2,54.2
29.084015,-81.041178,0,73.8,54.4
29.084793,-81.039857,0,73.5,56.1
29.085159,-81.03917,100,71.3,58.8
29.086212,-81.037163,200,70.3,60.2
29.086716,-81.03616,200,71.3,55.9
29.086899,-81.035896,200,70.1,47.9
29.087448,-81.035368,200,72.2,36.5
29.087723,-81.035209,200,75.2,23.5
29.088455,-81.035051,300,76.5,6.8
29.088821,-81.035051,300,80.0,358.6
29.089554,-81.035262,300,84.5,343.5
29.089966,-81.035473,300,89.0,332.6
29.090332,-81.035737,300,89.4,323.6
29.090607,-81.036054,300,95.7,318.8
29.091156,-81.036846,300,93.5,302.3
29.091431,-81.037322,300,99.7,295.5
29.091476,-81.037797,400,99.6,289.3
29.091522,-81.038325,400,98.3,279.4
29.091476,-81.039382,400,99.9,262.5
29.091202,-81.040438,400,101.6,256.9
29.091019,-81.040914,400,99.3,245.0
29.090652,-81.041864,400,102.9,237.7
29.089783,-81.043185,400,103.5,235.2
29.088318,-81.04535,500,104.2,232.8
29.086258,-81.048572,500,108.8,234.0
29.085022,-81.050421,600,110.6,232.7
29.083603,-81.052798,600,107.6,234.8
29.082642,-81.054171,700,110.4,232.0
29.082413,-81.054646,700,105.2,237.8
29.080307,-81.058502,700,109.6,238.1
29.079254,-81.060562,800,112.4,237.7
29.078751,-81.061566,800,109.1,242.7
29.077881,-81.063626,900,107.5,247.0
29.077273,-81.065638,900,105.7,252.9
29.07724,-81.065791,1000,105.7,252.9
29.077057,-81.066848,1000,103.0,258.8
29.076874,-81.067957,1000,103.4,265.0
