lat,lon,alt,gs,track,vs
33.429932,-112.369153,1075,39.8,218.9,-192
33.429627,-112.369453,1075,64.2,217.4,-128
33.42879,-112.370238,1050,71.8,218.8,-128
33.427067,-112.371807,1075,82.6,218.1,64
33.425857,-112.372929,1100,87.8,217.1,320
33.423523,-112.37514,1150,92.6,218.0,448
33.421434,-112.37702,1175,97.0,217.5,320
33.418595,-112.379655,1275,97.6,217.9,704
33.415988,-112.382121,1375,96.2,217.8,832
33.412857,-112.384863,1450,100.2,216.1,384
33.411118,-112.386456,1475,103.7,219.5,384
33.409889,-112.387839,1500,104.7,224.2,448
33.408958,-112.389184,1525,106.5,230.3,448
33.406212,-112.393108,1625,107.9,230.3,576
33.403381,-112.397113,1700,109.2,229.5,512
33.400719,-112.400787,1800,109.2,229.5,768
33.397842,-112.404749,1900,108.5,229.1,704
33.395039,-112.408634,1975,109.3,230.2,640
33.392712,-112.411997,2075,107.9,230.3,704
33.39057,-112.415024,2175,105.0,229.6,896
33.388916,-112.417328,2200,107.8,229.5,448
33.38768,-112.419196,2225,110.2,233.9,256
33.387032,-112.420517,2250,111.1,239.7,192
33.38649,-112.421942,2250,112.5,247.5,320
33.386124,-112.42337,2275,112.1,254.5,448
33.385849,-112.425073,2300,112.3,261.3,512
33.385682,-112.427244,2350,113.2,266.5,576
33.385636,-112.430999,2400,113.0,269.5,576
33.38562,-112.436279,2500,112.0,270.0,640
33.385636,-112.441593,2575,113.0,270.0,448
33.385666,-112.446881,2650,113.0,270.5,512
33.385712,-112.452155,2725,113.0,270.5,512
33.385803,-112.457538,2800,113.0,271.0,576
33.385868,-112.462837,2875,113.0,270.5,512
33.385915,-112.46833,2950,113.0,271.0,512
33.386032,-112.473633,3025,112.0,271.5,576
33.386101,-112.477971,3125,110.0,271.6,704
33.386307,-112.483411,3200,111.2,273.1,512
33.386581,-112.488794,3275,111.2,273.6,448
33.386893,-112.494002,3350,111.2,273.6,576
33.387172,-112.499327,3425,112.2,273.6,512
33.387498,-112.505045,3500,112.3,274.1,448
33.387772,-112.510327,3575,112.2,273.6,576
33.38801,-112.515471,3650,112.2,273.1,448
33.388243,-112.521412,3725,113.1,272.5,448
33.388504,-112.527411,3800,114.1,272.5,448
33.388755,-112.533688,3875,115.2,273.0,448
33.389053,-112.539825,3950,115.2,273.5,448
33.389313,-112.545291,4025,115.2,273.5,512
33.389603,-112.550812,4100,115.2,273.5,512
33.389965,-112.557118,4175,116.4,274.4,448
33.390291,-112.562667,4250,116.3,274.0,448
33.390663,-112.568833,4325,117.3,274.4,448
33.391036,-112.574382,4400,116.4,274.9,576
33.391455,-112.580043,4475,117.4,274.9,448
33.391891,-112.586462,4550,118.4,274.8,384
33.392386,-112.594,4625,119.3,274.3,384
33.392899,-112.602173,4700,121.3,273.8,320
33.39327,-112.610256,4775,123.2,273.3,320
33.393631,-112.617224,4850,122.3,273.8,448
33.393906,-112.621399,4875,122.8,276.5,384
33.394155,-112.622811,4900,123.6,281.7,320
33.394547,-112.624475,4900,124.3,288.3,256
33.395096,-112.625958,4925,124.9,294.1,320
33.395784,-112.627464,4925,126.1,301.0,320
33.396855,-112.629145,4950,125.8,306.6,320
33.397705,-112.630188,4975,126.6,315.3,384
33.39895,-112.631388,5000,127.0,322.7,384
33.40016,-112.632284,5000,127.4,328.8,384
33.401743,-112.633237,5025,128.0,335.0,320
33.404163,-112.634414,5050,128.2,339.4,384
33.409698,-112.63678,5125,128.4,340.4,384
33.416611,-112.639746,5200,130.6,340.3,256
33.423296,-112.642654,5275,131.9,340.0,448
33.428324,-112.644784,5350,131.0,339.9,448
33.434326,-112.647382,5425,130.6,340.3,384
33.441467,-112.650403,5475,131.6,341.8,320
33.443436,-112.651007,5500,132.2,347.3,320
33.445267,-112.651337,5525,131.6,354.3,256
33.446666,-112.651342,5525,131.0,0.4,320
33.448248,-112.651174,5550,131.0,7.0,384
33.449936,-112.650787,5575,130.1,12.4,448
33.452957,-112.649799,5600,129.1,16.2,384
33.45863,-112.647699,5675,129.4,16.6,384
33.464676,-112.645569,5750,129.4,16.6,448
33.472137,-112.642822,5825,129.7,17.0,256
33.478414,-112.640524,5900,129.7,17.0,384
33.484885,-112.63817,5975,127.8,17.3,512
33.491043,-112.635846,6050,127.8,17.3,320
33.498013,-112.633293,6125,127.8,17.3,320
33.505275,-112.630547,6200,127.8,17.3,384
33.511606,-112.628193,6275,128.7,17.2,384
33.518449,-112.62567,6350,128.7,17.2,384
33.524918,-112.623212,6425,129.0,17.6,384
33.531738,-112.62063,6500,129.0,17.6,384
33.538886,-112.617935,6575,129.3,18.0,320
33.546101,-112.615128,6625,130.3,17.9,320
33.551175,-112.613182,6700,130.3,17.9,320
33.55838,-112.610424,6750,131.2,17.7,256
33.565839,-112.607574,6800,132.2,17.6,256
33.571705,-112.605286,6875,132.5,18.0,320
33.578874,-112.602539,6950,132.5,18.0,384
33.58716,-112.599335,7050,132.2,17.6,384
33.597153,-112.59557,7125,134.4,17.8,192
33.607178,-112.591724,7200,135.7,18.0,128
33.617419,-112.587719,7275,136.0,18.4,384
33.620041,-112.586545,7300,135.9,22.0,256
