lat,lon,alt,gs,track,vs
61.21191,-149.839071,500,370.7,136.8,32640
61.212708,-149.840371,500,66.2,128.2,8000
61.211151,-149.83733,500,300.7,136.8,32640
61.21106,-149.837036,500,56.9,325.8,-7040
61.210187,-149.835409,500,300.7,136.8,32640
61.21019,-149.83527,500,300.7,136.8,32640
61.210373,-149.835663,500,12.2,350.5,-1408
61.209641,-149.834093,500,173.3,135.7,20480
61.209869,-149.83429,500,269.5,136.1,32320
61.210094,-149.834493,500,18.0,109.4,1664
61.210373,-149.834976,500,27.3,336.2,-3456
61.210739,-149.835565,500,9.2,77.5,256
61.211025,-149.836121,500,63.0,131.8,7680
61.211197,-149.836251,500,8.3,14.0,-832
61.211014,-149.835859,500,8.3,14.0,-832
61.21106,-149.835859,500,61.2,128.4,6976
61.210513,-149.834798,500,19.9,107.5,1792
61.211351,-149.835917,500,31.8,331.8,-4288
61.211746,-149.836448,500,152.1,324.6,-18624
61.211677,-149.836324,500,10.5,73.3,0
61.211491,-149.835917,500,290.0,136.1,32640
61.212341,-149.837036,500,22.1,354.8,-2432
61.212524,-149.837232,500,55.5,326.0,-6848
61.212158,-149.836153,500,21.5,117.8,1984
61.212282,-149.836222,500,18.4,112.4,1856
61.212003,-149.83551,500,16.5,346.0,-1856
61.212158,-149.835761,500,104.5,320.8,-13056
61.211863,-149.835103,500,224.2,136.3,26624
61.211884,-149.835074,500,6.7,63.4,320
61.213715,-149.838311,500,79.2,316.0,-9344
61.213772,-149.838359,500,79.2,316.0,-9344
61.211792,-149.836153,500,26.6,250.2,-192
61.211792,-149.836251,500,27.5,250.9,-320
61.211655,-149.837036,500,33.1,245.0,64
61.211444,-149.837545,500,37.6,244.8,192
61.211212,-149.838359,400,39.4,246.0,64
61.211105,-149.838508,500,45.2,245.1,192
61.210831,-149.840175,500,49.7,245.0,256
61.210746,-149.840698,500,52.3,243.9,320
61.21042,-149.842122,500,57.3,245.2,448
61.210052,-149.84302,500,58.8,238.2,448
61.209778,-149.843706,500,59.0,231.2,448
61.209503,-149.843903,500,57.8,217.3,384
61.209366,-149.844001,600,58.5,213.1,576
61.209045,-149.844295,600,59.6,202.7,896
61.208558,-149.84436,600,59.7,188.7,896
61.208221,-149.844491,600,56.1,184.1,448
61.207953,-149.844462,600,57.0,181.0,448
61.207487,-149.844259,600,58.9,165.3,512
61.207022,-149.84375,700,59.8,159.4,448
61.206417,-149.84314,700,62.2,152.2,448
61.204697,-149.841058,800,62.8,149.4,768
61.203065,-149.838867,800,61.3,146.3,832
61.202637,-149.838311,900,60.5,145.8,768
61.201156,-149.836019,900,61.4,142.9,640
61.200531,-149.835074,1000,61.1,140.3,704
61.198792,-149.831935,1100,59.7,140.4,640
61.196732,-149.828502,1200,59.8,141.8,704
61.194443,-149.824971,1300,61.4,142.9,576
61.192749,-149.82242,1300,61.9,145.5,768
61.192245,-149.821832,1400,60.5,145.8,768
61.191334,-149.820557,1400,60.9,150.5,448
61.190277,-149.819478,1400,64.4,154.2,64
61.188587,-149.817912,1400,68.5,156.8,320
61.187622,-149.817123,1500,70.0,158.2,384
61.184418,-149.814573,1500,69.6,159.0,384
61.183365,-149.813788,1600,70.6,159.2,384
61.180252,-149.811238,1600,72.2,158.1,128
61.177601,-149.809062,1600,76.9,159.4,-64
61.170868,-149.803685,1600,79.7,160.2,64
61.167572,-149.801429,1600,78.7,162.3,64
61.165466,-149.800055,1600,79.6,165.4,128
61.160935,-149.797872,1600,80.1,167.0,0
61.159818,-149.797363,1700,78.9,167.6,192
61.155861,-149.795634,1700,76.5,168.7,704
61.154617,-149.795151,1700,72.2,169.6,768
61.154418,-149.795125,1800,71.2,169.5,704
61.150508,-149.793498,1900,67.5,168.0,384
61.147888,-149.792502,1900,64.9,170.2,512
61.146504,-149.791972,2000,64.9,170.2,512
61.143402,-149.791031,2100,64.6,172.0,640
61.140152,-149.789952,2200,65.8,171.2,512
61.138596,-149.789461,2200,69.7,171.8,128
61.1353,-149.78848,2300,72.6,172.9,64
61.132864,-149.788106,2300,74.2,175.4,64
61.130676,-149.787892,2300,72.0,178.4,64
61.124112,-149.787496,2300,74.1,177.7,0
61.119965,-149.786911,2300,73.2,176.1,-64
61.117264,-149.786715,2300,73.0,178.4,64
61.114755,-149.78658,2300,73.0,180.0,-64
61.112595,-149.786715,2300,71.1,182.4,0
61.110054,-149.787089,2300,71.2,184.0,-64
61.104996,-149.787892,2400,68.2,184.2,896
61.104263,-149.78799,2400,64.1,183.6,832
61.102512,-149.788208,2500,60.0,181.9,640
61.101471,-149.788186,2500,58.0,178.0,640
61.099319,-149.787892,2600,59.1,177.1,320
61.097488,-149.787598,2600,58.3,174.1,448
61.095716,-149.787089,2600,60.7,171.5,192
61.094924,-149.786886,2700,61.7,171.6,448
61.093002,-149.786421,2700,64.4,173.8,512
61.091171,-149.786126,2800,69.2,175.9,256
61.089338,-149.78597,2800,72.1,177.6,64
61.087895,-149.78597,2800,74.0,180.8,192
61.084717,-149.786224,2800,77.1,183.0,-192
61.081377,-149.786682,2800,78.2,184.4,-256
61.079096,-149.786987,2700,79.2,183.6,-64
61.078262,-149.787107,2800,78.2,183.7,256
61.075465,-149.787496,2800,78.1,182.2,-64
61.069702,-149.78799,2800,76.1,183.0,-64
61.067139,-149.78848,2800,77.3,185.2,-64
61.064758,-149.789124,2800,78.6,187.3,-64
61.062384,-149.790039,2800,77.3,190.4,256
61.05986,-149.791129,2700,77.7,191.9,-576
61.059723,-149.791227,2800,79.3,193.9,-448
61.059219,-149.791521,2700,79.6,194.6,-960
61.056798,-149.792989,2700,81.3,196.4,-320
61.054656,-149.794617,2700,82.5,199.1,-128
61.052748,-149.796041,2600,83.2,200.4,-320
61.051163,-149.797407,2600,82.9,203.5,128
61.046929,-149.801232,2600,82.3,204.4,0
61.045486,-149.802657,2600,80.5,208.2,-256
61.040863,-149.80796,2600,77.4,206.9,256
61.039215,-149.80957,2600,78.4,203.3,-64
61.036315,-149.811925,2600,78.2,201.0,-64
61.033722,-149.814116,2600,77.1,202.9,0
61.028913,-149.818497,2600,77.9,204.3,0
61.026123,-149.821314,2600,78.3,206.6,-192
61.024211,-149.823303,2500,76.9,206.2,-384
61.021325,-149.826344,2400,78.3,208.2,-448
61.016344,-149.831935,2400,82.4,209.1,128
61.014947,-149.833701,2400,79.6,212.7,192
61.012434,-149.837134,2400,78.5,214.1,-256
61.010056,-149.84073,2400,75.8,216.4,-128
61.008087,-149.84395,2400,77.5,219.2,-384
61.006393,-149.846507,2300,77.2,216.6,-128
61.000702,-149.854889,2300,79.4,216.3,-320
61.000397,-149.855315,2200,80.2,215.9,-320
60.99884,-149.857778,2200,80.4,218.4,-128
60.994139,-149.865385,2200,79.8,217.9,-64
60.991299,-149.869799,2100,81.8,218.6,-512
60.987991,-149.875394,2100,83.7,220.2,-64
60.985201,-149.880197,2100,81.8,218.6,192
60.980118,-149.888274,2100,77.0,217.6,128
60.978333,-149.891021,2200,74.6,215.2,320
60.97554,-149.894998,2200,77.1,213.9,-64
60.973423,-149.898049,2200,80.8,216.4,384
60.971514,-149.900992,2200,79.0,218.3,64
60.970276,-149.903238,2200,80.7,222.0,0
60.969589,-149.904564,2300,80.1,221.5,64
60.965515,-149.911762,2300,79.3,221.9,256
60.96374,-149.914921,2300,79.7,218.9,0
60.960667,-149.920316,2300,81.6,220.5,128
60.95929,-149.922748,2300,78.2,218.8,-512
60.958237,-149.924264,2300,77.7,214.5,0
60.955399,-149.928052,2300,79.6,212.7,64
60.953498,-149.930616,2300,78.8,213.1,64
60.949173,-149.935913,2300,76.1,208.2,384
60.947028,-149.938365,2300,76.5,207.2,0
60.945511,-149.940364,2300,76.6,213.3,-128
60.940704,-149.946615,2300,76.0,212.6,-384
60.938276,-149.949646,2300,79.4,211.1,0
60.93269,-149.956316,2300,81.1,210.4,192
60.928826,-149.960829,2300,79.3,209.5,0
60.925827,-149.964231,2300,79.2,207.9,384
60.923193,-149.967205,2300,81.5,209.4,-448
60.918503,-149.972755,2300,86.1,210.7,448
60.916122,-149.975786,2300,85.8,211.6,128
60.914886,-149.977396,2400,84.4,211.4,512
60.911136,-149.982016,2400,83.5,211.8,0
60.90797,-149.986332,2400,84.3,213.9,0
60.905689,-149.989275,2400,82.2,211.6,-256
60.900382,-149.995553,2400,82.2,211.6,64
60.896988,-149.999842,2400,82.2,211.6,192
60.888748,-150.009503,2400,78.8,208.8,0
60.887283,-150.011207,2500,78.8,208.8,0
60.884834,-150.014191,2500,74.9,211.4,128
60.881156,-150.019095,2500,76.6,213.3,64
60.877432,-150.023509,2500,76.7,210.6,-640
60.874313,-150.026943,2500,78.3,208.2,64
60.872269,-150.029107,2400,75.6,207.6,64
60.86618,-150.035358,2400,75.1,206.9,-64
60.861694,-150.039715,2400,75.1,206.9,-64
60.857071,-150.043977,2300,75.1,206.9,-64
60.856903,-150.044109,2300,77.3,201.2,-256
60.85127,-150.048817,2200,77.6,201.9,-384
60.831764,-150.06716,2200,76.5,207.2,128
60.829902,-150.069024,2100,76.5,207.2,128
60.828049,-150.070969,2100,76.5,207.2,-384
60.824083,-150.074812,2200,73.0,203.4,576
60.82129,-150.07746,2200,72.9,205.2,256
60.8172,-150.081766,2200,76.1,208.2,-448
60.812851,-150.086596,2100,76.1,208.2,-448
60.806717,-150.093226,2100,78.7,207.2,-256
60.802872,-150.097204,2200,77.8,207.6,512
60.800171,-150.100234,2200,79.2,207.9,0
60.793173,-150.107771,2300,77.8,207.6,192
60.788452,-150.112641,2300,77.8,207.6,192
60.785431,-150.115956,2400,77.8,207.6,192
60.778015,-150.123722,2500,75.6,207.6,192
60.774582,-150.127321,2600,74.3,209.0,320
60.769571,-150.13298,2600,73.4,209.4,64
60.765846,-150.137493,2700,77.0,209.6,192
60.760071,-150.14399,2700,78.4,209.8,-128
60.752719,-150.15201,2700,76.9,207.9,320
60.748762,-150.156228,2700,77.4,206.9,384
60.745651,-150.159428,2800,79.6,206.9,128
60.738613,-150.166822,2800,76.5,205.6,128
60.737217,-150.168392,2800,78.8,208.8,0
60.736038,-150.169751,2800,79.3,209.5,-128
60.733932,-150.172498,2800,78.2,212.5,0
60.72963,-150.177896,2900,75.5,212.0,256
60.728622,-150.178938,2900,75.2,208.6,128
