lat,lon,alt,gs,track,vs
44.657272,-69.825047,1625,124.0,89.5,192
44.658005,-69.819423,1675,124.0,88.6,256
44.658772,-69.816708,1675,118.9,71.9,0
44.659424,-69.814632,1675,118.2,66.0,0
44.661026,-69.810137,1675,118.1,64.9,-128
44.665895,-69.798755,1650,119.9,62.2,0
44.668874,-69.792525,1600,124.0,56.2,0
44.672552,-69.785156,1600,129.3,55.1,0
44.676773,-69.776001,1600,129.8,56.3,0
44.680233,-69.768543,1600,127.9,56.8,-64
44.683305,-69.761643,1625,125.2,58.7,-128
44.685883,-69.754944,1625,126.1,62.6,192
44.6908,-69.740943,1600,127.5,63.4,-128
44.69545,-69.727478,1625,125.2,64.5,-128
44.699066,-69.716688,1625,125.3,65.5,64
44.701813,-69.707794,1600,125.4,66.5,0
44.705154,-69.696415,1625,124.6,67.3,0
44.709045,-69.683337,1650,124.6,67.3,0
44.712307,-69.672211,1650,125.5,67.5,0
44.713715,-69.667642,1650,125.5,67.5,0
44.715985,-69.660622,1675,124.0,65.7,256
44.71915,-69.650976,1625,121.2,65.1,-192
44.720718,-69.646585,1575,123.4,64.1,-640
44.722595,-69.641811,1575,128.0,61.0,-192
44.725845,-69.634029,1625,125.5,59.3,192
44.729507,-69.624285,1625,124.7,59.1,192
44.73009,-69.622371,1600,125.8,66.1,-256
44.733768,-69.610581,1600,127.5,65.4,192
44.735537,-69.604418,1600,124.2,67.8,-64
44.738144,-69.595173,1600,122.9,68.0,128
44.73912,-69.591195,1600,123.3,71.6,128
44.740494,-69.583806,1625,122.8,73.9,192
44.74103,-69.580301,1625,122.8,77.8,-64
44.742004,-69.573015,1625,127.1,79.6,0
44.743423,-69.562029,1625,125.0,79.9,0
44.744289,-69.553706,1650,124.3,81.7,128
44.746033,-69.537506,1625,126.4,81.4,-128
44.74791,-69.52155,1625,126.8,80.5,0
44.749329,-69.509844,1650,125.1,79.4,-192
44.750946,-69.497904,1625,126.7,78.2,-128
44.751984,-69.49173,1625,128.1,75.5,-256
44.75354,-69.484209,1600,127.2,73.6,-384
44.754776,-69.478847,1600,123.7,71.1,0
44.756206,-69.473319,1575,121.3,68.7,-320
44.757463,-69.469232,1550,120.8,65.6,-448
44.759766,-69.462629,1500,119.4,63.7,-192
44.761597,-69.457659,1475,120.0,61.1,-128
44.764399,-69.450877,1425,118.9,59.1,-576
