lat,lon,alt,gs,track
41.921454,-70.711202,500,77.4,63.1
41.921768,-70.710317,600,75.1,63.1
41.923462,-70.706135,700,80.1,64.1
41.924433,-70.703409,800,78.3,63.4
41.926117,-70.698894,900,78.3,63.4
41.926994,-70.696894,900,74.4,59.3
41.927599,-70.695616,1000,74.1,55.5
41.928157,-70.694594,1000,74.6,57.6
41.930008,-70.69053,1100,75.8,59.0
41.931152,-70.68797,1200,72.6,60.3
41.933212,-70.683039,1300,74.8,60.3
41.934128,-70.680667,1300,76.0,63.4
41.934535,-70.679584,1300,77.4,63.1
41.934586,-70.679418,1300,77.4,63.1
41.934631,-70.679356,1300,77.4,63.1
41.935001,-70.67837,1400,77.4,63.1
41.936234,-70.675049,1500,72.9,63.1
41.937701,-70.671089,1500,75.2,64.8
41.938339,-70.669244,1600,74.7,65.5
41.939575,-70.665623,1700,70.7,64.9
41.940308,-70.663875,1700,69.3,63.4
41.941223,-70.661378,1800,72.0,64.5
41.942001,-70.659069,1800,71.7,67.0
41.942596,-70.656946,1900,70.6,69.2
41.943741,-70.652764,2000,71.5,69.5
41.944963,-70.648094,2000,72.1,70.6
41.945068,-70.647708,2100,71.8,71.3
41.945801,-70.644709,2100,71.8,73.8
41.946259,-70.64234,2200,72.5,74.8
41.946716,-70.639718,2200,71.6,77.9
41.946945,-70.63822,2300,71.4,78.7
41.947495,-70.634225,2300,74.2,79.9
41.947632,-70.632539,2400,72.4,83.7
41.947723,-70.630667,2400,69.1,87.5
41.947769,-70.628669,2400,66.0,89.1
41.947815,-70.626609,2400,67.2,85.7
41.947906,-70.625049,2400,69.3,85.0
41.947998,-70.623987,2400,74.2,85.4
41.94809,-70.622052,2400,79.2,86.4
41.948227,-70.618869,2300,83.1,87.9
41.948221,-70.617307,2300,84.0,88.6
41.948361,-70.61373,2300,80.2,86.4
41.948594,-70.609961,2300,81.2,86.5
41.948547,-70.609067,2300,81.1,92.1
41.948408,-70.608173,2300,80.4,100.8
41.948175,-70.607342,2300,80.5,104.4
41.94809,-70.607071,2400,79.3,113.0
41.947357,-70.60576,2400,78.2,125.1
41.947011,-70.605298,2400,77.8,134.0
41.946259,-70.604574,2400,78.6,143.3
41.945708,-70.604213,2400,79.7,151.5
41.943054,-70.602424,2400,83.6,153.7
41.941192,-70.601274,2400,88.2,156.6
41.938771,-70.599997,2400,92.5,158.4
41.93393,-70.597378,2400,97.3,157.6
41.930099,-70.595398,2500,100.3,159.6
41.927307,-70.594087,2500,99.9,161.9
41.924899,-70.593226,2500,102.4,165.3
41.920523,-70.591821,2500,103.6,167.2
41.919313,-70.591438,2600,102.6,167.1
41.917264,-70.590671,2600,98.1,163.4
41.915863,-70.589967,2600,97.5,159.0
41.914948,-70.589343,2600,95.8,151.3
41.914006,-70.588372,2600,93.8,144.1
41.913849,-70.588219,2700,90.6,136.8
41.913254,-70.587283,2700,89.9,132.8
41.912659,-70.58591,2700,86.0,123.1
41.912384,-70.584849,2700,81.3,110.9
41.912237,-70.584156,2700,78.6,101.7
41.91219,-70.582943,2700,77.2,94.5
41.912247,-70.582227,2700,76.1,87.7
41.912376,-70.581793,2700,75.3,79.3
41.912609,-70.580835,2800,74.7,69.6
41.912842,-70.58026,2800,74.1,58.2
41.913261,-70.579557,2800,73.8,49.4
41.913633,-70.57911,2800,73.6,43.9
41.914444,-70.578482,2800,73.2,32.2
41.914948,-70.578294,2800,72.1,23.7
41.915588,-70.578107,2800,72.0,9.6
41.916138,-70.578169,2800,71.3,4.8
41.916504,-70.578232,2800,70.2,355.9
41.917007,-70.578357,2800,69.6,347.6
41.917374,-70.578544,2900,69.6,339.0
41.917963,-70.578918,2900,69.4,335.3
41.918564,-70.579418,2900,70.3,330.1
41.91908,-70.579813,2900,70.5,325.4
41.919918,-70.580771,2900,71.2,321.8
41.920807,-70.581727,2900,74.5,319.9
41.921594,-70.582687,2900,78.0,319.2
41.92299,-70.584284,2900,83.0,319.4
41.925132,-70.586583,2900,85.4,321.6
41.926941,-70.588531,3000,85.4,321.6
41.932205,-70.594025,3000,89.6,321.3
41.932766,-70.594631,2900,90.3,320.8
41.933395,-70.595273,3000,90.3,320.8
41.933945,-70.595835,2900,90.8,323.5
41.934402,-70.596272,3000,90.2,324.0
41.934768,-70.596612,2900,90.8,323.5
41.941269,-70.603076,2900,87.2,323.4
41.944702,-70.606384,2900,82.8,322.9
