lat,lon,alt,gs,track
18.456612,-66.100641,0,66.9,80.5
18.456892,-66.098644,100,68.6,82.5
18.457264,-66.095548,200,67.6,82.3
18.45773,-66.091703,300,70.6,82.7
18.458176,-66.088796,400,73.0,80.5
18.458567,-66.086559,400,73.8,77.5
18.4588,-66.08591,400,75.3,70.6
18.459126,-66.085161,500,74.7,62.1
18.459549,-66.084529,500,75.2,54.2
18.460011,-66.084062,600,74.3,44.5
18.460802,-66.083363,600,74.0,38.4
18.462112,-66.082322,700,73.6,36.7
18.463828,-66.081066,700,77.1,33.9
18.464387,-66.080716,700,78.3,28.2
18.465085,-66.080467,700,79.4,19.1
18.465318,-66.080417,800,79.4,19.1
18.465866,-66.080311,800,78.9,8.8
18.466388,-66.080317,800,79.0,1.5
18.4669,-66.080367,800,79.6,352.8
18.46756,-66.080508,800,81.0,344.2
18.468292,-66.0809,800,83.2,332.8
18.468949,-66.081365,900,85.2,324.1
18.469528,-66.08193,900,86.3,315.9
18.470159,-66.082764,900,86.1,308.9
18.47049,-66.083303,900,85.8,301.6
18.470856,-66.084088,1000,84.2,293.8
18.47109,-66.084861,1000,83.8,287.4
18.471369,-66.08611,1000,88.3,283.1
18.47168,-66.087914,1000,92.9,278.0
18.472254,-66.092052,900,97.0,278.3
18.4723,-66.092551,1000,98.0,278.2
18.472393,-66.093301,900,101.0,278.0
18.472916,-66.098017,900,105.6,276.0
18.473694,-66.104982,900,109.4,274.7
18.473969,-66.109837,800,111.4,274.6
18.474023,-66.11013,900,111.5,275.1
18.47406,-66.110916,800,110.6,275.7
18.474335,-66.113172,900,111.6,276.2
18.47528,-66.120866,900,114.0,277.6
18.476397,-66.129805,1000,111.9,277.2
18.477402,-66.13848,1000,112.6,276.1
18.477493,-66.139804,900,114.6,276.0
18.478306,-66.148282,900,113.4,275.1
18.479233,-66.158981,900,116.4,274.9
18.479842,-66.166759,900,116.3,274.0
18.480028,-66.169456,1000,112.3,274.1
18.4804,-66.17445,900,113.2,273.5
18.4804,-66.174749,1000,113.2,273.5
18.480423,-66.175068,900,114.2,273.0
18.480423,-66.175363,1000,114.1,272.5
18.480743,-66.182769,1000,114.3,274.0
18.481567,-66.193902,1000,116.3,274.0
18.481797,-66.197271,900,117.3,273.9
18.482402,-66.207908,900,116.4,274.9
18.482961,-66.214999,900,112.3,274.1
18.483147,-66.218744,900,109.0,271.6
18.48317,-66.220632,800,111.0,271.0
18.483147,-66.22199,900,111.0,270.0
18.483124,-66.22691,900,108.0,268.4
18.483054,-66.229731,900,105.0,271.1
18.483215,-66.232305,900,105.4,274.9
18.483856,-66.241673,900,105.2,273.8
18.484085,-66.246529,1000,108.2,273.2
18.484218,-66.250455,1000,108.0,270.5
18.484218,-66.2541,900,111.0,271.5
18.484268,-66.254376,1000,111.1,272.1
18.484268,-66.254572,900,111.1,272.1
18.48436,-66.256436,1000,111.2,273.1
18.484497,-66.258345,1000,106.3,274.3
18.484544,-66.259394,1100,103.2,273.9
18.484776,-66.262989,1200,100.4,275.1
18.485242,-66.267234,1300,98.7,277.0
18.485707,-66.27093,1300,100.3,279.2
18.48587,-66.271935,1400,100.5,279.7
18.486328,-66.274877,1500,98.3,279.4
18.486923,-66.278261,1600,94.7,281.0
18.487244,-66.280665,1600,94.8,277.3
18.487709,-66.284612,1700,98.7,277.0
18.488251,-66.289493,1800,95.5,276.0
18.488663,-66.294152,1900,97.5,275.9
18.489152,-66.299744,2000,100.5,275.7
18.489571,-66.303339,2100,97.9,277.6
18.489944,-66.306414,1800,97.6,276.5
18.489944,-66.306708,1600,96.6,276.5
18.48999,-66.306904,-300,96.6,276.5
18.48999,-66.307134,1500,96.6,276.5
18.490036,-66.307346,2100,95.6,276.6
18.490083,-66.307884,2200,95.6,276.6
18.490219,-66.309013,300,94.5,276.1
18.490219,-66.30921,2200,94.5,276.1
18.490265,-66.309651,1500,93.4,275.5
18.49027,-66.309881,2100,93.4,275.5
18.490311,-66.310092,2200,93.4,275.5
18.490409,-66.311729,2300,94.3,274.3
18.490689,-66.315774,2300,93.1,272.5
18.490689,-66.316723,2400,92.0,271.2
18.490689,-66.319519,2400,94.1,268.2
18.490631,-66.321471,2400,99.0,268.3
18.490642,-66.323115,2400,103.0,271.1
18.490689,-66.324763,2400,107.0,271.6
18.490677,-66.326081,2400,111.0,270.0
18.490595,-66.330156,2500,112.0,269.0
18.490549,-66.333651,2400,114.0,268.5
18.49027,-66.340942,2400,118.1,267.6
18.490173,-66.344032,2300,122.0,268.6
18.490176,-66.347734,2300,124.1,271.9
18.49027,-66.349731,2400,120.2,273.3
18.49054,-66.353302,2400,115.4,275.0
18.490782,-66.356423,2400,111.3,274.1
18.491061,-66.362016,2400,113.1,272.5
18.49118,-66.367329,2400,111.0,271.0
18.491226,-66.373313,2400,113.0,269.5
18.491089,-66.375078,2400,111.6,263.8
18.489853,-66.385378,2400,111.5,264.9
18.489618,-66.389332,2400,112.1,267.4
18.489432,-66.395774,2400,113.3,266.0
18.488966,-66.399919,2400,112.8,263.4
18.488175,-66.406311,2400,113.1,261.9
18.487839,-66.408283,2500,109.2,258.4
18.487747,-66.408577,2400,108.9,256.7
18.487383,-66.409807,2400,105.3,250.0
18.487057,-66.410506,2400,103.4,245.4
18.486592,-66.411405,2400,101.6,237.9
18.486452,-66.411555,2500,101.6,237.9
18.485707,-66.412553,2500,100.9,230.6
18.485046,-66.413285,2500,100.4,224.2
18.484497,-66.413752,2400,100.9,219.4
18.483582,-66.414364,2400,100.7,212.4
18.482728,-66.41485,2400,99.3,206.3
18.481285,-66.4154,2400,97.7,199.7
18.480606,-66.415591,2500,96.6,195.6
18.475652,-66.416998,2500,91.9,194.5
18.472778,-66.41765,2500,92.0,191.9
