lat,lon,alt,gs,track
36.458921,-105.671121,7000,35.1,175.1
36.458689,-105.671121,7000,42.3,186.8
36.458409,-105.671179,7000,59.5,196.6
36.455658,-105.672226,7100,64.3,201.0
36.454638,-105.672815,7200,68.0,206.2
36.453049,-105.673828,7200,72.9,208.7
36.451659,-105.674744,7200,76.5,205.6
36.45003,-105.675562,7300,80.8,201.8
36.448059,-105.676632,7300,82.8,205.0
36.446274,-105.677719,7400,85.5,208.7
36.441837,-105.680763,7400,90.4,207.7
36.439323,-105.682224,7500,90.6,202.0
36.437973,-105.682808,7500,91.8,196.5
36.437164,-105.683041,7500,92.4,193.1
36.425311,-105.686373,7700,92.4,193.1
36.423386,-105.686932,7700,89.1,192.3
36.414047,-105.689793,7800,89.7,194.2
36.410507,-105.690697,7800,95.5,190.2
36.407714,-105.691282,7800,100.5,189.7
36.399673,-105.692997,7800,100.1,188.6
36.395554,-105.693798,7900,98.5,189.9
36.392724,-105.694554,7900,98.7,193.5
36.38737,-105.69619,7900,97.3,194.9
36.381831,-105.697885,8000,94.8,194.0
36.375046,-105.700035,8100,93.1,194.9
36.344467,-105.710621,8400,97.4,199.2
36.34431,-105.710683,8400,87.3,198.0
36.341144,-105.711969,8500,86.0,199.7
36.32918,-105.716819,8600,86.0,199.7
36.329041,-105.716877,8600,95.9,196.4
36.326706,-105.717773,8600,93.6,198.1
36.314529,-105.722008,8700,96.8,196.2
36.306509,-105.72465,8700,95.6,195.8
36.303177,-105.725727,8800,95.6,193.3
36.297385,-105.727279,8800,97.1,191.9
36.28894,-105.729561,8800,96.1,192.0
36.283539,-105.731049,8900,96.1,192.0
36.274947,-105.73324,8900,95.3,192.7
36.269485,-105.734653,9000,94.9,191.6
36.262436,-105.736485,9100,96.1,192.0
36.254091,-105.738616,9100,96.1,192.0
36.247467,-105.740376,9200,97.5,193.0
36.242081,-105.741889,9100,99.5,192.8
36.234446,-105.744109,9100,102.8,193.5
36.227743,-105.746096,9100,105.5,194.8
36.221039,-105.7482,9000,108.2,193.9
36.214233,-105.75016,9000,109.4,194.3
36.212036,-105.750732,9000,108.7,190.1
36.210239,-105.751064,9000,107.2,188.6
36.200684,-105.75285,9000,105.2,188.8
36.195969,-105.75388,9000,106.9,190.8
36.195694,-105.753937,9000,106.9,190.8
36.175558,-105.756615,8900,0.0,0.0
36.162506,-105.760002,9100,93.7,191.1
36.156285,-105.761582,9100,95.1,192.1
36.154953,-105.761948,9100,96.3,192.6
36.138245,-105.766525,9200,96.3,192.6
36.13266,-105.768013,9300,96.3,192.6
36.126846,-105.769501,9400,96.9,191.3
36.119509,-105.771458,9400,97.3,192.5
36.112293,-105.773328,9500,96.9,191.3
36.10531,-105.774906,9500,101.8,190.8
36.096085,-105.776939,9500,105.9,190.9
36.089859,-105.778427,9400,107.1,191.3
36.080475,-105.780888,9400,105.9,190.9
36.073242,-105.782433,9400,108.5,189.6
36.068939,-105.783176,9400,103.9,187.7
36.063034,-105.784035,9500,99.9,187.5
36.058731,-105.784836,9500,99.3,189.3
36.054196,-105.785893,9500,97.9,191.2
36.049576,-105.78701,9600,99.3,189.3
36.045305,-105.787879,9600,100.8,190.9
36.041767,-105.788873,9600,100.4,192.6
36.035934,-105.790558,9500,104.6,192.7
36.029477,-105.792321,9600,103.8,193.4
36.020353,-105.79495,9600,101.1,194.3
36.01506,-105.796623,9600,100.4,192.6
36.010623,-105.797931,9600,101.1,194.3
36.004199,-105.799918,9700,100.9,193.8
35.998101,-105.801846,9700,103.6,195.1
35.991989,-105.803947,9600,105.8,195.4
35.985992,-105.805836,9700,102.4,194.7
35.978456,-105.808333,9700,100.9,193.8
35.971007,-105.810612,9700,102.4,194.7
35.962784,-105.813332,9700,102.9,195.8
35.957181,-105.815287,9700,100.3,196.8
35.954155,-105.816572,9800,98.7,199.5
35.949005,-105.81871,9700,100.9,197.9
35.942517,-105.821306,9700,102.5,198.8
35.939072,-105.822945,9700,104.2,201.4
35.932462,-105.826039,9700,104.4,200.2
35.923416,-105.829983,9700,104.1,199.6
35.916458,-105.83313,9700,108.5,199.9
35.910233,-105.835934,9600,112.9,200.2
35.900436,-105.840397,9600,111.4,201.0
35.891739,-105.844574,9500,112.9,200.2
35.882046,-105.84883,9500,114.6,201.0
35.876312,-105.851612,9500,111.6,202.7
35.871292,-105.854323,9400,113.2,204.5
35.86615,-105.857105,9400,115.2,203.0
35.862122,-105.859057,9300,116.5,200.6
35.857932,-105.860868,9300,118.0,198.3
35.851275,-105.86344,9200,118.0,196.8
35.844498,-105.865688,9100,119.4,195.6
35.837728,-105.868232,9000,118.0,196.8
35.832092,-105.870209,9000,117.2,195.3
35.82744,-105.871621,9000,115.0,193.1
35.818037,-105.874251,9000,115.5,192.0
35.811892,-105.876004,9000,114.2,193.7
35.802302,-105.878867,9000,109.7,192.6
35.792386,-105.881672,9000,111.6,192.4
35.78261,-105.884244,9000,112.6,192.3
35.776016,-105.885887,9000,112.2,191.3
35.765991,-105.888217,9000,112.2,191.3
35.755966,-105.890808,9000,111.4,191.9
35.746067,-105.893418,9000,111.2,191.4
35.736786,-105.895672,9000,112.0,190.8
35.730057,-105.89716,8900,115.9,190.4
35.722046,-105.898762,8900,113.4,189.1
35.711792,-105.900822,8900,112.1,188.2
35.701609,-105.902652,8900,112.5,189.2
35.693939,-105.904312,8800,114.3,188.6
35.688126,-105.905228,8800,114.9,187.0
35.684006,-105.905743,8800,115.4,184.5
35.67897,-105.906143,8800,117.1,182.4
35.675629,-105.906372,8700,116.5,185.4
35.672699,-105.906887,8700,117.4,188.8
35.662133,-105.908904,8700,115.3,188.5
35.658005,-105.909748,8700,115.1,191.0
35.653748,-105.910664,8600,114.3,188.6
35.647935,-105.911651,8700,112.9,187.1
35.641371,-105.912528,8600,113.6,186.1
35.638345,-105.913053,8600,114.6,189.5
35.633286,-105.914211,8600,115.3,191.5
35.62666,-105.9158,8500,117.9,190.3
35.619864,-105.917319,8400,118.7,189.7
35.60925,-105.91954,8300,118.7,189.7
35.602034,-105.920943,8300,114.6,189.5
35.594879,-105.922451,8400,111.5,189.3
35.588333,-105.923653,8300,111.2,188.3
35.581467,-105.924911,8300,113.6,189.6
35.571543,-105.926786,8300,115.4,189.0
35.564163,-105.928173,8300,112.8,190.2
35.559346,-105.929358,8300,112.4,191.8
35.554825,-105.930462,8300,113.6,189.6
35.544525,-105.932465,8300,114.6,189.5
35.538757,-105.933838,8300,112.2,191.3
35.531554,-105.935494,8300,113.8,190.1
35.524804,-105.936955,8200,117.9,190.3
35.518287,-105.938299,8200,116.4,188.9
35.51163,-105.939643,8100,114.8,190.0
35.501312,-105.941734,8100,113.6,189.6
35.49394,-105.943383,8200,111.8,190.3
35.487442,-105.944767,8100,110.6,189.9
35.477414,-105.946831,8100,111.8,190.3
35.472712,-105.947766,8100,111.2,188.3
35.462585,-105.949688,8100,112.1,188.2
35.454391,-105.951233,8100,115.6,189.5
35.444036,-105.953317,8100,114.6,189.5
35.433792,-105.955296,8100,116.4,188.9
35.426998,-105.956707,8100,115.9,190.4
35.419601,-105.958214,8100,114.4,189.1
35.409485,-105.960159,8100,114.1,188.1
35.403023,-105.961148,8100,114.6,189.5
35.396972,-105.962317,8100,113.1,188.1
35.393051,-105.962849,8000,113.5,185.6
35.383759,-105.963993,8000,116.4,184.4
35.376846,-105.96468,8000,115.6,186.0
35.372439,-105.965414,7900,116.1,187.9
35.367691,-105.966339,7900,118.9,190.2
35.360614,-105.967868,7800,120.5,189.1
35.349907,-105.969972,7800,118.5,189.2
35.342831,-105.971199,7700,116.3,188.4
