lat,lon,alt,gs,track,vs
19.434489,-99.078253,7000,145.8,59.0,0
19.437469,-99.072892,7050,153.3,59.4,-128
19.439377,-99.069364,7200,173.9,59.6,2368
19.439796,-99.068615,7250,173.9,59.6,2880
19.441498,-99.065486,7450,171.2,59.8,3136
19.443054,-99.062691,7650,169.3,60.3,3072
19.44459,-99.059826,7825,167.9,60.4,2880
19.445242,-99.058577,7900,164.8,60.2,2560
19.445709,-99.057786,7950,162.1,60.4,2112
19.446034,-99.057129,7975,162.1,60.4,1664
19.446406,-99.05648,8000,162.1,60.4,1216
19.447011,-99.055331,8025,162.6,60.1,768
19.44999,-99.049938,8100,166.7,59.7,320
19.452805,-99.044936,8175,171.3,59.1,448
19.455322,-99.040522,8225,175.4,58.8,192
19.458137,-99.035606,8225,179.4,59.2,-128
19.45903,-99.033999,8225,183.8,59.2,192
19.460358,-99.031645,8250,187.4,59.2,384
19.462699,-99.027516,8300,191.9,59.3,576
19.464752,-99.023895,8350,196.9,59.1,576
19.467316,-99.019334,8400,201.3,59.2,576
19.470154,-99.014282,8450,205.8,59.3,704
19.472429,-99.010237,8525,210.3,59.4,768
19.475036,-99.005543,8575,215.2,59.3,768
19.478201,-98.99995,8675,218.8,59.2,960
19.480728,-98.995547,8750,222.9,59.0,1216
19.485992,-98.986375,8950,227.1,58.7,1472
19.489467,-98.980324,9125,228.8,59.0,1856
19.490753,-98.978037,9200,227.6,59.9,2304
19.492767,-98.97377,9375,225.4,63.7,2496
19.493656,-98.971236,9475,224.1,68.8,2112
19.494644,-98.967639,9575,223.1,73.6,1856
19.495239,-98.964444,9650,223.4,79.9,1664
19.495605,-98.960969,9750,222.8,85.1,1600
19.495565,-98.957453,9825,224.0,90.8,1664
19.495193,-98.953807,9925,224.4,96.4,1280
19.49496,-98.952209,9950,226.0,99.4,896
19.494507,-98.95013,9975,228.5,102.6,448
19.493563,-98.946816,9975,233.4,108.0,128
19.492493,-98.944169,10000,237.3,112.0,256
19.491165,-98.941449,10025,241.7,118.7,640
19.489374,-98.938626,10075,246.7,125.4,896
19.487465,-98.936329,10100,248.4,130.1,1216
19.485397,-98.93419,10175,249.8,132.6,1280
19.481972,-98.931485,10275,254.8,143.9,1728
19.479538,-98.929972,10350,257.5,150.4,1856
19.476665,-98.928589,10425,259.0,154.6,1920
19.473965,-98.92749,10500,260.3,158.4,1856
19.470428,-98.926539,10575,261.3,160.3,1856
19.468597,-98.926195,10625,265.3,168.5,1856
19.465027,-98.925803,10725,265.5,170.7,1920
19.462006,-98.925852,10800,268.3,177.2,1920
19.45851,-98.926242,10900,271.6,186.1,1984
19.454925,-98.927091,11000,273.9,192.9,2176
19.45162,-98.928239,11100,274.9,199.6,2304
19.448175,-98.929987,11200,276.8,206.4,2368
19.445068,-98.931983,11325,278.0,212.7,2368
19.442322,-98.934239,11425,279.2,217.0,2368
19.439842,-98.936629,11525,279.4,223.7,2688
19.437049,-98.940075,11675,278.8,229.5,2880
19.43407,-98.944369,11850,279.5,234.3,2624
19.430969,-98.949443,12025,280.1,238.6,2240
19.427366,-98.956254,12225,281.0,241.5,1984
19.422711,-98.965843,12525,281.3,243.2,2432
19.417282,-98.977056,12925,279.1,242.7,2432
19.410887,-98.989613,13325,280.2,241.0,2176
19.403578,-99.003096,13700,282.7,240.1,1920
19.395478,-99.017678,14050,286.9,239.4,1664
19.387482,-99.031841,14400,291.5,239.0,1920
19.379745,-99.045476,14775,292.4,239.1,2240
19.375693,-99.053084,15000,293.0,242.1,2112
19.373598,-99.057928,15125,293.5,246.9,2048
19.371872,-99.063083,15275,294.1,250.9,2112
19.370636,-99.067939,15375,294.4,256.2,2112
19.369455,-99.074757,15575,294.3,260.2,2304
19.367111,-99.090402,15975,294.5,261.2,1920
19.364822,-99.106244,16350,295.4,261.2,2240
19.362579,-99.121007,16725,294.6,261.0,1792
19.361821,-99.126193,16825,296.7,260.9,1344
19.360748,-99.133121,16925,299.7,261.0,896
19.358643,-99.147393,17050,308.8,261.1,768
19.356141,-99.164146,17200,318.8,261.2,832
19.353333,-99.183148,17400,328.0,261.0,1088
19.35054,-99.202325,17650,335.9,261.3,1536
19.347622,-99.222074,18000,339.0,261.2,1920
19.34491,-99.240287,18375,340.2,261.0,2176
19.342222,-99.258329,18750,340.0,261.2,1984
19.339336,-99.277804,19100,342.0,261.2,1728
19.336304,-99.298357,19450,344.1,261.1,1600
19.333331,-99.318404,19800,346.2,261.0,1728
19.330261,-99.33936,20125,349.0,261.3,1536
19.327103,-99.36094,20450,353.2,261.2,1472
19.323578,-99.384629,20750,357.4,261.0,1344
19.320948,-99.400202,20950,360.7,259.0,1472
19.317169,-99.41955,21250,361.4,258.4,1920
19.315361,-99.428866,21450,359.3,258.4,2304
19.312196,-99.445096,21850,356.1,258.5,2304
19.310706,-99.452787,22000,355.2,258.5,1856
19.309403,-99.459578,22100,356.1,258.5,1408
19.308151,-99.466095,22175,357.1,258.5,960
19.302792,-99.494285,22425,363.2,258.6,1152
19.298044,-99.518804,22725,367.3,258.5,1280
19.292999,-99.544765,23050,369.5,258.5,1536
19.288315,-99.568642,23375,370.7,258.3,1472
19.283569,-99.59337,23675,372.4,258.5,1152
19.280447,-99.609691,23825,375.4,258.6,704
19.274231,-99.642121,23950,384.6,258.6,320
19.267776,-99.675816,24075,393.8,258.6,640
19.260383,-99.713612,24275,403.4,258.3,512
19.25354,-99.748868,24400,412.4,258.4,384
19.245987,-99.787494,24500,421.7,258.4,256
19.239016,-99.823875,24625,430.3,258.7,704
19.232126,-99.861628,24850,434.6,259.3,896
19.226715,-99.891717,25125,435.6,259.3,1344
19.221405,-99.920654,25450,433.8,259.1,1536
19.216736,-99.946256,25775,433.8,259.1,1408
19.213989,-99.961412,25900,433.8,259.1,1152
19.21376,-99.962687,25900,433.8,259.1,640
19.20694,-99.999913,26125,436.8,259.2,832
19.200668,-100.034588,26350,439.7,259.2,704
19.194397,-100.069264,26600,440.9,259.1,896
19.191284,-100.087754,26700,441.6,260.9,704
19.189819,-100.100163,26775,442.6,263.8,768
19.18895,-100.112474,26850,443.0,266.2,704
19.188739,-100.119806,26875,443.2,268.3,448
19.188832,-100.130443,26925,443.0,269.4,448
19.189857,-100.146423,27000,443.5,272.7,640
19.19102,-100.156311,27075,443.5,277.2,1088
19.192557,-100.16545,27150,443.1,279.5,1088
19.195257,-100.178334,27275,441.9,283.3,1152
19.198013,-100.188691,27375,440.1,285.5,1216
19.203003,-100.204827,27525,440.4,286.6,1152
19.208617,-100.222529,27675,439.6,288.4,896
19.218109,-100.252549,27850,439.6,288.4,896
