lat,lon,alt,gs,track,vs
29.891144,-97.862778,800,82.8,132.6,576
29.888763,-97.859661,900,86.6,130.3,576
29.886841,-97.857126,900,91.4,131.0,768
29.886025,-97.856032,1000,93.6,130.7,704
29.884395,-97.853771,1000,94.8,127.7,832
29.884023,-97.853124,1100,94.6,125.5,896
29.883418,-97.851993,1100,93.7,120.1,1088
29.882904,-97.850682,1200,93.6,113.3,1088
29.88258,-97.849462,1200,95.9,106.4,768
29.882355,-97.8482,1200,98.5,99.9,640
29.882254,-97.846769,1300,101.1,92.8,768
29.882254,-97.845154,1300,104.1,87.8,704
29.882492,-97.842337,1300,108.4,85.2,448
29.882673,-97.839661,1400,112.4,85.4,448
29.882906,-97.835945,1400,113.4,84.9,896
29.882996,-97.835048,1500,113.5,84.4,1024
29.883418,-97.831421,1600,113.7,83.4,1088
29.883697,-97.828243,1700,112.6,83.9,1280
29.883837,-97.826736,1700,113.5,84.4,1024
29.883911,-97.826174,1700,114.5,84.5,576
29.884209,-97.82135,1800,118.2,86.6,640
29.884415,-97.81598,1900,120.2,86.7,768
29.884675,-97.809987,2000,122.1,87.2,768
29.884954,-97.804224,2100,123.1,87.2,768
29.885147,-97.799025,2200,124.1,87.7,768
29.885373,-97.793777,2300,126.2,86.8,896
29.885652,-97.78866,2400,126.4,85.5,768
29.886063,-97.783497,2500,124.4,85.4,896
29.886397,-97.779182,2600,121.6,84.3,896
29.886749,-97.774887,2700,118.6,84.2,896
29.887207,-97.770028,2800,117.6,84.1,896
29.887747,-97.764911,2900,117.8,83.2,640
29.888259,-97.759525,3000,118.8,83.2,832
29.888864,-97.753601,3100,117.8,83.2,640
29.889313,-97.749323,3200,116.8,83.1,960
29.889771,-97.745203,3300,114.7,83.5,896
29.890274,-97.740132,3400,113.7,83.4,704
29.890819,-97.73486,3500,114.9,83.0,704
29.891471,-97.729151,3600,116.0,82.6,768
29.892334,-97.72191,3700,118.1,82.2,576
29.892914,-97.715849,3700,118.6,84.2,768
29.892961,-97.715472,3800,118.6,84.2,768
29.89338,-97.710679,3900,119.5,84.7,768
29.893661,-97.706434,4000,119.4,85.2,896
29.894032,-97.701847,4100,118.4,85.2,832
29.894394,-97.696081,4200,120.3,85.7,704
29.894776,-97.689999,4300,121.3,85.8,704
29.895149,-97.683859,4400,122.3,86.2,704
29.895428,-97.678474,4500,124.2,86.8,704
29.895754,-97.672173,4600,126.2,86.8,704
29.896133,-97.665288,4700,125.3,85.9,576
