lat,lon,alt,gs,track
24.806942,-155.195831,-50.0,0.0,236.0
24.79628,-155.207321,33975,0.0,224.0
24.785889,-155.218552,33975,463.0,225.0
24.726334,-155.289612,34000,455.6,231.6
24.718094,-155.301259,34000,453.8,232.7
24.633133,-155.418803,34000,455.4,220.4
24.626692,-155.424309,34000,457.4,217.3
24.617661,-155.431254,34000,459.3,214.2
24.60728,-155.43825,34000,461.2,211.1
24.587682,-155.448977,34000,462.4,209.1
24.582095,-155.451516,34000,462.4,209.1
24.533541,-155.464627,34000,462.2,187.7
24.492156,-155.470639,34000,454.5,188.1
24.453094,-155.477142,34000,449.0,188.6
24.413361,-155.483449,34000,449.3,187.9
24.376923,-155.488993,34000,452.4,188.0
24.3363,-155.495358,34000,451.7,188.3
24.302673,-155.500641,34000,450.6,188.2
24.262282,-155.506811,34000,449.4,188.1
24.222794,-155.512848,34000,449.3,187.9
24.183888,-155.518678,34000,450.2,187.8
24.14376,-155.524689,34000,450.2,187.8
24.11769,-155.528576,33900,450.2,187.8
24.11348,-155.529175,33875,450.2,187.8
24.107666,-155.530039,33775,450.2,187.8
24.097626,-155.53153,33625,451.1,187.8
24.087059,-155.533085,33425,452.3,187.9
24.055776,-155.538008,32625,456.8,188.3
24.043442,-155.539958,32250,459.8,188.2
24.034744,-155.541331,32025,461.7,188.2
24.03241,-155.541687,31950,462.7,188.2
23.998377,-155.546817,31350,466.3,187.8
23.985352,-155.548706,31175,468.0,187.5
23.973267,-155.550435,31075,471.1,187.6
23.955688,-155.552979,31000,472.2,187.7
23.912521,-155.559489,31000,476.6,188.0
23.870041,-155.565948,31000,476.6,188.0
23.826646,-155.572573,31000,474.6,188.0
23.784004,-155.579051,31000,473.6,188.0
23.741272,-155.58548,31000,473.5,187.9
23.698161,-155.591955,31000,472.5,187.9
23.6548,-155.598501,31000,470.4,187.8
23.612645,-155.604755,31000,468.3,187.7
23.569794,-155.611165,30975,467.5,188.0
23.528412,-155.617343,30975,466.4,187.9
23.485744,-155.62383,30975,465.4,187.9
23.445197,-155.629883,30975,465.4,187.9
23.404907,-155.63597,30950,465.4,187.9
23.362564,-155.642312,30950,465.4,187.9
