lat,lon,alt,gs,track
48.655421,-100.869454,1650,0.0,0.0
48.650711,-100.882381,1625,115.0,241.4
48.647873,-100.890268,1650,116.4,241.2
48.608171,-101.001651,1650,0.0,0.0
48.597977,-101.032245,1650,117.6,243.2
48.594452,-101.042739,1650,118.5,243.4
48.538622,-101.188925,1700,152.4,94.1
48.538742,-101.174293,1700,0.0,0.0
48.541368,-101.208801,1775,0.0,0.0
48.540856,-101.175192,1625,132.1,91.7
48.540573,-101.209153,1775,133.5,95.2
48.539553,-101.205982,1800,0.0,0.0
48.538948,-101.20432,1775,133.7,99.0
48.538948,-101.203814,1750,144.0,89.2
48.538948,-101.203236,1750,144.0,89.2
48.543603,-101.163989,1750,132.9,58.2
48.545975,-101.158166,1825,132.7,59.2
48.569641,-101.093022,1900,0.0,0.0
48.5801,-101.061931,1950,0.0,67.0
48.629911,-100.899522,1875,0.0,0.0
48.585159,-101.052317,1750,115.0,241.4
48.58145,-101.062871,1750,114.5,241.9
48.54895,-101.164715,1800,0.0,0.0
48.538436,-101.204681,1775,134.1,87.4
48.53833,-101.174434,1650,133.4,100.8
48.543823,-101.20852,1700,0.0,0.0
48.532654,-101.180772,1675,0.0,0.0
48.52838,-101.181625,1700,110.0,187.8
48.523956,-101.192111,1650,140.6,101.1
48.527077,-101.19131,1700,130.5,103.3
48.526239,-101.17259,1625,130.5,103.3
48.526704,-101.192322,1675,0.0,0.0
48.526245,-101.172814,1675,0.0,0.0
48.526154,-101.169574,1750,129.3,103.0
48.52582,-101.171939,1625,0.0,0.0
48.525192,-101.166969,1725,0.0,0.0
48.526006,-101.193045,1775,0.0,0.0
48.526425,-101.197815,1850,0.0,0.0
48.524963,-101.19197,1775,101.9,166.4
48.524144,-101.168036,1625,140.2,87.1
48.52478,-101.193449,1750,0.0,0.0
48.527664,-101.199012,1700,0.0,0.0
48.528946,-101.201195,1775,0.0,0.0
48.51947,-101.186758,1775,120.1,140.7
48.513484,-101.178806,1800,124.2,139.9
48.513016,-101.177814,1800,131.2,127.6
48.511808,-101.174975,1800,131.6,126.3
48.510773,-101.171828,1775,140.9,114.8
48.506561,-101.158447,1800,141.8,115.5
48.504732,-101.152569,1800,143.3,113.9
48.500931,-101.139362,1800,145.5,113.9
48.496818,-101.124525,1800,146.8,114.1
48.493373,-101.113032,1825,145.9,114.3
48.485785,-101.088313,1925,147.5,112.7
48.485319,-101.087157,1925,134.0,122.5
48.484863,-101.085557,1975,134.0,122.5
48.484807,-101.085061,1975,134.1,104.2
48.484726,-101.084642,2000,134.1,104.2
48.491185,-101.109635,1625,0.0,0.0
48.488578,-101.111731,1900,0.0,116.0
48.487473,-101.108657,1925,121.0,128.3
48.487414,-101.10725,1875,135.0,90.4
48.487507,-101.105154,1750,141.2,86.8
48.486374,-101.088585,1750,141.2,86.8
48.490173,-101.112389,1850,113.6,143.2
48.489183,-101.108334,1775,113.6,143.2
48.489075,-101.105981,1625,147.1,92.3
48.491547,-101.107459,1650,105.9,309.2
48.488951,-101.10819,1750,135.0,99.8
48.488857,-101.107178,1700,135.0,99.8
48.48639,-101.085494,1700,135.0,99.8
48.485832,-101.084193,1750,135.0,99.8
48.485733,-101.083726,1750,117.8,113.5
48.485692,-101.081591,1800,117.8,113.5
48.490723,-101.106403,1575,107.4,295.4
48.491409,-101.11253,1800,107.4,295.4
48.488434,-101.109079,1775,89.2,217.3
48.488434,-101.108586,1775,89.2,217.3
48.488434,-101.108023,1775,138.0,90.0
48.488434,-101.1076,1750,139.0,88.8
48.49058,-101.106383,1575,86.8,284.7
48.492142,-101.111826,1700,0.0,17.0
48.488392,-101.108696,1750,132.8,101.7
48.488345,-101.108262,1750,135.3,98.1
48.48667,-101.089975,1700,135.3,98.1
48.48642,-101.089149,1700,124.3,115.7
48.486297,-101.088313,1750,124.3,115.7
48.490448,-101.106896,1600,105.7,299.5
48.491043,-101.113305,1775,91.6,216.1
48.488159,-101.10929,1775,134.6,99.0
48.488066,-101.105588,1625,140.2,93.3
48.48802,-101.110792,1825,98.1,182.9
48.487926,-101.110358,1825,98.1,182.9
48.489882,-101.103347,1600,111.8,296.6
48.490311,-101.10429,1575,109.9,305.0
48.492954,-101.114044,1800,109.9,305.0
48.49054,-101.111755,1775,109.9,305.0
48.489742,-101.086795,1650,133.8,118.1
48.490021,-101.085494,1650,132.7,74.7
48.490494,-101.083867,1675,130.8,66.6
48.494118,-101.076315,1750,130.6,64.6
48.497681,-101.069993,1800,133.2,48.7
48.50422,-101.059257,1800,136.0,48.6
48.50528,-101.057528,1800,137.3,47.4
48.515439,-101.04032,1850,137.3,47.4
48.53783,-101.004687,1925,144.3,44.4
48.53783,-101.004684,1925,144.3,56.0
48.556274,-100.975694,1875,146.4,46.4
48.558127,-100.97274,1850,147.1,46.1
