lat,lon,alt,gs,track
23.218767,-152.184804,31000,440.6,242.0
23.20047,-152.222068,31000,438.8,242.1
23.182159,-152.259422,31000,439.8,241.9
23.173332,-152.277273,31000,440.2,241.8
23.140885,-152.342682,30975,437.1,241.7
23.126816,-152.371133,30950,435.8,241.8
23.112441,-152.400055,30950,434.9,241.7
23.095551,-152.434104,30950,433.5,241.8
23.077332,-152.470809,30950,432.2,241.8
23.058838,-152.508062,30975,434.4,241.8
23.040425,-152.545115,31000,441.6,241.8
23.023387,-152.579447,31000,442.1,241.6
23.004114,-152.617544,31000,441.7,241.2
22.985679,-152.653809,31000,441.3,241.3
22.971853,-152.681173,31000,442.1,241.4
22.952454,-152.719499,31000,442.1,241.4
22.933319,-152.757302,31000,442.1,241.4
22.914082,-152.795308,31000,442.1,241.4
22.895279,-152.832508,31025,442.1,241.4
22.876049,-152.870483,31025,442.1,241.4
22.85659,-152.908834,31025,441.3,241.3
22.837271,-152.946879,31050,439.9,241.3
22.801804,-153.016579,31050,437.3,241.1
22.785412,-153.048859,31025,436.8,241.3
22.766093,-153.086853,31025,434.6,241.2
22.758458,-153.101908,31000,434.6,241.2
22.724762,-153.168091,30975,0.0,0.0
22.705307,-153.206143,30975,432.3,241.2
22.689743,-153.236606,30950,432.8,241.1
22.670425,-153.274409,30950,431.4,241.2
22.652924,-153.308665,30975,430.6,241.1
22.640625,-153.332686,30975,430.6,241.1
22.621674,-153.36974,30975,429.7,241.1
22.60288,-153.406474,31000,429.2,241.2
22.586975,-153.437555,31000,428.8,241.0
22.567594,-153.475291,31000,428.3,241.1
22.549255,-153.510914,31000,427.5,241.0
22.530585,-153.547465,31000,427.9,241.2
22.511307,-153.585122,31000,427.0,241.1
22.493088,-153.620528,30975,426.6,241.0
22.473953,-153.657781,31000,426.1,241.1
22.455368,-153.693787,31000,425.7,240.9
22.437434,-153.728587,31025,424.4,241.0
22.418747,-153.764748,31000,424.4,241.0
22.39968,-153.801626,31000,423.5,240.9
22.381348,-153.837158,31000,423.5,240.9
22.362488,-153.873713,31000,423.0,241.0
22.344452,-153.908569,31000,423.5,240.9
22.325755,-153.944804,31000,423.5,240.9
22.306915,-153.981129,31000,422.1,240.9
22.287908,-154.017843,31000,422.6,240.8
22.269194,-154.053853,31000,422.6,240.8
22.250573,-154.089661,31000,421.7,240.8
22.231567,-154.126248,31000,422.6,240.8
22.212753,-154.162403,31000,421.7,240.8
22.194105,-154.198303,31000,422.1,240.9
22.175491,-154.234214,31000,422.6,240.8
22.156815,-154.27002,31000,422.6,240.8
22.137917,-154.306335,31000,423.1,240.7
22.119482,-154.341634,31000,423.1,240.7
22.100675,-154.377594,31000,423.1,240.7
22.082062,-154.413291,31000,422.6,240.8
22.063061,-154.449768,31000,423.1,240.7
22.04393,-154.4864,31000,423.6,240.6
22.025391,-154.521706,31000,424.5,240.7
22.005753,-154.55921,31000,424.5,240.7
21.986529,-154.595896,31000,424.5,240.7
21.967489,-154.632161,31000,424.5,240.7
21.948624,-154.668174,31000,425.3,240.7
21.929169,-154.705178,31000,424.9,240.5
21.909904,-154.741923,31000,425.8,240.6
21.902921,-154.755249,30950,426.7,240.7
21.885956,-154.787526,30700,428.1,240.6
21.86998,-154.817888,30450,427.2,240.6
21.854233,-154.847701,30200,428.5,240.5
21.838027,-154.878082,29950,432.8,240.1
21.822665,-154.907074,29675,437.5,240.6
21.806837,-154.937337,29425,440.1,240.8
21.791748,-154.966253,29150,440.1,240.8
21.775131,-154.997764,28900,438.8,240.5
21.759201,-155.027926,28650,438.8,240.5
21.742781,-155.059052,28400,437.5,240.6
21.727093,-155.088501,28125,438.1,240.2
21.710403,-155.119762,27875,442.4,240.5
21.69397,-155.150973,27600,446.9,240.5
21.678726,-155.179837,27325,449.1,240.5
21.661967,-155.211487,27050,452.7,240.5
21.644277,-155.244802,26775,455.5,240.4
21.637573,-155.257416,26650,457.7,240.4
21.631027,-155.269775,26475,457.7,240.4
21.61979,-155.291087,26075,459.4,240.5
21.617294,-155.295743,26000,459.4,240.5
