lat,lon,alt,gs,track,vs
40.28009,-83.118347,650,72.7,97.9,-576
40.280069,-83.117939,650,74.7,97.7,-64
40.279953,-83.117065,700,76.7,97.5,192
40.279724,-83.114685,750,80.6,97.1,576
40.279404,-83.111023,850,84.5,96.1,832
40.279129,-83.107361,950,84.4,95.4,832
40.278905,-83.105018,1050,80.4,95.7,1216
40.278765,-83.102646,1150,78.2,94.4,1152
40.278625,-83.099837,1250,78.3,95.1,896
40.278439,-83.097153,1350,76.3,95.3,1024
40.27816,-83.094032,1450,75.5,96.8,896
40.277939,-83.092346,1500,72.6,101.9,1024
40.277694,-83.091098,1550,70.5,108.2,960
40.277344,-83.090149,1600,69.4,114.7,832
40.276932,-83.089233,1625,68.3,121.8,832
40.276484,-83.088476,1650,68.4,127.9,704
40.275972,-83.087727,1675,68.6,135.6,640
40.275238,-83.086975,1700,69.2,142.6,576
40.274669,-83.086478,1725,68.8,147.5,576
40.273865,-83.085938,1750,69.3,153.4,704
40.272993,-83.08548,1800,69.6,159.0,832
40.272079,-83.085083,1825,70.3,165.2,576
40.271255,-83.084961,1850,70.6,172.7,768
40.270432,-83.084856,1900,71.0,178.4,832
40.269594,-83.08498,1925,71.3,184.8,832
40.268738,-83.085144,1950,73.0,189.5,704
40.268097,-83.085388,1975,75.3,197.0,576
40.267227,-83.085876,2000,77.5,203.6,640
40.266149,-83.086603,2025,79.7,208.5,576
40.264799,-83.087665,2075,81.8,212.5,512
40.26303,-83.089287,2125,83.8,215.8,640
40.261541,-83.090786,2175,85.3,219.3,640
40.259911,-83.092721,2250,85.6,222.6,704
40.258667,-83.09436,2300,85.6,226.4,768
40.257724,-83.095779,2350,87.5,231.0,704
40.256927,-83.09729,2375,89.3,235.9,576
40.256012,-83.099243,2425,90.1,240.0,704
40.255234,-83.101196,2475,90.8,243.1,832
40.254511,-83.103395,2525,92.9,247.9,640
40.253677,-83.106323,2575,93.9,251.4,640
40.252991,-83.109375,2675,94.4,254.6,832
40.25235,-83.112793,2725,95.1,257.9,704
40.251938,-83.115662,2825,94.4,260.2,896
40.251579,-83.11925,2875,95.6,263.4,576
40.251343,-83.122375,2975,95.3,265.8,896
40.251205,-83.126526,3075,95.0,268.2,896
40.251206,-83.1298,3125,98.0,270.6,576
40.251205,-83.130493,3125,100.0,271.1,192
40.251389,-83.134827,3150,104.2,273.9,512
40.251672,-83.138976,3225,105.7,276.5,384
40.251951,-83.142908,3275,105.2,273.8,448
40.252277,-83.151023,3325,109.5,275.2,128
40.252742,-83.156017,3375,110.9,277.2,320
40.253403,-83.163147,3425,110.6,275.7,320
40.253813,-83.168938,3500,109.4,274.7,512
40.254227,-83.176636,3550,111.2,273.1,128
40.254501,-83.181641,3575,112.5,275.6,256
40.255024,-83.187665,3625,114.0,277.6,384
40.255629,-83.193595,3650,114.5,275.5,256
40.255829,-83.197876,3650,116.1,272.5,0
40.255875,-83.203491,3650,118.0,270.0,-64
40.255829,-83.212402,3650,118.0,268.5,64
40.255489,-83.224245,3600,114.1,268.0,-384
40.25521,-83.231922,3525,112.2,266.9,-448
40.255005,-83.237732,3450,112.1,268.0,-704
40.254776,-83.242493,3375,112.4,265.4,-576
40.254325,-83.247528,3300,112.8,263.4,-512
40.253813,-83.253458,3225,112.5,264.4,-640
40.253403,-83.258484,3125,113.7,263.4,-768
40.252945,-83.263733,3025,112.8,263.4,-768
40.252603,-83.26819,2925,113.6,263.9,-896
40.252137,-83.273933,2850,114.5,264.5,-704
40.251801,-83.277832,2750,113.7,263.4,-704
40.251299,-83.282984,2650,115.0,262.5,-832
40.250694,-83.288914,2550,114.4,261.0,-640
40.250153,-83.293579,2500,112.8,263.4,-448
40.249969,-83.297241,2450,112.2,266.4,-512
40.249763,-83.303271,2375,111.1,267.9,-448
40.249512,-83.310303,2300,107.1,267.3,-256
40.249191,-83.318481,2250,106.2,266.8,-192
40.248917,-83.326111,2175,108.3,265.8,-576
40.24846,-83.331798,2100,109.6,264.2,-576
40.248087,-83.337541,2025,110.3,265.8,-320
40.247772,-83.343018,1950,109.4,265.3,-576
40.247543,-83.346619,1925,105.3,265.6,-256
40.247203,-83.351961,1850,104.5,264.5,-640
40.24683,-83.357204,1775,104.2,266.1,-256
40.246719,-83.361694,1725,104.0,268.9,-384
40.246644,-83.365818,1700,99.0,268.8,64
40.246598,-83.367504,1725,94.0,268.8,320
40.246551,-83.371124,1700,89.0,269.4,-128
40.246628,-83.374939,1700,89.1,271.9,-192
40.246598,-83.376867,1675,87.1,267.4,-192
40.24649,-83.37793,1650,85.6,263.3,-256
40.246318,-83.378677,1650,82.7,255.3,-320
40.246033,-83.3797,1650,78.4,246.7,0
40.245621,-83.380615,1650,76.2,240.1,0
40.245209,-83.381287,1650,73.2,231.1,-128
40.244751,-83.381897,1650,70.8,222.7,0
40.244223,-83.38236,1650,68.8,215.5,-64
40.24379,-83.38269,1650,66.7,207.7,0
40.243106,-83.383047,1650,65.8,204.2,64
40.242508,-83.383179,1625,65.3,195.1,-64
40.241942,-83.383297,1625,65.5,187.0,-192
40.24118,-83.383362,1600,67.0,181.7,-384
40.239899,-83.383301,1575,70.1,177.6,-384
40.237976,-83.383301,1575,69.0,180.8,-64
40.236099,-83.383362,1525,70.1,183.3,-512
40.23333,-83.383671,1425,72.2,184.0,-832
40.231282,-83.383796,1350,75.0,180.8,-704
40.229507,-83.383728,1325,76.1,177.7,-512
40.22807,-83.383546,1275,75.5,173.2,-384
40.226301,-83.383172,1250,75.1,170.0,-320
40.225662,-83.382996,1250,75.0,166.9,-576
40.225296,-83.382874,1250,74.0,163.5,-384
40.224518,-83.382446,1225,72.1,156.3,-320
40.224106,-83.38208,1225,71.6,147.0,-320
40.22374,-83.381592,1200,71.5,136.7,-384
40.223419,-83.381042,1200,72.8,127.2,-256
40.223089,-83.380425,1175,75.3,120.3,-384
40.222949,-83.379988,1150,76.5,115.6,-768
40.222809,-83.379364,1150,79.1,108.4,-768
40.222687,-83.378418,1150,79.8,102.3,-384
40.22267,-83.377679,1150,82.1,92.8,-320
40.222733,-83.375916,1100,83.0,90.0,-192
40.22287,-83.374268,1050,85.4,84.6,-896
40.223007,-83.372437,1025,85.5,84.0,-768
40.223053,-83.370239,1000,82.0,89.3,-512
40.223145,-83.36792,950,82.1,87.2,-512
40.223275,-83.36663,925,81.1,80.8,-576
40.223415,-83.365694,900,81.4,79.4,-640
