lat,lon,alt,gs,track,vs
39.580295,-104.851257,5675,57.0,178.0,64
39.579504,-104.851257,5675,62.0,178.1,64
39.578384,-104.851187,5675,64.0,178.2,64
39.575966,-104.851196,5750,67.0,180.0,384
39.572894,-104.851135,5825,69.0,179.2,512
39.570333,-104.851013,5875,69.1,177.5,576
39.569138,-104.850829,5925,69.6,172.6,640
39.568378,-104.850647,5950,69.9,166.8,640
39.567587,-104.850281,5975,68.6,161.3,640
39.566888,-104.849915,6000,69.8,154.5,640
39.566237,-104.849426,6025,70.5,148.3,640
39.565678,-104.848877,6050,71.2,141.8,576
39.565063,-104.848142,6075,72.1,136.1,512
39.56456,-104.847306,6075,74.0,128.4,384
39.564095,-104.846375,6100,76.0,122.6,448
39.563553,-104.845097,6125,78.3,116.6,320
39.563095,-104.843664,6125,80.8,111.8,256
39.562373,-104.840942,6150,84.4,108.7,256
39.561768,-104.838469,6175,88.9,107.0,64
39.561356,-104.836439,6150,93.9,104.2,0
39.560837,-104.833313,6175,97.9,101.2,320
39.560511,-104.83075,6200,99.7,96.9,512
39.560278,-104.826904,6250,101.2,94.0,576
39.560045,-104.821594,6325,104.1,92.2,512
39.559982,-104.816258,6400,106.0,90.0,512
39.559952,-104.81073,6475,106.0,90.5,448
39.559937,-104.804853,6550,107.0,91.1,576
39.559859,-104.799377,6625,106.0,91.6,512
39.559626,-104.793396,6700,108.1,92.7,512
39.559387,-104.787239,6775,108.2,93.2,448
39.559254,-104.781128,6825,111.0,91.0,448
39.559113,-104.77482,6900,112.1,92.6,320
39.558928,-104.768372,6925,115.0,91.0,192
39.558929,-104.761326,7000,117.0,90.5,384
39.558838,-104.751056,7050,121.0,91.4,320
39.558602,-104.746399,7075,120.3,94.3,320
39.557904,-104.737183,7175,119.6,95.8,640
39.557299,-104.730591,7275,118.1,97.8,512
39.556458,-104.721859,7350,119.7,96.2,320
39.556,-104.714933,7350,122.3,94.2,64
39.555576,-104.705994,7350,127.3,93.6,-64
39.554901,-104.69093,7350,132.2,93.5,64
39.554366,-104.68158,7350,134.5,94.7,64
39.553482,-104.670331,7375,132.7,96.1,128
39.552178,-104.654724,7400,131.6,95.2,0
39.551945,-104.648865,7400,133.1,92.6,-64
39.551468,-104.633132,7400,132.2,93.0,64
39.550781,-104.617489,7425,132.2,93.5,0
39.550223,-104.60553,7425,132.5,94.8,-64
39.549591,-104.597546,7425,131.9,96.5,128
39.548492,-104.587575,7450,128.3,98.1,192
39.547336,-104.577698,7475,126.8,99.5,256
39.545334,-104.563094,7525,123.0,100.3,192
39.543379,-104.549438,7550,123.6,99.3,0
39.542076,-104.539307,7575,124.2,100.7,128
39.540726,-104.530884,7575,124.7,102.0,0
39.5392,-104.522493,7575,126.6,103.7,-64
39.537886,-104.51593,7575,127.6,105.4,-128
39.536224,-104.50876,7550,130.0,107.5,-64
39.532952,-104.495605,7550,130.4,106.5,-64
39.529879,-104.481995,7475,133.8,106.9,-256
39.527664,-104.472875,7475,133.8,108.3,-192
39.526295,-104.46814,7450,134.3,111.4,-192
39.523636,-104.459739,7425,134.9,113.1,-256
39.518738,-104.444991,7400,133.2,112.5,192
39.515122,-104.43396,7425,129.9,113.6,-64
39.510223,-104.419735,7400,131.2,113.8,0
39.50592,-104.406778,7375,131.3,112.8,-192
39.50116,-104.392448,7325,133.7,112.0,0
39.498322,-104.38397,7325,132.1,113.7,-64
39.493469,-104.36964,7325,129.9,113.6,0
39.488708,-104.355369,7300,130.0,112.6,-64
39.484131,-104.341338,7325,128.6,113.4,0
39.479696,-104.327759,7350,124.6,112.7,128
39.476166,-104.317335,7350,128.0,114.0,-64
39.472412,-104.30617,7375,126.8,112.7,192
39.467926,-104.292437,7375,126.8,112.7,-64
39.463348,-104.278584,7400,126.8,112.7,192
39.458934,-104.264832,7450,124.6,112.7,0
39.456161,-104.256433,7425,128.6,113.4,-256
39.451392,-104.242126,7400,130.0,112.6,128
39.44697,-104.228394,7425,128.2,113.0,-64
39.442315,-104.214294,7425,128.2,113.0,128
39.438497,-104.202454,7500,124.6,112.7,192
39.43396,-104.188902,7500,125.0,113.1,0
39.429466,-104.175232,7550,125.0,113.1,192
39.424997,-104.16217,7550,124.9,114.1,0
39.420342,-104.148438,7550,127.2,113.1,0
39.417068,-104.138867,7550,127.5,114.6,0
39.413406,-104.128357,7550,128.6,113.4,0
39.411667,-104.122865,7550,129.5,110.8,0
39.407307,-104.108521,7575,130.2,111.6,128
39.402885,-104.094238,7575,129.8,111.2,0
39.398602,-104.079956,7600,129.8,111.2,128
39.394366,-104.065796,7625,130.4,110.7,0
39.390198,-104.051633,7575,129.8,111.2,64
39.38594,-104.037659,7625,127.0,111.7,0
39.381729,-104.023809,7675,125.7,111.5,192
39.378631,-104.013306,7700,127.8,110.1,0
39.376556,-104.006434,7700,127.4,112.1,0
39.374908,-104.001,7700,127.8,110.1,0
39.371063,-103.98685,7725,128.8,110.0,64
39.367081,-103.972758,7775,128.2,110.6,64
39.363036,-103.958618,7775,128.8,110.0,128
39.359033,-103.944153,7800,129.4,109.4,64
39.356049,-103.933709,7825,130.4,110.7,64
39.351837,-103.919319,7825,130.4,110.7,0
39.347534,-103.904907,7850,129.8,111.2,64
39.345393,-103.897888,7850,128.2,113.0,192
39.344376,-103.895197,7875,127.0,117.2,256
39.343369,-103.892988,7900,125.4,122.3,320
39.34227,-103.891077,7900,122.6,127.7,320
39.341354,-103.889824,7925,119.6,133.3,896
39.340179,-103.888489,7975,116.8,138.1,1024
