lat,lon,alt,gs,track,vs
6.101695,-73.741939,28025,467.5,11.6,832
6.140717,-73.733903,28300,468.7,11.7,1024
6.172035,-73.727401,28575,468.9,11.8,768
6.21405,-73.718681,28800,472.8,11.7,640
6.251081,-73.711016,29050,473.8,11.7,1088
6.284506,-73.704387,29300,474.2,10.7,704
6.306335,-73.700898,29400,475.6,8.8,640
6.32103,-73.698943,29500,476.9,7.3,1088
6.341537,-73.696941,29700,476.0,5.3,1344
6.362915,-73.695498,29900,475.8,3.2,1472
6.384686,-73.694821,30200,473.1,1.3,1856
6.404191,-73.694774,30425,470.0,359.6,1408
6.424907,-73.695342,30625,470.3,358.0,960
6.445856,-73.696573,30750,471.0,356.4,768
6.467037,-73.698515,30900,472.2,354.4,832
6.488823,-73.701261,31075,473.1,352.5,1152
6.518291,-73.706186,31350,473.1,351.6,1216
6.53096,-73.708719,31500,471.5,348.5,1536
6.551834,-73.71356,31750,469.6,346.7,1408
6.571472,-73.718681,31925,470.1,345.0,1024
6.592667,-73.724965,32100,470.1,343.2,1024
6.60553,-73.729201,32200,470.6,341.8,704
6.617354,-73.733321,32225,472.5,340.7,256
6.63779,-73.741039,32275,476.5,338.7,256
6.646454,-73.744564,32300,477.8,338.0,512
6.654223,-73.747859,32350,478.6,337.1,896
6.672658,-73.756193,32525,478.8,335.3,1216
6.696213,-73.767747,32750,478.5,333.7,1152
6.726891,-73.782854,33025,478.1,333.8,1152
6.753938,-73.796018,33325,475.9,334.1,1408
6.772614,-73.805082,33525,474.5,334.1,960
6.805937,-73.821211,33775,474.5,334.1,1024
6.829539,-73.832624,33950,474.5,334.1,640
6.831494,-73.833618,33950,475.4,334.2,512
6.865059,-73.849861,34000,475.0,334.0,0
6.903992,-73.868812,34025,472.7,334.0,0
6.941497,-73.887082,34000,473.6,334.1,0
6.97966,-73.905634,34000,473.6,334.1,0
7.018867,-73.924682,34000,474.1,334.0,0
7.05569,-73.942676,34000,474.1,334.0,64
7.093677,-73.961145,34000,473.6,334.1,-64
7.131198,-73.979376,34000,472.7,334.0,-64
7.169324,-73.997987,33975,472.7,334.0,-64
7.207171,-74.016455,33975,471.8,334.0,64
7.246368,-74.035681,33975,473.2,333.9,-64
7.28334,-74.053717,33975,474.1,334.0,0
7.32193,-74.072571,33975,474.1,334.0,0
7.360188,-74.091276,34000,475.9,334.1,64
7.399567,-74.110464,33975,476.3,334.0,0
7.439094,-74.129823,34000,477.2,334.0,0
7.478384,-74.149002,33975,478.1,334.1,0
7.518585,-74.168608,34000,479.4,334.0,0
