lat,lon,alt,gs,track,vs
45.558655,-94.074521,1600,69.8,322.0,512
45.559982,-94.075794,1700,69.1,325.6,576
45.563049,-94.078808,1700,72.9,326.8,256
45.565109,-94.080617,1700,76.7,329.4,128
45.565475,-94.080885,1800,76.7,329.4,128
45.570465,-94.085105,1900,78.0,329.2,448
45.572525,-94.087048,1900,75.2,326.9,256
45.57399,-94.088455,2000,73.8,324.4,448
45.575867,-94.090532,2000,74.0,321.6,384
45.577194,-94.092139,2100,73.7,318.3,448
45.578842,-94.094417,2100,69.3,316.2,448
45.579803,-94.095757,2100,70.0,313.3,256
45.580673,-94.09723,2100,70.3,309.8,192
45.581955,-94.099441,2200,72.6,308.3,192
45.584656,-94.104331,2300,71.4,307.0,448
45.586029,-94.107078,2300,72.7,304.4,384
45.587494,-94.110294,2400,73.2,302.2,320
45.589737,-94.115385,2400,74.3,303.5,384
45.591019,-94.118332,2500,73.8,302.8,384
45.591888,-94.120543,2500,77.0,299.6,256
45.593033,-94.123691,2500,75.1,296.9,384
45.593353,-94.124562,2600,75.1,296.9,384
45.594315,-94.127175,2600,72.5,294.4,256
45.595688,-94.131797,2600,77.5,293.6,0
45.596786,-94.13575,2600,80.4,291.1,192
45.597748,-94.139635,2600,77.2,288.9,64
45.597885,-94.140104,2700,77.2,288.9,0
45.59816,-94.141109,2600,77.2,288.9,0
45.59935,-94.145999,2600,77.5,287.3,-64
45.600494,-94.151492,2600,77.9,285.6,0
45.601181,-94.154976,2700,77.9,285.6,128
45.602325,-94.160737,2600,75.3,287.0,0
45.603149,-94.164689,2600,77.6,284.9,-192
45.60379,-94.16824,2600,80.1,283.0,0
45.604248,-94.170785,2700,78.6,284.7,192
45.604935,-94.174202,2700,74.0,286.5,256
45.605713,-94.177551,2700,76.0,286.0,-192
45.606171,-94.179494,2700,78.1,288.7,-192
45.607178,-94.183982,2700,79.7,287.5,192
45.608688,-94.190346,2700,77.2,288.9,128
45.610199,-94.197246,2700,78.7,287.7,-192
45.612442,-94.20696,2700,81.6,287.1,0
45.613174,-94.210108,2700,82.2,288.4,128
45.61409,-94.213525,2800,81.0,290.2,192
45.614227,-94.214061,2700,78.3,294.9,64
45.615875,-94.218951,2800,83.3,294.1,0
45.616058,-94.219487,2700,83.3,294.1,0
45.616196,-94.219956,2800,82.9,293.5,0
45.616333,-94.220425,2700,82.9,293.5,0
45.616562,-94.220961,2800,82.9,293.5,64
45.618942,-94.228531,2800,79.3,293.0,256
45.621735,-94.237507,2800,82.1,292.2,-128
45.623337,-94.243737,2800,84.5,290.8,0
45.625534,-94.252647,2800,84.2,290.2,192
45.626404,-94.256264,2900,80.1,290.5,192
45.62796,-94.261891,2900,81.6,289.3,0
45.628693,-94.26504,2800,83.5,288.9,-256
45.631165,-94.27549,2800,86.0,289.7,0
45.632355,-94.279778,2800,83.0,291.9,64
45.633499,-94.283797,2900,82.5,292.8,0
45.633636,-94.284266,2800,81.5,293.1,0
45.63588,-94.2913,2800,86.4,293.9,-192
45.637756,-94.297061,2800,85.4,295.7,64
45.640091,-94.303626,2800,83.2,297.2,0
45.642426,-94.309923,2800,84.1,298.4,-64
45.643616,-94.312938,2800,85.1,299.6,-128
45.647644,-94.322651,2800,81.5,299.4,192
45.650208,-94.329283,2800,83.2,298.7,-192
45.652222,-94.334776,2800,83.7,297.8,0
45.655197,-94.342547,2800,83.7,297.8,-64
45.658401,-94.351055,2800,86.3,296.9,-128
45.660553,-94.357754,2800,84.6,294.4,0
45.662796,-94.364252,2800,82.8,295.0,0
45.665451,-94.372224,2800,85.4,295.7,-128
45.667053,-94.376779,2700,84.1,296.9,-64
45.668106,-94.379793,2800,84.5,296.0,0
45.668289,-94.380262,2700,85.0,295.1,0
45.669708,-94.384349,2800,85.4,297.2,0
45.671997,-94.390847,2800,81.4,296.2,0
45.672958,-94.393794,2800,81.9,293.8,0
45.674332,-94.39835,2800,83.0,291.9,0
45.675156,-94.401431,2800,81.9,290.0,-128
45.675613,-94.403575,2700,83.8,287.4,-256
45.676849,-94.40947,2700,85.2,285.7,-128
45.678818,-94.418782,2700,86.4,286.1,64
45.680695,-94.427624,2700,87.1,285.3,-64
45.681747,-94.433251,2700,87.6,283.9,0
45.68367,-94.444171,2700,83.2,283.2,0
45.683853,-94.44531,2700,83.4,283.9,0
45.688477,-94.472775,2600,86.9,282.0,-256
45.689987,-94.483494,2600,87.7,281.2,-64
45.690353,-94.48691,2600,84.9,278.1,64
45.69136,-94.496088,2600,81.1,279.2,0
45.691681,-94.498767,2600,81.2,279.9,-128
45.692871,-94.509486,2600,82.2,279.8,-128
45.693329,-94.513773,2600,83.0,279.0,-64
45.693558,-94.515448,2600,85.0,278.8,-128
45.695068,-94.525429,2600,85.0,278.8,-192
45.69548,-94.527573,2600,82.5,284.0,0
45.696075,-94.530789,2700,83.0,285.4,128
45.696945,-94.535545,2700,81.3,283.5,128
45.697586,-94.539229,2700,79.6,281.6,128
45.698502,-94.54499,2700,81.8,282.0,-64
45.699188,-94.549077,2700,79.1,283.2,-64
45.701065,-94.560733,2700,80.3,283.7,-128
45.701202,-94.561269,2700,86.4,286.1,192
45.703125,-94.571049,2700,85.7,287.0,0
45.703812,-94.573729,2800,85.7,287.0,64
45.705414,-94.581701,2800,82.3,286.2,0
45.706238,-94.585921,2800,82.0,285.6,0
45.709122,-94.601262,2800,82.0,285.6,0
45.709351,-94.602803,2800,80.1,283.0,128
45.709534,-94.603874,2800,79.6,281.6,64
45.723358,-94.716149,2800,80.8,282.1,64
45.70491,-94.843095,3800,107.0,105.7,384
45.704086,-94.839009,3700,106.3,106.4,0
45.703949,-94.838339,3800,106.0,105.9,0
45.701294,-94.825209,3700,108.0,105.6,-128
45.698914,-94.813485,3700,107.6,106.8,-64
45.697403,-94.806653,3700,106.9,107.4,-128
45.696075,-94.801293,3700,107.2,107.9,-64
45.694656,-94.795867,3800,111.0,108.9,384
45.694336,-94.794594,3700,107.5,108.4,192
45.694199,-94.793857,3800,106.3,108.1,64
45.693878,-94.792518,3700,107.2,107.9,0
45.693283,-94.789838,3800,106.3,106.4,0
45.692734,-94.787092,3700,107.0,105.7,0
45.691727,-94.781531,3700,108.2,103.9,-128
45.689346,-94.767999,3700,111.6,104.5,128
45.68779,-94.760296,3700,109.2,105.9,0
45.686417,-94.754066,3700,107.2,107.9,-128
45.685043,-94.748036,3600,106.6,108.6,0
45.682617,-94.737921,3700,105.6,108.8,256
45.679413,-94.724925,3700,101.5,109.0,384
45.677216,-94.715814,3800,103.4,108.6,192
45.676117,-94.711192,3700,103.7,109.1,-64
45.674057,-94.702617,3700,105.0,107.7,-192
45.672638,-94.695918,3700,105.1,106.0,-64
45.671539,-94.689822,3700,105.0,103.8,-384
45.670532,-94.684396,3600,107.4,104.6,0
45.670395,-94.683726,3700,107.4,104.6,0
45.670258,-94.682989,3600,107.4,104.6,0
45.670029,-94.68165,3700,107.2,104.0,-64
45.669891,-94.680913,3600,108.7,102.8,-64
45.668884,-94.675353,3600,109.9,105.3,-384
45.666183,-94.661888,3600,111.4,106.2,-64
45.663254,-94.647887,3600,109.8,106.9,384
45.66275,-94.64581,3700,107.9,107.3,448
45.660095,-94.633685,3700,104.4,106.7,256
45.658264,-94.62511,3700,104.0,107.9,-64
45.656021,-94.615732,3700,106.9,109.1,-128
45.653961,-94.607827,3700,107.9,110.6,0
45.652634,-94.603204,3700,105.3,112.9,192
45.650803,-94.597577,3700,103.8,115.1,0
45.649521,-94.593826,3700,104.2,118.0,0
45.647461,-94.588333,3800,105.5,117.1,256
45.644714,-94.58083,3800,105.6,118.3,64
45.642334,-94.574667,3800,106.2,119.9,-128
45.640869,-94.570982,3700,109.7,118.9,-256
45.638763,-94.565891,3700,112.2,121.1,-64
45.636063,-94.559661,3800,109.1,121.5,256
45.634277,-94.555307,3800,108.8,119.2,256
45.632172,-94.54968,3800,105.5,117.1,0
45.630844,-94.545928,3700,107.3,116.6,-320
45.627869,-94.537487,3700,110.0,115.9,-320
45.62764,-94.536818,3600,110.1,114.7,-320
45.627411,-94.536081,3700,111.0,114.5,-320
45.627228,-94.535411,3600,111.4,114.9,-256
45.625717,-94.530722,3600,112.9,112.9,0
45.62471,-94.527238,3700,111.1,113.3,192
45.622787,-94.520539,3600,108.6,111.6,-64
45.622559,-94.519869,3700,109.0,112.1,-64
45.622375,-94.519199,3600,107.7,111.8,-64
45.620728,-94.513103,3600,110.1,110.7,-64
45.618988,-94.506203,3600,111.3,109.4,-128
45.618301,-94.50339,3600,109.4,108.1,256
45.617661,-94.500576,3700,108.2,107.8,512
45.616837,-94.496557,3700,105.5,104.8,384
45.616333,-94.49381,3700,106.2,104.2,-64
45.614182,-94.481953,3700,109.9,105.3,-128
45.613632,-94.479139,3600,108.9,105.4,-64
45.610931,-94.465875,3600,110.2,105.8,-192
45.609375,-94.458105,3600,109.8,106.9,0
45.606995,-94.447654,3500,110.7,106.8,-128
45.605759,-94.441424,3500,106.7,105.2,0
45.604248,-94.433251,3500,106.0,103.6,0
45.602097,-94.420255,3500,105.8,103.1,64
45.601273,-94.415566,3600,104.5,105.0,128
45.599808,-94.408264,3600,103.2,106.3,128
45.59816,-94.400292,3600,106.5,104.7,-128
45.597473,-94.396139,3500,106.2,104.2,-192
45.595779,-94.386559,3500,104.8,103.2,0
45.594955,-94.381803,3600,106.2,104.2,384
45.593674,-94.374367,3600,104.8,103.2,384
45.593262,-94.371688,3700,104.1,101.6,320
45.592072,-94.363582,3700,103.8,100.6,-64
45.591797,-94.361572,3600,104.9,101.0,-192
45.590057,-94.349246,3600,104.7,100.4,-128
45.589691,-94.3465,3500,105.7,100.3,-128
45.588089,-94.334039,3500,106.9,100.8,-128
45.587494,-94.330623,3500,106.0,103.6,-192
45.586807,-94.32647,3400,106.5,104.7,-128
45.585571,-94.320374,3400,105.4,106.5,64
45.583145,-94.309119,3500,103.7,107.4,320
45.582184,-94.304497,3500,100.7,105.6,192
45.581268,-94.299272,3500,102.6,102.9,0
45.579941,-94.290697,3500,102.2,101.9,-320
45.578751,-94.282591,3400,104.3,102.2,-64
45.576782,-94.269327,3400,109.2,101.6,-320
45.57605,-94.26437,3300,110.4,102.0,-192
45.575363,-94.260083,3300,109.6,104.8,0
45.574127,-94.253786,3400,110.6,104.7,0
45.574036,-94.253049,3300,109.6,104.8,0
45.573395,-94.250235,3400,108.9,105.4,64
45.572342,-94.244675,3300,108.9,105.4,0
45.569641,-94.230741,3300,108.9,105.4,-192
45.568497,-94.224712,3200,110.2,105.8,-384
45.566986,-94.217343,3200,110.6,104.7,-256
45.565521,-94.208902,3200,112.3,103.9,192
45.56456,-94.203007,3200,109.7,102.6,-256
45.56424,-94.200998,3200,110.6,102.5,-576
45.563873,-94.19872,3100,112.8,102.8,-768
45.563049,-94.193629,3100,113.0,103.3,-320
45.56163,-94.185255,3000,109.7,102.6,-256
45.559479,-94.172125,2900,112.4,101.8,-320
45.558563,-94.165627,2900,113.6,99.6,-384
45.557922,-94.160335,2800,113.1,98.1,-320
45.556641,-94.146803,2800,116.0,97.4,0
45.556366,-94.143855,2800,111.5,95.7,0
45.556091,-94.140238,2700,106.6,95.9,-128
45.555588,-94.134276,2700,101.7,96.8,-256
45.555222,-94.130457,2600,97.9,97.6,-640
45.554855,-94.126639,2500,96.0,98.4,-1024
45.554443,-94.123223,2400,96.2,99.0,-832
45.553894,-94.118868,2300,95.9,101.4,-768
45.553391,-94.11572,2300,96.3,105.1,-576
45.552704,-94.112705,2300,95.8,108.2,-256
45.552063,-94.11036,2300,96.0,112.0,-128
45.551331,-94.108016,2200,95.7,116.0,-192
45.550369,-94.105671,2200,95.5,120.9,-64
45.549454,-94.103662,2200,94.9,124.7,0
