lat,lon,alt,gs,track
36.117096,-80.224857,1400,63.3,248.7
36.116949,-80.225499,1375,64.1,259.2
36.116902,-80.2262,1350,64.0,268.2
36.116949,-80.22696,1325,65.3,275.3
36.117004,-80.227489,1325,65.3,285.1
36.117274,-80.228246,1300,65.0,292.6
36.117599,-80.22892,1275,65.0,300.5
36.118392,-80.230525,1225,66.3,303.9
36.119156,-80.231781,1200,67.0,307.7
36.119788,-80.232687,1150,65.8,314.4
36.120392,-80.233269,1150,66.0,319.3
36.120719,-80.233563,1125,65.7,326.8
36.121307,-80.233955,1100,66.2,333.0
36.122131,-80.234356,1075,66.5,344.3
36.122864,-80.234528,1075,67.5,348.0
36.123419,-80.234615,1050,67.4,354.0
36.124304,-80.234674,1050,66.0,0.9
36.124909,-80.234557,1025,64.6,8.0
36.125519,-80.234413,1025,63.8,13.6
36.126114,-80.234184,1000,62.9,17.6
36.126846,-80.233784,975,61.7,24.9
36.127469,-80.23333,950,60.0,30.0
36.129639,-80.231724,875,61.9,31.1
36.130309,-80.231226,850,61.9,31.1
36.144699,-80.220737,900,0.0,0.0
36.146851,-80.219421,975,55.9,26.6
36.147675,-80.218849,1025,54.7,30.8
36.149395,-80.21761,1075,59.1,28.3
36.151108,-80.21656,1100,64.0,27.0
36.152206,-80.215874,1125,64.5,23.8
36.152794,-80.215623,1150,64.8,17.0
36.154404,-80.215073,1200,63.9,20.1
36.154842,-80.214805,1200,63.1,27.4
36.155727,-80.214104,1250,63.0,32.7
36.157196,-80.21307,1300,63.1,29.4
36.159302,-80.211639,1375,61.8,29.0
36.161316,-80.210152,1425,64.4,27.8
36.161865,-80.209866,1425,63.9,20.1
36.162323,-80.209694,1450,64.8,13.4
36.162827,-80.209637,1450,66.3,5.2
36.163221,-80.209662,1450,66.1,357.4
36.163788,-80.209751,1475,66.7,347.0
36.164199,-80.209954,1475,67.4,341.8
36.164665,-80.210188,1500,66.7,330.4
36.165115,-80.210609,1500,68.2,325.1
36.165828,-80.211357,1525,68.8,319.1
36.167597,-80.213285,1575,70.0,316.7
36.169553,-80.215564,1650,68.8,319.1
36.171647,-80.217785,1750,68.7,318.0
36.173447,-80.219765,1825,66.1,320.5
36.175323,-80.22171,1875,64.4,318.1
36.177292,-80.223827,1975,63.9,320.1
36.179718,-80.226231,2050,65.4,321.2
36.181749,-80.228187,2125,65.4,321.2
36.183239,-80.229765,2175,65.2,318.7
36.18544,-80.232067,2250,67.4,319.2
36.187454,-80.234241,2325,63.1,319.5
36.189377,-80.236359,2400,64.4,318.1
