lat,lon,alt,gs,track
35.973713,-115.140438,-50.0,0.0,81.6
35.973707,-115.14043,-50.0,0.0,81.6
35.973713,-115.140424,-50.0,0.0,92.8
35.973713,-115.140395,-50.0,0.0,90.0
35.973707,-115.140298,-50.0,4.8,90.0
35.973701,-115.140166,-50.0,6.2,92.8
35.973701,-115.140095,-50.0,6.2,84.4
35.973812,-115.139962,-50.0,7.2,5.6
35.973953,-115.139952,-50.0,7.8,0.0
35.974079,-115.139952,-50.0,8.8,5.6
35.974319,-115.139894,-50.0,8.8,19.7
35.974382,-115.139845,-50.0,8.8,45.0
35.974445,-115.139723,-50.0,7.2,81.6
35.974452,-115.139641,-50.0,7.8,95.6
35.974445,-115.13938,-50.0,8.8,92.8
35.97444,-115.138954,-50.0,10.2,92.8
35.97444,-115.138837,-50.0,9.2,84.4
35.974445,-115.138779,-50.0,8.8,73.1
35.974583,-115.138636,-50.0,9.2,11.2
35.97465,-115.138633,-50.0,9.2,5.6
35.974755,-115.138633,-50.0,10.2,5.6
35.974825,-115.138603,-50.0,9.2,28.1
35.974894,-115.138516,-50.0,7.8,75.9
35.974903,-115.13845,-50.0,7.2,90.0
35.974903,-115.138335,-50.0,5.2,95.6
35.974906,-115.138311,-50.0,4.2,109.7
35.974894,-115.138282,-50.0,4.2,123.8
35.974869,-115.138249,-50.0,4.2,151.9
35.974848,-115.138238,-50.0,4.2,165.9
35.974812,-115.138235,-50.0,4.8,177.2
35.974743,-115.138235,-50.0,0.2,180.0
35.974743,-115.138221,-50.0,0.0,180.0
35.974743,-115.138224,-50.0,0.0,180.0
35.974743,-115.138224,-50.0,0.0,180.0
35.974743,-115.138224,-50.0,0.0,180.0
35.974743,-115.138221,-50.0,0.0,180.0
35.974674,-115.138221,-50.0,0.0,171.6
35.974592,-115.138165,-50.0,5.8,143.4
35.974548,-115.138121,-50.0,6.8,135.0
35.974525,-115.138078,-50.0,7.8,126.6
35.974487,-115.138019,-50.0,8.8,115.3
35.974464,-115.137917,-50.0,9.8,106.9
35.974445,-115.137792,-50.0,10.2,101.2
35.974429,-115.137654,-50.0,11.2,95.6
35.974422,-115.137248,-50.0,12.8,92.8
35.974429,-115.137157,-50.0,13.2,87.2
35.974434,-115.137076,-50.0,12.2,73.1
35.974514,-115.136962,-50.0,11.8,30.9
35.974557,-115.136923,-50.0,11.8,14.1
35.974617,-115.136919,-50.0,12.2,357.2
35.974964,-115.136923,-50.0,15.5,0.0
35.975406,-115.136909,-50.0,18.5,0.0
35.975814,-115.136909,-50.0,20.5,357.2
35.976209,-115.136909,-50.0,20.5,0.0
35.976608,-115.136905,-50.0,19.5,357.2
35.977009,-115.136905,-50.0,19.5,0.0
35.977421,-115.136905,-50.0,18.5,0.0
35.977856,-115.13689,-50.0,17.5,0.0
35.978304,-115.136879,-50.0,17.5,0.0
35.978737,-115.136876,-50.0,18.5,0.0
35.979115,-115.136876,-50.0,17.5,2.8
35.979469,-115.136876,-50.0,17.5,0.0
35.979858,-115.136862,-50.0,17.5,0.0
35.980282,-115.136862,-50.0,15.5,0.0
35.980609,-115.13685,-50.0,11.2,2.8
35.980667,-115.136836,-50.0,10.2,16.9
35.980717,-115.136819,-50.0,9.8,30.9
35.980751,-115.13679,-50.0,9.2,42.2
35.980785,-115.136747,-50.0,9.2,53.4
35.980807,-115.136704,-50.0,8.8,61.9
35.98082,-115.136662,-50.0,8.2,73.1
35.980831,-115.136619,-50.0,7.8,84.4
35.98083,-115.136529,-50.0,7.8,92.8
35.980831,-115.136261,-50.0,5.2,90.0
35.980831,-115.136204,-50.0,1.1,90.0
35.980831,-115.136147,-50.0,0.0,90.0
35.980831,-115.136089,-50.0,4.8,92.8
35.98083,-115.135857,-50.0,9.8,90.0
35.98083,-115.135623,-50.0,11.8,95.6
35.98082,-115.135546,-50.0,11.2,106.9
35.980807,-115.135492,-50.0,11.2,115.3
35.980774,-115.135431,-50.0,10.2,129.4
35.980748,-115.135404,-50.0,9.8,143.4
35.980702,-115.135375,-50.0,9.8,157.5
35.980667,-115.135345,-50.0,9.8,168.8
35.980597,-115.135345,-50.0,10.2,180.0
35.980431,-115.135331,-50.0,14.8,180.0
35.980283,-115.135345,-50.0,19.5,180.0
35.98019,-115.135345,-50.0,23.5,180.0
35.980003,-115.135345,-50.0,28.5,180.0
35.979864,-115.135345,-50.0,31.5,180.0
35.979666,-115.135375,2550,33.5,90.0
35.979573,-115.135375,2550,37.0,180.0
35.9792,-115.135375,2550,41.0,180.0
35.978921,-115.135375,2550,45.0,181.3
35.978549,-115.135375,2550,49.0,180.0
35.978176,-115.135375,2550,53.0,181.1
35.977757,-115.135375,2550,57.0,181.0
35.976873,-115.135433,2550,60.0,180.9
35.976425,-115.135403,2575,64.0,179.1
35.97496,-115.135403,2600,68.0,180.0
35.972776,-115.135433,2650,72.0,180.8
35.971115,-115.135403,2675,76.0,180.0
35.968048,-115.135403,2750,78.0,180.0
35.964955,-115.135433,2825,77.0,181.5
35.962784,-115.135574,2925,75.1,182.3
35.960724,-115.135746,3000,72.3,184.8
35.958344,-115.135975,3100,71.2,184.0
35.955093,-115.136204,3175,74.3,185.4
35.95459,-115.136375,3175,73.8,192.5
35.954086,-115.136604,3200,71.9,201.2
35.953583,-115.136948,3225,69.6,212.1
35.953224,-115.137362,3250,68.0,221.4
35.953033,-115.137691,3250,67.0,232.3
35.952667,-115.138321,3275,68.0,241.9
35.952386,-115.139232,3300,67.8,248.4
35.952301,-115.139809,3325,67.3,258.9
