lat,lon,alt,gs,track,vs
47.995637,-96.094877,4400,125.1,122.9,896
47.9941,-96.091074,4400,125.4,122.3,896
47.99144,-96.084297,4500,124.5,119.9,576
47.982648,-96.062692,4900,124.5,119.9,576
47.97995,-96.05587,5000,128.5,119.4,384
47.975619,-96.044593,5000,130.9,120.3,448
47.97371,-96.039875,5100,130.9,120.3,448
47.973105,-96.038325,5200,130.9,120.3,448
47.969513,-96.029366,5300,127.8,120.6,512
47.967636,-96.024628,5400,128.3,121.0,768
47.964819,-96.017902,5500,128.7,122.9,448
47.96156,-96.010226,5500,133.5,122.1,448
47.960678,-96.008286,5600,136.5,123.3,576
47.956787,-95.999428,5600,140.9,123.1,256
47.952343,-95.989239,5700,141.5,123.5,320
47.949783,-95.983253,5600,146.0,121.8,-128
47.946757,-95.975577,5600,151.0,119.8,-192
47.939987,-95.958435,5600,150.2,120.8,0
47.935867,-95.948547,5600,147.9,122.3,-320
47.932571,-95.940445,5500,149.4,121.0,-256
47.92795,-95.929518,5500,147.0,122.5,0
47.924877,-95.922053,5600,147.7,121.4,768
47.922546,-95.91655,5700,143.4,122.5,960
47.917196,-95.904165,5800,140.7,122.2,192
47.914856,-95.898697,5700,141.2,122.6,-256
47.911703,-95.891207,5700,145.1,122.1,-512
47.909409,-95.886063,5600,149.2,123.8,-576
47.90202,-95.869446,5600,153.1,123.3,64
47.894665,-95.853037,5600,151.2,124.2,-320
47.890137,-95.843491,5600,146.2,125.5,512
47.886337,-95.835663,5600,141.8,125.8,-192
47.883399,-95.829867,5600,139.6,128.0,-128
47.879954,-95.823247,5600,143.8,126.2,-256
47.876463,-95.815852,5600,146.2,124.1,512
47.874228,-95.810922,5700,144.5,124.6,384
47.86813,-95.798176,5700,141.8,125.8,-576
47.866501,-95.794866,5600,141.6,126.4,-512
47.86171,-95.785057,5600,143.7,124.8,64
47.857727,-95.775993,5600,145.9,123.2,-64
47.853149,-95.765076,5600,144.6,121.7,448
47.851318,-95.76075,5700,142.0,122.3,448
47.847088,-95.750427,5700,142.2,120.9,320
47.845139,-95.745644,5800,144.6,121.7,576
47.841083,-95.73592,5800,148.7,123.5,384
47.833649,-95.719414,5800,151.7,123.2,0
47.830376,-95.711553,5700,151.6,121.0,-128
47.826736,-95.70211,5700,150.0,119.1,-64
47.823021,-95.692679,5700,151.6,121.0,-128
47.818272,-95.681129,5700,146.8,121.6,64
47.811493,-95.664551,5700,145.1,122.1,128
47.810684,-95.662607,5800,145.3,122.9,64
47.809525,-95.660088,5700,145.3,124.3,-192
47.805471,-95.651621,5700,147.4,126.2,192
47.804855,-95.650406,5800,147.4,126.2,320
47.799774,-95.640244,5800,145.4,127.7,-192
47.796253,-95.63324,5800,146.2,125.5,-128
47.794345,-95.629085,5700,145.9,123.2,0
47.793365,-95.626854,5800,146.2,122.7,0
47.793181,-95.626409,5700,146.2,122.7,-128
47.790939,-95.62088,5700,145.6,120.1,-256
47.786431,-95.609506,5700,146.8,121.6,128
47.783478,-95.602066,5700,148.2,119.5,320
47.781555,-95.596916,5800,147.6,118.3,128
47.778377,-95.588379,5800,147.0,120.2,64
47.771906,-95.571829,5800,146.9,119.4,128
47.768694,-95.56366,5800,151.3,121.5,-64
47.763062,-95.550156,5800,152.0,122.6,64
47.760408,-95.544363,5800,152.1,125.4,-192
47.755096,-95.533401,5700,152.6,125.7,-576
47.75012,-95.522672,5700,154.8,124.2,-384
47.749096,-95.520419,5600,155.0,123.7,-384
47.745092,-95.511193,5500,158.2,122.1,-576
47.741787,-95.503376,5600,154.9,121.5,128
47.739739,-95.498235,5500,156.1,120.8,-128
47.734804,-95.485488,5600,152.7,119.4,384
47.730987,-95.47591,5500,149.9,121.4,-128
47.728706,-95.470487,5600,150.4,121.7,0
47.724377,-95.460346,5600,147.3,123.4,384
47.718837,-95.447669,5600,144.3,122.3,-128
47.715729,-95.440155,5700,148.4,120.4,768
47.711528,-95.430204,5700,152.3,122.1,-384
47.710457,-95.427669,5600,153.2,121.9,-512
47.707152,-95.419429,5600,156.8,119.8,-256
47.703614,-95.409851,5500,157.1,118.5,-512
47.696818,-95.391752,5500,154.9,119.4,-192
47.694537,-95.386188,5500,155.1,122.4,-64
47.689462,-95.374568,5500,154.2,123.9,448
47.687787,-95.370906,5600,153.7,123.6,192
47.686569,-95.368195,5500,154.2,123.9,-128
47.683136,-95.360367,5500,155.4,121.8,-192
47.675995,-95.343201,5500,154.5,122.0,-256
47.668654,-95.32527,5500,152.1,121.3,-64
47.661717,-95.308228,5500,150.9,122.0,128
47.656969,-95.297452,5400,146.4,123.6,-512
47.653564,-95.289917,5300,147.6,124.2,-960
47.648729,-95.279142,5200,148.7,123.5,-704
47.646149,-95.273438,5100,149.5,124.7,-768
47.643096,-95.267451,5100,150.0,126.9,-256
47.639099,-95.259911,5000,151.8,127.8,-576
47.63616,-95.25393,4900,152.1,125.4,-896
47.633606,-95.248512,4800,153.1,124.6,-576
47.629969,-95.240267,4700,152.0,122.6,-960
47.627222,-95.23414,4600,152.6,124.3,-768
47.623638,-95.226675,4500,151.8,125.9,-704
47.61996,-95.219421,4500,151.0,128.0,-704
47.619736,-95.218987,4400,151.0,128.0,-768
47.616623,-95.213425,4300,151.3,129.4,-960
47.612837,-95.206815,4200,148.2,130.9,-704
47.606369,-95.195297,4200,149.8,129.9,-320
47.603714,-95.190491,4100,151.3,129.4,-512
47.598083,-95.180534,4000,151.1,130.4,-640
47.595148,-95.175617,3900,153.7,131.6,-896
47.590164,-95.167625,3900,152.8,133.4,-512
47.589478,-95.166595,3800,153.5,133.7,-832
47.585977,-95.161391,3800,156.3,136.3,-448
47.584953,-95.159912,3700,157.0,136.0,-512
47.581055,-95.154305,3600,157.0,135.0,-640
47.574738,-95.144829,3600,156.3,136.3,-128
47.571991,-95.14119,3600,151.6,138.7,256
47.568512,-95.136726,3500,150.3,139.3,-448
47.561966,-95.128349,3400,151.6,138.7,-448
47.557526,-95.122375,3300,150.7,137.4,-768
47.553437,-95.116601,3200,151.3,136.1,-704
47.548921,-95.10984,3200,150.6,134.2,-320
47.545849,-95.105051,3100,151.4,132.9,-576
47.540868,-95.097234,3000,150.7,133.7,-576
47.537004,-95.091318,2900,152.0,134.7,-512
47.529694,-95.080902,2900,149.9,136.1,-128
47.524017,-95.072731,2900,145.0,135.8,-256
47.519454,-95.066317,2800,143.6,136.4,-832
47.515366,-95.060577,2700,146.5,136.9,-256
47.505844,-95.0476,2700,142.9,137.3,-384
47.49939,-95.038992,2700,143.8,138.7,-448
47.498428,-95.037781,2600,144.0,139.8,-448
47.494171,-95.032288,2500,147.3,138.3,-640
47.486029,-95.021667,2500,143.9,139.2,-192
47.482498,-95.017387,2400,140.2,141.7,-192
47.479065,-95.01313,2400,139.7,139.4,-64
47.47751,-95.010963,2400,141.4,135.6,448
47.4763,-95.009132,2500,141.5,133.3,512
47.475089,-95.006878,2500,139.2,127.1,320
47.474391,-95.005329,2500,139.0,124.2,192
47.473553,-95.003005,2500,139.1,116.9,0
47.472948,-95.000751,2500,138.6,110.3,64
47.472473,-94.998436,2500,138.9,106.7,-64
47.47225,-94.996526,2500,139.1,99.9,-192
47.472063,-94.993638,2500,138.7,95.8,-320
47.472107,-94.991089,2500,139.1,88.3,-256
47.47225,-94.98892,2500,138.1,82.9,-192
47.472762,-94.985117,2500,136.1,77.7,64
47.473526,-94.980515,2500,134.4,75.3,64
47.474438,-94.976102,2400,132.5,72.0,-192
47.476181,-94.96788,2500,132.2,72.4,64
47.477829,-94.95916,2500,129.1,73.8,-320
47.481095,-94.942228,2400,129.1,73.8,-256
47.481812,-94.93911,2400,129.1,73.8,-256
47.482086,-94.93808,2400,117.0,70.0,-128
47.485145,-94.926805,2400,117.0,70.0,-128
47.497284,-94.890701,2000,104.9,48.9,-448
47.498566,-94.889397,2000,100.2,31.9,-320
47.499902,-94.888423,2000,98.4,25.3,-384
47.501438,-94.887508,2000,97.6,24.2,-320
47.505954,-94.885888,2000,95.3,12.7,64
47.50676,-94.885689,1900,94.2,9.2,-448
47.508087,-94.885483,1900,93.7,6.8,-256
47.511795,-94.885345,1900,93.3,4.9,0
47.514175,-94.885895,1900,90.5,354.3,-192
47.514659,-94.886099,1900,87.1,344.7,-128
47.515503,-94.886787,1900,84.1,333.1,-128
47.516055,-94.887367,1900,83.0,323.8,0
47.516464,-94.887955,1900,82.8,316.5,-192
47.517059,-94.888985,1900,81.8,308.5,-256
47.517334,-94.88974,1900,81.0,298.8,-128
47.517609,-94.890839,1900,79.1,290.7,0
47.517685,-94.891733,1900,77.8,278.1,0
47.517731,-94.892789,1900,77.0,270.0,-64
47.517638,-94.893846,1900,75.4,263.9,-128
47.517498,-94.894832,1900,74.2,256.0,64
47.517242,-94.895988,1900,73.1,250.8,-512
47.516428,-94.898423,1800,72.8,249.1,-384
47.515686,-94.901207,1800,68.0,250.2,-512
47.515274,-94.902718,1700,66.4,251.6,-640
47.514566,-94.906241,1700,65.5,254.1,-320
47.513992,-94.909103,1600,67.7,253.7,-64
47.512894,-94.914665,1600,62.9,252.4,-512
47.512665,-94.915833,1500,62.0,252.1,-384
47.512253,-94.917824,1500,61.4,253.9,-576
47.511658,-94.920845,1500,61.4,253.9,-384
