lat,lon,alt,gs,track
37.861913,-120.179324,2850,0.0,0.0
37.863785,-120.185813,3175,61.4,286.1
37.864288,-120.188326,3250,63.8,283.6
37.864746,-120.190488,3300,64.1,280.8
37.864792,-120.191306,3325,64.0,279.9
37.864838,-120.192124,3375,63.1,272.7
37.864792,-120.192767,3375,62.3,264.5
37.8647,-120.193585,3400,61.0,259.6
37.864517,-120.194228,3425,59.1,251.3
37.864334,-120.194813,3425,59.0,243.9
37.864014,-120.195397,3425,60.5,235.8
37.863144,-120.196916,3450,59.7,238.7
37.863007,-120.197501,3450,60.1,251.6
37.862823,-120.198611,3450,60.0,268.1
37.862869,-120.199312,3450,61.3,275.6
37.863007,-120.199955,3450,62.9,287.6
37.863281,-120.200656,3450,63.6,294.1
37.863831,-120.201708,3450,64.4,303.0
37.864334,-120.202526,3450,66.1,309.5
37.865204,-120.203754,3450,67.2,313.2
37.865616,-120.204221,3450,67.3,318.0
37.866119,-120.204689,3425,68.5,326.3
37.867035,-120.205331,3425,68.9,336.0
37.867584,-120.205565,3425,69.0,340.5
37.8685,-120.205916,3425,69.9,346.8
37.869827,-120.206266,3400,70.2,349.3
37.870148,-120.206325,3375,70.9,351.1
37.810519,-120.2742,3875,0.0,0.0
37.810776,-120.273704,3900,49.4,54.1
37.814346,-120.265172,3900,49.9,57.3
37.814941,-120.263536,3900,54.1,64.9
37.81604,-120.260614,4050,55.0,63.0
37.817047,-120.258042,4100,51.9,64.9
37.817688,-120.256348,4125,51.9,64.9
37.818237,-120.254069,4175,56.6,72.5
37.818466,-120.253426,4225,50.3,69.0
37.819244,-120.252432,4175,55.9,42.8
37.82016,-120.251731,4200,58.5,33.2
37.820618,-120.251439,4200,56.9,30.6
37.82103,-120.251088,4225,53.3,30.4
37.822449,-120.250095,4200,56.4,29.7
37.826157,-120.247524,4275,56.0,28.9
37.827072,-120.246881,4300,58.2,28.8
37.836411,-120.239693,4300,0.0,0.0
37.840851,-120.235252,4325,64.0,38.7
37.842224,-120.233849,4300,62.4,41.1
37.843231,-120.232622,4300,59.5,42.3
37.844238,-120.231336,4275,60.8,45.0
37.844833,-120.230577,4275,62.4,48.9
37.845795,-120.229116,4250,64.0,51.3
37.846664,-120.227596,4225,63.8,54.6
37.84758,-120.225843,4200,63.0,57.3
37.849365,-120.22222,4200,62.7,56.1
37.852158,-120.217136,4150,61.3,56.3
37.85376,-120.21398,4100,63.8,57.8
37.854858,-120.211643,4075,66.7,60.4
37.855865,-120.209188,4075,68.9,62.3
37.857697,-120.204572,4050,65.3,62.7
37.859756,-120.199663,3950,63.5,61.8
37.860535,-120.197968,3925,65.0,59.5
37.861359,-120.196332,3900,64.9,56.3
37.862091,-120.194988,3875,64.2,52.6
37.863785,-120.1923,3825,63.3,50.8
37.865112,-120.190196,3800,63.6,53.3
37.865753,-120.189027,3800,61.9,55.5
37.866486,-120.187566,3775,57.1,57.1
37.866943,-120.186631,3750,59.1,61.7
37.867126,-120.186047,3750,59.9,64.3
37.867355,-120.185404,3725,60.1,71.6
37.867767,-120.183651,3700,61.4,73.9
37.86795,-120.182599,3700,61.6,76.9
37.868179,-120.181196,3675,62.2,78.9
37.868317,-120.180028,3675,65.3,84.7
37.868362,-120.178859,3650,68.0,89.2
37.868271,-120.176814,3625,67.1,93.4
37.868179,-120.175703,3625,67.4,96.0
37.867996,-120.174184,3600,64.1,100.8
37.867813,-120.172957,3575,63.6,102.7
37.867493,-120.171788,3525,64.6,106.2
37.867081,-120.170152,3475,65.5,108.7
37.86676,-120.1691,3425,64.3,111.0
37.866257,-120.167814,3375,61.3,116.2
37.865021,-120.165301,3275,62.8,120.7
37.864838,-120.165009,3275,62.5,129.8
37.864151,-120.16425,3225,64.4,138.1
37.863647,-120.16384,3225,64.4,147.1
37.862503,-120.16349,3175,63.8,171.0
37.861084,-120.163724,3100,61.5,187.5
37.860306,-120.164016,3100,61.4,199.0
37.859573,-120.164483,3100,59.9,213.4
37.858566,-120.165827,3050,58.8,221.6
37.858383,-120.166353,3000,59.0,243.9
37.860214,-120.173716,2850,59.2,258.3
37.862251,-120.180875,-50.0,0.0,0.0
37.86208,-120.181036,-50.0,0.0,0.0
37.861977,-120.180948,-50.0,6.2,0.0
37.861954,-120.180948,-50.0,0.0,0.0
37.861931,-120.18086,-50.0,6.2,0.0
37.861828,-120.180554,-50.0,7.2,0.0
37.861656,-120.180072,-50.0,8.2,0.0
37.86161,-120.179911,-50.0,7.2,0.0
37.861416,-120.179224,-50.0,8.2,0.0
37.861313,-120.178844,-50.0,9.2,0.0
37.86121,-120.178435,-50.0,9.2,0.0
37.861095,-120.178085,-50.0,10.2,0.0
37.860947,-120.177617,-50.0,9.2,0.0
37.860821,-120.177164,-50.0,7.2,0.0
37.860924,-120.176843,-50.0,7.2,0.0
37.861141,-120.176711,-50.0,6.2,0.0
