lat,lon,alt,gs,track
44.25071,-121.145701,-50.0,19.5,0.0
44.250355,-121.144916,-50.0,19.5,0.0
44.250102,-121.144331,-50.0,20.5,0.0
44.249636,-121.143309,-50.0,20.5,0.0
44.249438,-121.142857,-50.0,20.5,0.0
44.249229,-121.142372,-50.0,20.5,0.0
44.248787,-121.141401,-50.0,20.5,0.0
44.248512,-121.140796,-50.0,20.5,0.0
44.24826,-121.14024,-50.0,19.5,0.0
44.247995,-121.139525,-50.0,11.8,0.0
44.248053,-121.139307,-50.0,7.2,0.0
44.248215,-121.139129,-50.0,6.2,0.0
44.248309,-121.139056,-50.0,8.8,0.0
44.248449,-121.138922,-50.0,12.2,0.0
44.24888,-121.138788,-50.0,13.2,0.0
44.249077,-121.139173,-50.0,14.2,0.0
44.249245,-121.139521,-50.0,26.5,0.0
44.249462,-121.140028,-50.0,36.5,0.0
44.250055,-121.141333,-50.0,53.5,0.0
44.253067,-121.148006,3200,53.5,303.8
44.253256,-121.148451,3200,73.2,302.2
44.253342,-121.148594,3300,73.2,302.2
44.25499,-121.152387,3400,75.5,302.0
44.255909,-121.154413,3400,79.9,301.7
44.257736,-121.158469,3500,84.1,302.4
44.259214,-121.161514,3600,85.4,305.0
44.259866,-121.162586,3600,84.3,311.6
44.260611,-121.163524,3600,84.4,319.3
44.261215,-121.164093,3600,84.6,327.1
44.261728,-121.164528,3700,85.1,330.4
44.26268,-121.165139,3700,85.5,335.8
44.26387,-121.165728,3700,86.3,341.8
44.265033,-121.166136,3700,88.3,346.9
44.265778,-121.166337,3800,88.5,349.6
44.269782,-121.167342,3900,91.6,349.3
44.271457,-121.167945,3900,92.2,344.9
44.272888,-121.16854,4000,91.7,341.6
44.274765,-121.169586,4100,91.9,337.6
44.277054,-121.170763,4200,90.3,338.5
44.278976,-121.17194,4200,90.4,335.1
44.279744,-121.1725,4300,89.9,334.3
44.282304,-121.174242,4400,90.3,333.7
44.284973,-121.176126,4500,92.6,333.7
44.287033,-121.177499,4600,92.2,335.7
44.288449,-121.178328,4700,89.2,336.9
44.290283,-121.179395,4800,88.8,337.5
44.292778,-121.180874,4900,90.6,338.0
44.295319,-121.182273,5000,89.9,339.1
44.298411,-121.183822,5000,91.7,341.6
44.299063,-121.184089,5100,92.3,342.4
44.304886,-121.186589,5100,91.7,341.6
44.305481,-121.186916,5200,91.4,340.2
44.308467,-121.188511,5300,91.9,337.6
44.310887,-121.190052,5300,93.0,334.5
44.312439,-121.191297,5300,94.5,330.2
44.313675,-121.192213,5400,96.2,332.1
44.31514,-121.193128,5400,97.2,336.3
44.317125,-121.194138,5400,97.7,340.3
44.319031,-121.19509,5500,98.4,341.0
44.322006,-121.196594,5500,94.7,338.3
44.323151,-121.197248,5600,94.2,337.5
44.326721,-121.199472,5600,93.5,335.4
44.328461,-121.200518,5700,93.2,337.3
44.332718,-121.202938,5700,93.4,338.6
44.332993,-121.203068,5800,94.0,339.4
44.337422,-121.205526,5900,92.5,338.4
44.341286,-121.207737,5900,94.5,337.0
44.342869,-121.208742,6000,92.1,334.3
44.345764,-121.210589,6000,91.4,336.8
44.349838,-121.212878,6100,91.9,337.6
44.3535,-121.21497,6100,96.4,337.4
44.354646,-121.215642,6200,99.4,336.3
44.356339,-121.216801,6300,100.7,332.2
44.357758,-121.218044,6400,97.1,327.6
44.359406,-121.219613,6500,93.0,323.8
44.360367,-121.22079,6500,92.1,318.5
44.361053,-121.221837,6600,91.4,311.9
44.361722,-121.223011,6600,90.4,305.1
44.362106,-121.223929,6600,89.9,298.6
44.362467,-121.225221,6600,89.9,290.9
44.362839,-121.226937,6600,90.3,285.4
44.363119,-121.228504,6700,91.2,282.7
44.363957,-121.233595,6700,92.9,284.3
44.364532,-121.236354,6800,93.7,286.1
44.365679,-121.241768,6900,90.8,286.6
44.366684,-121.246425,6900,92.0,289.0
44.367541,-121.249472,7000,90.6,292.0
44.368835,-121.254076,7100,86.4,290.3
44.369476,-121.256757,7100,91.4,287.8
44.369962,-121.25885,7100,95.5,287.7
44.370712,-121.262512,7100,98.2,284.7
