lat,lon,alt,gs,track
33.576453,-117.127876,1400,0.0,0.0
33.573395,-117.128719,1500,92.4,193.1
33.572021,-117.129056,1500,96.5,193.2
33.569377,-117.129822,1600,100.9,193.8
33.567902,-117.130233,1600,98.5,192.9
33.567215,-117.130457,1700,97.5,193.0
33.565001,-117.131023,1800,95.3,192.7
33.563698,-117.131367,1900,93.2,192.4
33.562115,-117.131767,2000,92.6,190.6
33.560074,-117.132195,2100,92.9,188.0
33.557413,-117.132626,2200,94.6,186.7
33.555954,-117.132699,2200,96.1,182.4
33.554946,-117.132626,2200,97.5,174.1
33.554718,-117.132587,2300,96.9,172.3
33.553436,-117.132139,2300,98.4,159.2
33.553037,-117.131882,2400,98.0,155.3
33.552246,-117.13131,2400,99.9,147.3
33.551548,-117.130623,2400,102.0,138.2
33.551362,-117.130394,2500,101.9,136.6
33.550827,-117.129616,2500,102.5,128.7
33.550291,-117.12862,2500,103.8,122.0
33.549872,-117.127647,2500,105.5,117.1
33.549774,-117.127374,2500,106.9,116.1
33.5495,-117.12656,2600,109.6,111.4
33.54936,-117.126217,2500,109.8,110.2
33.548987,-117.124386,2500,113.3,103.8
33.54863,-117.122217,2500,113.1,98.1
33.548584,-117.121713,2500,114.0,97.6
33.548568,-117.12141,2500,113.7,96.6
33.548429,-117.118893,2500,116.1,92.0
33.548492,-117.116612,2500,118.1,87.6
33.54863,-117.115267,2500,118.7,80.3
33.548904,-117.114314,2500,118.3,72.8
33.549362,-117.113137,2500,117.2,63.7
33.549779,-117.112312,2600,116.8,56.2
33.550323,-117.111567,2600,115.6,49.6
33.550964,-117.110895,2600,115.4,42.5
33.551834,-117.110166,2600,115.4,33.7
33.552017,-117.109998,2600,115.4,33.7
33.552712,-117.109623,2600,115.4,25.7
33.553757,-117.109157,2600,115.1,18.8
33.554306,-117.108989,2600,116.5,15.9
33.554489,-117.108933,2600,116.4,13.9
33.555038,-117.108765,2500,117.5,11.8
33.556855,-117.108479,2500,120.8,6.7
33.560669,-117.10798,2500,123.8,6.5
33.560951,-117.107964,2500,123.8,6.5
