lat,lon,alt,gs,track,vs
33.651856,-84.423981,700,0.0,90.0,0
33.635628,-84.444884,700,0.0,180.0,0
33.635586,-84.44488,700,4.8,180.0,0
33.635433,-84.444884,700,9.8,180.0,0
33.63501,-84.444884,700,11.8,180.0,0
33.634841,-84.44488,700,9.2,177.2,0
33.634772,-84.444852,700,8.2,165.9,0
33.634737,-84.444823,700,7.8,157.5,0
33.634725,-84.444795,700,7.2,143.4,0
33.634713,-84.444766,700,6.8,129.4,0
33.634712,-84.44473,700,6.2,118.1,0
33.634737,-84.437256,725,129.0,89.6,0
33.634735,-84.436882,750,129.0,89.6,0
33.634737,-84.436512,750,133.0,89.6,640
33.634735,-84.435873,775,134.0,90.0,960
33.634735,-84.43464,825,140.0,90.0,1536
33.634737,-84.433136,875,143.0,90.0,1792
33.634737,-84.431648,950,149.0,89.2,2048
33.634783,-84.429932,1025,153.0,89.2,2432
33.634781,-84.428642,1100,155.0,88.9,2432
33.634781,-84.428138,1100,159.0,88.9,2432
33.634827,-84.426681,1200,163.1,88.6,2496
33.634876,-84.424725,1275,167.1,88.3,2624
33.634918,-84.42371,1325,171.1,88.0,2752
33.634964,-84.421748,1425,174.1,87.7,2560
33.635063,-84.419346,1525,176.2,87.4,2688
33.635147,-84.417544,1625,175.2,87.4,2688
33.635193,-84.415582,1725,175.2,87.4,2816
33.635295,-84.413166,1825,175.2,87.1,2752
33.635422,-84.411098,1925,175.2,87.1,2752
33.635513,-84.408968,2025,177.3,86.4,2944
33.635575,-84.407272,2125,179.3,86.5,2880
33.635696,-84.405156,2225,181.4,86.2,3008
33.635834,-84.403138,2325,182.5,85.9,2816
33.635971,-84.400504,2425,183.5,85.9,2880
33.636133,-84.398575,2525,186.6,85.4,2880
33.636226,-84.396687,2625,190.7,85.2,3008
33.636413,-84.394512,2725,195.7,85.3,2944
33.63652,-84.392432,2800,200.4,86.3,2880
33.636566,-84.390639,2900,204.0,88.9,2816
33.636506,-84.387531,3000,208.3,93.3,2752
33.636292,-84.385089,3100,210.9,97.6,2688
33.6359,-84.382896,3200,213.8,102.2,2816
