lat,lon,alt,gs,track,vs
63.285905,-150.30022,10000,150.3,207.8,192
63.282228,-150.304614,10000,150.8,208.1,512
63.279388,-150.307581,10000,148.8,202.9,896
63.276627,-150.309765,10100,145.5,198.4,1280
63.272033,-150.312964,10300,143.9,197.8,1216
63.26789,-150.31626,10400,144.3,200.7,1024
63.262299,-150.320751,10600,145.8,198.8,576
63.259603,-150.322412,10600,147.5,194.1,512
63.256805,-150.323604,10600,150.4,190.3,320
63.249129,-150.326697,10700,152.4,192.1,512
63.244537,-150.32878,10800,152.1,189.5,128
63.242432,-150.329203,10800,150.3,183.8,256
63.228739,-150.330322,10900,149.1,182.3,384
63.223525,-150.331201,10900,149.5,184.6,320
63.215698,-150.3329,10900,153.9,186.3,-384
63.211853,-150.334167,10900,156.4,189.9,0
63.209699,-150.335266,10900,156.7,195.5,64
63.206208,-150.338562,10900,156.7,195.5,64
63.205556,-150.339331,10900,158.8,208.2,384
63.203554,-150.34209,10900,159.2,212.7,320
63.200575,-150.346844,11000,159.4,216.6,448
63.192475,-150.359943,11000,162.6,217.5,-128
63.190008,-150.364486,11000,165.2,220.8,-256
63.187408,-150.370076,11000,166.4,221.8,-256
63.185306,-150.374944,11000,168.4,226.9,448
63.179901,-150.387777,11100,166.4,228.2,320
63.170409,-150.412023,11200,165.6,227.4,192
63.160812,-150.434875,11300,163.6,228.2,640
63.158864,-150.440122,11300,162.4,232.0,576
63.157142,-150.445615,11300,161.2,236.9,640
63.15509,-150.453288,11400,159.9,240.4,704
63.152812,-150.462623,11500,158.3,242.9,704
63.151183,-150.470546,11500,158.1,246.5,448
63.149872,-150.478007,11600,160.0,250.7,448
63.147366,-150.494526,11700,158.2,249.3,512
63.146155,-150.500653,11700,158.0,245.7,512
63.145038,-150.505618,11700,158.4,242.1,256
63.143548,-150.511111,11800,159.0,238.1,64
63.139069,-150.523682,11700,160.0,236.2,-64
63.138614,-150.524738,11700,162.6,225.5,-64
63.136892,-150.528013,11700,162.4,220.8,-128
63.134983,-150.531182,11700,163.4,215.5,-192
63.126464,-150.543964,11800,163.4,215.5,384
63.121064,-150.552521,11800,164.2,214.1,-192
63.119388,-150.554739,11800,165.1,208.6,-448
63.117599,-150.556437,11700,165.8,202.7,-512
63.115448,-150.557963,11700,166.1,196.8,64
63.112172,-150.560338,11700,164.2,200.3,576
63.110124,-150.562345,11800,163.7,206.9,704
63.108536,-150.564575,11800,162.8,214.0,512
63.106958,-150.567521,11800,162.9,221.5,256
63.105698,-150.570577,11800,163.1,229.5,192
63.104462,-150.574341,11800,164.5,236.4,384
63.102955,-150.580303,11900,163.9,240.8,384
63.100204,-150.590515,11900,162.9,238.6,256
63.092155,-150.618861,11900,168.4,238.1,-576
63.086563,-150.638428,11800,171.4,237.1,64
63.084706,-150.643897,11800,172.0,232.8,-64
63.079306,-150.659004,11800,172.4,233.7,-128
63.077911,-150.663961,11800,173.6,239.1,-128
63.076584,-150.669657,11800,174.4,243.4,64
63.073196,-150.68278,11800,173.1,243.6,320
63.071765,-150.686681,11800,171.5,231.4,-192
63.069205,-150.692385,11800,172.6,223.6,-576
63.067383,-150.695597,11700,174.8,217.3,-704
63.065015,-150.69904,11700,175.9,212.7,-704
63.062594,-150.701998,11700,178.1,208.1,-512
63.057037,-150.708516,11700,174.4,210.7,768
63.052073,-150.71552,11800,170.6,213.0,256
63.048111,-150.721436,11800,169.6,216.1,128
63.045319,-150.72642,11800,168.9,220.2,448
63.043228,-150.730732,11800,168.3,224.5,320
63.04104,-150.736014,11800,167.2,228.4,192
63.038852,-150.741824,11800,168.0,231.8,256
63.037033,-150.747477,11900,167.2,236.2,320
63.036013,-150.751542,11900,167.4,241.4,192
63.035128,-150.755873,11900,168.5,246.9,64
63.034337,-150.760733,11900,169.5,252.9,-64
63.033825,-150.765803,11900,171.1,257.5,-192
63.033546,-150.77024,11900,172.2,263.3,-192
63.033406,-150.775839,11900,174.0,269.0,64
63.033546,-150.783656,11900,173.2,273.0,256
63.033554,-150.793152,11900,170.2,267.3,704
63.033359,-150.798129,11900,169.2,267.0,704
63.032847,-150.804784,12000,167.2,263.1,768
63.032364,-150.80953,12000,165.2,257.1,192
63.030075,-150.825094,12000,164.9,249.0,0
63.028244,-150.834045,12000,165.5,247.6,-64
63.027328,-150.837911,12000,167.4,241.4,-192
63.025445,-150.84482,12000,169.0,237.8,0
63.023117,-150.852356,12000,169.8,234.3,64
63.020883,-150.858448,12000,170.6,230.7,-192
63.017715,-150.866394,12000,172.0,227.6,0
63.011154,-150.882111,12000,173.7,229.0,0
63.009571,-150.886442,12000,174.4,233.4,-64
63.00824,-150.891113,12000,174.8,239.8,-128
63.007244,-150.895738,12000,175.0,246.1,0
63.006359,-150.901125,12000,174.2,251.2,448
63.00594,-150.903766,12000,173.3,252.2,448
62.998535,-150.932109,12000,173.3,252.2,448
62.997328,-150.934824,11900,173.3,252.2,448
62.996841,-150.935974,11900,179.6,225.0,-256
62.991898,-150.945841,11900,180.3,223.9,-192
62.990387,-150.948283,11900,182.0,215.6,-192
62.987549,-150.95225,11900,183.0,210.9,0
62.98271,-150.958592,11900,181.9,213.3,384
62.980682,-150.962016,11900,180.4,219.6,576
62.979405,-150.964719,11900,178.9,223.9,512
62.977844,-150.968628,12000,178.2,230.2,256
62.976659,-150.97222,12000,177.5,235.3,192
62.975635,-150.976023,12000,178.2,240.4,64
62.974424,-150.981516,12000,177.8,246.5,0
62.973586,-150.987009,12000,178.7,252.1,-192
62.973074,-150.991234,12000,180.0,256.5,-320
62.972717,-150.996399,12000,181.0,261.4,-256
62.972534,-151.001689,12000,182.4,266.2,-256
62.972562,-151.008559,11900,184.1,271.6,-128
62.972888,-151.018595,11900,186.6,274.6,-256
62.973724,-151.041361,11900,190.3,273.3,-128
62.973862,-151.053365,11900,192.0,270.3,-128
62.973907,-151.062012,11900,193.0,271.2,-512
62.987738,-151.180749,11900,191.9,295.0,640
62.988876,-151.184896,11900,190.1,302.1,256
62.989973,-151.188038,12000,188.5,308.8,192
62.991183,-151.190784,12000,188.1,315.0,192
62.993134,-151.194255,12000,186.9,320.9,192
63.001983,-151.204095,12000,186.4,325.7,-64
63.004807,-151.206767,12000,181.7,336.0,0
63.120071,-150.796611,12100,200.2,18.3,-128
63.122134,-150.795593,12100,200.7,12.4,-512
63.124229,-150.795276,12000,201.7,4.8,-640
63.125977,-150.795492,12000,202.5,356.0,-512
63.128586,-150.796407,12000,202.4,349.5,-64
63.133804,-150.799154,12000,199.9,346.1,-64
63.147766,-150.807292,12000,198.9,347.2,64
63.14978,-150.808105,12000,199.1,349.9,192
63.278969,-150.539832,10900,202.3,43.8,-128
63.37175,-150.319167,10200,196.2,48.1,-192
