lat,lon,alt,gs,track
41.754272,-72.657145,675,0.0,0.0
41.753866,-72.660189,750,85.2,254.3
41.747406,-72.672376,1100,85.2,254.3
41.746994,-72.673125,1100,93.0,229.8
41.746078,-72.674436,1125,97.6,226.7
41.743195,-72.677994,1225,99.0,225.8
41.741364,-72.680116,1275,99.0,225.8
41.741157,-72.680309,1275,105.0,220.4
41.7388,-72.6828,1350,108.0,216.3
41.735571,-72.68593,1450,110.4,215.4
41.729828,-72.69129,1550,114.9,215.1
41.7264,-72.694681,1625,114.9,215.1
41.725067,-72.696096,1650,119.5,218.9
41.722321,-72.69928,1700,122.5,222.0
41.716782,-72.705959,1750,126.7,222.8
41.709734,-72.714801,1825,130.2,223.1
41.706848,-72.718631,1850,130.8,225.3
41.704427,-72.721955,1850,133.0,226.2
41.700439,-72.727682,1850,134.5,228.0
41.69632,-72.734424,1850,135.2,231.6
41.688721,-72.748406,1850,136.4,233.1
41.684189,-72.756896,1825,139.0,234.4
41.678637,-72.767433,1775,140.1,235.2
41.675844,-72.773054,1750,139.8,237.6
41.674759,-72.775497,1750,138.4,240.1
41.672928,-72.780117,1725,135.5,243.2
41.671463,-72.784361,1750,134.3,246.3
41.670227,-72.788481,1750,131.3,249.5
41.669141,-72.792855,1775,129.7,253.0
41.668396,-72.79656,1775,129.0,255.6
41.667526,-72.80159,1800,129.6,258.4
41.667068,-72.80571,1825,127.3,261.9
41.666767,-72.809462,1825,125.5,265.0
41.666473,-72.815697,1875,124.1,267.2
41.666487,-72.81898,1875,123.0,270.9
41.666627,-72.822237,1875,121.5,275.2
41.666953,-72.825431,1875,121.7,279.5
41.667526,-72.828869,1825,122.3,283.2
41.668256,-72.832074,1825,120.8,287.8
41.669174,-72.835485,1825,119.4,291.6
41.671051,-72.841291,1825,118.2,294.0
41.673981,-72.84978,1850,115.0,295.2
41.676956,-72.858145,1825,115.0,294.1
41.678358,-72.862669,1800,114.0,291.6
41.679703,-72.86757,1750,113.2,289.1
41.680313,-72.870207,1725,114.0,285.3
41.680893,-72.873813,1675,113.4,281.7
41.681524,-72.878446,1600,113.4,279.1
41.682129,-72.884924,1525,112.9,277.1
41.682688,-72.890774,1450,112.1,278.2
41.683319,-72.895536,1400,108.9,280.6
41.68428,-72.901403,1375,104.6,282.7
41.685059,-72.90596,1350,100.4,285.0
41.685527,-72.907765,1325,98.8,291.4
41.68602,-72.909081,1325,97.5,298.1
41.686598,-72.910256,1300,97.1,304.5
41.687482,-72.911597,1300,96.5,310.0
41.688583,-72.913014,1275,94.8,315.0
41.689112,-72.913513,1275,93.8,324.1
41.689865,-72.914137,1275,93.1,331.8
41.690689,-72.914574,1250,92.1,339.0
41.691486,-72.914855,1250,92.1,342.9
41.691925,-72.914949,1250,92.2,350.6
41.693022,-72.914982,1250,92.8,352.6
41.693665,-72.914886,1225,93.4,5.5
41.694279,-72.914663,1225,93.1,8.6
41.695129,-72.914262,1225,92.4,19.6
41.695862,-72.913833,1225,93.5,26.0
41.69664,-72.913139,1225,94.3,32.0
41.697258,-72.912555,1200,95.1,33.9
41.697864,-72.911661,1200,97.6,44.2
41.698329,-72.910894,1175,99.2,52.8
41.698837,-72.909768,1175,100.7,60.9
41.699341,-72.90827,1150,103.6,67.9
41.699936,-72.905773,1125,105.7,72.9
41.700394,-72.903214,1075,106.5,77.5
41.700623,-72.901278,1050,108.9,82.6
41.70076,-72.899218,1025,110.1,87.4
41.700714,-72.897346,1025,110.2,93.1
41.700485,-72.895473,1025,108.3,99.0
41.700098,-72.893074,1025,107.4,104.6
41.699524,-72.890729,1000,107.5,108.4
41.698746,-72.888107,1000,108.5,112.8
41.697968,-72.886047,975,109.6,117.7
41.697165,-72.884259,950,110.1,122.4
41.696327,-72.882854,925,110.8,129.9
41.695496,-72.88174,925,111.1,136.8
41.694605,-72.880937,900,112.1,145.2
41.693756,-72.880305,900,110.9,152.1
41.692886,-72.879868,875,111.1,156.7
41.691765,-72.879468,875,107.7,167.1
41.690094,-72.879118,875,105.5,170.2
41.68895,-72.878994,875,101.1,177.2
41.686877,-72.879021,875,99.0,180.0
41.684326,-72.879181,850,96.2,183.6
41.681808,-72.879431,825,91.4,185.6
41.676498,-72.88018,800,88.4,185.2
41.675537,-72.880242,800,87.0,181.3
41.674713,-72.880117,775,86.6,173.4
41.674122,-72.879915,775,86.6,166.0
41.673431,-72.879555,775,86.9,157.0
41.672791,-72.879056,775,86.6,148.7
41.672241,-72.878432,775,83.7,139.8
41.671738,-72.877745,775,82.0,134.0
41.671417,-72.877183,775,80.0,126.9
41.671096,-72.876339,750,80.1,119.1
41.670822,-72.875498,750,80.6,113.4
41.670584,-72.874486,725,81.9,107.8
41.670444,-72.873656,725,82.2,99.8
41.670456,-72.872751,700,82.0,90.7
41.670537,-72.871676,675,81.1,80.8
41.670677,-72.871037,675,80.7,72.7
41.670959,-72.870255,650,80.3,71.1
41.671143,-72.869818,650,80.1,60.9
41.671509,-72.869193,625,79.8,52.1
41.671934,-72.868546,600,81.3,45.5
41.672699,-72.86782,550,81.8,38.5
41.673331,-72.867332,525,82.0,30.0
41.674164,-72.866821,475,81.3,20.9
41.674896,-72.866572,425,81.0,12.8
41.675705,-72.866438,375,81.5,6.3
41.677643,-72.866135,275,84.7,7.5
41.679941,-72.865863,175,82.3,4.9
41.681989,-72.865608,75,82.4,5.6
41.683153,-72.86548,50,77.4,5.9
41.683665,-72.865416,25,75.3,5.3
41.694093,-72.864075,150,72.6,7.1
41.696234,-72.863628,250,72.0,9.6
41.699158,-72.863076,350,73.0,9.5
41.701538,-72.862452,425,75.7,12.2
41.704468,-72.861578,525,73.8,12.5
41.705405,-72.861392,575,73.4,6.2
41.707306,-72.861141,650,75.7,7.6
41.70885,-72.860753,725,74.5,11.6
41.711829,-72.860051,800,78.1,9.6
41.712158,-72.860017,800,79.4,5.8
41.713133,-72.860242,850,80.4,354.3
41.714483,-72.861073,900,80.7,340.4
41.715274,-72.862031,950,82.0,322.4
41.716345,-72.86433,975,85.4,308.4
41.716507,-72.864761,975,90.9,294.0
41.71701,-72.86757,975,97.3,282.5
41.717148,-72.869006,975,100.4,275.1
41.717148,-72.873126,1075,101.2,274.0
41.71709,-72.874295,1100,100.2,266.0
41.716764,-72.878702,1200,99.6,263.7
41.716438,-72.88279,1300,96.6,263.5
41.715972,-72.888155,1400,95.9,262.2
41.715367,-72.893393,1475,97.2,261.1
41.714809,-72.898375,1575,95.9,262.2
41.714264,-72.902714,1650,98.7,259.5
41.71344,-72.908332,1725,103.0,258.8
41.712621,-72.913705,1825,104.1,258.4
41.711838,-72.918257,1925,103.4,257.7
41.711364,-72.92105,2025,100.7,256.8
41.71106,-72.922877,2125,98.0,255.8
41.710572,-72.925394,2225,93.9,255.8
41.709732,-72.929244,2325,94.6,254.1
41.708803,-72.934144,2400,96.8,256.2
41.707779,-72.939893,2475,98.1,258.2
41.707221,-72.943151,2575,93.9,255.8
41.706436,-72.947658,2650,98.5,257.1
41.706383,-72.947941,2650,98.5,257.1
41.705824,-72.951646,2700,101.4,260.4
41.705452,-72.955351,2750,101.7,263.2
41.7052,-72.958645,2825,99.5,264.2
41.704788,-72.963264,2900,95.9,262.2
41.704285,-72.967571,3000,96.5,259.9
41.70345,-72.973874,3075,99.3,260.7
41.703171,-72.976748,3125,99.3,260.7
41.702545,-72.980305,3200,99.6,252.5
41.701859,-72.982802,3250,97.5,249.0
41.700943,-72.985673,3325,97.2,246.3
41.699633,-72.989651,3350,101.6,246.2
41.698236,-72.994058,3375,104.5,248.1
41.696686,-72.999219,3475,106.1,246.1
41.695164,-73.003448,3575,107.4,244.6
41.690872,-73.01033,3700,107.8,243.0
41.68995,-73.010985,3725,118.5,205.5
41.688446,-73.011703,3725,121.1,198.3
41.68721,-73.012078,3725,123.6,191.7
41.686924,-73.012135,3725,123.6,191.7
41.685699,-73.012265,3725,127.2,183.1
41.684875,-73.012203,3725,127.2,183.1
41.683386,-73.012007,3750,130.0,172.9
41.681808,-73.011516,3750,129.8,166.2
41.680593,-73.011049,3775,130.1,163.9
41.679988,-73.010857,3775,130.0,162.5
41.676822,-73.00958,3850,128.6,164.7
41.675308,-73.009207,3875,130.4,171.6
41.674118,-73.009082,3875,132.2,176.5
41.67247,-73.009144,3850,135.1,182.1
41.670959,-73.009456,3825,138.1,190.0
41.669495,-73.009956,3800,139.7,194.9
41.66821,-73.010602,3800,140.2,200.9
41.66629,-73.011828,3800,140.0,206.8
41.664276,-73.013389,3825,136.5,211.8
41.662674,-73.014949,3825,134.4,216.5
41.661072,-73.01676,3875,132.5,221.0
41.659744,-73.018445,3875,131.5,225.0
41.65862,-73.020247,3900,131.2,229.6
41.65773,-73.021878,3900,130.4,234.4
41.656944,-73.023568,3900,129.5,239.9
41.655873,-73.026442,3875,130.1,244.0
41.65416,-73.031554,3875,130.8,246.6
41.652237,-73.037421,3850,129.8,245.4
41.651276,-73.039856,3850,132.5,241.1
41.647261,-73.048862,3800,136.1,241.0
