lat,lon,alt,gs,track,vs
44.829254,-93.461609,1000,67.1,280.3,448
44.829666,-93.46514,1100,66.9,279.5,1152
44.829945,-93.466923,1100,63.8,283.6,768
44.830224,-93.468799,1200,62.6,282.9,832
44.83041,-93.470407,1200,63.8,279.0,576
44.83069,-93.472417,1300,66.1,280.5,640
44.831155,-93.475431,1400,65.3,281.5,896
44.831341,-93.47724,1400,63.5,277.2,384
44.831341,-93.478111,1400,64.0,270.9,448
44.83136,-93.478939,1400,64.5,262.9,512
44.831155,-93.480321,1500,64.1,259.2,640
44.830876,-93.481393,1500,64.6,253.8,448
44.830353,-93.483124,1500,65.0,247.4,704
44.829945,-93.483872,1500,66.4,239.2,640
44.829619,-93.484475,1600,65.6,232.4,640
44.829014,-93.485413,1600,66.5,227.4,640
44.828613,-93.485936,1600,68.1,220.2,640
44.827803,-93.486752,1700,68.8,215.5,832
44.827058,-93.487355,1700,69.8,209.1,896
44.825958,-93.488028,1700,68.9,204.0,896
44.825429,-93.48836,1700,70.4,202.6,896
44.825089,-93.488552,1800,70.4,202.6,192
44.823303,-93.489467,1800,71.2,199.7,384
44.818542,-93.491821,1900,72.1,199.4,384
44.816072,-93.493049,1900,75.9,198.4,512
44.814676,-93.493786,1900,78.8,200.1,512
44.814285,-93.493979,2000,77.8,200.3,1216
44.813324,-93.494437,2000,76.6,199.9,1216
44.813141,-93.494568,2000,76.0,200.8,576
44.811044,-93.495796,2100,73.0,203.4,640
44.807327,-93.497968,2200,72.2,201.9,512
44.804574,-93.499547,2200,73.0,203.4,576
44.80341,-93.500351,2300,72.5,206.2,640
44.801468,-93.501631,2300,74.3,203.8,512
44.800244,-93.502361,2400,75.2,203.5,384
44.79776,-93.503789,2400,76.3,201.5,320
44.795471,-93.505031,2500,76.0,200.8,576
44.794239,-93.505711,2500,77.3,201.2,192
44.791946,-93.506993,2500,80.6,203.4,320
44.791534,-93.507189,2500,80.6,203.4,960
44.790934,-93.507586,2600,80.6,203.4,960
44.789025,-93.508926,2600,81.4,206.2,576
44.787629,-93.510065,2700,82.0,210.0,704
44.785348,-93.512008,2700,79.6,212.7,384
44.783798,-93.513532,2800,76.8,214.9,384
44.781006,-93.51641,2900,77.2,216.6,576
44.779948,-93.517635,2900,76.6,220.8,1024
44.778458,-93.519443,3000,78.6,221.4,1024
44.778214,-93.519745,3000,79.3,221.9,512
44.775513,-93.523211,3000,79.5,219.9,512
