lat,lon,alt,gs,track
40.824646,-79.882568,2800,85.2,301.1
40.827393,-79.888855,2800,83.9,300.9
40.831284,-79.897644,2800,82.0,300.0
40.831558,-79.898132,2800,82.9,299.7
40.850601,-79.959778,2000,0.0,0.0
40.851013,-79.960144,2000,89.6,326.8
40.867859,-79.967651,1600,0.0,0.0
40.869141,-79.970398,1500,64.6,286.2
40.86937,-79.971558,1500,66.3,281.3
40.869415,-79.973999,1500,66.0,270.9
40.869278,-79.974731,1500,64.6,262.0
40.868912,-79.976257,1500,63.9,249.9
40.868729,-79.976624,1500,63.5,241.8
40.868546,-79.976929,1500,66.6,234.2
40.86795,-79.977844,1500,65.8,226.9
40.867447,-79.978333,1400,66.0,220.7
40.866898,-79.97876,1400,67.8,201.6
40.866257,-79.978882,1400,67.7,192.8
40.864334,-79.978271,1400,67.2,175.7
40.863464,-79.977722,1300,72.9,153.1
40.862503,-79.977234,1300,73.1,160.8
40.861221,-79.976746,1300,73.2,165.8
40.860855,-79.976624,1300,72.4,168.9
40.840988,-79.969849,1500,0.0,0.0
40.840668,-79.966187,1600,67.7,98.5
40.840668,-79.965393,1600,66.3,84.8
40.841034,-79.96344,1600,66.1,79.5
40.841354,-79.962341,1700,63.6,65.8
40.842087,-79.961121,1700,64.7,58.3
40.843002,-79.960144,1800,60.8,43.7
40.843506,-79.959839,1800,57.7,25.7
40.844055,-79.959656,1800,58.5,16.9
40.845383,-79.959167,1800,59.7,13.6
40.845932,-79.958984,1800,61.0,10.4
40.846481,-79.958862,1900,61.5,7.5
40.847397,-79.958862,1900,61.0,0.9
40.84877,-79.958862,1900,61.0,0.0
40.867081,-79.966064,1700,0.0,0.0
40.86731,-79.969788,1600,62.0,268.1
40.867172,-79.971313,1600,62.8,260.8
40.866577,-79.973816,1500,61.6,256.9
40.866348,-79.974487,1500,59.9,244.3
40.865936,-79.975403,1500,61.0,235.0
40.865295,-79.976135,1400,60.9,222.3
40.864792,-79.976501,1400,58.8,215.3
40.864243,-79.976807,1400,62.3,198.7
40.864014,-79.976929,1400,62.6,192.9
40.863419,-79.977051,1400,60.1,182.9
40.863144,-79.977051,1300,60.0,180.0
40.862457,-79.976929,1300,63.3,174.6
40.861084,-79.976624,1300,62.8,170.8
40.859207,-79.976318,1200,63.6,171.9
40.837921,-79.97345,1500,0.0,0.0
40.835678,-79.973877,1600,68.7,188.4
40.834396,-79.974243,1600,68.7,192.6
40.833435,-79.974548,1700,66.9,193.8
40.830734,-79.975525,1800,67.4,195.5
40.827621,-79.976685,1800,69.9,196.6
40.82666,-79.977173,1900,73.1,199.2
40.823822,-79.978455,2000,70.8,198.9
40.822861,-79.978882,2000,72.5,200.2
40.82222,-79.979187,2000,78.4,199.4
40.821899,-79.97937,2000,72.8,200.9
40.820984,-79.979858,2000,79.1,200.7
40.820663,-79.980042,2000,73.7,200.6
40.819382,-79.980652,2100,72.1,199.4
40.817688,-79.981323,2100,71.5,197.9
40.817322,-79.981506,2100,77.5,197.3
40.815353,-79.982361,2200,76.8,198.2
40.812653,-79.983643,2300,76.9,200.6
40.810638,-79.98468,2300,76.6,203.9
40.80899,-79.985718,2300,78.7,205.6
40.808029,-79.98645,2400,79.2,207.9
40.804321,-79.988892,2400,79.2,206.2
40.80304,-79.989807,2500,81.0,205.6
40.800247,-79.991577,2500,83.6,206.3
40.797409,-79.993469,2500,86.4,208.4
40.796036,-79.994629,2600,88.3,210.6
40.79361,-79.996643,2600,89.9,208.6
40.792465,-79.997314,2600,86.4,203.9
40.791367,-79.997925,2600,87.0,199.5
40.790176,-79.998352,2600,89.0,195.0
40.788528,-79.998779,2700,87.5,190.5
40.786102,-79.999329,2700,87.8,187.9
40.784454,-79.999573,2700,88.3,184.6
40.782806,-79.999573,2700,91.0,180.0
40.781067,-79.999451,2700,93.2,176.3
40.779831,-79.999329,2700,93.8,172.6
40.778046,-79.998901,2700,95.1,167.9
40.774155,-79.997681,2700,97.0,165.7
40.771088,-79.996582,2700,97.1,163.2
40.769348,-79.995789,2700,98.4,161.0
40.768066,-79.995178,2600,97.7,160.3
40.766373,-79.994202,2600,98.5,156.0
40.764725,-79.993042,2600,98.9,151.6
40.763168,-79.991821,2600,99.1,149.0
40.76239,-79.991089,2600,99.4,143.6
40.761337,-79.989929,2600,98.7,140.3
40.76033,-79.988708,2500,96.9,134.6
40.759415,-79.987305,2500,97.1,131.2
40.758865,-79.986328,2500,97.4,123.7
40.75827,-79.984802,2500,97.5,118.1
40.758087,-79.984314,2400,96.6,115.8
40.757584,-79.982605,2400,96.5,109.4
40.757172,-79.980896,2400,95.8,103.9
40.756943,-79.977417,2300,96.7,97.1
40.757126,-79.975159,2200,93.7,83.2
40.757309,-79.973511,2200,92.4,80.0
40.757401,-79.972961,2200,92.0,78.1
40.764679,-79.940247,1900,0.0,0.0
40.766556,-79.931763,1900,80.8,74.9
40.767517,-79.927185,2000,80.8,74.9
40.76825,-79.923279,2000,82.0,77.3
40.768936,-79.920776,2000,80.4,73.4
40.770264,-79.914062,2100,81.3,73.6
40.772644,-79.908386,2100,82.9,72.4
40.774063,-79.907715,2100,74.3,43.4
40.776535,-79.908691,2000,68.2,14.4
40.778275,-79.909729,2000,69.4,348.4
40.780838,-79.910828,2000,75.2,334.8
40.782074,-79.911804,1900,75.3,340.6
40.783081,-79.913635,1800,71.7,337.0
40.783585,-79.914856,1800,69.1,328.6
40.783905,-79.915527,1800,60.4,309.0
40.783813,-79.916565,1700,60.0,306.9
40.784088,-79.918091,1700,57.3,286.2
40.783722,-79.920654,1600,58.3,281.9
40.783699,-79.922058,-50.0,66.5,0.0
40.783447,-79.922791,1500,64.5,250.3
40.783218,-79.924011,1500,67.1,252.6
40.782852,-79.925171,1400,68.0,250.2
40.78244,-79.926819,1300,68.3,252.1
40.781845,-79.929504,1300,70.6,254.4
40.78157,-79.931091,1200,69.3,252.4
40.781387,-79.931885,1200,64.2,251.9
40.780426,-79.934631,1200,63.2,251.6
40.780518,-79.935059,1100,58.9,255.3
40.780334,-79.935791,1100,61.7,253.0
40.770543,-79.964613,1600,0.0,0.0
40.769302,-79.964539,1700,65.8,171.2
40.768753,-79.964355,1700,66.5,164.3
40.768204,-79.964111,1700,66.9,158.0
40.767609,-79.963684,1700,67.1,151.5
40.767059,-79.963196,1800,66.6,144.2
40.766602,-79.962708,1800,66.7,139.9
40.765457,-79.961304,1800,69.3,136.2
40.764038,-79.959534,1900,70.7,136.1
40.762573,-79.957581,2000,72.8,134.4
40.761154,-79.955688,2000,71.5,133.3
40.760284,-79.954346,2100,71.5,132.2
40.758911,-79.952454,2200,72.8,135.6
40.757355,-79.950623,2200,71.5,137.8
40.75708,-79.950317,2300,73.0,138.9
40.7547,-79.947449,2400,71.6,139.0
40.752319,-79.944763,2500,75.0,137.2
40.750305,-79.942383,2600,72.9,137.8
40.748703,-79.940674,2600,71.7,140.1
40.748566,-79.940369,2700,71.1,140.7
40.746368,-79.937988,2700,75.9,139.8
40.74472,-79.935974,2800,80.7,138.0
40.742615,-79.933289,2800,85.6,135.5
40.739456,-79.928955,2800,94.8,134.1
40.738403,-79.927734,2800,100.4,135.8
40.736755,-79.925537,2800,99.7,136.2
40.722519,-79.907593,2700,0.0,0.0
40.711945,-79.893066,2600,99.7,134.6
40.709656,-79.890198,2600,96.9,136.2
40.707047,-79.886963,2600,96.2,135.8
40.683243,-79.856934,2700,0.0,0.0
40.677887,-79.849731,2700,95.5,135.4
40.67189,-79.841919,2700,99.0,135.0
40.670609,-79.839722,2700,98.3,134.6
40.66246,-79.828491,2800,97.1,131.2
40.661087,-79.826782,2800,94.1,134.6
40.658203,-79.823303,2800,91.2,135.4
40.656418,-79.821594,2700,92.8,138.1
40.653717,-79.818359,2700,97.1,138.8
40.649368,-79.813416,2700,99.2,138.3
40.639206,-79.798279,2700,99.8,137.8
40.637878,-79.796509,2700,100.7,131.0
40.637878,-79.796509,2700,100.6,124.0
40.616638,-79.770569,2700,0.0,124.0
40.615402,-79.769043,2700,93.4,137.6
40.608536,-79.761414,2700,94.8,137.6
40.605469,-79.758057,2700,98.5,138.7
40.603912,-79.75647,2700,97.2,139.6
40.603329,-79.756042,-50.0,93.0,0.0
40.602676,-79.755249,2700,93.0,137.8
40.598648,-79.750305,2700,92.7,136.3
40.596313,-79.747498,2700,93.4,137.6
40.591782,-79.742371,2700,96.3,138.4
40.585098,-79.734741,2700,95.0,139.3
40.57869,-79.727539,2700,95.8,139.7
40.576675,-79.725159,2700,96.2,136.7
40.574295,-79.722351,2700,97.8,139.1
40.569397,-79.717041,2700,96.5,140.0
40.567017,-79.714294,2700,97.7,138.3
40.563766,-79.710327,2700,98.6,139.5
40.559143,-79.7052,2700,95.6,138.0
40.558823,-79.704773,2700,97.0,137.9
40.503914,-79.643707,-50.0,97.0,0.0
40.503113,-79.643005,2600,97.0,140.6
40.497894,-79.637146,2600,100.1,140.3
40.495789,-79.634705,2600,97.0,137.9
40.493317,-79.631836,2700,97.0,137.9
40.489288,-79.627075,2700,94.8,137.6
40.484436,-79.621094,2700,97.1,138.8
40.478531,-79.614441,2700,97.7,138.3
40.474915,-79.610107,2700,97.0,137.9
40.473129,-79.608215,2700,98.6,143.2
40.471939,-79.607178,2700,99.3,145.7
40.452209,-79.584595,2700,0.0,0.0
40.432434,-79.484711,4200,0.0,0.0
40.439484,-79.487793,4200,93.6,342.0
40.444519,-79.490051,4200,94.2,340.8
40.447517,-79.491577,4200,94.3,338.9
40.449984,-79.49295,4200,94.0,336.2
40.453569,-79.495198,4200,94.4,334.2
40.457293,-79.497445,4200,97.6,335.8
40.460175,-79.499084,4200,97.3,337.6
40.463379,-79.500671,4200,98.1,339.7
40.46935,-79.5035,4200,97.4,340.8
40.476007,-79.506621,4200,96.5,340.6
40.481506,-79.508972,4300,97.4,340.8
40.485829,-79.51099,4300,98.1,339.7
40.48839,-79.512301,4200,98.4,339.2
40.496164,-79.516234,4200,100.1,338.3
40.501424,-79.519043,4200,98.4,339.2
40.50325,-79.519836,4200,98.4,342.9
40.510208,-79.522644,4300,96.8,343.8
40.512863,-79.523682,4200,97.8,344.0
40.516251,-79.525085,4300,98.4,342.9
40.516507,-79.52516,4200,97.4,342.7
40.5168,-79.52533,4300,99.3,341.2
40.520233,-79.526917,4200,98.7,340.5
40.524628,-79.52887,4200,99.9,341.9
40.527028,-79.52978,4200,98.5,344.7
40.533188,-79.532043,4200,100.7,344.5
40.537628,-79.533875,4200,99.6,342.5
40.546441,-79.537395,4200,98.1,343.4
40.553097,-79.540142,4200,98.4,342.9
40.560654,-79.543152,4200,97.4,342.7
40.566879,-79.545654,4200,97.8,344.0
40.573627,-79.548381,4200,97.4,342.7
40.581541,-79.551752,4200,95.2,342.9
40.589813,-79.555054,4200,95.2,342.9
40.59462,-79.556824,4200,97.8,344.0
40.595032,-79.557007,4300,97.5,344.5
40.599289,-79.558777,4300,96.5,342.5
40.602356,-79.559998,4200,97.1,343.2
40.606796,-79.56189,4200,101.2,341.6
40.614174,-79.564986,4200,98.7,342.3
