lat,lon,alt,gs,track,vs
43.046356,-73.874242,650,89.2,287.6,640
43.046761,-73.87534,675,90.5,293.5,640
43.050751,-73.88146,800,95.6,318.0,512
43.053726,-73.884845,875,95.7,318.8,384
43.056747,-73.88855,950,98.4,317.9,384
43.060075,-73.892735,1000,101.9,316.6,256
43.064777,-73.898948,1075,102.5,315.4,384
43.067368,-73.902602,1150,98.3,313.8,448
43.071716,-73.908798,1200,99.7,313.8,192
43.074134,-73.912288,1225,98.4,312.9,256
43.076981,-73.916463,1325,99.1,312.5,448
43.079813,-73.920789,1400,98.4,312.1,384
43.081696,-73.923808,1425,97.2,310.4,256
43.084655,-73.928768,1450,98.9,308.8,192
43.087913,-73.934522,1525,97.8,307.1,384
43.089523,-73.937477,1575,99.2,307.2,448
43.091766,-73.941757,1625,98.5,304.7,448
43.095016,-73.948208,1675,98.7,303.9,192
43.098108,-73.954402,1725,97.4,303.7,192
43.099086,-73.956691,1750,97.2,300.3,128
43.101883,-73.963282,1775,97.6,299.5,192
43.104492,-73.969861,1825,99.8,298.1,256
43.106369,-73.97478,1900,97.5,296.8,576
43.108429,-73.980592,1950,94.8,294.9,128
43.110077,-73.985511,1975,99.4,293.7,192
43.112446,-73.992658,1975,100.7,295.3,0
43.113785,-73.996177,1975,98.9,298.4,64
43.115067,-73.999116,2000,98.8,301.8,256
43.116496,-74.002075,2025,99.0,305.1,128
43.118545,-74.005868,2025,97.0,307.5,0
43.120743,-74.009591,2025,95.3,309.0,192
43.122595,-74.012538,2025,94.2,312.0,0
43.125687,-74.01732,2000,94.8,313.3,-128
43.130602,-74.024244,2050,93.4,313.3,128
43.134521,-74.029711,2100,94.1,313.7,256
43.138283,-74.035034,2150,91.2,314.6,128
43.143082,-74.04172,2125,95.5,314.6,-64
43.144567,-74.043601,2125,97.7,318.3,-64
43.15004,-74.050023,2150,97.8,319.1,64
43.156815,-74.05788,2150,96.3,318.4,128
43.161072,-74.06299,2175,95.8,319.7,-128
43.166121,-74.068909,2150,97.1,318.8,-192
43.172653,-74.076595,2125,98.6,319.5,0
43.173889,-74.078192,2125,98.3,316.2,128
43.176178,-74.081066,2125,98.5,318.7,0
43.181576,-74.087481,2125,98.0,320.0,0
43.188446,-74.09531,2125,96.4,319.2,0
43.195084,-74.103166,2125,95.0,319.3,0
43.201721,-74.110767,2125,94.4,319.7,0
43.205017,-74.114536,2125,94.4,319.7,64
43.209274,-74.119518,2125,94.3,318.9,64
43.215683,-74.127247,2125,95.0,319.3,-64
43.221268,-74.13357,2125,95.9,320.5,-64
43.227105,-74.140254,2125,94.4,319.7,0
43.231522,-74.145451,2125,94.3,318.9,0
43.237718,-74.152941,2125,94.3,318.9,0
43.243927,-74.16027,2125,95.0,319.3,0
43.249924,-74.16736,2125,95.0,319.3,0
43.253723,-74.171703,2125,97.3,320.4,-64
43.26059,-74.179368,2125,97.3,320.4,128
43.265396,-74.184606,2125,96.8,321.7,0
43.272446,-74.192113,2125,100.6,322.7,-64
43.278126,-74.197867,2125,100.0,323.1,-64
43.2854,-74.205173,2125,99.4,323.6,-64
43.290881,-74.210488,2125,98.8,324.1,128
43.293069,-74.21245,2125,99.9,327.3,128
43.297026,-74.215851,2125,99.6,326.5,64
43.29895,-74.217309,2125,97.2,329.7,0
43.304847,-74.221802,2125,98.5,330.8,192
43.308943,-74.225137,2125,102.7,328.9,128
43.313324,-74.228487,2150,106.1,331.3,320
43.318726,-74.232384,2125,108.3,331.3,64
43.321745,-74.234423,2125,109.1,333.9,64
43.323349,-74.235513,2125,109.1,333.9,64
43.095474,-74.141619,1250,97.1,118.9,576
43.094467,-74.139064,1275,101.5,116.3,256
43.093643,-74.136445,1300,101.8,112.5,256
43.092476,-74.132342,1325,100.0,109.9,256
43.091949,-74.129866,1325,101.2,106.7,128
43.091079,-74.12541,1350,102.1,104.2,256
43.090474,-74.121748,1375,103.2,101.8,384
43.090101,-74.118936,1375,101.8,100.8,-64
43.089111,-74.111278,1350,100.3,99.2,-128
43.088705,-74.107034,1375,98.6,96.4,64
43.088013,-74.098951,1325,101.6,96.2,-64
43.087355,-74.090881,1375,100.4,95.1,64
43.086823,-74.083302,1375,101.7,96.8,-128
43.085819,-74.072505,1400,103.9,97.7,256
43.085353,-74.067012,1400,105.5,95.4,256
43.084841,-74.061323,1450,104.9,97.7,384
43.08405,-74.054195,1475,103.2,98.9,64
43.083165,-74.046217,1475,103.1,98.4,-64
43.082794,-74.042614,1500,104.1,98.3,320
43.081955,-74.035492,1525,105.5,99.8,-128
43.080597,-74.025368,1525,110.0,101.0,-64
43.079813,-74.019928,1525,108.3,101.7,384
43.078789,-74.012996,1550,105.7,100.3,0
43.077672,-74.004495,1500,108.7,100.1,-384
43.076797,-73.998669,1475,108.5,102.2,-192
43.075763,-73.991808,1450,111.0,100.9,128
43.07428,-73.98187,1475,111.6,99.8,-128
43.073436,-73.974936,1400,113.6,99.6,-256
43.072039,-73.964277,1350,112.0,100.8,-512
43.070922,-73.956299,1275,113.2,101.2,-256
43.069611,-73.947186,1225,112.0,100.8,-128
43.068734,-73.941781,1175,112.1,103.4,-192
43.067459,-73.934858,1100,112.8,104.9,-320
43.065289,-73.924517,1075,114.3,105.7,-256
43.062915,-73.913204,1075,110.2,105.8,-192
43.061611,-73.907514,1000,106.0,107.6,-448
43.059423,-73.898686,950,106.0,107.6,-320
43.058167,-73.894171,950,105.1,111.2,128
43.056491,-73.888811,925,102.2,113.1,0
43.05393,-73.881291,875,103.0,114.1,-256
43.052078,-73.875839,875,100.2,116.1,-64
43.050247,-73.871112,850,97.1,117.6,-384
43.048577,-73.866446,825,96.7,118.4,-128
43.048391,-73.865531,825,91.1,109.2,-320
43.048187,-73.863958,800,87.5,100.5,-192
43.048158,-73.862719,800,87.5,100.5,-192
43.048344,-73.861346,775,85.7,82.6,-320
43.048874,-73.859423,750,85.6,75.8,-384
43.049744,-73.857443,725,82.4,56.9,-320
43.050522,-73.856038,725,81.2,52.0,-256
43.053497,-73.851311,650,81.2,52.0,-256
43.055885,-73.848724,575,70.7,45.0,-448
