lat,lon,alt,gs,track,vs
41.024066,-81.800704,1000,64.0,205.0,768
41.02272,-81.801514,1100,63.1,205.4,640
41.020482,-81.802888,1200,61.3,204.1,704
41.017731,-81.804565,1300,61.7,204.9,768
41.015734,-81.805822,1400,59.9,205.7,768
41.014114,-81.806824,1400,59.1,204.0,640
41.013872,-81.806946,1500,58.2,199.1,576
41.013453,-81.807071,1500,57.5,193.1,448
41.013034,-81.807133,1500,57.3,186.0,384
41.012741,-81.807068,1500,57.3,174.0,448
41.012382,-81.807008,1500,57.3,167.9,576
41.012009,-81.806759,1500,56.4,154.8,640
41.011642,-81.806458,1500,56.9,149.4,640
41.011358,-81.806197,1500,56.9,140.7,576
41.011047,-81.805725,1600,57.5,130.1,640
41.010753,-81.805198,1600,58.3,121.0,768
41.010498,-81.804321,1600,58.6,115.2,768
41.010315,-81.803467,1600,60.4,106.3,512
41.010147,-81.802576,1700,60.9,104.3,576
41.009949,-81.801331,1700,61.0,100.4,704
41.009903,-81.800537,1700,63.1,92.7,640
41.009949,-81.799927,1700,64.3,84.6,576
41.010054,-81.79933,1700,66.7,77.0,576
41.010223,-81.798645,1800,70.3,65.6,512
41.010566,-81.797957,1800,72.7,58.5,448
41.010985,-81.79727,1800,75.9,49.8,384
41.011497,-81.796521,1800,77.8,45.0,384
41.012056,-81.795897,1800,80.4,38.4,512
41.012847,-81.795273,1800,82.5,30.6,576
41.013428,-81.794922,1900,83.8,23.2,640
41.014389,-81.794495,1900,86.4,16.1,320
41.015734,-81.794149,1900,90.8,11.4,64
41.017084,-81.793775,1900,94.7,10.9,-128
41.01876,-81.793463,1900,99.6,6.3,64
41.02153,-81.793152,1900,104.5,5.5,-128
41.027791,-81.792339,1900,109.5,5.2,64
41.032288,-81.791931,1900,113.2,3.0,64
41.034913,-81.791902,1900,115.0,359.5,64
41.037323,-81.792114,2000,115.4,355.5,128
41.037598,-81.792114,1900,116.4,355.1,64
41.038651,-81.792236,2000,116.4,355.1,64
41.038879,-81.792236,1900,116.4,355.6,0
41.041943,-81.792464,1900,118.0,358.5,64
41.043572,-81.792464,2000,118.0,0.0,64
41.046877,-81.792401,2000,118.1,2.4,0
41.048739,-81.792152,2000,118.1,7.8,0
