lat,lon,alt,gs,track
34.27153,-83.824731,1200,0.0,0.0
34.26957,-83.818073,1300,66.4,108.4
34.26947,-83.817668,1200,66.7,109.2
34.269379,-83.817388,1300,66.7,109.2
34.268738,-83.815426,1300,69.5,112.9
34.267731,-83.812735,1300,69.8,115.5
34.266916,-83.810806,1400,70.2,118.0
34.265854,-83.808531,1400,70.8,120.6
34.26524,-83.80743,1400,71.3,124.1
34.264435,-83.806065,1400,70.6,127.5
34.263977,-83.805505,1500,70.9,130.4
34.262146,-83.802982,1500,70.1,132.1
34.260406,-83.80074,1600,69.4,132.7
34.257751,-83.797433,1600,72.1,133.9
34.256069,-83.795242,1600,70.8,131.6
34.25565,-83.79467,1700,70.3,129.8
34.253632,-83.791604,1700,68.4,127.9
34.252299,-83.789406,1800,68.0,126.0
34.249283,-83.784317,1800,67.4,125.3
34.247923,-83.78191,1900,67.7,124.2
34.244522,-83.775909,1900,66.3,123.9
34.244156,-83.775292,2000,66.9,124.6
34.241499,-83.770638,2000,67.1,123.4
34.240288,-83.768234,2100,67.4,122.3
34.238333,-83.764629,2100,66.6,122.7
34.236511,-83.761335,2200,65.7,123.2
34.233492,-83.755703,2300,65.2,122.5
34.230331,-83.749732,2300,63.8,122.2
34.23,-83.749123,2400,63.5,123.4
34.227997,-83.745416,2400,63.0,122.7
34.227036,-83.74351,2500,62.8,120.7
34.225296,-83.739979,2500,64.0,119.0
34.223948,-83.736935,2600,64.4,117.8
34.221621,-83.731613,2600,64.8,116.6
34.220922,-83.729897,2700,64.4,115.8
34.219391,-83.725966,2700,64.9,114.6
34.218316,-83.723087,2800,64.9,114.6
34.21669,-83.718735,2800,66.3,113.1
34.215317,-83.714755,2900,67.2,112.8
34.212982,-83.707973,2900,67.2,112.8
34.21225,-83.705899,3000,67.2,112.8
34.210169,-83.699913,3000,68.5,113.2
34.209,-83.696762,3100,68.0,114.3
34.207855,-83.693792,3100,67.1,116.6
34.205933,-83.689327,3100,66.7,117.7
34.205017,-83.687458,3200,66.7,119.6
34.201976,-83.681087,3200,65.0,120.5
34.201355,-83.679834,3300,65.0,120.5
34.199229,-83.675652,3300,64.7,121.7
34.197786,-83.672848,3400,65.2,122.5
34.194626,-83.66683,3400,66.0,122.0
34.194031,-83.665709,3500,65.7,123.2
34.190735,-83.659712,3500,65.7,123.2
34.19046,-83.659263,3600,65.7,123.2
34.187073,-83.653041,3600,66.6,122.7
34.186295,-83.651528,3700,66.6,122.7
34.183075,-83.645725,3700,69.3,123.2
34.181854,-83.643512,3700,73.5,123.9
34.178001,-83.63657,3700,77.1,123.9
34.174164,-83.629499,3700,76.6,123.3
34.172881,-83.627186,3600,77.1,123.9
34.171717,-83.624954,3600,78.0,120.8
34.169529,-83.620663,3600,76.9,122.2
34.165944,-83.613796,3600,77.2,121.2
34.162216,-83.606405,3600,78.9,120.5
34.159287,-83.600407,3600,79.9,121.7
34.15533,-83.592968,3500,80.5,122.3
34.151505,-83.585498,3500,80.8,121.3
34.14872,-83.580151,3500,79.6,122.7
34.14588,-83.574715,3500,80.8,121.3
34.144111,-83.571053,3500,81.5,119.4
34.142808,-83.568249,3400,81.5,119.4
34.142715,-83.568077,3500,80.6,119.7
34.14212,-83.566776,3400,80.6,119.7
34.138504,-83.558929,3400,80.6,119.7
34.13629,-83.554115,3400,80.5,118.2
34.133916,-83.548794,3400,80.1,117.5
34.13237,-83.544972,3400,81.0,115.6
34.129761,-83.538189,3400,81.4,114.7
34.126694,-83.53023,3400,79.6,115.3
34.124932,-83.525906,3400,79.6,116.9
34.123764,-83.523335,3400,78.8,118.8
34.121567,-83.518795,3400,78.9,120.5
34.117902,-83.511314,3400,77.2,121.2
34.114243,-83.504165,3400,75.8,121.0
34.112366,-83.500578,3400,76.0,122.6
34.109344,-83.495085,3400,77.1,123.9
34.108359,-83.49329,3300,76.6,123.3
34.108246,-83.493123,3400,76.6,123.3
34.107149,-83.491001,3300,76.0,122.6
34.10645,-83.489742,3400,74.6,122.4
34.103943,-83.484827,3400,73.6,121.1
34.101562,-83.480231,3400,73.2,122.2
34.099091,-83.475242,3400,72.2,120.8
34.097559,-83.472061,3400,72.9,118.7
34.094559,-83.465321,3300,75.2,118.6
34.094487,-83.465137,3400,75.2,118.6
34.094101,-83.464312,3300,75.7,119.3
34.093974,-83.46405,3400,75.7,119.3
34.093462,-83.462963,3300,75.3,120.3
34.092299,-83.460617,3400,74.4,120.7
34.091629,-83.459211,3300,73.9,120.0
34.089569,-83.454727,3300,75.2,118.6
34.087234,-83.449682,3300,74.8,119.7
34.085455,-83.446083,3300,75.8,121.0
34.081871,-83.438988,3300,74.9,121.4
34.078262,-83.432026,3300,73.6,121.1
34.075028,-83.425655,3300,73.2,122.2
34.071487,-83.418797,3300,71.9,121.9
34.069535,-83.415012,3400,72.7,121.5
34.066177,-83.408315,3400,72.7,121.5
34.063568,-83.40327,3400,73.8,122.8
34.060038,-83.396816,3400,73.2,122.2
34.059014,-83.394814,3300,73.8,122.8
34.056885,-83.390659,3300,74.9,121.4
34.053893,-83.384686,3300,72.2,120.8
34.052217,-83.381081,3200,74.8,119.7
34.048958,-83.374043,3200,72.9,118.7
34.04805,-83.371937,3200,73.4,117.6
34.047469,-83.37038,3200,73.0,113.4
34.046212,-83.366776,3200,74.5,112.1
34.044205,-83.360558,3200,72.8,110.9
34.042053,-83.353608,3300,72.8,110.9
34.040314,-83.348283,3300,72.2,111.9
34.038849,-83.344135,3400,72.1,113.7
34.037367,-83.34034,3400,72.0,115.5
34.036622,-83.338623,3400,71.2,119.4
34.034225,-83.333709,3400,72.2,120.8
34.033447,-83.332196,3500,72.7,121.5
34.031036,-83.327637,3500,72.4,122.6
34.029174,-83.324261,3500,74.9,124.1
34.026947,-83.320425,3600,74.6,125.2
34.023697,-83.314707,3600,76.3,124.3
34.019863,-83.307896,3600,76.8,124.9
34.015961,-83.30103,3600,76.8,124.9
34.011841,-83.29408,3600,78.2,125.1
34.01167,-83.293762,3700,77.7,124.5
34.011577,-83.293591,3600,77.7,124.5
34.011337,-83.293183,3700,78.5,124.1
34.008225,-83.287354,3700,77.4,122.9
34.005157,-83.281804,3700,78.5,124.1
34.003464,-83.278721,3700,79.1,122.1
33.99966,-83.271332,3700,77.7,121.8
33.996075,-83.264179,3700,79.4,121.1
33.992752,-83.25759,3700,79.1,122.1
33.989731,-83.251648,3700,78.0,120.8
33.98602,-83.244438,3700,77.7,121.8
33.982407,-83.237411,3700,77.4,122.9
33.980201,-83.233452,3700,79.1,124.7
33.976913,-83.227713,3600,78.8,125.7
33.974521,-83.223839,3600,78.6,126.7
33.971356,-83.218803,3600,78.8,125.7
33.970332,-83.216915,3600,79.1,122.1
33.969315,-83.214765,3600,79.7,118.5
33.967352,-83.210163,3600,79.6,116.9
33.96414,-83.202438,3600,78.3,116.6
33.960928,-83.194771,3600,80.5,116.6
33.959764,-83.192081,3500,80.1,117.5
33.959718,-83.19191,3600,80.1,117.5
33.95961,-83.191672,3500,80.1,117.5
33.95668,-83.184945,3500,78.3,118.2
33.954483,-83.179901,3500,77.8,117.6
33.95213,-83.174572,3500,78.8,118.8
33.950221,-83.170567,3500,78.4,119.8
33.947113,-83.164094,3500,77.0,119.6
33.944123,-83.157635,3500,75.7,119.3
33.942627,-83.154284,3500,76.9,117.9
33.94105,-83.150368,3500,80.1,115.9
33.938118,-83.143101,3400,80.5,115.0
33.935697,-83.136921,3400,81.4,116.2
33.932485,-83.129425,3400,82.7,116.6
33.929552,-83.122158,3400,83.2,115.6
33.928202,-83.118839,3400,82.3,115.9
33.926788,-83.115608,3400,80.5,118.2
33.923454,-83.108311,3400,78.8,118.8
33.920746,-83.102604,3400,79.8,120.1
33.917084,-83.094981,3400,79.3,119.5
33.916471,-83.093662,3300,79.8,120.1
33.913559,-83.08747,3400,77.9,119.2
33.913239,-83.086797,3300,78.8,118.8
33.90976,-83.079286,3400,77.4,118.6
33.909535,-83.078899,3300,77.4,118.6
33.909027,-83.077716,3400,77.4,118.6
33.908844,-83.077324,3300,77.9,119.2
33.908112,-83.075699,3400,77.0,119.6
33.904786,-83.068771,3400,77.0,119.6
33.903064,-83.065224,3300,76.7,120.6
33.902971,-83.065052,3400,76.7,120.6
33.901016,-83.061237,3300,77.2,121.2
33.898455,-83.056068,3300,77.2,121.2
33.895196,-83.049374,3300,78.9,120.5
33.89296,-83.044982,3300,81.3,121.9
33.889709,-83.038984,3300,82.4,123.1
33.886352,-83.032665,3300,81.3,121.9
33.88504,-83.02996,3300,82.4,119.1
33.881929,-83.023453,3300,83.4,120.3
33.880005,-83.019366,3300,81.9,118.4
33.879181,-83.017292,3300,81.4,114.7
33.87854,-83.015386,3300,82.6,111.3
33.878082,-83.013872,3300,82.9,107.6
33.877553,-83.011608,3300,83.7,104.5
33.876808,-83.007774,3200,86.1,102.8
33.875691,-83.001652,3200,87.1,102.6
33.874466,-82.994422,3200,85.9,102.1
33.872805,-82.985401,3200,85.1,102.9
33.87206,-82.981796,3200,83.9,105.2
33.870896,-82.977047,3200,85.7,107.0
33.870757,-82.976475,3100,85.7,107.0
33.868927,-82.969647,3100,83.2,108.2
33.868755,-82.968979,3200,83.2,108.2
33.867824,-82.96566,3100,83.8,109.5
33.866986,-82.963028,3100,85.2,112.1
33.865496,-82.959023,3100,85.5,114.2
33.864705,-82.957077,3100,85.0,118.1
33.862563,-82.952557,3100,85.1,119.6
33.861008,-82.949524,3000,84.9,122.0
33.858261,-82.944479,3000,81.5,123.5
33.856155,-82.940836,3000,81.8,125.1
33.854874,-82.93865,2900,81.8,125.1
33.851717,-82.933216,2800,81.8,125.1
33.84787,-82.926823,2800,81.6,126.0
33.845627,-82.923347,2700,82.0,127.6
33.843384,-82.919928,2600,81.8,128.6
33.839676,-82.914267,2500,83.2,128.7
33.837204,-82.910399,2500,82.8,127.2
33.835968,-82.908325,2400,83.0,126.2
33.833405,-82.904065,2400,82.4,125.6
33.833405,-82.904068,2400,83.2,127.0
33.819717,-82.8817,2000,0.0,127.0
33.817154,-82.87744,1900,0.0,0.0
33.815323,-82.874525,1800,73.2,128.9
33.8134,-82.871555,1800,73.6,126.7
33.81224,-82.869644,1700,74.6,125.2
33.809913,-82.865696,1600,75.2,125.8
33.808144,-82.862835,1600,76.2,128.1
33.806213,-82.859896,1500,76.1,129.1
