lat,lon,alt,gs,track,vs
41.536011,-71.28454,100,68.0,327.0,384
41.537165,-71.285365,100,69.4,331.6,512
41.538608,-71.286323,200,71.6,333.4,768
41.542328,-71.288723,300,75.6,334.1,320
41.543915,-71.289581,300,78.8,336.0,448
41.544753,-71.289836,300,78.7,342.3,768
41.545898,-71.289784,400,78.2,356.3,1024
41.546429,-71.289644,400,78.4,5.9,1024
41.547592,-71.289035,500,76.8,18.2,1152
41.548198,-71.288559,500,77.8,25.9,640
41.549057,-71.287724,500,80.8,36.4,320
41.549781,-71.28677,500,84.2,42.6,256
41.550613,-71.285289,600,85.9,50.2,640
41.552078,-71.281357,600,87.3,69.9,448
41.552341,-71.280319,700,88.5,71.6,448
41.552993,-71.277317,700,88.3,74.2,512
41.553131,-71.276238,700,89.4,79.7,384
41.553272,-71.274187,800,88.6,83.5,704
41.553226,-71.272526,800,88.1,87.4,832
41.553086,-71.271249,800,88.3,94.6,704
41.552673,-71.269746,800,87.6,108.6,512
41.552295,-71.268822,900,88.2,113.4,448
41.551829,-71.267927,900,88.7,119.7,448
41.550751,-71.266313,900,90.0,130.9,320
41.550293,-71.265756,900,90.0,139.1,320
41.549129,-71.264542,900,89.8,142.2,384
41.548105,-71.263712,900,90.1,146.3,384
41.547546,-71.263254,1000,90.2,148.6,448
41.54615,-71.262243,1000,90.4,150.9,384
41.545079,-71.26154,1000,89.9,152.9,448
41.542938,-71.260199,1100,88.6,156.0,512
41.541914,-71.259751,1100,89.5,159.7,576
41.54061,-71.259304,1100,91.2,164.7,448
41.538981,-71.258857,1100,91.8,168.7,640
41.537631,-71.258538,1200,90.3,170.4,640
41.533208,-71.257707,1200,87.8,172.1,576
41.529739,-71.256762,1300,86.8,172.1,640
41.528786,-71.25643,1300,90.7,166.0,448
41.526924,-71.255727,1400,92.1,162.9,512
41.521683,-71.253516,1500,87.9,162.8,128
41.519165,-71.252455,1500,91.7,161.6,-64
41.513031,-71.249771,1600,90.4,162.0,704
41.510211,-71.248446,1600,94.6,160.2,192
41.507791,-71.247424,1700,94.9,161.6,512
41.506813,-71.247168,1700,94.8,166.0,448
41.505742,-71.246977,1700,94.6,173.3,512
41.504346,-71.246849,1700,95.0,178.2,512
41.502996,-71.246977,1700,96.1,183.0,384
41.502365,-71.247025,1800,96.4,185.4,512
41.500854,-71.24736,1800,96.5,190.1,512
41.498899,-71.247999,1800,97.0,194.3,320
41.497317,-71.248701,1800,98.7,199.5,192
41.495827,-71.249468,1900,99.7,201.2,320
41.493779,-71.250681,1900,99.3,205.0,576
41.492289,-71.251703,1900,98.0,208.7,640
41.490939,-71.252789,2000,96.9,211.1,512
41.485428,-71.257387,2100,97.9,212.1,440
41.482839,-71.259688,2100,96.3,214.9,440
41.482269,-71.260258,2200,96.3,214.9,440
41.479294,-71.263129,2300,91.8,215.2,560
41.477346,-71.264861,2300,95.4,213.0,616
41.475763,-71.266139,2300,100.2,211.9,568
41.473296,-71.268119,2300,104.4,210.5,568
41.470316,-71.270418,2300,109.3,209.6,568
41.46878,-71.27144,2200,111.4,207.3,568
41.465428,-71.273548,2200,116.3,205.5,568
41.460307,-71.276997,2200,119.9,206.8,-64
41.458771,-71.278083,2200,119.4,207.4,-64
41.454666,-71.281544,2300,118.2,209.4,112
41.453185,-71.28281,2300,114.0,213.6,160
41.444806,-71.290219,2300,115.7,213.0,176
41.44299,-71.291816,2400,115.7,213.0,184
41.434471,-71.299162,2400,118.2,214.0,240
41.430793,-71.302675,2400,120.2,216.2,240
41.424555,-71.308615,2400,124.3,214.8,112
41.423859,-71.309197,2500,123.7,214.5,96
41.415338,-71.316983,2500,126.5,214.7,112
41.408821,-71.323498,2500,127.1,215.1,24
41.406353,-71.326053,2500,128.8,218.4,24
41.399324,-71.333526,2500,129.5,218.7,112
41.394928,-71.338224,2500,132.9,219.2,40
41.385964,-71.348149,2500,137.1,219.4,-80
41.384354,-71.349915,2400,139.3,219.2,-80
41.374372,-71.360633,2400,140.2,218.3,-208
41.364736,-71.370933,2400,142.1,219.3,-144
41.361105,-71.374741,2300,141.5,219.0,-152
41.356888,-71.379395,2400,139.9,219.5,-152
41.355332,-71.381108,2300,139.2,219.8,-152
41.345044,-71.392156,2300,139.9,219.5,-32
41.336339,-71.401707,2300,138.1,218.5,-48
41.326237,-71.412132,2300,139.6,218.0,-88
41.31972,-71.418998,2300,139.5,218.6,-88
41.310791,-71.428406,2300,137.3,218.8,0
41.303055,-71.436462,2300,137.3,218.8,0
41.301332,-71.438411,2200,139.1,220.3,0
41.296417,-71.444092,2100,138.2,221.2,-256
41.294357,-71.446472,2000,138.9,221.5,-1472
41.291611,-71.449524,1900,142.5,220.7,-1472
41.284607,-71.456726,1700,144.9,219.4,-1088
41.280945,-71.46051,1600,141.8,217.8,-1024
41.274353,-71.467346,1300,142.4,218.2,-1280
41.270279,-71.471619,1200,138.8,218.3,-896
41.267395,-71.47467,1000,135.9,218.7,-1408
41.261124,-71.481995,800,138.5,219.4,-1792
41.241806,-71.507935,600,126.6,224.7,-128
41.168844,-71.570435,100,79.9,81.4,768
41.16925,-71.566711,200,78.9,81.2,704
41.169846,-71.561646,300,82.4,79.5,640
41.170532,-71.557251,400,84.0,77.6,640
41.170939,-71.555578,400,85.4,73.7,576
41.171404,-71.554142,400,85.4,69.4,640
41.171823,-71.553144,400,87.2,62.0,640
41.172409,-71.551941,500,89.1,55.1,448
41.17322,-71.550772,500,90.1,50.0,512
41.174011,-71.549835,500,91.3,42.8,640
41.17471,-71.549149,500,92.0,37.5,704
41.175827,-71.548212,600,91.0,33.3,704
41.176897,-71.547463,600,90.8,28.3,640
41.177922,-71.546901,600,90.9,24.0,448
41.180296,-71.545903,700,93.1,14.9,384
41.181692,-71.545528,700,93.9,11.7,384
41.184392,-71.544966,700,93.1,8.6,512
41.186115,-71.544654,800,92.9,8.0,576
41.190537,-71.543968,800,92.5,6.2,512
41.190994,-71.543884,900,92.5,6.2,512
41.195006,-71.543343,900,93.3,4.3,512
41.196533,-71.543213,1000,93.3,4.3,512
41.202255,-71.542664,1100,94.3,4.3,576
41.206558,-71.542297,1200,91.2,3.8,640
41.210037,-71.542114,1300,89.1,2.6,640
41.211905,-71.541845,1300,88.6,6.5,576
41.213767,-71.541408,1300,88.3,9.8,576
41.214884,-71.541096,1400,88.1,12.5,576
41.219238,-71.539734,1500,87.6,13.9,384
41.2248,-71.537975,1500,90.2,12.8,384
41.226522,-71.537538,1600,90.6,10.8,384
41.230293,-71.536664,1600,91.1,8.8,512
41.232108,-71.536352,1700,90.9,8.2,448
41.236345,-71.535603,1700,90.6,6.3,448
41.237415,-71.535416,1800,90.6,6.3,448
41.2435,-71.534546,1900,90.6,6.3,384
41.24775,-71.533855,1900,90.9,8.2,384
41.251144,-71.533081,2000,91.2,9.5,384
41.257782,-71.531494,2100,90.4,10.2,384
41.263531,-71.530297,2100,92.1,8.8,320
41.264323,-71.53011,2200,92.1,8.8,256
41.266883,-71.529735,2200,93.5,6.1,320
41.272202,-71.529053,2300,94.6,6.7,320
41.277374,-71.528381,2400,91.4,5.7,448
41.283554,-71.527527,2500,90.6,6.3,320
41.287537,-71.527039,2500,92.3,4.3,256
41.291153,-71.526733,2600,93.1,3.1,384
41.295932,-71.526427,2600,92.3,4.3,384
41.298492,-71.52599,2700,92.8,7.4,256
41.298706,-71.52594,2600,92.1,8.8,256
41.299097,-71.525865,2700,92.1,8.8,256
41.307175,-71.524048,2700,93.1,8.6,192
41.309006,-71.523621,2800,94.5,10.4,320
41.314407,-71.522339,2900,92.4,10.0,448
41.316554,-71.521745,2900,92.4,13.1,448
41.320862,-71.520447,3000,92.2,12.5,384
41.327454,-71.518616,3100,93.9,11.7,384
41.332626,-71.51709,3100,92.2,12.5,320
41.335419,-71.516174,3200,93.9,14.2,256
41.341273,-71.51413,3200,93.4,13.0,128
41.344765,-71.513256,3200,97.7,10.6,0
41.346313,-71.512878,3300,98.8,11.1,320
41.350845,-71.511536,3300,101.6,13.1,192
41.356263,-71.509822,3300,106.5,12.5,-64
41.365294,-71.507326,3300,110.9,13.0,-256
41.366821,-71.506836,3200,112.1,13.4,-320
41.37117,-71.505371,3200,112.8,14.9,128
41.373001,-71.504822,3300,111.8,15.0,192
41.374046,-71.504517,3200,112.6,12.3,0
41.374603,-71.504333,3300,112.4,11.8,0
41.378494,-71.503296,3200,111.2,11.4,-192
41.380737,-71.502747,3300,112.0,10.8,192
41.385498,-71.501526,3300,107.9,10.7,256
41.390386,-71.500365,3300,105.5,9.8,-64
41.394622,-71.499534,3300,103.0,7.8,192
41.39859,-71.498961,3300,103.8,7.2,-256
41.400395,-71.498704,3300,108.6,5.8,-384
41.404907,-71.498087,3200,112.5,5.6,-64
41.408203,-71.497775,3300,110.2,3.1,320
41.411893,-71.497554,3200,109.2,3.2,128
41.41832,-71.497088,3200,107.1,2.1,64
41.419281,-71.497088,3300,107.0,0.0,128
41.422256,-71.497088,3200,106.0,358.9,-64
41.425644,-71.497213,3300,107.0,358.9,0
41.426514,-71.497213,3200,107.0,359.5,64
41.427017,-71.497213,3300,106.0,358.9,192
41.430468,-71.497299,3300,101.0,359.4,320
41.435349,-71.497276,3300,99.0,358.8,256
41.435715,-71.497338,3400,100.1,357.7,320
41.441711,-71.497775,3400,104.2,356.7,384
41.444641,-71.497837,3400,107.0,0.0,512
41.446198,-71.4979,3500,108.1,357.4,384
41.448853,-71.498212,3500,107.6,354.1,320
41.449539,-71.498399,3500,107.2,351.4,320
41.4496,-71.498385,3500,107.1,348.7,-256
41.451928,-71.499279,3500,107.4,345.5,-256
41.452487,-71.499534,3400,108.2,340.6,-256
41.454116,-71.500556,3400,107.0,336.3,-256
41.457367,-71.502644,3400,103.3,334.2,-256
41.460571,-71.504641,3300,99.3,335.0,-320
41.465286,-71.507575,3300,99.7,334.5,-384
41.467072,-71.508824,3200,98.4,333.4,-384
41.468811,-71.510072,3200,96.7,331.6,-704
41.470322,-71.511133,3100,97.5,333.2,-896
41.472794,-71.512694,3000,98.4,334.7,-960
41.476135,-71.514992,2900,100.2,332.7,-768
41.481995,-71.518749,2800,100.2,332.7,-640
41.48661,-71.521763,2700,101.1,332.9,-512
41.493668,-71.526177,2600,102.4,333.9,-448
41.49614,-71.527738,2500,100.2,335.2,-704
41.498978,-71.529548,2400,99.7,334.5,-896
41.501786,-71.531344,2400,99.3,332.4,-896
41.502717,-71.532046,2300,100.2,331.4,-896
41.505844,-71.534354,2200,103.0,331.0,-512
41.51088,-71.537913,2100,105.1,332.2,-696
41.516464,-71.541845,2000,106.9,331.5,-576
41.519987,-71.544246,2000,106.4,333.2,-464
41.521012,-71.544885,1900,107.8,334.1,-464
41.523665,-71.54661,2000,106.9,335.1,-424
41.527176,-71.548836,2000,104.2,334.4,-184
41.530334,-71.550959,2000,97.9,334.0,0
41.535919,-71.554954,2000,98.4,333.4,-128
41.5383,-71.556764,2000,100.3,330.1,-128
41.539772,-71.557788,2000,100.6,333.4,-128
41.541183,-71.558637,2000,101.8,337.5,-128
41.541867,-71.559001,2000,101.8,337.5,448
41.543015,-71.559511,2000,103.1,341.9,448
41.544102,-71.559831,2000,104.8,346.8,448
41.548279,-71.560509,2100,104.8,346.8,448
41.549103,-71.560572,2100,104.1,357.8,0
41.550572,-71.560534,2000,103.0,359.4,-192
41.552295,-71.560406,2000,102.3,4.5,-192
41.552765,-71.560322,2000,102.3,4.5,-192
41.55336,-71.56026,2000,103.4,5.0,-768
41.556702,-71.559823,1900,104.4,4.9,-640
41.558624,-71.559511,1900,104.7,6.6,-384
41.561791,-71.559001,1900,103.2,8.9,-64
41.563202,-71.558574,1900,103.6,12.8,-64
41.564305,-71.558107,1900,104.4,16.7,-64
41.566772,-71.556951,1900,105.6,18.8,0
41.568283,-71.55614,1900,108.9,20.4,384
41.57016,-71.555079,2000,108.9,23.3,576
41.572495,-71.553581,2000,107.3,26.6,832
41.573709,-71.552678,2000,102.5,28.6,576
41.574646,-71.55202,2100,101.2,29.6,576
41.575195,-71.551521,2100,101.4,30.9,64
41.576548,-71.550314,2000,100.7,34.5,-128
41.579667,-71.547568,2000,99.3,32.2,-64
41.583205,-71.544693,2000,100.0,30.7,-384
41.585766,-71.542905,2000,103.8,27.5,-384
41.58609,-71.542657,1900,103.8,27.5,-384
41.590118,-71.539785,1900,99.9,29.4,0
41.591263,-71.538911,1900,95.8,28.7,128
41.592361,-71.538037,1900,92.8,30.4,64
41.594238,-71.536477,1900,91.0,33.3,0
41.597672,-71.533418,1900,89.3,34.0,-64
41.60083,-71.530859,1900,93.0,31.8,-64
41.601746,-71.530172,1900,94.2,30.6,384
41.603714,-71.528799,1900,95.3,26.8,128
41.606827,-71.526677,1900,99.3,27.6,-256
41.615204,-71.520372,2000,87.8,30.1,192
41.617813,-71.518062,1900,85.7,34.1,-704
41.619919,-71.516127,1800,89.9,34.6,-576
41.622757,-71.513505,1700,91.6,36.1,-768
41.624634,-71.511758,1700,91.5,33.9,-768
41.628708,-71.508262,1600,92.4,33.5,-640
41.631317,-71.506077,1500,89.0,32.6,-448
41.631729,-71.505703,1600,90.4,32.8,128
41.632141,-71.505328,1500,89.3,34.0,64
41.63237,-71.505141,1600,88.5,34.4,0
41.63269,-71.504829,1500,88.5,34.4,64
41.633057,-71.504517,1600,87.7,34.8,64
41.637634,-71.500334,1500,85.4,35.0,-128
41.640564,-71.497713,1400,86.8,35.2,-640
41.64061,-71.49765,1400,92.7,32.7,128
41.697281,-71.283167,1800,111.5,150.4,-128
41.695541,-71.281794,1800,110.6,150.2,-192
