lat,lon,alt,gs,track,vs
41.789337,-122.483201,3400,99.6,234.4,448
41.788513,-122.484573,3400,100.6,228.2,0
41.781418,-122.495499,3500,100.6,228.2,0
41.780777,-122.496497,3525,101.3,228.6,0
41.774826,-122.505861,3600,101.3,228.6,0
41.771942,-122.510792,3650,104.2,232.8,512
41.769647,-122.514549,3650,114.0,232.1,0
41.765579,-122.521529,3625,113.9,231.4,128
41.762238,-122.527334,3625,116.0,231.6,-128
41.753866,-122.541312,3575,118.6,233.2,192
41.751538,-122.54425,3550,118.6,233.2,192
41.757125,-122.527899,3650,95.7,57.8,320
41.75908,-122.523875,3650,97.6,57.1,192
41.762833,-122.516473,3650,99.0,54.9,0
41.764755,-122.512353,3650,98.3,58.7,0
41.768784,-122.502927,3625,98.8,58.2,0
41.771713,-122.49656,3650,100.4,56.8,-192
41.775466,-122.489127,3650,100.1,56.0,128
41.779702,-122.481526,3700,97.4,54.2,128
41.781189,-122.478582,3675,94.0,57.2,-64
41.782654,-122.474774,3725,93.0,58.2,128
41.783295,-122.457296,3650,80.6,78.6,-192
41.780914,-122.453301,3650,80.6,78.6,-192
41.780411,-122.452927,3650,82.7,153.4,64
41.779816,-122.452677,3650,82.5,160.9,0
41.7789,-122.452365,3650,83.7,168.3,0
41.777756,-122.452178,3650,86.4,174.7,0
41.762013,-122.470668,3050,73.6,323.3,0
41.764945,-122.472073,2925,70.9,351.1,-832
41.765597,-122.472137,2900,69.0,358.3,-768
41.766621,-122.472009,2850,68.1,2.5,-768
41.767971,-122.47169,2800,68.1,2.5,-768
41.768555,-122.471528,2775,66.3,11.3,-896
41.831981,-122.481909,3850,73.1,329.6,512
41.832367,-122.482265,3875,73.2,327.8,384
41.841524,-122.503307,4050,78.1,272.2,384
41.834885,-122.52053,4425,76.2,218.1,1024
41.832306,-122.524513,4550,76.2,218.1,0
41.824206,-122.540035,4975,70.3,240.1,832
41.82416,-122.540226,4975,73.4,263.8,896
41.807913,-122.533839,4675,123.8,148.9,-896
41.795288,-122.524712,4325,126.3,150.6,-1280
41.782471,-122.516348,3900,134.8,159.1,-1216
41.780365,-122.515287,3800,134.8,159.1,-1216
41.777573,-122.513788,3700,137.8,158.3,-1536
41.776154,-122.513039,3650,138.2,157.9,-1344
41.765411,-122.501263,3325,138.2,157.9,-1344
41.762664,-122.485934,3125,132.6,119.8,-512
41.762618,-122.485103,3100,122.4,94.7,-832
41.762571,-122.480504,3000,118.3,93.9,-832
41.76297,-122.478083,2975,111.5,84.3,-640
41.763921,-122.475458,2950,99.3,62.4,-640
41.764433,-122.4745,2925,96.8,56.8,-640
41.764899,-122.473861,2900,91.9,44.1,-320
41.765597,-122.473223,2900,89.4,40.5,-512
41.803528,-122.460043,3350,75.7,45.5,704
41.810287,-122.450739,3525,73.2,55.0,576
41.810486,-122.450617,3525,72.4,17.7,448
41.814468,-122.450305,3600,72.4,17.7,448
41.818863,-122.449493,3775,72.4,17.7,448
41.821655,-122.449244,3800,72.4,353.7,192
41.824768,-122.450867,3850,72.4,353.7,192
41.828582,-122.455977,3975,72.4,353.7,192
41.837567,-122.499922,4650,86.6,229.7,832
41.836403,-122.501647,4700,84.2,226.4,704
41.835159,-122.503177,4775,82.0,224.0,1216
41.832001,-122.507296,4925,82.0,224.0,1216
41.831422,-122.508353,4950,78.2,231.2,768
41.829437,-122.511666,5025,80.2,229.6,640
41.828156,-122.513788,5100,80.2,229.6,640
41.823741,-122.522406,5400,84.2,232.7,1088
41.821747,-122.527272,5375,84.2,232.7,1088
41.820808,-122.530645,5400,80.0,251.8,64
41.820099,-122.533514,5400,80.4,253.4,320
41.819916,-122.534513,5425,80.8,254.9,512
41.780261,-122.525919,4250,148.2,148.2,-1728
41.776723,-122.522853,4150,146.7,147.0,-1344
41.763794,-122.507546,3650,139.4,126.5,-1024
41.762152,-122.503435,3525,139.4,126.5,-1024
41.76059,-122.486635,3150,130.0,104.2,-1408
41.763428,-122.475274,2950,99.2,49.1,-768
41.764433,-122.474053,2900,96.9,44.6,-704
41.766761,-122.472392,2825,86.8,24.5,-704
41.768251,-122.471753,2800,79.8,15.3,-576
41.768623,-122.471626,2775,79.8,15.3,-576
41.802704,-122.460292,3300,73.4,25.9,256
41.808053,-122.454508,3550,76.4,37.0,0
41.810939,-122.451122,3550,73.8,40.6,0
41.819598,-122.448631,3775,68.1,356.6,-64
41.820622,-122.448759,3775,69.2,355.9,-64
41.834427,-122.467034,4100,78.8,294.0,384
41.835332,-122.469646,4150,76.7,292.2,192
41.838079,-122.480504,4300,77.8,290.3,192
41.842209,-122.485511,4350,70.2,327.2,-64
41.843903,-122.486822,4375,71.7,329.9,256
41.86528,-122.496934,4975,67.3,5.1,192
41.873598,-122.500114,5250,71.0,358.4,0
41.819595,-122.497309,4275,137.6,185.4,-576
41.807029,-122.498708,3975,137.6,185.4,-576
41.796432,-122.499431,3700,137.1,182.5,-1088
41.795763,-122.499475,3700,137.1,182.5,-1088
41.765305,-122.486135,2925,108.3,78.3,-640
41.768372,-122.477209,2750,105.8,74.7,-704
