lat,lon,alt,gs,track
45.820809,-95.372108,2600,138.1,128.5
45.817337,-95.365883,2675,140.1,128.9
45.813873,-95.359818,2750,142.1,129.3
45.81229,-95.356934,2775,144.0,127.7
45.811173,-95.354393,2800,145.4,121.5
45.810055,-95.351372,2825,147.1,117.1
45.808365,-95.345987,2875,149.1,114.2
45.805801,-95.337949,2925,150.7,115.6
45.803467,-95.331652,2975,152.2,119.1
45.801583,-95.327477,3000,152.5,120.8
45.799581,-95.323494,3050,152.8,127.0
45.797012,-95.318991,3100,151.9,130.2
45.794647,-95.315323,3125,151.6,131.3
45.792273,-95.31189,3175,152.0,134.7
45.788874,-95.307289,3225,151.5,137.7
45.784545,-95.301796,3325,149.6,139.1
45.780716,-95.297286,3400,147.8,140.5
45.776093,-95.291927,3500,146.5,141.1
45.771561,-95.286701,3575,146.4,140.6
45.767166,-95.281409,3675,145.5,139.7
45.762817,-95.27605,3750,145.3,139.2
45.758895,-95.271172,3850,143.8,138.7
45.754519,-95.265747,3950,142.4,138.7
45.750236,-95.260391,4025,141.8,139.0
45.746704,-95.25602,4125,141.1,139.3
45.742694,-95.251122,4200,139.8,139.9
45.73925,-95.24707,4300,139.2,140.2
45.735214,-95.242287,4375,137.1,140.6
45.731049,-95.237464,4475,136.5,140.9
45.726727,-95.232445,4575,135.1,141.0
45.722855,-95.227951,4675,132.9,140.8
45.718918,-95.223396,4750,131.5,140.9
45.71521,-95.219109,4850,130.1,140.9
45.711039,-95.21418,4925,130.0,140.3
45.707361,-95.209923,4950,135.0,140.4
45.704196,-95.206215,4975,139.3,140.8
45.701752,-95.203366,4975,143.7,141.2
45.69847,-95.199623,4950,148.7,141.3
45.694373,-95.194954,4950,151.6,141.7
45.692092,-95.192345,4950,155.9,141.5
45.684364,-95.183624,4975,160.9,141.6
45.677673,-95.176034,4975,165.7,141.1
45.667099,-95.163708,4975,170.6,140.7
45.657224,-95.15197,4975,172.5,139.9
45.64476,-95.136644,4975,172.2,139.0
45.633948,-95.123405,4975,172.4,139.5
45.62366,-95.111115,4975,173.4,140.6
45.611929,-95.097588,4975,173.5,141.1
45.59967,-95.083454,4975,173.4,140.6
45.58699,-95.068516,4975,174.0,140.4
45.574951,-95.054113,4975,173.9,139.9
45.562729,-95.039509,4975,174.0,140.4
45.550387,-95.02494,4975,173.4,140.6
45.538609,-95.011172,4975,174.0,140.4
45.526199,-94.99636,4975,173.9,139.9
45.519745,-94.988643,4950,173.2,140.1
45.510399,-94.977678,4950,173.4,140.6
45.50528,-94.971771,4950,174.1,140.8
45.494664,-94.959389,4975,174.1,140.8
45.482235,-94.944652,4975,173.9,139.9
45.471155,-94.931455,4950,173.2,140.1
45.4611,-94.919798,4950,172.7,140.9
45.449295,-94.906049,4975,172.6,140.4
45.437032,-94.891529,4975,173.2,140.1
45.425348,-94.877729,4950,173.4,140.6
45.414175,-94.864733,4975,172.7,140.9
45.402118,-94.850732,4975,172.0,140.7
45.389923,-94.836273,4975,172.5,139.9
45.378097,-94.822328,4950,172.0,140.7
45.365524,-94.807826,4975,171.3,140.9
45.353531,-94.793832,4975,171.8,140.2
45.341228,-94.779321,4975,172.6,140.4
45.329264,-94.765387,4975,172.1,141.1
45.317067,-94.751319,4975,172.0,140.7
45.305099,-94.737265,4975,171.8,140.2
45.29306,-94.723206,4975,172.7,140.9
45.280701,-94.708949,4975,171.3,140.9
45.268746,-94.695048,4975,171.2,140.4
45.256393,-94.680503,4975,171.2,140.4
45.246597,-94.668732,4950,171.6,139.2
45.234577,-94.654184,4950,170.9,139.5
45.222846,-94.640317,4975,169.8,140.5
45.210928,-94.626651,4975,169.3,141.2
45.198499,-94.612784,4975,170.2,141.9
45.186256,-94.599051,4975,171.5,141.4
