lat,lon,alt,gs,track
40.697147,-74.174789,-50.0,0.0,306.6
40.697044,-74.174591,-50.0,2.2,300.9
40.69701,-74.174545,-50.0,2.2,303.8
40.696979,-74.17446,-50.0,2.2,306.6
40.696769,-74.174319,-50.0,1.9,14.1
40.696618,-74.174413,-50.0,2.2,42.2
40.696595,-74.174444,-50.0,2.2,42.2
40.696595,-74.173882,-50.0,7.2,70.3
40.696641,-74.173789,-50.0,6.8,59.1
40.696804,-74.173553,-50.0,4.8,42.2
40.697235,-74.172571,-50.0,9.8,64.7
40.697293,-74.172462,-50.0,10.2,56.2
40.697398,-74.172275,-50.0,10.8,50.6
40.697514,-74.172104,-50.0,10.8,50.6
40.6977,-74.171151,-50.0,10.8,129.4
40.697689,-74.171136,-50.0,10.8,132.2
40.695648,-74.169937,-50.0,14.8,165.9
40.69495,-74.169785,-50.0,16.5,174.4
40.693325,-74.16983,-50.0,17.5,191.2
40.692556,-74.170152,-50.0,18.5,202.5
40.692284,-74.170319,-50.0,18.5,205.3
40.691497,-74.170808,-50.0,14.8,205.3
40.691055,-74.171104,-50.0,13.8,208.1
40.690853,-74.171219,-50.0,13.2,205.3
40.689682,-74.171963,-50.0,14.8,208.1
40.689331,-74.172195,-50.0,13.8,208.1
40.688919,-74.172455,-50.0,13.8,205.3
40.688518,-74.172712,-50.0,12.8,205.3
40.687959,-74.173071,-50.0,12.8,205.3
40.687042,-74.173645,-50.0,12.2,205.3
40.686745,-74.173843,-50.0,12.8,205.3
40.686493,-74.173991,-50.0,13.8,205.3
40.686241,-74.174164,-50.0,14.8,205.3
40.685875,-74.174393,-50.0,14.2,208.1
40.685562,-74.174584,-50.0,12.8,208.1
40.685406,-74.174683,-50.0,12.2,208.1
40.685108,-74.174881,-50.0,10.8,208.1
40.684788,-74.175095,-50.0,12.2,205.3
40.684513,-74.175262,-50.0,13.8,205.3
40.68427,-74.175412,-50.0,14.8,205.3
40.683909,-74.175646,-50.0,15.5,205.3
40.683537,-74.17588,-50.0,16.5,205.3
40.683188,-74.176098,-50.0,17.5,208.1
40.682785,-74.176346,-50.0,16.5,205.3
40.682178,-74.176743,-50.0,10.8,205.3
40.681778,-74.177002,-50.0,8.8,205.3
40.681583,-74.177124,-50.0,8.2,205.3
40.681186,-74.177378,-50.0,10.8,205.3
40.680794,-74.177628,-50.0,12.8,205.3
40.680406,-74.177877,-50.0,11.8,205.3
40.680004,-74.178116,-50.0,10.8,205.3
40.679661,-74.17833,-50.0,7.8,205.3
40.679394,-74.178517,-50.0,5.8,205.3
40.679111,-74.17868,-50.0,7.8,205.3
40.678825,-74.178879,-50.0,8.2,205.3
40.678619,-74.179001,-50.0,5.2,205.3
40.678402,-74.179138,-50.0,2.8,205.3
40.678139,-74.179306,-50.0,3.2,205.3
40.677967,-74.179413,-50.0,2.8,205.3
40.677761,-74.17955,-50.0,0.0,205.3
40.677761,-74.17955,-50.0,0.0,205.3
40.677761,-74.17955,-50.0,0.0,205.3
40.677567,-74.179672,-50.0,1.9,205.3
40.677439,-74.17975,-50.0,2.2,205.3
40.67738,-74.179797,-50.0,2.8,208.1
40.676903,-74.180093,-50.0,2.8,205.3
40.67688,-74.180124,-50.0,2.8,205.3
40.676685,-74.180237,-50.0,2.2,205.3
40.676605,-74.180283,-50.0,3.8,205.3
40.676414,-74.180405,-50.0,5.2,205.3
40.676321,-74.180452,-50.0,4.8,199.7
40.676193,-74.180481,-50.0,3.8,185.6
40.676159,-74.180481,-50.0,3.8,177.2
40.676123,-74.180468,-50.0,2.2,171.6
40.676102,-74.180466,-50.0,0.0,168.8
40.676102,-74.180466,-50.0,0.0,168.8
40.676113,-74.180466,-50.0,0.0,168.8
40.675693,-74.179937,-50.0,9.8,120.9
40.675611,-74.17975,-50.0,8.2,118.1
40.675529,-74.179459,-50.0,3.8,101.2
40.675635,-74.179313,-50.0,0.6,28.1
40.675821,-74.179204,-50.0,14.2,28.1
40.676022,-74.179062,-50.0,27.5,25.3
40.677155,-74.178345,-175,27.5,0.0
40.677532,-74.178127,-175,65.7,26.2
40.677704,-74.177979,-175,71.1,25.8
40.678183,-74.17769,-175,75.6,25.9
40.678345,-74.177551,-175,81.0,25.6
40.679021,-74.177128,-175,83.2,25.6
40.679207,-74.177066,-175,89.9,25.7
40.679999,-74.176504,-175,99.7,25.5
40.682932,-74.174694,-200,124.3,25.7
40.684049,-74.173945,-200,131.0,25.8
40.68647,-74.172447,-200,143.6,26.0
40.688644,-74.171021,-175,153.4,25.9
40.689589,-74.170387,-150,155.6,25.9
40.690613,-74.169762,-100,156.5,25.8
40.691218,-74.169388,-50,156.1,25.4
40.692242,-74.168764,0,156.1,25.4
40.69313,-74.168213,75,154.4,24.9
40.694104,-74.167578,150,152.5,25.2
40.695236,-74.16687,250,151.2,25.9
40.696153,-74.166267,350,149.8,26.6
40.697037,-74.16558,450,148.0,30.9
40.697968,-74.164769,550,147.3,33.4
40.699132,-74.163707,650,147.8,37.0
40.700249,-74.162459,750,148.2,40.9
40.701141,-74.161316,850,149.2,44.7
40.702103,-74.159973,950,150.7,46.9
40.703201,-74.158325,1050,152.4,49.0
40.704346,-74.156616,1150,152.5,49.5
40.705742,-74.154406,1250,155.4,50.0
40.707092,-74.152284,1350,157.5,49.6
40.708557,-74.150085,1450,162.3,48.8
40.710351,-74.147415,1525,167.1,47.9
40.712036,-74.14502,1600,171.3,47.4
40.713318,-74.143188,1650,176.2,47.1
40.714279,-74.141907,1675,179.7,46.8
40.71524,-74.140564,1700,183.9,46.3
40.716635,-74.138676,1725,188.1,45.9
40.717941,-74.136841,1775,193.1,45.6
40.719987,-74.134182,1850,198.0,45.4
40.722129,-74.13131,1925,203.0,45.6
40.724121,-74.128601,2000,207.9,45.4
40.726135,-74.125916,2075,212.9,45.6
40.728653,-74.122559,2150,217.8,45.7
40.730988,-74.119385,2250,222.1,45.7
40.732819,-74.116943,2350,224.2,45.5
40.734698,-74.114394,2450,225.6,45.5
40.736389,-74.112244,2550,226.3,44.6
40.737491,-74.110898,2600,225.9,42.0
40.738953,-74.109314,2675,225.1,39.8
40.739819,-74.108401,2700,225.1,38.1
40.741169,-74.107215,2725,223.6,34.6
40.74202,-74.106445,2725,223.3,32.2
40.744629,-74.104797,2750,218.7,25.7
40.745544,-74.104281,2775,215.8,22.0
40.747127,-74.103657,2775,211.4,16.2
40.749408,-74.103033,2775,206.7,9.2
40.751495,-74.102783,2800,203.2,2.8
40.753922,-74.102905,2825,202.6,355.5
40.756073,-74.103394,2825,203.8,349.0
40.758362,-74.104309,2825,204.9,341.2
40.760468,-74.105469,2825,206.2,334.4
40.762527,-74.107056,2825,207.9,328.4
40.76445,-74.108887,2850,208.5,321.4
40.766586,-74.11146,2850,208.6,315.2
40.768122,-74.113832,2850,209.0,309.2
40.769577,-74.116577,2825,210.3,302.2
40.770962,-74.120074,2825,212.9,296.2
40.772033,-74.12357,2825,217.4,290.2
40.77301,-74.127563,2825,222.0,287.3
40.774246,-74.133423,2825,226.1,285.4
40.774965,-74.136991,2825,230.2,284.3
40.776077,-74.142883,2825,234.8,283.8
40.777267,-74.149353,2825,239.6,283.5
40.778131,-74.154219,2850,243.8,283.5
40.77887,-74.15802,2900,245.9,283.6
40.779648,-74.162292,2975,246.9,283.6
40.780609,-74.167542,3075,247.9,283.5
40.781529,-74.172696,3175,247.9,283.5
40.782211,-74.176514,3275,247.9,283.5
40.78299,-74.180725,3375,247.9,283.5
40.783717,-74.184619,3475,247.9,283.5
40.784462,-74.188801,3575,247.9,283.5
40.78516,-74.192484,3675,247.9,283.5
40.786102,-74.197571,3775,248.1,283.8
40.78679,-74.201348,3875,248.4,284.0
