lat,lon,alt,gs,track
32.539409,-94.318748,800,0.0,0.0
32.541229,-94.319879,900,81.4,332.2
32.542419,-94.321252,900,82.1,318.0
32.542603,-94.321692,900,82.4,303.1
32.542786,-94.322351,900,83.6,291.0
32.542969,-94.323395,1000,84.2,283.0
32.543015,-94.324164,1000,85.5,276.0
32.543198,-94.32746,1100,84.2,274.1
32.543243,-94.330096,1100,89.0,271.3
32.543243,-94.330536,1100,88.0,269.4
32.543198,-94.331305,1100,87.4,264.8
32.54306,-94.332129,1200,85.7,258.6
32.542831,-94.332788,1200,83.2,249.6
32.542511,-94.333392,1200,81.9,241.6
32.542191,-94.333942,1300,82.0,232.4
32.541641,-94.334546,1300,83.5,223.1
32.540955,-94.33504,1300,85.4,215.0
32.540176,-94.33548,1300,87.2,206.6
32.539078,-94.335974,1300,87.7,200.7
32.538254,-94.336249,1400,87.6,196.6
32.537155,-94.336469,1400,89.1,189.0
32.536285,-94.336523,1400,89.1,183.2
32.535278,-94.336414,1400,89.1,176.8
32.534317,-94.336249,1400,88.8,172.2
32.53157,-94.335699,1500,92.1,171.2
32.528824,-94.335205,1600,91.1,171.2
32.527588,-94.334985,1600,89.3,175.5
32.526352,-94.33493,1700,86.0,178.7
32.525757,-94.33493,1700,85.1,178.0
32.524979,-94.334875,1700,86.1,176.7
32.52356,-94.334601,1700,90.9,171.8
32.521912,-94.334216,1700,91.2,167.3
32.5215,-94.334106,1800,90.5,166.6
32.519806,-94.333557,1800,90.1,162.6
32.517838,-94.332733,1900,92.0,161.0
32.513443,-94.330975,2000,91.4,160.2
32.510422,-94.329712,2000,90.1,160.6
32.509598,-94.329327,2100,91.4,160.2
32.506851,-94.328119,2100,95.9,159.9
32.504745,-94.32724,2100,97.1,159.5
32.503876,-94.32702,2100,97.1,168.1
32.50296,-94.326965,2200,96.1,177.6
32.501633,-94.327075,2200,95.1,183.0
32.499893,-94.327405,2200,93.8,187.4
32.498932,-94.327625,2300,93.4,189.9
32.496506,-94.328284,2300,93.0,191.8
32.49527,-94.328723,2300,92.7,196.3
32.494492,-94.329108,2300,93.3,199.4
32.493668,-94.329547,2400,93.5,204.6
32.492112,-94.330463,2400,94.8,204.9
32.489412,-94.330799,2500,94.2,199.2
32.488481,-94.330519,2500,93.4,164.5
32.4814,-94.327625,2700,93.8,158.1
32.479797,-94.327075,2700,90.5,164.0
32.47728,-94.326361,2700,92.7,166.3
32.474579,-94.325702,2700,97.7,169.4
32.471924,-94.325262,2700,98.0,171.8
32.47142,-94.325153,2800,97.9,172.4
32.469818,-94.324768,2800,95.9,168.6
32.46817,-94.324219,2800,95.9,163.6
32.466888,-94.323669,2800,95.9,163.6
32.465195,-94.322736,2800,97.9,154.0
32.461713,-94.320598,2800,101.5,152.4
32.456406,-94.317347,2800,106.1,151.3
32.454824,-94.316282,2800,107.0,150.3
32.453064,-94.3151,2900,106.7,149.6
32.452822,-94.31488,2900,106.7,149.6
32.446152,-94.310431,2900,109.7,151.1
32.442999,-94.308322,2900,110.6,150.2
32.436127,-94.303564,3000,112.7,148.4
32.43071,-94.29969,3000,115.6,149.9
32.423767,-94.294226,3100,115.2,143.8
32.418839,-94.289825,3100,112.0,142.6
32.415848,-94.287085,3200,111.6,143.8
32.414742,-94.286237,3200,110.7,145.3
32.409296,-94.284668,3300,108.3,154.9
32.409016,-94.284668,3300,106.1,182.2
32.40509,-94.285492,3300,105.1,196.0
32.402527,-94.286536,3400,105.0,199.5
32.396587,-94.288984,3400,106.3,199.8
32.396118,-94.289172,3400,108.5,199.9
32.386551,-94.293237,3400,110.4,199.6
32.384064,-94.294365,3400,113.5,202.3
32.381882,-94.295599,3400,114.5,205.9
32.376104,-94.300082,3400,113.6,216.8
32.369934,-94.305762,3400,116.2,217.7
32.366235,-94.309387,3400,114.3,219.7
32.365082,-94.310541,3400,112.9,219.6
32.364652,-94.310957,3400,107.1,220.8
32.363674,-94.311966,3400,103.4,221.9
32.363162,-94.312582,3400,97.6,223.3
32.362511,-94.313311,3400,92.7,223.7
32.362015,-94.313837,3400,87.7,224.1
32.360648,-94.315329,3300,84.4,220.7
32.359857,-94.315945,3200,87.4,215.7
32.359497,-94.316199,3200,93.9,207.9
32.359314,-94.316309,3100,94.8,206.3
32.35881,-94.316583,3100,97.7,202.9
32.356567,-94.316913,2600,97.7,202.9
32.350547,-94.309892,1800,136.2,92.9
32.350662,-94.308673,1700,136.0,90.0
32.350891,-94.308014,1700,135.8,80.7
32.351166,-94.3073,1600,135.7,73.3
32.351669,-94.306421,1500,135.4,69.7
32.352127,-94.305817,1500,137.8,53.0
32.352356,-94.305487,1400,138.2,52.0
32.352539,-94.305157,1400,139.0,52.3
32.353409,-94.303564,1300,138.4,56.2
32.353912,-94.302136,1300,136.6,66.2
32.353958,-94.301752,1200,135.7,72.0
32.354004,-94.300708,1200,134.5,85.3
32.353958,-94.299994,1100,133.4,94.3
32.353638,-94.29884,1100,133.8,101.7
32.353363,-94.298181,1100,132.6,113.1
32.353043,-94.297632,1000,132.4,116.0
32.351898,-94.296423,900,131.8,125.7
32.350525,-94.295709,800,131.7,141.5
32.349564,-94.29549,700,131.6,155.8
32.347916,-94.295764,500,132.3,163.8
32.344345,-94.298346,400,132.4,190.9
32.344162,-94.298511,400,127.3,212.8
32.334229,-94.308728,500,127.3,212.8
32.334045,-94.308948,500,107.1,220.8
32.333725,-94.309222,600,107.1,220.8
32.331299,-94.311749,700,102.2,220.2
32.328827,-94.314166,700,98.0,220.0
32.328323,-94.314661,800,97.7,222.5
32.327042,-94.316034,800,98.4,222.9
32.325897,-94.317352,800,100.5,222.6
32.324066,-94.319385,800,105.4,224.6
32.32251,-94.321307,800,105.5,227.7
32.318253,-94.327515,900,107.0,228.4
32.318161,-94.328064,900,105.4,236.6
32.318024,-94.328888,900,104.4,249.8
32.317978,-94.329492,900,105.4,265.1
32.317978,-94.33092,900,106.0,270.0
32.317932,-94.332623,900,105.2,266.7
32.317703,-94.333777,900,104.9,259.0
32.317429,-94.334546,900,104.4,251.6
32.316879,-94.335754,1000,102.4,242.7
32.316513,-94.336469,1000,101.0,236.3
32.315826,-94.337292,1000,100.7,229.0
32.314957,-94.338226,1000,101.2,222.2
32.314224,-94.33894,1000,101.4,220.6
32.311935,-94.340918,1100,106.2,217.7
32.307632,-94.344763,1100,108.0,216.3
32.305252,-94.346741,1100,108.5,214.9
32.304245,-94.347565,1100,109.0,215.3
32.30397,-94.347784,1200,107.6,215.2
32.300903,-94.350256,1300,103.2,213.5
32.298981,-94.351959,1300,99.2,217.2
32.298111,-94.352783,1400,96.5,220.0
32.296692,-94.354321,1400,94.8,222.4
32.295456,-94.355804,1400,96.3,227.5
32.294861,-94.356683,1500,96.5,230.0
32.294037,-94.358112,1500,98.2,236.6
32.293488,-94.35932,1500,97.5,243.2
32.293259,-94.360199,1500,97.7,247.1
32.292938,-94.361517,1500,98.8,254.1
32.292389,-94.36322,1500,98.8,248.6
32.291977,-94.364264,1500,98.5,246.0
32.291611,-94.364923,1600,98.6,239.5
32.29097,-94.365912,1600,98.2,231.6
32.290421,-94.366571,1600,98.3,225.4
32.289642,-94.36723,1600,98.9,218.8
32.288727,-94.367889,1600,98.5,209.2
32.287674,-94.368384,1600,98.5,204.0
32.286987,-94.368604,1600,98.7,193.5
32.285706,-94.368713,1700,100.6,186.3
32.279205,-94.36745,1800,100.6,186.3
32.278931,-94.36734,1800,100.6,186.3
32.278244,-94.36712,1800,102.2,163.5
32.273987,-94.365527,1900,99.3,163.0
32.273254,-94.365088,1900,96.2,153.4
32.272568,-94.364539,1900,95.2,148.3
32.271881,-94.36377,1900,94.8,142.3
32.271561,-94.36333,1900,96.4,130.8
32.270737,-94.361298,1900,100.7,117.8
32.270599,-94.360199,1900,103.8,100.6
32.270599,-94.35899,1900,105.2,93.3
32.270828,-94.357892,1900,107.2,81.4
32.271194,-94.356958,1900,106.9,79.2
32.273117,-94.354431,1900,108.5,70.1
32.273804,-94.353937,1900,108.4,37.5
32.275365,-94.353052,2000,103.0,24.1
32.277413,-94.352211,2000,101.8,22.5
32.282867,-94.350476,2200,93.2,9.3
32.284582,-94.35025,2300,91.4,5.0
32.287033,-94.350092,2300,93.3,4.3
32.297195,-94.349982,2300,105.1,357.3
32.298981,-94.350146,2300,105.1,357.3
32.304428,-94.3513,2400,102.9,344.2
32.305577,-94.351763,2500,102.9,344.2
32.305984,-94.352014,2500,102.9,344.2
32.321545,-94.4086,2700,0.0,0.0
32.322429,-94.4123,2800,0.0,0.0
32.322922,-94.419031,2700,118.7,299.8
32.324524,-94.422782,2800,114.2,290.5
32.324615,-94.423096,2800,114.2,290.5
32.325269,-94.437187,2500,127.1,268.2
32.325176,-94.438308,2400,126.2,266.8
32.33313,-94.485278,2400,0.0,0.0
32.335883,-94.495875,2400,113.9,286.8
32.339218,-94.51214,2400,114.8,280.0
32.340408,-94.520215,2400,113.0,280.7
32.340637,-94.521478,2400,113.4,281.7
32.353912,-94.582617,2300,0.0,0.0
32.35199,-94.592505,2400,114.0,248.4
32.351059,-94.594864,2400,112.7,243.7
32.350342,-94.59646,2400,110.6,240.2
32.348969,-94.598932,2400,111.5,237.4
32.347458,-94.601569,2400,112.1,237.0
32.34496,-94.606691,2400,117.9,257.3
32.344448,-94.610502,2400,117.9,259.7
32.343238,-94.619078,2400,116.7,260.1
32.342772,-94.621601,2400,115.4,256.0
32.341469,-94.626589,2400,116.1,251.4
32.340134,-94.630737,2400,115.5,249.2
32.336302,-94.64234,2400,117.0,250.0
32.335324,-94.645815,2300,120.2,253.1
32.334641,-94.64903,2300,121.8,255.7
32.332391,-94.658708,2300,120.1,257.0
32.332019,-94.660725,2300,116.3,258.6
32.331786,-94.662127,2400,112.0,259.2
