lat,lon,alt,gs,track
31.268638,-89.253094,-50.0,0.0,0.0
31.268612,-89.253172,-50.0,0.0,0.0
31.268761,-89.253334,-50.0,4.2,0.0
31.268394,-89.253401,-50.0,1.9,0.0
31.268383,-89.253253,-50.0,0.0,0.0
31.268314,-89.25328,-50.0,0.0,0.0
31.26836,-89.25328,-50.0,0.0,0.0
31.26844,-89.253253,-50.0,1.9,0.0
31.268703,-89.253441,-50.0,0.9,0.0
31.268589,-89.253468,-50.0,0.0,0.0
31.268337,-89.253468,-50.0,4.2,0.0
31.268314,-89.253859,-50.0,7.2,270.0
31.268314,-89.25398,-50.0,7.2,264.4
31.268337,-89.254128,-50.0,7.2,261.6
31.268337,-89.254168,-50.0,7.2,250.3
31.268314,-89.254263,-50.0,7.2,244.7
31.268269,-89.254236,-50.0,9.2,258.8
31.268314,-89.254411,-50.0,7.2,247.5
31.268211,-89.254438,-50.0,9.2,213.8
31.268211,-89.254478,-50.0,8.2,219.4
31.268166,-89.254586,-50.0,7.2,227.8
31.268074,-89.254626,-50.0,7.2,225.0
31.26804,-89.254666,-50.0,8.2,202.5
31.267925,-89.254666,-50.0,7.2,185.6
31.267879,-89.254653,-50.0,7.2,174.4
31.267868,-89.254707,-50.0,6.2,165.9
31.267776,-89.254693,-50.0,4.2,160.3
31.267696,-89.254599,-50.0,6.2,149.1
31.267651,-89.254586,-50.0,6.2,135.0
31.267502,-89.254438,-50.0,5.2,135.0
31.267433,-89.25433,-50.0,7.2,129.4
31.267181,-89.25398,-50.0,11.2,129.4
31.266895,-89.253616,-50.0,15.5,129.4
31.266644,-89.25328,-50.0,15.5,129.4
31.266449,-89.252997,-50.0,17.5,129.4
31.266163,-89.252633,-50.0,17.5,129.4
31.265911,-89.25227,-50.0,16.5,129.4
31.265614,-89.251906,-50.0,15.5,129.4
31.265373,-89.251583,-50.0,14.2,126.6
31.265076,-89.251233,-50.0,14.2,126.6
31.264778,-89.250897,-50.0,13.2,126.6
31.264687,-89.250722,-50.0,13.2,129.4
31.264561,-89.250574,-50.0,12.2,135.0
31.264446,-89.250439,-50.0,7.2,135.0
31.264435,-89.250358,-50.0,11.2,154.7
31.264275,-89.25025,-50.0,10.2,165.9
31.264149,-89.250223,-50.0,10.2,171.6
31.264023,-89.250183,-50.0,4.2,171.6
31.264046,-89.250223,-50.0,8.2,185.6
31.263931,-89.25025,-50.0,8.2,210.9
31.26392,-89.25025,-50.0,8.2,216.6
31.263783,-89.250479,-50.0,8.2,219.4
31.263531,-89.250587,-50.0,9.2,247.5
31.263577,-89.250654,-50.0,10.2,255.9
31.263588,-89.250789,-50.0,9.2,261.6
31.263588,-89.250829,-50.0,10.2,275.6
31.263588,-89.250951,-50.0,9.2,278.4
31.263611,-89.251018,-50.0,10.2,289.7
31.263657,-89.251126,-50.0,11.2,300.9
31.263702,-89.251233,-50.0,12.2,306.6
31.263931,-89.251637,-50.0,15.5,306.6
31.264194,-89.251987,-50.0,17.5,309.4
31.264435,-89.252324,-50.0,18.5,309.4
31.264687,-89.252687,-50.0,19.5,306.6
31.26495,-89.25301,-50.0,19.5,309.4
31.265202,-89.253361,-50.0,19.5,309.4
31.265442,-89.253684,-50.0,19.5,309.4
31.265671,-89.254007,-50.0,18.5,309.4
31.26598,-89.25437,-50.0,18.5,309.4
31.266209,-89.254693,-50.0,18.5,309.4
31.266472,-89.25503,-50.0,18.5,309.4
31.266747,-89.25542,-50.0,18.5,309.4
31.267021,-89.255811,-50.0,18.5,309.4
31.267262,-89.256121,-50.0,18.5,309.4
31.267525,-89.256471,-50.0,17.5,306.6
31.267776,-89.256834,-50.0,18.5,309.4
31.267948,-89.257023,-50.0,16.5,320.6
31.268074,-89.25713,-50.0,19.5,306.6
31.268246,-89.257346,-50.0,19.5,309.4
31.268532,-89.257709,-50.0,18.5,309.4
31.268761,-89.258032,-50.0,18.5,306.6
31.269024,-89.258382,-50.0,18.5,306.6
31.269321,-89.258773,-50.0,17.5,306.6
31.269585,-89.259136,-50.0,16.5,309.4
31.269791,-89.259433,-50.0,14.2,306.6
31.269962,-89.259688,-50.0,11.2,323.4
31.270111,-89.259823,-50.0,10.2,326.2
31.270283,-89.259931,-50.0,7.2,337.5
31.270374,-89.259944,-50.0,4.2,345.9
31.27042,-89.259944,-50.0,2.2,345.9
31.270523,-89.260079,-50.0,5.2,345.9
31.2705,-89.260092,-50.0,6.2,213.8
31.270454,-89.260146,-50.0,6.2,180.0
31.270397,-89.260092,-50.0,9.2,160.3
31.270306,-89.260079,-50.0,12.2,140.6
31.27018,-89.260012,-50.0,16.5,135.0
31.270054,-89.259877,-50.0,22.5,129.4
31.269985,-89.259796,-50.0,25.5,129.4
31.269905,-89.259688,-50.0,28.5,129.4
31.269836,-89.259581,-50.0,33.5,129.4
31.269733,-89.259433,-50.0,36.5,129.4
31.269619,-89.259285,-50.0,44.5,129.4
31.269344,-89.258934,-50.0,47.5,129.4
31.269218,-89.258746,-50.0,52.5,129.4
31.2686,-89.25783,400,59.6,130.9
31.268143,-89.257292,400,66.0,130.7
31.267502,-89.25643,400,71.6,131.0
31.267044,-89.255838,400,75.7,132.3
31.266769,-89.255461,500,79.3,131.9
31.264252,-89.252176,600,77.9,131.9
31.263428,-89.251152,600,85.0,132.1
31.262512,-89.24986,600,87.2,130.8
31.262238,-89.249429,600,78.0,130.8
31.261917,-89.249052,700,85.0,131.2
31.261322,-89.248352,700,90.6,133.2
31.260223,-89.246952,700,87.1,131.7
31.259171,-89.245659,800,85.6,134.5
31.257751,-89.243882,800,87.1,131.7
31.257339,-89.243451,900,88.4,127.7
31.256973,-89.242697,900,88.2,123.0
31.25647,-89.241782,900,85.9,114.8
31.256195,-89.240058,1000,87.4,105.9
31.256149,-89.239628,1000,89.9,98.3
31.256104,-89.238658,1000,91.0,90.6
31.256241,-89.237204,1100,92.2,80.6
31.256516,-89.235589,1100,95.3,74.8
31.256836,-89.234619,1100,98.1,69.7
31.257294,-89.23365,1100,99.3,63.7
31.258301,-89.231873,1200,100.7,55.5
31.259171,-89.230634,1200,99.8,52.3
31.259857,-89.229826,1200,99.0,45.0
31.261276,-89.228372,1300,100.5,42.6
31.2621,-89.227726,1300,102.6,33.1
31.263382,-89.226864,1300,106.0,27.5
31.264755,-89.226164,1300,106.9,26.1
31.266678,-89.22541,1300,108.8,18.8
31.268188,-89.224979,1400,110.1,13.7
31.269241,-89.224818,1400,113.0,7.6
31.270798,-89.224656,1400,114.2,3.0
31.273499,-89.22471,1400,114.0,359.0
31.273956,-89.22471,1500,114.1,357.5
31.27771,-89.225087,1500,112.4,354.9
31.281418,-89.225572,1500,117.0,352.6
31.284073,-89.22611,1600,116.7,350.1
31.286865,-89.22681,1600,116.0,347.0
31.290527,-89.227941,1700,117.4,344.2
31.295242,-89.229503,1800,116.5,344.0
31.302155,-89.231926,1900,121.5,342.8
31.305908,-89.23338,1900,121.8,340.8
31.308014,-89.23435,1900,122.0,337.9
31.310074,-89.235481,2000,120.7,333.4
31.312546,-89.237043,2000,121.4,329.9
31.316071,-89.239412,2100,122.5,329.0
31.319962,-89.242159,2100,122.5,329.0
31.343582,-89.259931,2300,0.0,0.0
31.348022,-89.272587,2400,116.9,311.2
31.348022,-89.277649,2400,115.5,275.5
31.347748,-89.279588,2400,118.8,263.2
31.347427,-89.281473,2400,119.2,258.9
31.346741,-89.284596,2400,118.6,255.9
31.34642,-89.285781,2400,118.0,251.7
