lat,lon,alt,gs,track,vs
37.512543,-77.325517,-25,160.1,14.5,1408
37.514866,-77.324763,50,162.0,14.3,1536
37.515518,-77.324582,75,167.1,14.2,1856
37.517349,-77.323998,175,171.5,14.5,2176
37.519148,-77.323389,275,175.4,14.2,2368
37.520828,-77.322888,350,179.5,14.2,2304
37.523117,-77.322128,450,184.4,15.1,2240
37.524874,-77.321419,550,185.3,17.3,2432
37.526917,-77.320492,650,188.9,20.5,2560
37.529111,-77.319329,750,192.5,23.9,2304
37.531206,-77.317956,825,197.4,28.8,2112
37.533068,-77.316523,925,199.4,33.1,2112
37.535023,-77.314732,1025,202.9,38.4,2240
37.536758,-77.312719,1125,203.7,44.2,2496
37.53804,-77.310908,1225,204.8,48.8,2688
37.539368,-77.308629,1325,206.4,55.5,2816
37.54033,-77.306671,1425,206.7,59.5,2880
37.540935,-77.305178,1525,207.1,63.3,3072
37.541866,-77.302492,1625,206.5,68.4,3264
37.542343,-77.300798,1700,206.7,69.0,3328
37.542709,-77.29922,1800,206.2,71.9,3456
37.543076,-77.297584,1900,206.7,74.3,3584
37.543495,-77.295565,1975,206.9,75.2,3520
37.543762,-77.294312,2050,208.8,75.3,3328
37.54424,-77.292043,2125,211.7,75.5,2880
37.544473,-77.290848,2150,213.9,75.4,2432
37.544892,-77.288878,2200,216.4,75.0,1984
37.545227,-77.287299,2225,219.3,75.2,1536
37.546009,-77.283683,2275,223.7,75.0,1088
37.546463,-77.281514,2300,226.8,74.9,768
37.547126,-77.278549,2325,230.9,74.9,640
37.547836,-77.275261,2350,235.1,75.0,640
37.548798,-77.270703,2400,239.2,75.0,1024
37.549361,-77.268159,2475,240.1,75.0,1216
37.54964,-77.266786,2500,240.1,75.0,1664
37.550171,-77.264216,2550,239.2,75.0,2112
37.550432,-77.263024,2600,238.5,74.7,2560
37.550949,-77.260768,2700,238.2,74.9,2944
37.551315,-77.258898,2775,237.2,74.8,3008
37.55191,-77.25621,2875,236.3,74.8,3136
37.552368,-77.254106,2975,236.5,74.6,3200
37.552963,-77.251477,3075,235.6,74.5,3200
37.553551,-77.248933,3175,234.9,74.2,3200
37.554108,-77.246451,3275,234.2,73.9,3136
37.554761,-77.243739,3375,233.8,73.3,3136
37.555344,-77.24125,3475,232.8,73.3,3008
37.555971,-77.238544,3575,232.8,73.3,3072
37.556623,-77.235977,3675,231.6,73.4,3072
37.557089,-77.233887,3775,231.6,73.4,3072
37.557678,-77.231432,3850,231.5,74.5,3072
37.55809,-77.229329,3950,231.6,75.2,3008
37.558548,-77.226699,4050,232.4,78.8,2880
37.558904,-77.223318,4150,233.6,83.4,2496
37.559052,-77.21992,4250,235.1,88.1,2240
37.558904,-77.215915,4325,237.4,93.1,1984
37.558485,-77.211795,4400,240.4,99.6,1728
37.557632,-77.207531,4500,242.9,105.5,1664
37.556488,-77.203499,4600,247.0,111.4,1664
37.554932,-77.199291,4675,249.1,117.0,1728
37.553225,-77.195673,4775,251.3,122.5,1856
37.551037,-77.191852,4875,252.6,127.3,2048
37.549035,-77.188986,4975,252.8,131.9,2304
37.546967,-77.186377,5075,253.2,136.0,2560
37.545497,-77.184687,5175,252.8,138.1,2752
37.543259,-77.182344,5275,254.7,141.4,2624
37.540558,-77.179832,5375,256.7,144.5,2240
37.53772,-77.177611,5450,257.8,148.2,1920
37.534744,-77.175683,5550,261.2,153.6,1664
37.530487,-77.173462,5625,265.0,158.8,1600
37.526962,-77.171943,5725,267.6,162.4,1664
37.522888,-77.17054,5825,269.7,165.4,1856
37.519958,-77.169605,5925,270.7,166.3,2048
37.516251,-77.168553,6025,271.9,167.0,2048
37.512543,-77.167501,6125,274.4,167.6,1920
37.508057,-77.166274,6225,277.3,167.7,1664
37.502975,-77.164872,6325,281.5,167.7,1600
37.497967,-77.163491,6425,284.8,167.4,1472
37.493312,-77.162177,6525,288.0,167.4,1600
37.488464,-77.160781,6625,290.1,167.3,1728
37.484528,-77.159671,6725,291.1,167.3,1984
37.48172,-77.158893,6825,290.9,167.5,2368
37.479114,-77.158177,6925,290.9,167.5,2688
37.473574,-77.156624,7125,290.9,167.5,2944
37.468313,-77.155191,7325,294.1,167.4,3008
37.46296,-77.153698,7525,295.0,167.5,3200
37.458165,-77.152325,7725,296.0,167.5,3456
37.453324,-77.151012,7925,297.0,167.6,3456
37.44932,-77.149877,8125,297.0,167.6,3520
37.445114,-77.148743,8325,298.0,167.6,3520
37.440262,-77.14734,8525,300.1,167.5,3520
37.435364,-77.145996,8725,301.3,167.4,3456
37.430969,-77.144769,8900,302.3,167.4,3520
37.426742,-77.143608,9100,303.3,167.4,3520
37.42218,-77.142315,9300,304.2,167.5,3520
37.417236,-77.140912,9500,305.4,167.3,3520
37.412916,-77.139727,9700,307.6,167.2,3520
37.407656,-77.138234,9900,309.6,167.3,3456
37.403,-77.13688,10100,310.5,167.4,3456
37.397644,-77.135419,10300,312.5,167.4,3520
37.393551,-77.134234,10475,313.7,167.3,3520
37.389826,-77.133219,10625,315.9,167.2,3520
37.385422,-77.131971,10825,317.8,167.3,3328
37.379013,-77.130159,11025,322.7,167.5,3008
