lat,lon,alt,gs,track
41.192062,-112.010469,-50.0,8.2,0.0
41.192448,-112.010468,-50.0,10.2,0.0
41.192642,-112.010986,-50.0,11.2,0.0
41.192619,-112.011337,-50.0,12.2,0.0
41.192596,-112.012024,-50.0,13.2,0.0
41.192425,-112.012375,-50.0,13.2,0.0
41.192139,-112.012756,-50.0,14.2,0.0
41.191818,-112.013123,-50.0,15.5,0.0
41.191418,-112.013336,-50.0,16.5,0.0
41.191006,-112.013382,-50.0,17.5,0.0
41.190594,-112.013397,-50.0,18.5,0.0
41.190147,-112.013397,-50.0,19.5,0.0
41.189758,-112.013397,-50.0,19.5,0.0
41.186691,-112.013535,-50.0,8.2,0.0
41.186474,-112.013916,-50.0,5.2,0.0
41.186737,-112.014084,-50.0,2.2,0.0
41.18684,-112.014847,-50.0,10.2,0.0
41.186909,-112.014877,-50.0,10.2,0.0
41.189209,-112.014923,-50.0,51.5,0.0
41.191086,-112.014954,4300,51.5,0.0
41.19191,-112.014954,4300,66.0,0.0
41.192917,-112.014954,4300,71.0,0.8
41.193329,-112.014954,4400,70.0,359.2
41.195984,-112.014954,4400,69.0,0.8
41.197083,-112.014893,4500,67.1,2.6
41.198135,-112.014832,4500,66.0,0.0
41.199051,-112.014893,4500,70.0,358.4
41.200104,-112.014954,4500,71.1,356.8
41.200195,-112.015015,4600,71.2,356.0
41.201202,-112.015015,4600,67.0,359.1
41.202484,-112.014954,4600,66.1,3.5
41.20372,-112.014893,4700,67.0,1.7
41.204361,-112.014893,4700,70.0,0.8
41.205002,-112.014893,4700,73.0,0.0
41.2061,-112.015015,4700,72.3,354.5
41.20665,-112.015198,4700,70.6,344.4
41.207336,-112.015564,4800,68.9,336.0
41.207886,-112.016052,4800,69.6,327.9
41.208389,-112.016602,4800,70.2,319.0
41.208939,-112.017395,4800,71.5,313.3
41.210266,-112.019409,4800,71.6,311.0
41.211227,-112.021057,4900,70.0,306.9
41.212234,-112.022949,4900,70.7,303.5
41.213287,-112.025269,4900,74.4,300.7
41.214523,-112.028137,5000,77.2,301.2
41.21553,-112.030457,5000,74.7,297.9
41.216721,-112.033447,5100,73.8,298.3
41.218552,-112.038025,5200,72.5,298.0
41.219238,-112.040039,5200,70.3,294.4
41.219833,-112.04187,5300,70.4,292.6
41.220291,-112.043274,5300,71.7,293.0
41.220703,-112.044617,5300,75.8,292.5
41.221024,-112.045532,5300,79.3,293.0
41.221298,-112.046387,5300,81.0,294.0
41.222031,-112.048706,5400,78.6,291.7
41.222305,-112.049988,5400,77.5,287.3
41.223083,-112.053345,5400,81.7,284.9
