lat,lon,alt,gs,track,vs
32.569656,-85.442816,1925,78.4,185.9,320
32.56778,-85.443091,2000,76.7,187.5,832
32.565246,-85.443533,2075,76.7,187.5,512
32.564221,-85.443925,2075,83.9,201.7,320
32.563151,-85.44499,2100,92.6,224.6,448
32.562359,-85.446279,2125,96.0,231.3,448
32.562033,-85.44712,2125,102.0,244.4,192
32.561691,-85.44809,2175,102.0,244.4,192
32.561417,-85.448969,2175,104.5,248.1,704
32.560497,-85.451996,2200,107.2,250.4,384
32.559566,-85.45536,2275,106.9,252.6,704
32.559194,-85.457097,2300,108.9,259.4,512
32.559147,-85.458555,2325,111.0,269.0,320
32.559586,-85.461273,2350,113.8,280.1,320
32.559998,-85.462482,2350,116.6,292.2,384
32.560501,-85.463745,2375,116.8,294.8,384
32.561554,-85.465558,2400,117.1,304.9,576
32.562241,-85.466547,2425,117.8,307.1,512
32.563156,-85.46759,2425,116.7,315.4,448
32.564408,-85.468756,2450,116.7,321.3,192
32.566409,-85.470494,2500,116.0,324.1,512
32.569575,-85.473128,2600,111.8,324.5,960
32.572769,-85.475885,2675,110.4,324.6,512
32.576614,-85.479016,2750,110.7,325.3,512
32.580276,-85.481927,2825,111.8,326.3,576
32.58197,-85.483136,2850,113.3,331.0,320
32.583023,-85.483685,2850,113.5,337.7,0
32.584285,-85.484115,2850,113.5,337.7,0
32.586054,-85.484507,2875,113.2,348.8,192
32.587097,-85.484894,2900,112.6,343.5,704
32.588837,-85.485718,2950,112.4,339.1,832
32.589523,-85.486212,2975,111.4,332.7,896
32.590337,-85.486861,3000,111.2,326.7,960
32.591641,-85.48787,3025,110.7,327.2,576
32.592991,-85.488711,3025,110.5,333.7,128
32.594971,-85.489948,3100,108.7,332.0,512
32.595428,-85.490387,3125,104.6,324.3,1216
32.596808,-85.49213,3225,100.4,308.1,1280
32.597305,-85.493134,3250,99.6,301.5,1024
32.597946,-85.494617,3250,103.3,295.8,128
32.599823,-85.499615,3300,107.0,293.7,448
32.601471,-85.50434,3375,107.7,291.8,576
32.602906,-85.508666,3475,107.3,291.3,640
32.604536,-85.513486,3550,107.7,291.8,512
32.606072,-85.518307,3650,108.1,292.3,512
32.606735,-85.519995,3675,107.4,297.8,512
32.607562,-85.521502,3700,107.9,302.5,640
32.608521,-85.523126,3725,108.0,306.3,640
32.609711,-85.524719,3775,108.5,310.9,512
32.610718,-85.525873,3800,108.2,316.1,512
32.611984,-85.527107,3825,107.4,321.4,448
32.61351,-85.528345,3850,106.8,326.5,576
32.614824,-85.529237,3875,105.6,331.7,576
32.61636,-85.530078,3925,104.7,335.1,704
32.617584,-85.530597,3950,103.7,340.9,384
32.619479,-85.531255,3975,103.6,344.9,512
32.62207,-85.531915,4025,104.1,348.4,320
32.623947,-85.532245,4050,102.7,353.3,448
32.625717,-85.532376,4075,102.2,356.6,512
32.628159,-85.53241,4150,100.0,0.0,576
32.632327,-85.532264,4225,99.0,1.7,448
32.633584,-85.532264,4225,103.0,1.7,128
32.635912,-85.532208,4225,107.0,0.5,64
32.638733,-85.53219,4225,111.0,0.0,0
32.642196,-85.532208,4225,114.0,0.0,0
32.648667,-85.532096,4225,117.0,1.0,64
32.65579,-85.531816,4275,116.1,2.0,128
32.65686,-85.531759,4275,116.0,1.5,256
32.657698,-85.531816,4275,117.3,356.1,192
32.658816,-85.532096,4275,120.3,346.5,-64
32.659927,-85.532629,4275,123.6,336.1,64
32.662582,-85.534167,4300,123.2,336.6,0
32.663681,-85.534497,4275,122.0,345.3,-320
32.665054,-85.534562,4275,118.0,359.0,0
32.665798,-85.534506,4300,116.3,4.0,128
32.671371,-85.533728,4375,112.4,5.1,256
32.674876,-85.533441,4350,111.2,3.1,-64
32.676924,-85.533441,4350,111.0,359.5,0
32.679718,-85.533553,4350,106.1,357.3,-128
32.680881,-85.533609,4350,105.1,357.3,-192
32.681999,-85.533665,4325,100.2,356.6,-64
32.68309,-85.533783,4350,97.2,356.5,0
32.684187,-85.533889,4325,93.3,355.7,0
32.685164,-85.534002,4325,87.4,354.8,-64
32.686142,-85.534114,4325,82.5,353.7,64
32.687399,-85.534282,4350,75.7,352.4,192
32.688749,-85.534506,4350,70.9,351.1,0
32.693031,-85.535403,4300,73.2,349.8,-64
32.699595,-85.536804,4325,72.2,349.6,64
32.704193,-85.537848,4325,73.5,348.2,64
32.707463,-85.53871,4350,72.8,347.3,64
32.710739,-85.539661,4350,74.2,346.0,-64
32.713235,-85.540392,4350,75.0,346.9,-128
32.714399,-85.54056,4350,72.4,353.7,0
32.716187,-85.540594,4350,69.1,2.5,64
32.717239,-85.540448,4350,67.6,7.7,0
32.717937,-85.540279,4350,66.7,13.0,-128
32.718704,-85.53999,4350,66.1,17.6,-64
32.719333,-85.539663,4350,65.6,21.5,-64
32.719986,-85.539276,4350,64.0,27.0,-64
32.721056,-85.53843,4325,62.4,31.9,-64
32.721405,-85.538013,4325,60.3,40.3,-64
32.721754,-85.537589,4325,58.7,45.7,0
32.722275,-85.536914,4350,55.6,52.3,64
32.722778,-85.53587,4350,54.6,55.4,64
32.723011,-85.535291,4350,53.2,62.0,64
32.723151,-85.534786,4350,50.6,71.6,0
32.723282,-85.534222,4350,48.3,76.8,64
32.723328,-85.533728,4350,46.4,82.6,64
32.723337,-85.533273,4350,45.0,88.7,128
32.723282,-85.532794,4350,43.3,96.6,128
32.723151,-85.532096,4375,43.2,103.4,64
32.723053,-85.53175,4350,42.1,108.0,0
32.72287,-85.531366,4350,42.5,113.6,0
32.722595,-85.530817,4350,43.1,120.7,0
32.72208,-85.530134,4350,43.2,132.2,0
32.721754,-85.529798,4375,41.9,139.8,0
32.721289,-85.529405,4375,42.4,145.6,192
32.720947,-85.529224,4375,41.6,155.9,128
32.720544,-85.529069,4375,42.7,163.7,128
32.720123,-85.528949,4400,43.6,170.8,64
32.719299,-85.529004,4375,44.2,174.8,64
32.718796,-85.529059,4375,47.5,188.5,-64
32.718155,-85.529224,4375,48.7,189.5,-64
32.717611,-85.529461,4375,50.3,197.4,0
32.717148,-85.529718,4375,52.0,202.6,0
32.716415,-85.530157,4400,53.2,208.0,64
32.716028,-85.530414,4400,53.3,210.4,64
32.715408,-85.530927,4400,54.4,216.0,64
32.714722,-85.531586,4375,56.1,219.9,-192
32.714259,-85.532208,4375,59.5,227.7,-192
32.71376,-85.533014,4375,61.6,234.2,-64
32.713486,-85.533563,4375,62.7,241.4,0
32.713257,-85.534222,4375,65.0,247.4,0
32.713095,-85.534898,4375,67.4,251.8,-64
32.712936,-85.535596,4375,68.4,254.7,-64
32.712816,-85.536412,4375,70.0,260.1,-64
32.712723,-85.537421,4375,71.3,264.4,0
32.712753,-85.538837,4375,73.0,270.0,0
32.712816,-85.539831,4375,75.4,276.1,-64
32.713028,-85.541144,4350,77.9,282.6,-128
32.713394,-85.542572,4350,80.4,286.6,-128
32.713887,-85.544035,4350,82.1,292.2,-128
32.714539,-85.545483,4350,81.8,296.9,-64
32.714722,-85.545923,4325,81.8,296.9,-64
32.714911,-85.546389,4300,84.1,296.9,-640
32.715097,-85.546894,4275,86.3,295.4,-1024
32.715563,-85.548295,4200,91.2,291.2,-1280
32.715889,-85.549584,4150,95.9,286.4,-1344
32.716121,-85.551154,4100,96.8,283.8,-1344
32.716168,-85.551994,4075,96.6,276.5,-896
32.716187,-85.553284,4075,92.0,269.4,-576
32.716121,-85.554405,4050,88.5,264.2,-384
32.715842,-85.55603,4025,87.0,261.4,-512
32.715591,-85.556854,4000,82.2,251.6,-448
32.715283,-85.5576,4000,79.7,246.3,-576
32.714905,-85.558447,3975,76.7,239.4,-576
32.714447,-85.559161,3950,73.6,233.3,-576
32.713933,-85.55973,3925,71.5,226.7,-576
32.713421,-85.560178,3900,69.2,217.4,-768
32.712936,-85.560535,3875,66.2,206.9,-768
32.712479,-85.560699,3825,64.6,201.8,-832
32.712118,-85.560851,3825,63.1,194.7,-832
32.71142,-85.560907,3800,61.2,184.7,-768
32.710556,-85.560809,3750,59.7,171.3,-896
32.70993,-85.560571,3725,59.7,171.3,-896
32.709511,-85.560402,3700,58.2,155.6,-768
32.708771,-85.559821,3650,55.2,144.6,-576
32.708394,-85.559449,3650,54.8,141.7,-576
32.707649,-85.558384,3600,54.4,126.0,-640
32.707323,-85.557768,3550,54.4,126.0,-640
32.707137,-85.557319,3525,57.2,117.0,-896
32.706894,-85.556635,3500,58.9,110.9,-960
32.706764,-85.55603,3475,58.9,110.9,-960
32.706665,-85.555371,3450,59.7,103.6,-832
32.706625,-85.554853,3425,60.4,96.7,-768
32.706764,-85.553452,3400,62.7,81.7,-640
32.706997,-85.552387,3350,64.8,76.6,-640
32.707214,-85.551746,3325,67.8,68.4,-896
32.707835,-85.550425,3275,70.8,59.5,-768
32.708161,-85.549977,3275,72.0,52.3,-576
32.708952,-85.548912,3250,72.9,47.8,-448
32.709778,-85.5479,3200,73.6,46.1,-640
32.710861,-85.546613,3150,73.5,45.0,-640
32.712204,-85.545209,3100,74.3,42.3,-640
32.713328,-85.544147,3050,75.8,36.4,-576
32.714218,-85.543506,3025,76.9,32.2,-640
32.715912,-85.542627,2975,79.2,26.2,-576
32.71682,-85.542353,2950,81.8,12.0,-512
32.717983,-85.542185,2925,83.5,6.2,-640
32.719427,-85.542129,2875,86.0,0.7,-640
32.72049,-85.542242,2850,88.2,356.1,-704
32.721405,-85.542407,2825,89.8,352.3,-704
32.72222,-85.542634,2800,91.0,348.0,-896
32.723419,-85.543066,2750,93.7,343.9,-704
32.724472,-85.543506,2725,94.6,340.2,-832
32.727493,-85.545209,2650,94.4,332.9,-704
32.729016,-85.546221,2625,97.4,328.4,-704
32.730377,-85.547516,2650,99.0,316.6,640
32.731613,-85.549164,2700,98.5,311.3,768
32.732461,-85.550705,2700,100.2,306.1,640
32.732973,-85.551658,2725,102.9,302.3,128
32.735229,-85.55603,2800,105.8,300.7,512
32.73674,-85.559271,2875,104.2,298.0,704
32.738466,-85.563429,2950,104.2,295.6,576
32.739441,-85.566138,3000,105.9,292.2,448
32.741353,-85.572005,3100,106.8,292.0,448
32.742508,-85.575916,3125,111.9,288.8,192
32.743075,-85.577947,3175,111.6,288.3,448
32.74411,-85.581958,3250,111.0,287.3,640
32.745026,-85.585748,3300,111.6,284.5,448
32.745542,-85.588373,3300,115.0,283.1,64
32.746262,-85.59256,3300,117.1,280.8,64
32.746536,-85.594977,3325,115.7,276.5,448
32.746753,-85.598406,3350,114.2,273.5,128
32.747032,-85.605245,3350,117.1,272.0,-64
32.747131,-85.607666,3325,121.1,271.9,-320
32.747265,-85.610738,3325,124.3,273.7,-128
32.747726,-85.6203,3325,129.1,272.7,0
32.747498,-85.621556,3350,121.3,256.6,256
32.747218,-85.622341,3375,117.0,251.6,576
32.746994,-85.622827,3375,111.4,243.9,832
32.745941,-85.624365,3475,111.4,243.9,832
32.744611,-85.625199,3575,111.4,243.9,832
32.744156,-85.625299,3600,70.9,196.4,1536
32.743913,-85.625311,3625,65.8,188.8,1600
32.743029,-85.625199,3700,54.1,163.9,1152
32.74261,-85.624919,3725,54.1,163.9,1152
32.742416,-85.624695,3750,50.0,143.1,960
32.742237,-85.624302,3775,48.8,118.1,704
32.742097,-85.623798,3800,48.7,109.2,768
32.742233,-85.622498,3850,49.8,79.6,704
32.742371,-85.621893,3875,48.8,74.5,768
32.74261,-85.621051,3900,47.8,70.4,512
32.742982,-85.620042,3950,47.9,66.6,576
32.743401,-85.618921,3950,50.6,65.5,384
32.743561,-85.618488,3950,54.2,67.2,-128
32.743927,-85.617334,3950,58.2,70.9,128
32.744385,-85.615631,3975,62.6,73.3,256
32.744705,-85.614203,4000,66.0,76.0,128
32.745123,-85.612195,4000,74.2,76.0,-64
32.745575,-85.610138,3975,79.3,76.1,-64
32.746241,-85.606422,3925,83.0,77.5,-320
32.746353,-85.605743,3900,84.3,79.8,-832
32.746567,-85.603787,3850,83.6,83.1,-576
32.746892,-85.601097,3825,88.6,83.5,-384
32.747406,-85.598273,3825,93.4,77.0,-192
32.747684,-85.597005,3850,94.1,75.2,320
32.748047,-85.595471,3850,94.1,75.2,320
32.747681,-85.59267,3875,84.7,112.9,320
32.747218,-85.59196,3900,79.0,128.3,768
32.746939,-85.591736,3925,79.0,128.3,768
32.746811,-85.591626,3950,73.6,143.3,1216
32.746241,-85.591287,4000,72.1,150.9,1408
32.745915,-85.591231,4025,68.6,161.3,1536
32.745263,-85.591175,4075,65.1,176.5,1728
32.744844,-85.591287,4125,63.6,192.7,1728
32.744614,-85.591406,4150,64.2,198.1,1600
32.743881,-85.591901,4200,63.8,212.2,1408
32.743541,-85.592296,4225,64.2,217.4,1280
32.743057,-85.593054,4275,65.8,225.6,1088
32.742889,-85.593417,4275,68.3,238.2,832
32.742749,-85.59381,4300,70.2,243.8,832
32.74247,-85.595323,4350,72.8,261.3,704
32.742423,-85.596388,4375,74.0,268.5,576
32.742516,-85.597453,4375,76.3,275.3,320
32.742691,-85.599591,4400,79.5,276.5,256
32.742889,-85.601377,4400,84.6,276.8,-128
32.743149,-85.604095,4425,89.6,276.4,192
32.743423,-85.607062,4450,94.5,276.1,128
32.743727,-85.61057,4475,98.6,276.4,256
32.743866,-85.611691,4450,102.6,276.2,-128
32.743973,-85.613159,4450,105.6,276.0,-256
32.74411,-85.614697,4450,110.5,275.2,-256
32.744518,-85.619706,4375,114.6,276.0,-448
32.744797,-85.622498,4325,117.7,276.3,-704
32.744937,-85.62419,4275,121.8,276.6,-960
32.745117,-85.626398,4250,123.5,275.1,-768
32.745071,-85.629254,4225,124.0,270.5,-512
32.744472,-85.631589,4150,121.2,250.2,-896
