lat,lon,alt,gs,track,vs
45.121948,-84.577724,2850,110.5,62.5,0
45.182419,-84.853298,2475,90.8,288.6,-256
45.183929,-84.85951,2400,91.4,287.8,-384
45.184708,-84.865265,2350,90.5,286.0,-384
45.184525,-84.875532,2225,87.0,270.7,-384
45.242386,-84.923335,1725,113.0,36.4,384
45.247375,-84.91915,1725,112.6,33.4,384
45.250031,-84.916861,1725,113.0,30.9,320
45.256485,-84.912022,1725,112.4,29.3,320
45.258316,-84.91078,1725,109.6,25.4,448
45.260605,-84.909079,2000,110.9,28.0,384
45.264175,-84.906202,2050,112.0,30.0,256
45.266373,-84.90424,2075,111.0,32.1,448
45.26857,-84.902213,2175,109.8,33.1,512
45.270538,-84.90012,2200,107.2,36.7,576
45.272964,-84.897505,2250,108.9,38.7,192
45.274887,-84.89515,2275,108.7,39.4,192
45.27919,-84.889919,2275,108.5,40.9,384
45.279602,-84.889396,2275,116.4,40.1,-128
45.285461,-84.882333,2275,119.8,41.3,0
45.289261,-84.877559,2300,121.0,42.7,0
45.291229,-84.874747,2300,120.9,46.0,64
45.294296,-84.870039,2350,121.1,48.0,128
45.296082,-84.867031,2375,120.0,50.1,192
45.301346,-84.85866,2375,119.3,50.4,192
45.303223,-84.855717,2400,120.4,48.4,192
45.322083,-84.824524,2450,125.0,50.2,-384
45.324097,-84.821581,2450,123.2,47.6,-64
45.328125,-84.815761,2450,123.0,45.7,-128
45.331055,-84.811707,2450,125.9,44.4,-448
45.334991,-84.806344,2250,130.1,45.0,-448
45.341125,-84.797712,2125,133.0,43.8,-512
45.343323,-84.794704,2100,130.9,47.2,-320
45.344467,-84.792677,2075,130.3,51.5,-384
45.349548,-84.781167,1975,130.1,55.3,-448
45.350464,-84.778944,1975,127.6,60.4,-384
45.353348,-84.77162,1925,127.1,60.8,-320
