lat,lon,alt,gs,track,vs
44.327646,-93.311038,1125,62.6,308.5,704
44.328903,-93.313383,1225,63.6,306.7,704
44.330109,-93.315386,1325,63.9,309.9,896
44.33151,-93.317603,1425,66.5,312.6,896
44.332581,-93.319278,1500,68.9,309.7,896
44.332901,-93.319898,1525,68.6,306.7,768
44.333046,-93.32035,1525,68.0,294.3,1024
44.333186,-93.321154,1575,67.2,284.7,1024
44.333221,-93.321795,1600,67.1,272.6,960
44.333093,-93.322694,1625,67.9,256.4,832
44.332906,-93.32323,1650,68.2,247.6,1024
44.332535,-93.324018,1675,68.0,234.0,832
44.331556,-93.325709,1725,70.3,230.2,768
44.330439,-93.327384,1775,72.1,226.1,192
44.329056,-93.32925,1775,74.3,223.4,192
44.327367,-93.331403,1800,76.5,221.8,64
44.326249,-93.332676,1800,78.9,219.3,0
44.325668,-93.333173,1800,78.8,213.1,256
44.325272,-93.333413,1825,79.2,207.9,320
44.324478,-93.333697,1825,79.8,195.3,256
44.323875,-93.333748,1825,80.2,183.6,64
44.323224,-93.333614,1825,81.1,177.9,0
44.322693,-93.333435,1825,81.4,169.4,64
44.322098,-93.333173,1825,82.6,158.7,128
44.321411,-93.33265,1850,82.7,153.4,192
44.32043,-93.331671,1850,83.6,143.3,128
44.319672,-93.330623,1850,85.6,135.5,0
44.31922,-93.329795,1850,86.8,128.4,192
44.318756,-93.328792,1875,86.6,121.3,128
44.318103,-93.327049,1850,87.7,115.7,-128
44.317079,-93.324235,1875,85.5,118.7,448
44.315636,-93.320484,1875,81.0,118.8,0
44.314545,-93.317871,1850,76.2,119.9,-192
44.313309,-93.314863,1850,71.2,119.4,-64
44.31221,-93.311986,1800,66.2,118.9,-512
44.311632,-93.310234,1775,67.1,114.7,-448
44.310794,-93.307957,1725,66.2,116.9,-512
44.309723,-93.30521,1650,66.2,118.9,-640
44.308606,-93.302262,1575,64.0,117.0,-576
44.308319,-93.301392,1550,64.5,113.8,-896
44.308136,-93.300476,1525,65.8,106.8,-768
44.308048,-93.299717,1500,66.5,96.9,-512
44.308044,-93.298776,1500,67.0,88.3,-384
44.308136,-93.298122,1475,66.1,79.5,-640
44.308228,-93.297533,1450,67.1,72.7,-704
44.308513,-93.296702,1425,68.0,63.8,-640
44.308792,-93.296233,1425,67.7,58.9,-576
44.309006,-93.295768,1400,68.0,54.0,-512
44.311725,-93.293286,1350,67.2,43.2,-512
44.314006,-93.292482,1325,67.2,43.2,-512
44.316101,-93.293086,1275,64.6,343.8,-384
44.317358,-93.293822,1250,64.8,333.4,-320
44.317886,-93.294264,1250,64.7,328.3,-320
44.318568,-93.295028,1250,65.0,323.1,-256
44.318987,-93.295563,1225,63.7,316.3,-256
44.319809,-93.296749,1200,63.0,311.8,-448
44.320663,-93.298243,1175,62.6,308.5,-320
44.330672,-93.316397,1250,61.2,308.4,896
44.330905,-93.316732,1250,67.4,310.8,640
44.332068,-93.318541,1300,69.3,313.8,768
44.333221,-93.320029,1375,70.8,317.3,768
44.334595,-93.321795,1450,71.5,317.8,896
44.335052,-93.322972,1500,71.3,301.2,960
44.335187,-93.323699,1525,69.9,286.6,1024
44.335236,-93.324541,1575,69.1,272.5,1024
44.334955,-93.326044,1625,67.9,256.4,1024
44.334641,-93.32683,1650,67.5,242.7,1024
44.33421,-93.327652,1700,68.3,230.9,1024
44.332581,-93.330264,1800,70.8,228.4,640
44.330486,-93.333413,1825,72.9,226.7,128
44.329881,-93.33415,1825,73.8,220.6,128
44.329462,-93.334485,1825,74.6,212.4,128
44.329136,-93.334552,1825,75.4,201.8,192
44.328735,-93.334612,1850,78.1,177.1,128
44.327879,-93.334083,1850,79.8,164.7,128
44.327637,-93.333827,1850,81.0,144.5,0
44.326855,-93.332676,1850,82.1,133.0,0
44.325623,-93.330623,1850,84.6,128.8,256
44.320943,-93.322225,1825,82.6,128.1,-192
44.319717,-93.320095,1825,78.2,128.8,-128
44.318527,-93.318002,1800,73.4,127.8,-256
44.316788,-93.314732,1750,68.4,127.9,-256
44.315872,-93.312901,1700,65.5,124.4,-576
44.315094,-93.311201,1650,65.9,120.1,-704
44.313721,-93.307866,1575,65.5,121.3,-448
44.313354,-93.306754,1550,64.9,114.6,-640
44.313261,-93.306148,1525,65.7,103.2,-704
44.313217,-93.305511,1500,65.0,90.9,-704
44.313261,-93.305143,1500,65.1,87.4,-704
44.3134,-93.304531,1475,65.5,71.3,-704
44.313727,-93.30387,1450,65.9,59.9,-896
44.314146,-93.303267,1425,65.6,52.4,-832
44.333588,-93.321599,1275,71.1,309.3,1216
44.334641,-93.323364,1375,68.9,309.7,1088
44.335419,-93.324803,1425,66.0,305.1,1024
44.335513,-93.32524,1450,65.7,296.2,1024
44.335606,-93.325843,1475,64.9,279.8,896
44.335606,-93.326513,1500,65.0,270.9,832
44.335513,-93.326915,1500,65.6,262.1,768
44.335327,-93.327484,1525,67.1,249.9,768
44.335094,-93.328054,1550,67.6,240.8,896
44.334908,-93.328388,1575,67.4,234.7,896
44.334396,-93.329058,1600,67.9,225.0,896
44.332855,-93.331146,1700,66.5,223.8,896
44.330951,-93.333681,1800,65.8,224.4,256
44.330475,-93.334285,1800,65.9,221.9,64
44.330017,-93.334612,1800,68.1,209.9,-128
44.329605,-93.334808,1800,69.3,200.3,-128
44.329275,-93.33482,1775,71.2,190.5,-192
44.328461,-93.334547,1775,73.1,182.4,-192
44.328158,-93.334351,1775,76.3,158.5,-64
44.327599,-93.333681,1775,76.7,149.4,0
44.327134,-93.332877,1775,79.7,128.9,-64
44.322711,-93.325508,1800,83.1,129.6,128
44.321411,-93.32343,1800,79.2,132.9,64
44.319779,-93.320953,1825,74.3,132.3,128
44.319034,-93.319814,1800,69.4,132.7,-128
44.31787,-93.317871,1775,66.1,129.5,-448
44.316427,-93.315325,1750,66.4,127.0,-256
44.315356,-93.313249,1700,66.3,123.9,-576
44.314239,-93.310837,1625,67.7,121.1,-512
44.313904,-93.309762,1600,68.5,115.1,-256
44.313721,-93.308912,1600,68.2,104.4,-384
44.313727,-93.308225,1600,68.0,91.7,-512
44.313766,-93.30767,1575,68.5,83.3,-576
44.313995,-93.306819,1550,69.3,72.3,-512
44.31427,-93.306231,1550,69.1,58.6,-576
44.315636,-93.304339,1525,69.7,50.8,-512
44.315961,-93.303937,1500,66.1,39.5,-320
44.317154,-93.302503,1400,69.4,42.7,-2176
44.33165,-93.31834,1175,68.1,310.2,1024
44.332672,-93.320029,1275,66.0,310.7,1088
44.333954,-93.322122,1375,65.3,310.0,896
44.334769,-93.323498,1425,64.6,304.9,832
44.335048,-93.324235,1450,64.8,296.6,832
44.33519,-93.324803,1475,64.6,291.8,832
44.335281,-93.325261,1500,64.8,287.0,832
44.335327,-93.325915,1525,65.4,276.1,832
44.335327,-93.326513,1525,65.0,270.0,832
44.335281,-93.326961,1550,64.9,260.2,960
44.335094,-93.327585,1575,65.5,251.3,896
44.334915,-93.328073,1600,65.3,244.6,896
44.334732,-93.3284,1600,66.0,238.0,896
44.334256,-93.329058,1650,67.2,224.4,832
44.333588,-93.329708,1675,68.8,215.5,768
44.331882,-93.331403,1775,68.5,213.7,960
44.329648,-93.333346,1825,71.3,211.2,64
44.327911,-93.334743,1850,75.7,209.3,128
44.32663,-93.335658,1850,77.4,206.9,192
44.325897,-93.336051,1850,77.5,203.6,320
44.325027,-93.336182,1875,79.2,190.2,128
44.323929,-93.335724,1875,83.0,158.1,-128
44.323503,-93.335355,1875,84.6,151.0,-128
44.322991,-93.334619,1875,86.4,132.2,-128
44.322665,-93.334016,1875,87.8,127.1,-128
44.322199,-93.33281,1875,87.8,120.1,384
44.320221,-93.328334,1900,84.9,122.0,0
44.318024,-93.323299,1900,80.2,123.3,-64
44.316986,-93.321288,1900,75.8,126.4,-256
44.31601,-93.319441,1875,71.0,125.3,-384
44.314658,-93.316531,1800,67.1,123.4,-640
44.313913,-93.31479,1750,66.7,119.6,-704
44.31261,-93.311306,1650,66.7,117.7,-576
44.311725,-93.308961,1575,68.0,116.2,-832
44.311586,-93.30789,1550,67.7,98.5,-704
44.311569,-93.307212,1525,67.4,84.0,-768
44.311725,-93.306483,1525,66.9,76.2,-832
44.312004,-93.305679,1475,66.9,58.5,-896
44.313217,-93.3044,1425,67.5,50.4,-768
44.313492,-93.304204,1425,68.0,26.2,-512
44.316148,-93.302463,1350,65.3,25.4,-320
44.316284,-93.302373,1350,65.3,25.4,-320
44.331894,-93.319244,1275,67.6,308.4,960
44.333232,-93.321422,1375,68.0,311.4,896
44.333496,-93.32186,1400,67.2,306.5,896
44.333651,-93.322292,1400,67.2,300.4,832
44.333817,-93.322906,1425,68.7,291.3,768
44.333931,-93.323498,1450,69.2,280.8,704
44.333908,-93.323953,1450,69.2,274.1,704
44.333908,-93.324345,1450,70.1,267.5,704
44.333771,-93.325261,1475,70.8,256.9,768
44.333542,-93.325915,1500,71.6,245.2,832
44.333221,-93.326503,1525,72.4,234.6,832
44.33272,-93.327183,1550,72.3,228.4,896
44.332441,-93.327451,1575,72.4,215.4,832
44.331929,-93.327853,1600,73.8,208.3,768
44.329514,-93.329642,1700,74.7,207.9,960
44.32814,-93.330688,1800,72.1,209.1,1280
44.326063,-93.332207,1850,75.6,207.6,-256
44.325225,-93.332609,1850,77.8,200.3,-64
44.324753,-93.332585,1850,80.0,181.4,128
44.323517,-93.3318,1875,81.9,154.7,256
44.323105,-93.331081,1875,82.5,129.1,64
44.322851,-93.330331,1875,82.9,119.7,-64
44.322246,-93.328589,1875,85.9,114.8,-64
44.320679,-93.324018,1875,83.6,116.3,256
44.319965,-93.322292,1875,79.4,121.1,0
44.31936,-93.32102,1875,74.6,125.2,-128
44.318801,-93.319881,1875,71.0,125.3,-64
44.317218,-93.316799,1800,66.9,124.6,-640
44.315729,-93.313785,1725,67.7,124.2,-448
44.314518,-93.311105,1650,66.9,121.6,-640
44.314041,-93.309762,1600,67.1,116.6,-768
44.313448,-93.307957,1550,68.0,114.3,-640
44.313217,-93.307016,1525,67.1,110.1,-704
44.313075,-93.306148,1500,66.9,103.8,-640
44.313029,-93.305277,1500,66.2,94.3,-512
44.313034,-93.304661,1475,66.2,85.7,-448
44.313168,-93.30387,1475,65.0,75.8,-512
44.313401,-93.303133,1450,64.6,68.2,-640
44.314286,-93.301325,1400,64.9,56.3,-768
