lat,lon,alt,gs,track
34.258676,-77.914982,350,105.2,233.9
34.257065,-77.917786,450,109.0,234.7
34.255371,-77.920876,550,113.4,236.9
34.253815,-77.923727,650,114.8,236.7
34.252121,-77.92709,750,115.4,238.1
34.251368,-77.928829,775,118.1,243.9
34.251042,-77.929745,800,118.9,251.9
34.250669,-77.932949,900,121.1,268.1
34.251709,-77.937965,1050,121.2,295.9
34.252167,-77.938918,1075,121.3,301.9
34.253975,-77.941475,1150,120.9,316.0
34.255096,-77.942561,1200,121.4,323.0
34.256535,-77.943707,1250,122.5,329.0
34.259308,-77.945476,1350,125.7,332.0
34.26123,-77.946541,1375,127.1,335.9
34.264169,-77.948055,1475,128.3,338.0
34.267661,-77.949657,1550,126.5,340.1
34.270361,-77.950802,1650,125.9,341.0
34.272858,-77.951922,1725,127.4,337.9
34.27478,-77.953043,1775,127.9,333.0
34.27767,-77.954807,1875,129.3,332.8
34.281068,-77.956924,1975,130.1,333.0
34.284393,-77.959096,2075,131.6,330.9
34.288377,-77.961845,2175,136.2,330.0
34.293125,-77.96505,2225,140.5,332.0
34.294876,-77.966159,2250,143.6,334.0
34.296709,-77.96711,2300,142.7,339.9
34.29808,-77.967616,2325,143.3,345.9
34.299911,-77.967953,2350,142.4,351.9
34.301597,-77.968082,2400,141.0,359.2
34.304204,-77.968025,2425,140.2,2.9
34.308115,-77.967739,2525,139.0,0.8
34.311141,-77.967682,2625,136.0,0.8
34.315292,-77.96756,2725,135.1,2.1
34.319427,-77.967339,2825,135.2,3.0
34.325089,-77.967168,2900,136.0,0.8
34.329994,-77.96711,3000,137.0,0.0
34.335348,-77.96711,3100,136.0,0.0
34.340096,-77.967052,3200,135.0,0.9
34.343122,-77.966995,3225,138.0,0.8
34.346241,-77.966881,3250,142.1,2.0
34.353333,-77.966383,3275,146.3,3.9
34.363046,-77.965508,3325,147.6,5.1
34.366631,-77.965221,3300,151.4,4.2
34.372192,-77.964758,3225,156.4,4.0
34.378006,-77.964309,3200,157.4,4.0
34.390686,-77.963188,3225,155.4,4.1
34.403174,-77.96196,3225,154.6,5.2
34.417236,-77.96033,3250,154.8,5.9
34.42524,-77.959328,3200,158.6,5.1
34.438889,-77.958031,3175,157.4,4.0
34.446396,-77.957415,3200,156.2,2.9
34.452008,-77.957268,3200,156.0,1.1
34.458298,-77.957247,3200,156.0,358.9
34.472584,-77.957611,3200,155.0,358.9
34.485153,-77.95784,3225,156.0,358.9
34.497116,-77.957919,3225,156.0,358.9
34.503479,-77.957975,3250,156.0,0.0
34.510986,-77.957695,3300,155.1,1.9
34.517303,-77.957247,3325,155.4,4.1
34.520905,-77.957096,3350,155.0,1.1
34.529892,-77.957135,3400,155.0,0.0
34.53906,-77.956982,3350,158.0,1.1
34.548248,-77.956686,3325,157.1,1.8
34.560745,-77.955845,3325,155.2,3.0
34.574753,-77.954949,3325,154.2,3.0
34.585464,-77.954388,3300,159.1,2.2
34.594894,-77.953828,3250,158.2,2.9
34.604187,-77.953491,3250,157.1,1.8
34.618572,-77.953205,3275,158.0,1.1
34.630463,-77.952819,3275,158.1,2.2
34.638153,-77.952314,3300,159.4,4.0
34.643337,-77.952003,3300,161.0,1.1
34.648132,-77.951946,3275,165.0,1.0
34.661446,-77.951832,3250,167.0,0.0
34.676102,-77.951698,3250,165.0,0.0
34.690867,-77.95166,3200,163.0,0.0
34.699573,-77.951546,3200,161.0,1.1
34.713318,-77.951137,3200,159.0,0.0
34.720093,-77.951081,3225,158.0,1.1
34.729692,-77.950687,3275,162.1,2.1
34.743564,-77.950115,3250,164.0,1.0
34.758545,-77.949736,3250,163.0,1.0
34.766922,-77.949343,3225,162.2,2.8
34.773358,-77.948799,3225,160.6,5.0
34.782249,-77.947712,3225,160.9,6.1
34.787476,-77.947157,3200,162.4,3.9
34.791046,-77.947045,3200,161.0,0.0
34.798737,-77.947269,3250,159.0,358.9
34.806381,-77.947606,3250,159.2,357.1
34.817001,-77.948222,3300,159.1,357.8
34.824519,-77.948742,3375,161.2,357.2
34.830198,-77.949028,3400,162.0,358.9
34.843689,-77.949119,3400,165.0,0.0
34.850739,-77.948951,3400,165.1,2.1
34.857788,-77.948671,3375,166.0,0.0
34.86595,-77.948456,3375,165.0,1.0
34.880242,-77.948112,3350,164.0,0.0
34.890064,-77.948055,3300,166.0,1.0
34.901795,-77.947941,3350,166.0,1.0
34.91478,-77.94783,3350,166.0,0.0
34.92293,-77.947712,3325,166.0,1.0
34.938246,-77.94754,3325,164.0,1.0
34.95163,-77.947381,3300,168.0,1.0
34.959137,-77.947101,3300,168.2,3.1
34.974417,-77.946167,3300,165.1,2.1
34.979141,-77.946092,3300,163.0,359.0
34.986099,-77.946092,3300,165.0,1.0
35.000579,-77.945824,3300,165.1,2.1
35.013611,-77.945195,3275,166.2,3.1
35.024786,-77.944279,3250,164.1,2.1
35.029175,-77.944299,3275,162.0,358.9
35.043274,-77.944803,3300,162.1,357.9
35.058334,-77.945588,3325,163.1,357.9
35.071289,-77.946036,3350,163.0,359.0
35.085709,-77.946092,3350,161.0,0.0
35.099689,-77.945995,3350,163.0,1.0
35.106491,-77.945868,3425,162.0,1.1
35.112631,-77.945709,3425,162.0,1.1
35.11412,-77.945709,3400,163.0,1.0
35.121277,-77.94542,3325,164.1,2.1
35.134232,-77.944971,3275,168.0,1.0
35.144485,-77.944747,3250,169.1,2.0
35.159729,-77.943906,3225,168.0,1.0
35.173614,-77.943649,3225,167.0,0.0
35.183157,-77.943764,3175,166.0,0.0
35.196899,-77.943962,3125,167.0,359.0
35.203966,-77.94405,3050,171.0,0.0
35.210576,-77.943935,2975,171.0,0.0
35.216349,-77.943878,2875,171.0,1.0
35.221377,-77.943707,2775,171.1,2.0
35.226608,-77.943458,2675,170.1,2.0
35.231644,-77.943363,2575,172.0,0.0
35.235994,-77.943381,2475,172.0,0.0
35.240616,-77.943249,2375,172.0,1.0
35.245817,-77.943206,2275,170.0,1.0
35.252243,-77.94302,2175,168.1,2.0
35.257967,-77.94268,2075,167.2,3.1
35.263786,-77.942388,1975,164.1,2.1
35.269512,-77.942213,1925,162.0,1.1
35.276634,-77.942154,1850,160.0,0.0
35.285889,-77.94199,1775,157.0,1.1
35.291977,-77.941818,1700,157.1,1.8
35.297955,-77.941628,1675,156.0,1.1
35.307033,-77.941511,1625,152.0,1.1
35.310562,-77.94136,1600,151.2,3.0
35.315277,-77.940903,1575,147.8,5.8
35.318253,-77.940674,1550,147.1,2.0
35.324583,-77.940343,1525,145.1,2.0
35.326584,-77.940445,1525,144.2,356.8
35.330017,-77.940903,1525,143.0,353.2
35.333176,-77.941532,1525,143.2,350.0
35.339401,-77.943077,1525,143.2,347.9
35.349564,-77.945881,1450,144.2,348.0
35.357941,-77.948227,1400,145.8,346.9
35.362802,-77.94981,1375,147.0,345.0
35.36904,-77.951972,1350,142.4,344.1
35.371973,-77.953024,1350,138.3,344.0
35.377047,-77.954835,1350,133.8,343.0
35.381287,-77.956467,1350,129.3,342.0
35.383759,-77.957439,1325,126.2,342.0
35.385147,-77.957991,1325,122.1,341.9
35.387847,-77.95916,1275,117.3,341.1
35.392642,-77.961263,1200,113.2,340.9
35.395575,-77.962491,1125,110.1,340.9
35.400603,-77.964594,1025,111.0,341.1
35.404699,-77.966172,925,110.7,343.2
35.416151,-77.970789,750,110.1,340.9
35.419601,-77.972145,750,106.3,341.9
