lat,lon,alt,gs,track
46.381112,-117.022179,1500,0.0,0.0
46.38295,-117.025027,1600,82.7,315.5
46.383408,-117.026501,1600,83.2,288.2
46.383533,-117.027397,1600,83.0,279.0
46.383579,-117.027878,1700,83.6,276.9
46.383486,-117.029045,1700,85.1,267.3
46.383316,-117.030119,1700,86.1,260.6
46.382996,-117.03119,1700,87.2,244.9
46.382695,-117.031998,1700,88.2,237.0
46.377946,-117.038315,1800,87.9,228.7
46.377574,-117.038727,1900,90.3,219.2
46.376724,-117.039564,1900,86.8,212.8
46.375851,-117.040237,1900,86.3,205.4
46.37506,-117.040649,1900,86.7,198.9
46.374315,-117.040787,1900,87.3,189.9
46.373757,-117.040787,1900,88.0,178.7
46.373012,-117.040649,1900,89.3,170.3
46.371643,-117.039765,2000,89.8,161.2
46.371289,-117.039413,2000,88.2,144.7
46.37059,-117.038492,2000,87.3,140.1
46.36972,-117.037086,2000,84.5,129.7
46.369567,-117.036873,2100,85.1,130.2
46.368263,-117.034538,2100,88.4,127.7
46.367203,-117.032798,2100,87.7,136.9
46.366745,-117.032262,2200,87.7,136.9
46.363422,-117.03083,2200,87.7,136.9
46.362762,-117.030922,2200,87.6,186.6
46.361653,-117.03138,2300,83.6,201.0
46.360428,-117.032463,2300,82.8,208.1
46.359192,-117.034741,2300,84.2,227.4
46.358368,-117.038559,2300,90.8,262.4
46.358394,-117.040443,2400,91.2,266.2
46.358505,-117.041239,2300,94.2,282.3
46.35872,-117.042297,2400,94.2,282.3
46.359375,-117.043852,2400,95.4,303.0
46.359787,-117.044588,2400,96.3,312.5
46.360908,-117.045868,2400,98.4,322.4
46.362625,-117.046933,2300,103.6,344.9
46.363586,-117.047134,2300,103.9,348.9
46.364273,-117.047134,2300,104.0,358.9
46.365143,-117.047,2300,103.6,10.0
46.366104,-117.046598,2300,102.2,20.0
46.366745,-117.046196,2400,101.1,25.8
46.367891,-117.044701,2400,97.2,49.6
46.36853,-117.042847,2400,96.1,71.2
46.368622,-117.041373,2400,97.1,87.1
46.368622,-117.040435,2300,97.1,87.1
46.368403,-117.038727,2300,97.1,87.1
46.368256,-117.038023,2300,101.0,106.1
46.367752,-117.036148,2300,101.5,107.2
46.367286,-117.034607,2300,106.5,114.4
46.36575,-117.030556,2300,107.3,116.6
46.363701,-117.026642,2400,106.8,125.5
46.362946,-117.025295,2500,106.8,125.5
46.362213,-117.024157,2500,92.7,132.8
46.360657,-117.022013,2500,89.8,136.4
46.359418,-117.020462,2500,90.9,140.4
46.357681,-117.018797,2400,90.9,140.4
46.354843,-117.016788,2400,98.5,156.0
46.353378,-117.016051,2400,99.3,161.2
46.352249,-117.015656,2400,100.7,166.8
46.350311,-117.015448,2400,101.3,170.9
46.34941,-117.015518,2400,101.6,186.2
46.348479,-117.015862,2400,100.7,195.6
46.346896,-117.01696,2400,100.7,195.6
46.3461,-117.017926,2400,102.8,220.7
46.345871,-117.018194,2400,102.8,220.7
46.343994,-117.028243,2400,108.1,247.7
46.350899,-117.037697,2300,97.0,0.6
46.354158,-117.033577,2200,97.5,10.0
46.354294,-117.026434,2200,100.8,97.4
46.353424,-117.020338,2200,100.8,97.4
46.352994,-117.018059,2300,95.9,106.4
46.35173,-117.013036,2300,95.2,107.1
46.351039,-117.011192,2300,98.0,117.3
46.350527,-117.010094,2300,98.2,123.4
46.354889,-116.979474,2100,0.0,0.0
46.355255,-116.980278,2100,0.0,0.0
46.363562,-116.994026,1800,76.1,309.1
46.381484,-117.022934,1500,83.5,314.0
46.382462,-117.024376,1500,84.2,314.5
46.38382,-117.026233,1500,85.0,317.9
46.385022,-117.027809,1600,84.2,317.4
46.387024,-117.03032,1700,82.3,319.9
46.388855,-117.032597,1700,82.1,318.0
46.390366,-117.035612,1800,81.2,308.0
46.390702,-117.037491,1800,88.0,278.5
46.390748,-117.038521,1800,89.0,271.3
46.390655,-117.039757,1800,90.1,261.1
46.390045,-117.042244,1800,90.4,245.1
46.389633,-117.043249,1900,91.8,237.0
46.389267,-117.043986,1900,92.6,232.0
46.388467,-117.045181,1900,92.8,228.1
46.386838,-117.047516,1900,89.8,224.6
46.385468,-117.049479,2000,87.0,223.6
46.383486,-117.052254,2000,91.9,224.1
46.382309,-117.053699,2000,94.5,219.4
46.38195,-117.054108,2000,93.5,214.5
46.38121,-117.054637,2000,92.1,205.7
46.380553,-117.054932,2100,91.8,200.4
46.379855,-117.055069,2100,89.5,185.8
46.379105,-117.055039,2100,87.3,175.4
46.378189,-117.054771,2100,86.1,164.5
46.377228,-117.054168,2100,85.4,152.8
46.37655,-117.053558,2100,85.2,148.9
46.376038,-117.053009,2100,84.5,140.3
46.375293,-117.051842,2100,84.3,138.4
46.375013,-117.051361,2200,85.8,130.8
46.374481,-117.050551,2100,86.6,130.3
46.373978,-117.04968,2200,87.9,131.3
46.372879,-117.04767,2200,86.4,127.0
46.371597,-117.04499,2200,85.1,123.5
46.370219,-117.041817,2200,88.3,120.6
46.369675,-117.040569,2300,88.7,119.7
46.368622,-117.038291,2300,91.6,126.1
46.367752,-117.036885,2300,89.9,131.9
46.366837,-117.035411,2400,89.9,131.9
46.364958,-117.032547,2500,89.1,133.2
46.364822,-117.032262,2400,89.1,133.2
46.363998,-117.030922,2500,87.8,132.2
46.363449,-117.030052,2500,81.6,130.5
46.362677,-117.028839,2500,79.9,133.5
46.36171,-117.027573,2400,79.4,139.1
46.361048,-117.026848,2500,79.5,140.1
46.360336,-117.025898,2500,75.2,139.3
46.359139,-117.02417,2400,71.4,135.6
46.358047,-117.022616,2400,75.7,133.4
46.357269,-117.021343,2400,75.8,131.3
46.356354,-117.019735,2300,77.0,127.6
46.355555,-117.018333,2300,77.5,129.2
46.35453,-117.016685,2300,75.7,133.4
46.353087,-117.014488,2300,72.5,129.4
46.352203,-117.012634,2300,73.2,125.0
46.349503,-117.007141,2300,76.6,126.0
46.342392,-116.991332,2200,75.5,78.5
46.342575,-116.990394,2200,76.2,70.8
46.351044,-116.981752,2100,68.0,28.1
46.351456,-116.981417,2100,67.1,26.6
46.363236,-116.993683,1900,0.0,0.0
46.380553,-117.021561,1300,80.7,313.0
46.384138,-117.027122,1500,83.0,310.6
46.385788,-117.029985,1600,84.6,308.8
46.387862,-117.033577,1700,86.7,309.4
46.389542,-117.036483,1800,85.8,310.8
46.390549,-117.038291,1800,87.2,306.6
46.391027,-117.039551,1800,88.7,299.7
46.391327,-117.040502,1800,90.3,291.5
46.39151,-117.041842,1800,93.7,281.1
46.391556,-117.042512,1900,95.2,273.6
46.39151,-117.043718,1900,96.5,264.0
46.39032,-117.047938,2000,94.9,249.7
46.389954,-117.048541,2000,92.6,232.0
46.389313,-117.049412,2000,92.0,222.4
46.388443,-117.05035,2000,92.7,214.9
46.385376,-117.053364,2000,96.4,217.0
46.384094,-117.054704,2000,97.9,214.2
46.383346,-117.055275,2100,96.6,205.8
46.382492,-117.055709,2100,95.3,195.2
46.381805,-117.055843,2100,94.1,188.6
46.381158,-117.055893,2100,93.1,182.5
46.380524,-117.055843,2100,92.5,173.8
46.379669,-117.05555,2100,92.7,163.7
46.378132,-117.054588,2200,92.8,149.6
46.377946,-117.054382,2100,93.0,148.2
46.377365,-117.053833,2200,92.4,144.2
46.375898,-117.051773,2200,92.8,142.9
46.375488,-117.051153,2200,89.3,131.4
46.373989,-117.048889,2200,89.1,135.0
46.37233,-117.046531,2300,89.1,135.0
46.370544,-117.043739,2400,87.7,133.1
46.368759,-117.041172,2400,91.9,135.0
46.364731,-117.035076,2500,94.1,133.7
46.362442,-117.031458,2500,95.6,132.0
46.361435,-117.030119,2500,94.2,138.0
46.360256,-117.02877,2500,95.0,143.1
46.356491,-117.024625,2500,92.0,142.5
46.355164,-117.023152,2500,88.4,142.4
46.354065,-117.021904,2500,82.0,142.4
46.352808,-117.020599,2500,78.2,144.9
46.349317,-117.017097,2500,77.9,146.5
46.348805,-117.016205,2500,76.1,129.1
46.348246,-117.01442,2500,77.8,108.0
46.348022,-117.012299,2500,77.8,108.0
46.348068,-117.011361,2500,74.5,83.1
46.348292,-117.009888,2400,73.4,79.0
46.348805,-117.008171,2400,73.4,64.1
46.34927,-117.00721,2400,73.4,64.1
46.349596,-117.00666,2400,69.5,49.7
46.350387,-117.005424,2400,68.6,44.4
46.351086,-117.004532,2400,68.8,40.9
46.351685,-117.003792,2300,69.5,40.3
46.353516,-117.001581,2300,69.0,38.5
46.35467,-117.000343,2300,69.4,36.2
46.355741,-116.999313,2200,72.7,34.3
46.358115,-116.99691,2200,71.3,34.1
46.358505,-116.996423,2100,70.0,36.9
46.359924,-116.99515,2100,71.2,24.0
46.380341,-117.021276,1300,79.3,311.9
46.384045,-117.027191,1500,80.0,312.5
46.385581,-117.0298,1600,80.9,310.0
46.387115,-117.032664,1600,81.4,307.0
46.387629,-117.033646,1700,81.6,306.0
46.389542,-117.037688,1800,84.9,304.4
46.390283,-117.039413,1800,84.6,302.9
46.390562,-117.040375,1800,84.5,296.0
46.390732,-117.041105,1800,84.2,285.9
46.390869,-117.042713,1900,82.9,278.3
46.390869,-117.043182,1900,81.1,267.9
46.39064,-117.044655,1900,79.8,254.7
46.390376,-117.045525,2000,78.3,245.1
46.390137,-117.046196,2000,77.4,237.1
46.389677,-117.046967,2000,78.6,227.6
46.388718,-117.048139,2000,79.2,224.0
46.387985,-117.048742,2000,81.8,206.9
46.385953,-117.050194,2100,84.5,207.5
46.383865,-117.051957,2100,84.7,210.5
46.381851,-117.053632,2200,83.7,207.8
46.381484,-117.053902,2100,82.8,205.0
46.381298,-117.05397,2200,82.3,204.4
46.381165,-117.054101,2100,82.3,204.4
46.380972,-117.054176,2200,82.6,201.3
46.380181,-117.05452,2200,82.5,194.0
46.379517,-117.054637,2100,82.0,189.1
46.379105,-117.054704,2200,82.3,184.9
46.378235,-117.054637,2200,82.1,182.1
46.378006,-117.054637,2100,82.6,173.1
46.377045,-117.054302,2200,82.5,160.9
46.376317,-117.053833,2200,83.2,152.8
46.375526,-117.053078,2200,82.4,146.9
46.374939,-117.052359,2200,82.2,138.9
46.373989,-117.051018,2200,82.8,133.5
46.373245,-117.049747,2200,84.2,127.3
46.371231,-117.045794,2300,85.3,129.3
46.368589,-117.041267,2400,85.3,129.3
46.366745,-117.038224,2500,85.0,131.2
46.364725,-117.035019,2500,87.7,133.1
46.363586,-117.033401,2500,89.9,137.2
46.36203,-117.031458,2500,92.3,140.3
46.359931,-117.028908,2500,88.1,140.5
46.358767,-117.027603,2500,84.0,141.8
46.357836,-117.026573,2500,82.6,141.9
46.356995,-117.02563,2500,75.4,141.5
46.355229,-117.023552,2400,79.7,141.1
46.352051,-117.019668,2400,77.3,139.7
46.351784,-117.019363,2300,77.2,138.7
46.350806,-117.017921,2300,77.1,134.5
46.350357,-117.016788,2300,77.1,134.5
46.350128,-117.016051,2300,74.2,117.3
46.350574,-117.010986,2300,62.7,61.4
46.351039,-117.010025,2200,65.0,53.1
46.384324,-117.028015,1500,86.1,308.9
46.385147,-117.029382,1600,88.1,309.5
46.387207,-117.033066,1700,88.9,309.1
46.387665,-117.034004,1700,87.3,299.5
46.388077,-117.035411,1700,87.3,299.5
46.388234,-117.036255,1700,86.4,283.4
46.388281,-117.036598,1800,86.7,281.3
46.388374,-117.037766,1800,85.4,275.4
46.388327,-117.039688,1800,85.0,271.4
46.388168,-117.04077,1800,86.1,257.2
46.387583,-117.04319,1800,88.6,246.0
46.38739,-117.043785,1900,88.6,244.6
46.386931,-117.044769,1900,88.8,236.5
46.386558,-117.045525,1900,89.6,231.3
46.385834,-117.046598,1900,87.7,224.1
46.384324,-117.04882,2000,87.0,226.4
46.382369,-117.051773,2000,87.0,224.5
46.381624,-117.052666,2000,86.2,217.9
46.38089,-117.053297,2000,86.5,209.8
46.379901,-117.053902,2100,85.5,204.2
46.3797,-117.053967,2000,85.1,197.8
46.379517,-117.054034,2100,85.4,196.3
46.378365,-117.054314,2100,85.0,188.8
46.377713,-117.054245,2100,85.0,178.6
46.37627,-117.053696,2100,86.7,159.1
46.375168,-117.052895,2100,88.7,150.3
46.374455,-117.052185,2100,89.8,142.2
46.373703,-117.051153,2100,89.8,136.4
46.372971,-117.049747,2200,88.0,126.2
46.371196,-117.046143,2200,88.2,128.6
46.370224,-117.044454,2300,90.0,130.9
46.368942,-117.042579,2300,90.5,135.0
46.36702,-117.040234,2300,88.6,139.1
46.365796,-117.038864,2300,86.2,142.1
46.365144,-117.038177,2400,86.0,144.5
46.362991,-117.035947,2400,87.0,142.5
46.359418,-117.031105,2500,92.6,134.6
46.358276,-117.029449,2500,89.1,135.9
46.35751,-117.028427,2500,85.6,137.4
46.355255,-117.025228,2500,81.3,136.5
46.355026,-117.02496,2500,72.1,136.1
46.352509,-117.021276,2500,75.0,135.0
46.351318,-117.019638,2500,78.6,137.6
46.35062,-117.018814,2400,80.2,139.6
46.347931,-117.014845,2400,79.4,139.1
46.347501,-117.011398,2300,77.0,88.5
46.347548,-117.010918,2300,77.0,88.5
46.352554,-117.004796,2200,72.4,32.6
46.353646,-117.003639,2100,72.4,32.6
46.369675,-117.003926,1500,70.0,313.3
46.382229,-117.024101,1400,84.2,314.5
46.383905,-117.026436,1500,87.0,315.5
46.384836,-117.027672,1500,85.8,319.2
46.385767,-117.028702,1600,83.4,322.3
46.387117,-117.030075,1600,82.9,326.3
46.388048,-117.030899,1600,83.4,329.7
