lat,lon,alt,gs,track,vs
41.988303,-87.928758,500,53.0,90.0,0
41.988327,-87.928203,500,64.0,90.0,-64
41.988303,-87.927416,500,70.0,90.0,-64
41.988327,-87.926768,500,74.0,90.0,-64
41.988303,-87.926011,500,82.0,90.0,-64
41.988327,-87.925457,500,88.0,90.0,-64
41.988327,-87.922897,500,100.0,90.0,-64
41.988303,-87.922307,500,112.0,90.5,-64
41.988303,-87.920837,500,117.0,90.5,-64
41.988303,-87.919241,475,129.0,89.6,-64
41.988327,-87.917404,475,133.0,89.6,128
41.988327,-87.915594,475,142.0,90.0,192
41.988327,-87.914221,475,146.0,90.0,512
41.988303,-87.9133,500,148.0,90.4,832
41.988303,-87.912087,525,150.0,90.8,1216
41.988303,-87.911065,550,150.0,90.8,1600
41.988303,-87.910681,550,150.0,91.2,1984
41.988281,-87.909414,625,150.0,91.2,2304
41.988256,-87.908446,675,149.0,90.8,2752
41.988256,-87.906657,775,148.0,90.8,3072
41.98821,-87.904805,875,147.0,91.2,3200
41.98821,-87.903017,975,146.0,90.8,3328
41.98821,-87.901228,1075,145.0,90.4,3264
41.98819,-87.899551,1175,144.0,89.2,3264
41.988235,-87.898116,1275,143.1,88.4,3264
41.988327,-87.896368,1375,142.2,86.8,3264
41.988419,-87.89462,1475,142.4,85.6,3136
41.98851,-87.893184,1575,142.5,85.2,2816
41.988582,-87.891966,1625,143.6,84.8,2368
41.988739,-87.889626,1725,145.6,84.9,1920
41.988876,-87.887754,1775,149.7,84.6,1472
41.989094,-87.88494,1850,153.7,84.4,1472
41.989281,-87.882513,1900,158.0,83.5,1472
41.989513,-87.880086,1975,162.2,82.9,1600
41.989839,-87.877339,2050,166.2,80.7,1856
41.990212,-87.875167,2100,171.0,74.7,1856
41.99077,-87.873124,2175,175.9,68.0,1792
41.991655,-87.870824,2250,179.9,61.4,1728
41.992586,-87.868908,2300,183.6,57.0,1664
41.993051,-87.868077,2325,188.0,51.9,1472
41.993982,-87.866672,2350,191.9,48.2,1344
41.995286,-87.865012,2400,196.8,42.5,1408
41.996292,-87.863971,2425,201.0,37.7,1536
41.998306,-87.862223,2500,205.7,30.1,1664
41.999954,-87.861162,2550,209.3,26.1,1664
42.001419,-87.86035,2600,212.6,22.1,1600
42.003342,-87.859539,2650,216.7,17.2,1408
42.004736,-87.859135,2675,221.3,12.5,1280
42.007416,-87.858602,2725,224.4,8.5,1216
42.008507,-87.858496,2750,227.8,4.8,1216
42.010648,-87.858433,2800,231.1,2.0,1472
42.012177,-87.858415,2825,233.0,359.5,1856
42.014186,-87.858496,2900,235.1,358.0,2240
42.017212,-87.858688,3000,237.2,357.8,2368
42.020142,-87.858852,3100,239.2,357.6,2368
42.022888,-87.858977,3200,243.2,357.6,2304
42.025635,-87.859102,3300,244.2,357.4,2496
42.028336,-87.859289,3400,246.2,357.4,2688
42.031128,-87.859476,3500,248.3,357.2,2816
42.033005,-87.859601,3600,249.3,357.2,2816
42.035797,-87.859788,3700,250.3,357.2,2752
42.037974,-87.859902,3800,252.3,357.0,2688
42.04097,-87.8601,3900,254.4,356.9,2304
42.043991,-87.86035,4000,256.4,356.9,2240
42.047052,-87.860604,4100,258.4,356.9,2496
42.050171,-87.860787,4200,260.4,356.7,2624
42.052643,-87.860974,4300,262.4,356.7,2624
42.055115,-87.861224,4400,264.5,356.5,2560
42.05809,-87.861411,4500,265.5,356.5,2624
42.061297,-87.86169,4600,268.5,356.6,2688
42.063811,-87.861882,4700,270.5,356.4,2816
42.066837,-87.862137,4800,272.5,356.4,2880
42.06935,-87.862393,4900,274.5,356.5,2752
42.072189,-87.862597,5000,277.6,356.3,2816
42.074192,-87.862776,5075,278.6,356.3,2880
42.076799,-87.863031,5175,280.6,356.3,3008
42.079102,-87.863222,5275,281.5,356.5,3072
42.08192,-87.863415,5375,283.5,356.6,3072
42.084366,-87.863596,5475,285.4,356.8,3008
42.086975,-87.863783,5575,287.3,357.4,2880
42.089813,-87.863908,5675,289.1,358.2,2880
42.092972,-87.863908,5775,292.0,359.6,2880
42.095718,-87.863846,5875,294.0,0.8,3008
42.098213,-87.863798,5975,296.1,1.7,3008
42.101212,-87.863596,6075,297.3,2.5,3072
42.104004,-87.863409,6175,298.4,3.1,3136
42.106639,-87.863159,6275,300.7,3.8,3264
42.108734,-87.862968,6375,300.8,4.2,3328
42.111527,-87.862648,6475,302.0,4.8,3392
42.11432,-87.862329,6575,303.3,5.3,3456
42.116272,-87.862036,6675,303.7,6.1,3584
42.118607,-87.861661,6775,303.9,6.4,3648
42.12107,-87.861243,6875,304.3,7.0,3648
42.123734,-87.860787,6975,305.8,7.7,3648
42.12767,-87.860038,7150,307.0,8.1,3520
42.132522,-87.859135,7350,307.9,7.8,3520
42.137503,-87.858177,7550,308.7,7.6,3520
42.141815,-87.857416,7750,309.7,7.6,3584
42.147125,-87.85648,7950,310.7,7.6,3712
42.150817,-87.855878,8125,310.7,7.6,3776
42.155332,-87.855047,8325,310.9,7.8,3904
42.15976,-87.854233,8525,310.9,7.8,3904
42.1642,-87.853421,8725,311.8,7.7,3776
42.168411,-87.85261,8900,312.0,7.9,3776
42.172696,-87.85179,9100,312.0,7.9,3840
42.17688,-87.851049,9300,312.0,7.9,3840
42.181169,-87.850257,9500,312.0,7.9,3840
42.185871,-87.849362,9700,312.0,7.9,3712
42.190991,-87.848404,9900,313.0,7.9,3520
42.195647,-87.84751,10100,314.0,7.9,3136
42.199997,-87.84668,10225,316.1,8.0,2688
42.203613,-87.846055,10325,319.0,7.9,2240
42.207378,-87.845338,10425,321.0,7.9,1920
42.210068,-87.844807,10475,325.1,8.0,1472
42.218923,-87.843167,10575,334.2,7.9,1024
42.227116,-87.841634,10675,343.4,8.0,1088
42.236481,-87.839876,10775,352.4,8.0,1088
42.246323,-87.838003,10875,361.5,7.9,960
42.258818,-87.835629,11000,370.5,7.9,1024
42.271247,-87.833266,11150,379.7,8.0,1408
42.284271,-87.830824,11325,384.7,7.9,1344
42.297363,-87.828412,11500,384.7,7.9,1600
42.310165,-87.825985,11675,385.7,7.9,1472
42.316177,-87.824832,11750,385.7,7.9,1024
42.323135,-87.823646,11800,386.7,6.8,576
42.332883,-87.822471,11825,387.4,4.9,128
42.368123,-87.818511,11850,388.6,5.2,0
