lat,lon,alt,gs,track
25.911895,-80.275806,-50.0,15.5,267.2
25.911883,-80.276268,-50.0,14.2,267.2
25.911872,-80.276479,-50.0,14.2,267.2
25.911848,-80.276836,-50.0,14.2,267.2
25.911827,-80.277307,-50.0,14.8,267.2
25.911814,-80.277681,-50.0,15.5,267.2
25.91179,-80.278143,-50.0,16.5,267.2
25.911758,-80.278577,-50.0,17.5,267.2
25.911747,-80.278991,-50.0,16.5,267.2
25.911701,-80.279898,-50.0,16.5,267.2
25.911678,-80.280377,-50.0,16.5,267.2
25.911662,-80.280863,-50.0,17.5,267.2
25.911644,-80.281025,-50.0,18.5,267.2
25.911644,-80.281116,-50.0,18.5,267.2
25.911616,-80.281484,-50.0,18.5,267.2
25.91161,-80.281893,-50.0,18.5,267.2
25.911575,-80.282385,-50.0,18.5,267.2
25.911557,-80.282857,-50.0,18.5,267.2
25.911541,-80.283318,-50.0,18.5,267.2
25.911518,-80.283746,-50.0,19.5,267.2
25.911499,-80.284177,-50.0,19.5,267.2
25.911472,-80.284562,-50.0,19.5,267.2
25.911453,-80.28497,-50.0,19.5,267.2
25.911449,-80.2853,-50.0,17.5,267.2
25.911415,-80.285702,-50.0,15.5,267.2
25.911406,-80.286079,-50.0,14.8,267.2
25.911392,-80.286415,-50.0,11.8,267.2
25.911383,-80.28666,-50.0,7.8,267.2
25.911358,-80.286998,-50.0,4.8,267.2
25.907205,-80.282751,-175,111.0,122.1
25.905529,-80.279793,-125,129.9,122.1
25.904984,-80.278862,-75,139.8,122.4
25.903931,-80.276996,25,144.3,122.3
25.902832,-80.275079,125,147.3,122.0
25.902084,-80.273666,225,149.6,121.9
25.901276,-80.27228,325,150.4,121.7
25.900406,-80.270674,425,153.8,120.9
25.899719,-80.269274,525,155.7,118.4
25.899078,-80.267668,625,157.5,114.8
25.898483,-80.265802,725,159.4,109.8
25.898117,-80.264196,825,162.5,105.0
25.897934,-80.262641,925,164.6,100.2
25.897751,-80.260931,1025,167.1,96.5
25.897614,-80.259221,1125,169.5,94.4
25.897568,-80.25777,1225,170.4,94.0
25.897475,-80.255708,1325,175.2,92.6
25.897429,-80.253331,1425,178.0,91.3
25.89743,-80.250981,1525,181.0,90.3
25.897476,-80.248183,1625,183.0,89.4
25.897568,-80.24497,1725,185.0,88.8
25.897659,-80.242482,1825,186.2,87.5
25.897801,-80.239704,1925,187.3,86.6
25.89798,-80.236886,2025,188.5,86.0
25.898209,-80.233413,2125,188.6,85.4
25.898406,-80.230989,2225,188.7,85.1
25.898639,-80.228295,2325,189.7,85.2
25.898804,-80.225847,2425,191.7,85.2
25.899058,-80.222379,2525,191.7,85.2
25.899261,-80.21994,2625,192.8,84.9
25.89957,-80.216411,2725,195.9,84.4
25.899803,-80.214034,2825,196.9,84.5
25.900036,-80.21134,2925,198.9,84.5
25.900222,-80.209491,3025,201.0,84.3
25.900362,-80.20759,3100,204.1,84.1
25.900681,-80.204497,3200,209.1,84.2
25.900909,-80.201854,3300,212.0,84.3
25.901106,-80.199561,3400,215.1,84.1
25.901321,-80.197397,3475,219.2,84.0
25.90155,-80.194858,3550,222.2,84.1
25.901733,-80.193251,3600,225.3,83.9
25.902054,-80.189727,3700,229.3,84.0
25.90241,-80.185987,3775,233.5,83.6
25.902689,-80.183557,3800,236.4,83.7
25.903015,-80.180335,3825,240.5,83.6
25.903388,-80.176638,3850,244.6,83.4
25.904205,-80.169154,3875,248.8,83.1
25.907019,-80.143943,3850,251.0,82.7
25.909882,-80.118938,3850,251.9,82.9
25.912354,-80.096032,3900,250.6,83.6
25.912949,-80.090436,4000,249.7,83.3
25.913443,-80.085948,4100,249.8,83.1
25.913815,-80.082673,4200,250.9,82.9
25.914281,-80.078289,4300,251.9,82.9
25.9147,-80.074434,4400,252.9,83.0
25.915165,-80.070525,4500,254.0,82.8
25.915558,-80.067064,4600,254.0,82.8
25.915924,-80.063954,4700,254.2,82.5
25.916382,-80.059757,4800,254.9,83.0
25.916795,-80.055736,4900,256.4,84.0
25.91726,-80.050982,5000,256.6,83.5
25.917679,-80.047073,5100,257.9,83.1
25.918098,-80.043376,5200,259.9,83.2
25.918517,-80.039362,5300,261.8,83.2
25.918945,-80.035711,5400,262.8,83.2
25.919357,-80.031928,5500,265.9,83.1
25.919815,-80.027834,5600,267.8,83.3
25.920193,-80.02415,5700,267.7,83.6
25.920426,-80.020875,5800,267.4,84.2
25.920565,-80.018129,5900,267.5,86.4
25.920612,-80.016174,5975,268.0,88.9
25.920565,-80.014009,6075,268.0,90.2
25.920456,-80.011925,6175,268.3,92.8
25.920379,-80.010417,6250,268.7,94.1
25.920193,-80.00878,6350,269.1,95.1
25.920007,-80.006825,6450,269.6,96.2
25.919769,-80.005033,6550,270.7,98.1
25.91954,-80.003685,6650,270.3,98.9
25.919357,-80.002338,6725,270.3,98.9
25.919076,-80.000804,6825,270.7,100.7
25.918808,-79.999332,6900,270.4,101.5
25.918076,-79.996067,7100,271.2,103.2
25.917307,-79.992987,7300,271.3,105.8
25.916336,-79.989693,7500,270.7,107.6
25.915258,-79.986437,7700,270.6,110.8
25.914281,-79.983849,7875,271.1,111.6
25.913164,-79.98105,8050,270.3,114.5
25.912046,-79.978567,8225,270.6,115.6
25.910431,-79.974976,8425,271.9,116.7
25.908601,-79.97112,8625,273.3,117.7
25.907019,-79.967845,8800,274.2,118.1
25.905121,-79.963989,9000,276.1,118.3
25.903341,-79.960398,9175,277.4,118.4
25.901321,-79.956216,9375,280.1,118.6
25.89917,-79.951863,9575,282.4,118.6
25.896881,-79.947251,9775,285.1,118.7
25.894867,-79.943157,9975,286.0,118.6
25.892727,-79.938847,10175,289.1,118.5
25.890399,-79.934147,10375,291.3,118.5
25.888275,-79.929787,10575,292.7,118.6
25.886117,-79.925379,10775,294.9,118.6
25.884022,-79.9211,10975,295.8,118.5
25.881787,-79.916558,11175,298.0,118.5
25.879486,-79.911804,11375,301.1,118.3
25.876853,-79.906417,11575,303.4,118.3
25.873873,-79.900343,11775,306.9,118.4
25.870754,-79.893951,11975,307.8,118.3
25.864889,-79.881962,12375,310.1,118.3
25.860718,-79.873404,12600,311.4,118.4
25.860031,-79.872005,12625,312.3,118.3
25.858046,-79.867912,12725,312.3,118.3
25.856509,-79.864795,12750,312.8,118.4
25.855087,-79.861796,12800,313.7,118.4
25.853065,-79.857718,12825,312.8,118.4
25.849548,-79.850498,12850,312.8,118.4
25.846315,-79.843879,12850,312.3,118.3
25.834991,-79.820649,12850,321.7,118.4
25.829695,-79.809811,12900,330.7,118.3
25.828951,-79.808263,12925,334.2,118.4
25.828583,-79.807536,12950,334.2,118.4
25.82515,-79.800466,13075,339.6,118.3
25.824829,-79.799856,13075,339.6,118.3
25.819885,-79.789836,13300,349.0,118.4
25.813934,-79.777629,13525,358.4,118.5
25.807211,-79.764007,13825,367.4,118.4
25.797913,-79.744975,14200,376.3,118.4
25.788574,-79.72585,14575,378.5,118.4
25.779605,-79.707573,14950,380.8,118.4
25.770081,-79.688059,15325,383.0,118.4
25.760379,-79.66855,15700,385.5,119.4
25.750443,-79.649556,16075,385.8,120.0
25.740372,-79.630381,16450,387.1,120.1
25.72998,-79.610509,16825,391.1,119.9
25.720298,-79.591957,17200,396.9,119.9
25.709777,-79.571746,17575,400.5,120.0
25.699127,-79.55129,17950,400.5,120.0
25.688599,-79.530945,18325,401.7,119.7
25.679983,-79.513394,18650,403.0,117.7
25.670975,-79.493561,19025,406.6,115.8
25.66214,-79.472249,19400,410.5,114.0
25.653774,-79.450275,19775,413.4,112.5
25.645628,-79.428769,20150,414.2,112.7
25.637109,-79.406381,20525,416.8,112.9
25.628448,-79.383647,20900,419.9,112.8
25.620257,-79.362281,21275,424.4,112.9
25.6109,-79.337717,21675,427.9,113.0
25.602448,-79.315643,22050,429.4,112.7
25.594162,-79.292806,22425,429.7,111.4
25.586181,-79.26957,22800,430.6,110.2
25.582901,-79.259389,22900,431.1,109.7
