lat,lon,alt,gs,track
44.863197,-123.192787,-50.0,0.1,0.0
44.863186,-123.192738,-50.0,0.0,0.0
44.863113,-123.192796,-50.0,0.0,0.0
44.863129,-123.192902,-50.0,3.8,0.0
44.863148,-123.193231,-50.0,6.8,0.0
44.863163,-123.19367,-50.0,6.8,0.0
44.863171,-123.194052,-50.0,6.8,0.0
44.863183,-123.194521,-50.0,7.8,0.0
44.863186,-123.195092,-50.0,7.8,0.0
44.863206,-123.195425,-50.0,7.8,0.0
44.864626,-123.195659,-50.0,10.8,0.0
44.864917,-123.195609,-50.0,10.8,0.0
44.865852,-123.195632,-50.0,10.8,0.0
44.86647,-123.195714,-50.0,9.8,0.0
44.866528,-123.195926,-50.0,7.8,0.0
44.866523,-123.196932,-50.0,7.8,0.0
44.866539,-123.197496,-50.0,6.8,0.0
44.866721,-123.197669,-50.0,7.8,0.0
44.866871,-123.197692,-50.0,8.8,0.0
44.867191,-123.197692,-50.0,11.8,0.0
44.867638,-123.197692,-50.0,12.8,0.0
44.868071,-123.197686,-50.0,14.8,0.0
44.868408,-123.197686,-50.0,14.8,0.0
44.868897,-123.197686,-50.0,15.5,0.0
44.86948,-123.197692,-50.0,15.5,0.0
44.86972,-123.197692,-50.0,14.8,0.0
44.870143,-123.197686,-50.0,13.8,0.0
44.870585,-123.197686,-50.0,10.8,0.0
44.870969,-123.197602,-50.0,8.8,0.0
44.871094,-123.197479,-50.0,5.8,0.0
44.871108,-123.197468,-50.0,0.1,0.0
44.871108,-123.197468,-50.0,0.0,0.0
44.871094,-123.197463,-50.0,0.0,0.0
44.871094,-123.197463,-50.0,0.0,0.0
44.871105,-123.197447,-50.0,0.0,0.0
44.871082,-123.197447,-50.0,0.0,0.0
44.871082,-123.197447,-50.0,0.0,0.0
44.871085,-123.197435,-50.0,0.0,0.0
44.871094,-123.197479,-50.0,0.0,0.0
44.871097,-123.197451,-50.0,0.0,0.0
44.871097,-123.197468,-50.0,0.0,0.0
44.871097,-123.197451,-50.0,0.0,0.0
44.871213,-123.19777,-50.0,0.0,0.0
44.871213,-123.197786,-50.0,8.8,0.0
44.870992,-123.198272,-50.0,8.8,0.0
44.870818,-123.198272,-50.0,13.8,0.0
44.870693,-123.198297,-50.0,15.5,0.0
44.870631,-123.198289,-50.0,19.5,0.0
44.87051,-123.198297,-50.0,24.5,0.0
44.870464,-123.198297,-50.0,25.5,0.0
44.870399,-123.198272,125,25.5,177.2
44.870352,-123.198272,125,31.0,178.1
44.870119,-123.198272,125,35.0,178.4
44.869949,-123.198264,125,39.0,180.0
44.869629,-123.198264,125,40.0,181.4
44.869446,-123.198264,125,48.0,178.8
44.869235,-123.198272,125,49.0,178.8
44.868484,-123.198264,150,53.0,180.0
44.866928,-123.198199,250,57.0,179.0
44.864639,-123.198133,375,58.0,179.0
44.862991,-123.198133,475,60.0,180.0
44.861274,-123.198071,575,61.1,177.2
44.859971,-123.197937,625,65.1,177.4
44.858854,-123.197803,675,68.3,175.0
44.858202,-123.197669,700,67.9,170.7
44.856852,-123.197133,750,70.8,161.1
